cal_sbid,sbid,field
45640,45638,EMU_1254-55
45780,45761,EMU_2156-60
45780,45781,EMU_2230-55
45822,45811,EMU_2154-55
45822,45821,EMU_1442-64
45822,45830,EMU_1301-60
46776,46907,EMU_0121-51
46776,46910,EMU_1050-64
46776,46913,EMU_0044-46
46911,46915,EMU_1029-55
46911,46919,EMU_0516-14
46911,46922,EMU_1450-37
46923,46925,EMU_0219-64
46923,46939,EMU_1615-64
46923,46941,EMU_0305-64
46944,46943,EMU_1436-28
46944,46946,EMU_0205-55
46944,46948,EMU_1136-64
46944,46951,EMU_0049-51
46944,46953,EMU_1017-60
46944,46955,EMU_1759-69
46960,46957,EMU_0425-72
46960,46959,EMU_1609-69
46960,46962,EMU_0409-69
46960,46964,EMU_1505-60
46969,46966,EMU_0144-46
46969,46968,EMU_1036-69
46969,46971,EMU_0052-37
46969,46974,EMU_1003-64
46969,46976,EMU_2342-55
46969,46978,EMU_0526-73
46969,46980,EMU_1701-64
47031,46982,EMU_0313-69
47031,46984,EMU_1500-28
47031,46986,EMU_0118-37
47031,47034,EMU_0227-51
47059,47127,EMU_1218-55
47059,47130,EMU_0214-46
47059,47133,EMU_1245-46
47134,47136,EMU_0154-51
47134,47138,EMU_1141-55
48587,48567,EMU_0409-69
48587,48589,EMU_0409-69
49991,49990,EMU_0242-55
49991,49992,EMU_0244-46
50010,50008,EMU_0835+00A
50010,50009,EMU_1650-41
50010,50011,EMU_0317-55
50046,50045,EMU_1127+00A
50046,50047,EMU_2108-09A
50046,50048,EMU_0130-55
50046,50049,EMU_0835+00B
50046,50050,EMU_1358+00A
50179,50177,EMU_1127+00B
50179,50180,EMU_0044-46
50179,50181,EMU_0857+00A
50179,50182,EMU_1358+00B
50203,50202,EMU_2108-09B
50203,50204,EMU_0354-55
50225,50220,EMU_0857+00B
50225,50230,EMU_0448-60
50414,50413,EMU_1412-28
50414,50415,EMU_0204-41
50414,50416,EMU_0835-04A
50414,50417,EMU_1625-72
50420,50418,EMU_0814-04B
50420,50419,EMU_0918-04A
50420,50421,EMU_2108-04A
50420,50423,EMU_0212-28
50431,50425,EMU_0835-04B
50431,50427,EMU_1615-64
50431,50428,EMU_0918-04B
50431,50429,EMU_1323-69
50535,50530,EMU_0752-09A
50535,50534,EMU_1127+00A
50535,50538,EMU_0529-60
50535,50539,EMU_1513-69
50793,50786,EMU_2108-04B
50793,50787,EMU_0332-51
50872,50870,EMU_1127+00B
51404,51400,EMU_2006-55
51404,51403,EMU_0813-60
51433,51428,EMU_0954-55
51433,51430,EMU_2108-09B
51433,51431,EMU_0414-46
51433,51432,EMU_1001-09A
51433,51434,EMU_2108+00A
51433,51448,EMU_2108+00B
51561,51559,EMU_1315-04A
51561,51562,EMU_2151-04A
51561,51572,EMU_1127+00A
51561,51574,EMU_1854-55
51806,51797,EMU_2118-55
51820,51818,EMU_2006-55
51820,51819,EMU_0444-46
51846,51845,EMU_0917-64
51846,51852,EMU_2151-04B
51846,51853,EMU_0610-60
51846,51858,EMU_1914-46
51860,51859,EMU_0450-41
51957,51927,EMU_0653-55
51957,51928,EMU_1336-04A
51957,51930,EMU_2108+04A
51957,51931,EMU_0541-55
51957,51932,EMU_1315-04B
51957,51948,EMU_1315-46
51957,51956,EMU_1416-32
51957,51958,EMU_2234-04A
51957,51959,EMU_0651-60
51957,51962,EMU_1358-09A
51957,51964,EMU_2234-04B
51998,52096,EMU_2108+04B
52118,52121,EMU_2054-64
52118,52122,EMU_0658-64
52118,52125,EMU_1953-60
52214,52144,EMU_2212-09A
52214,52145,EMU_0730-55
52214,52161,EMU_2212-09B
52214,52165,EMU_0618-55
52214,52179,EMU_2026-18
52214,52180,EMU_0500-09A
52214,52217,EMU_2314-46
52220,52219,EMU_1336-04B
53212,53183,EMU_0208-04A
53212,53200,EMU_0208-04B
53212,53201,EMU_0750-69
53212,53209,EMU_2119-23
53212,53210,EMU_0644-46
53212,53211,EMU_1441+04A
53212,53214,EMU_2212-04A
53212,53218,EMU_1627-60
53251,53241,EMU_1418-69
53292,53293,EMU_0102-32
53292,53295,EMU_0814-04B
53315,53300,EMU_1714-46
53315,53304,EMU_0655-69
53315,53310,EMU_1356-64
53315,53313,EMU_0021-09A
53315,53314,EMU_0744-64
53315,53321,EMU_2313-64
53565,53513,EMU_2227-64
53565,53551,EMU_0021-09B
53565,53552,EMU_0842-55
53565,53557,EMU_2332-69
53565,53558,EMU_1038-51
53565,53566,EMU_2236-69
53565,53568,EMU_0936-60
53565,53570,EMU_0012-32
54102,54095,EMU_1342-60
54102,54097,EMU_2359-04A
54102,54098,EMU_0754-51
54102,54099,EMU_1704-69
54102,54100,EMU_0021-04A
54102,54101,EMU_0854-60
54102,54103,EMU_2046-69
54102,54104,EMU_0805-55
54102,54105,EMU_1742-55
54772,54769,EMU_1855-69
54772,54770,EMU_0500-09B
54772,54771,EMU_1050-64
54772,54773,EMU_0054-14
54772,54774,EMU_1005-51
54775,54776,EMU_2141-69
54801,54798,EMU_2359-04B
54801,54799,EMU_0814-46
54806,54802,EMU_1950-69
54806,54804,EMU_0500-09A
54806,54805,EMU_1132-69
54806,54807,EMU_0208-09A
54806,54808,EMU_0827-51
54922,54923,EMU_2140-64
54922,54926,EMU_1748-64
54922,54929,EMU_0208-09B
54940,54937,EMU_2237-60
54940,54943,EMU_0750-69
54940,54944,EMU_2115-60
55276,55272,EMU_1149+00B
55333,55325,EMU_2212-09A
55333,55326,EMU_0230-04A
55333,55327,EMU_0626-09A
45640,45638,EMU_1254-55
45780,45761,EMU_2156-60
45780,45781,EMU_2230-55
45822,45811,EMU_2154-55
45822,45821,EMU_1442-64
45822,45830,EMU_1301-60
46776,46907,EMU_0121-51
46776,46910,EMU_1050-64
46776,46913,EMU_0044-46
46911,46915,EMU_1029-55
46911,46919,EMU_0516-14
46911,46922,EMU_1450-37
46923,46925,EMU_0219-64
46923,46939,EMU_1615-64
46923,46941,EMU_0305-64
46944,46943,EMU_1436-28
46944,46946,EMU_0205-55
46944,46948,EMU_1136-64
46944,46951,EMU_0049-51
46944,46953,EMU_1017-60
46944,46955,EMU_1759-69
46960,46957,EMU_0425-72
