BEAM_NUM,BEAM_TIME,RA_DEG,DEC_DEG,GAL_LONG,GAL_LAT,PSF_MAJOR,PSF_MINOR,PSF_ANGLE,VIS_TOTAL,VIS_FLAGGED
0,5214950073.921107,147.92325,-11.28503888889,248.24713108977934,31.91119981214665,14.770475837614153,10.377201405147732,68.3172768213249,,
1,5214950764.878953,148.8415416667,-11.29031111111,248.97110506545332,32.57152237586449,14.743990334964383,10.347954344600689,67.6629287306356,,
2,5214951013.149717,149.75945,-11.29323888889,249.70587385312098,33.22701194863481,14.730442615826748,10.330280146674575,67.0368834460327,,
3,5214949003.197655,150.6772,-11.29383055556,250.4519867083327,33.87766007949737,14.715447871661064,10.310465558414556,66.4415992503863,,
4,5214949820.886018,151.595,-11.29206944444,251.20997686811495,34.52345142606815,14.708112996088584,10.29440132246232,65.8569815784024,,
5,5214950081.953139,152.5130708333,-11.28796944444,251.9804339377148,35.16434530107758,14.709811801794551,10.283980248845388,65.2842289708065,,
6,5214950818.502839,148.3878583333,-10.50831111111,247.92849487947905,32.770838680714995,14.767873624346977,10.42171201526281,67.8733665051532,,
7,5214950975.219568,149.3035291667,-10.5124,248.65710923579798,33.432684294631606,14.760867742308324,10.415463098347512,67.3187905265822,,
8,5214950924.795929,150.2189291667,-10.51415,249.39690314345916,34.08980249387983,14.747121829806119,10.389222169542323,66.6484747947928,,
9,5214950888.049011,151.1342791667,-10.51356111111,250.14843813927754,34.74218281093181,14.734081133532323,10.36653629634054,66.0366776342929,,
10,5214949754.726641,152.0497791667,-10.51063888889,250.91228373104389,35.389783447901415,14.728083898091327,10.349041301405064,65.4402587626581,,
11,5214950011.3418455,152.9656583333,-10.50538888889,251.68905458923012,36.03256967500461,14.717967209658683,10.325701135348128,64.8501871868647,,
12,5214950472.071308,147.9359708333,-9.725938888889,246.88116032473022,32.96093736261132,14.791382922419496,10.494609659262252,68.0782660491935,,
13,5214950980.598811,148.8496291667,-9.731180555556,247.60348567243733,33.62910478730414,14.77780004312388,10.476160077002653,67.4328163359784,,
14,5214955438.509708,149.7629083333,-9.7341,248.33683754840666,34.29264543614676,14.76346290671682,10.452508709896296,66.7907703974458,,
15,5214955307.554095,150.6760416667,-9.734680555556,249.08177591570052,34.951576449027016,14.663311985237975,10.375280801427275,66.1967967957276,,
16,5214955754.600734,151.5892208333,-9.732930555556,249.83887024696782,35.60585570738882,14.751029651844709,10.41922345520682,65.6191328611503,,
17,5214955493.0517,152.5026708333,-9.72885,250.6087314288818,36.25545772678387,14.742495969394247,10.397206468796687,65.0144699977116,,
18,5214956159.33206,148.39745,-8.949469444444,246.54493846445337,33.81618667873695,14.799742469662862,10.54778847027786,67.6322646183622,,
19,5214951078.952948,149.3088583333,-8.953538888889,247.2717151332322,34.486140705900354,14.793810346640845,10.53232325087076,66.9981923605094,,
20,5214956329.659086,150.2199916667,-8.955280555556,248.00989725447997,35.151578482222526,14.787301935321649,10.51454096239961,66.3836646027276,,
21,5214956231.93615,151.1310791667,-8.9547,248.76008537153032,35.812494664607826,14.770633364819027,10.487190815945317,65.7430005426567,,
22,5214956140.392116,152.0423208333,-8.951788888889,249.52286622146156,36.468859403398916,14.769015571536192,10.470324835340172,65.155215416487,,
23,5214950281.079967,152.9539416667,-8.946561111111,250.29889061510877,37.12063216710518,14.767650950069735,10.452234507941196,64.5763118172057,,
24,5214956296.61351,147.9467083333,-8.167111111111,245.4813800789233,33.99387626117841,14.841081479308716,10.652458760791273,68.4397838764637,,
25,5214956876.736028,148.8564708333,-8.172330555556,246.20144581551278,34.67020562479763,14.820249357361835,10.608844148577324,67.2026217855029,,
26,5214957032.602955,149.7658416667,-8.175230555556,246.93273407734247,35.342119798964895,14.817066501952658,10.5914635484562,66.5674461668402,,
27,5214957205.32641,150.6750583333,-8.175811111111,247.67584925812284,36.00963113432034,14.804212401101447,10.568735750401668,65.9266316472355,,
28,5214957051.616922,151.5843416667,-8.174069444444,248.43140383997488,36.67272890129112,14.80382310136104,10.552849494412069,65.3204227704169,,
29,5214956887.933949,152.4938791667,-8.170011111111,249.20001395455375,37.33135948972835,14.802816072747598,10.530495983198485,64.70408170219,,
30,5214956461.225332,148.40545,-7.390338888889,245.12595407204978,34.844757400069156,14.860085563573271,10.710126020055096,68.038951004251,,
31,5214957278.124422,149.3133,-7.394388888889,245.85020905268027,35.5231265513543,14.850741076896815,10.691157863488392,67.345329445513,,
32,5214957032.2222,150.2208791667,-7.396130555556,246.58610257263368,36.197196619027665,14.836972378680722,10.644743167522776,66.1215218297823,,
33,5214956809.200976,151.1284083333,-7.39555,247.3342388157931,36.86697228175552,14.83236251328708,10.623844160676144,65.4921069834147,,
34,5214956554.101126,152.0361,-7.392661111111,248.0952659293242,37.532420811667045,14.752494944696483,10.616666789699352,65.2291560961492,,
35,5214956224.636379,152.9441708333,-7.387438888889,248.86982557731764,38.19352526622422,14.753234985388884,10.600340124933611,64.6626972919016,,
