BEAM_NUM,BEAM_TIME,RA_DEG,DEC_DEG,GAL_LONG,GAL_LAT,PSF_MAJOR,PSF_MINOR,PSF_ANGLE,VIS_TOTAL,VIS_FLAGGED
0,5243725186.852489,-103.1649208333,-70.8496,320.9485326045904,-17.616931564731217,15.028900486907006,13.092055852300415,35.8502825254735,,
1,5243725147.133562,-103.7903,-71.72751111111,320.0612783319924,-17.928518914417086,14.968825346797706,13.121614553110811,34.3071062835853,,
2,5243725221.889872,-104.4777208333,-72.60271111111,319.17111994176213,-18.235489737243267,14.924632983477732,13.168304656922448,32.7412346378007,,
3,5243725361.974379,-105.2369916667,-73.47501944444,318.27784294322356,-18.537816721705695,14.900762316829537,13.226115778622892,31.0060000239549,,
4,5243725219.315775,-106.0800208333,-74.34421944444,317.38119463763263,-18.835500113902715,14.897929616566453,13.282161538996945,29.8639632317069,,
5,5243725272.673755,-107.0214416667,-75.20996111111,316.480941765456,-19.128518087503824,14.852728589624713,13.30843903847478,28.0618939480905,,
6,5243725184.845111,-101.08125,-71.44821111111,320.7889864895795,-18.504875290152828,15.031280570234939,13.223653325098235,33.7828594469141,,
7,5243725245.930613,-101.6274583333,-72.33238055556,319.89705345659127,-18.81546273707616,14.981137003902672,13.270488008419656,32.0901887286694,,
8,5243725500.25172,-102.2300291667,-73.21456111111,319.0020135759151,-19.12142825254932,14.91103326223044,13.297411131128603,30.3004871991032,,
9,5243725403.452312,-102.8983291667,-74.09468055556,318.1036363374166,-19.422759624796125,14.902661232368532,13.354524959739047,29.0454644225215,,
10,5243725407.05599,-103.6439208333,-74.97261111111,317.20167482927377,-19.719439071663366,14.868473841761148,13.404281745573863,27.0038190384834,,
11,5243725362.831641,-104.48115,-75.84811944444,316.2959014764605,-20.011442397886444,14.81847685248265,13.422131655477264,24.7137241452003,,
12,5243725310.259267,-98.45550833333,-71.13088888889,321.5219922254515,-19.07799281011176,15.048850413308076,13.28379437708586,33.4864507758057,,
13,5243725371.74564,-98.86715833333,-72.02198055556,320.62817099602523,-19.392249976892426,15.002901471875832,13.337407275065388,31.6537568718134,,
14,5243725324.476945,-99.32035833333,-72.91171944444,319.7312664277793,-19.70189926125443,14.893008868884529,13.351787237603592,30.2854763761099,,
15,5243725552.120322,-99.822,-73.80016111111,318.83104357190786,-20.006925657699156,14.920306828451425,13.431466648682893,28.4963502443656,,
16,5243725487.896702,-100.38055,-74.68733888889,317.92725557804675,-20.30732198268821,14.880633344261998,13.483830972318481,26.1338839094599,,
17,5243725424.034752,-101.0065916667,-75.57321111111,317.01967378954794,-20.60305486956995,14.84543799822589,13.524972199547976,23.6495659324759,,
18,5243725459.174208,-96.20307083333,-71.67346944444,321.3648264029483,-19.965866263438482,15.051242963740822,13.426729472448397,31.5625967092776,,
19,5243725525.301932,-96.51567083333,-72.56866111111,320.4659398259818,-20.279253332753164,14.983251258896782,13.465581355193759,29.4858933013879,,
20,5243725606.228464,-96.86054166667,-73.46303888889,319.5637652842657,-20.588031791510165,14.934719197850471,13.52370243335778,27.2954785309143,,
21,5243725550.368142,-97.2433,-74.35675,318.6580428949916,-20.89218902596273,14.913039429287604,13.575561687179064,25.7858807094794,,
22,5243725506.70736,-97.67090833333,-75.2499,317.7485336521797,-21.191704525678823,14.869723688854128,13.62097291308354,23.0132899572687,,
23,5243725539.93366,-98.15214166667,-76.14256111111,316.83500092452283,-21.486549702439955,14.8349008527282,13.672014526575396,20.0078904642151,,
24,5243725309.07402,-93.63945,-71.28886944444,322.10737594362337,-20.536335642470476,15.073469654418647,13.478954825326355,31.6181301792538,,
25,5243725458.370003,-93.82117916667,-72.1876,321.20641394970255,-20.85351612959939,15.030793071966094,13.551905966300856,29.5603231200568,,
26,5243725422.91944,-94.02049166667,-73.08578055556,320.3021660725358,-21.16609974762986,14.992320842946864,13.622867142231454,27.2512542900634,,
27,5243725547.978028,-94.24037083333,-73.9836,319.3943962281587,-21.474075402372524,14.932425612060792,13.666494543755473,24.5957276879017,,
28,5243725509.903409,-94.48455,-74.88125,318.4828548378842,-21.777423395959463,14.899159138089924,13.713906630021048,22.8873523530199,,
29,5243725340.774857,-94.75772083333,-75.7789,317.5673045911956,-22.076112793459163,14.844533580492804,13.753520154345347,19.5704059160905,,
30,5243725397.463144,-91.23997916667,-71.7708,321.9530336220858,-21.424699355174948,15.078576374177615,13.626880390613845,29.9143440477223,,
31,5243725378.115868,-91.30565,-72.67088888889,321.0466136834428,-21.741150223079106,15.026842608085403,13.694499544688785,27.5543715418471,,
32,5243725427.109223,-91.37657083333,-73.57068055556,320.13668959630377,-22.052996869671457,14.966607979931545,13.746807374395717,24.8811542887169,,
33,5243725559.195873,-91.45365833333,-74.47041111111,319.2230013959417,-22.360232884579748,14.93466759608443,13.80875144946426,23.2329475971466,,
34,5243725374.005943,-91.5381,-75.37028888889,318.30531182374983,-22.662827202331716,14.872681424686787,13.850271601298028,19.7368775855772,,
35,5243725440.273727,-91.63137083333,-76.27053888889,317.3833684105181,-22.96075635321121,14.833902491753543,13.910494813521337,15.6702348664826,,
