Component_ID,RA,DEC,ASKAP_flux,RA_comp,DEC_comp,Comp_flux,Flux_Ratio_AlphaCorr,Flux_Ratio_NOAlphaCorr
SB46919_component_80a,79.363857,-16.334587,77.94100189208984,79.36370833333332,-16.33422222222222,49.1,1.10234301070666,1.5873931138918502
SB46919_component_94a,80.591942,-12.826833,69.68199920654297,80.591625,-12.826694444444442,50.5,0.9582117344141572,1.3798415684463954
SB46919_component_103a,80.791684,-14.906686,65.28399658203125,80.79145833333332,-14.906499999999998,41.5,1.0924231565866698,1.573108351374247
SB46919_component_155a,81.699153,-14.415021,39.582000732421875,81.69870833333333,-14.414638888888888,23.4,1.1746653167407428,1.6915384928385417
SB46919_component_172a,79.672072,-13.345812,36.590999603271484,79.67179166666665,-13.34561111111111,30.1,0.8441896806997514,1.2156478273512121
SB46919_component_177a,76.249321,-12.742536,35.624000549316406,76.24891666666666,-12.742249999999999,27.6,0.8963257384593437,1.2907246575839277
SB46919_component_180a,77.44845,-12.258925,37.81399917602539,77.44841666666666,-12.25872222222222,25.0,1.050376175473291,1.5125599670410157
SB46919_component_182a,79.619179,-11.806051,34.85499954223633,79.61899999999999,-11.805333333333332,22.5,1.075758593614813,1.549111090766059
SB46919_component_185a,79.012165,-16.44111,34.74700164794922,79.01233333333332,-16.440861111111108,22.2,1.0869176002138248,1.565180254412127
SB46919_component_187a,78.501537,-13.799938,32.99700164794922,78.50170833333333,-13.799944444444442,22.5,1.0184136724285269,1.466533406575521
SB46919_component_189a,80.010521,-11.857807,34.36399841308594,80.01058333333333,-11.85772222222222,20.5,1.164078022903746,1.6762926055163871
SB46919_component_199a,80.155697,-13.876933,33.15399932861328,80.15558333333333,-13.876666666666665,22.3,1.032436434060253,1.4867264272920753
SB46919_component_206a,81.412841,-12.917598,31.11400032043457,81.41254166666666,-12.916888888888888,19.9,1.0857629958509942,1.5635176040419383
SB46919_component_208a,77.815461,-15.697644,32.16999816894531,77.81537499999999,-15.697027777777775,22.2,1.0063066034573054,1.4490990166191582
SB46919_component_213a,80.105337,-13.678558,31.6299991607666,80.10512499999999,-13.678361111111109,19.6,1.1206638681715275,1.613775467386051
SB46919_component_216a,79.942038,-12.277208,30.0,79.94195833333332,-12.276749999999998,18.0,1.1573934239095727,1.6666666666666667
SB46919_component_219a,78.063259,-13.160444,30.17300033569336,78.06275,-13.160277777777775,18.4,1.1387619185267226,1.6398369747659436
SB46919_component_229a,82.096644,-14.948131,27.409000396728516,82.09683333333332,-14.947916666666664,17.1,1.113087607547665,1.6028655202765212
SB46919_component_236a,80.388822,-11.486649,26.67099952697754,80.3885,-11.486777777777776,28.2,0.6567838183323218,0.9457801250701255
SB46919_component_243a,80.088242,-13.029371,25.941999435424805,80.08783333333332,-13.028888888888888,15.5,1.1622619180500586,1.6736773829306326
SB46919_component_246a,78.482744,-13.388993,25.3799991607666,78.48233333333333,-13.388083333333332,15.9,1.108477136886858,1.596226362312365
SB46919_component_249a,76.406185,-14.133357,26.923999786376953,76.40604166666665,-14.133027777777777,16.7,1.1195806095124106,1.6122155560704763
SB46919_component_254a,80.690951,-14.051916,27.683000564575195,80.69087499999999,-14.051611111111109,19.0,1.0117933518165574,1.457000029714484
SB46919_component_261a,76.050251,-15.843544,23.507999420166016,76.050125,-15.843166666666665,16.2,1.007703849561859,1.4511110753188898
SB46919_component_265a,78.420437,-15.769488,23.232999801635742,78.42012499999998,-15.769249999999998,17.6,0.9166950405036005,1.3200568069111216
SB46919_component_276a,77.452334,-15.681537,21.84600067138672,77.45233333333333,-15.68097222222222,18.5,0.8200351626741762,1.1808649011560388
SB46919_component_280a,79.959494,-11.548284,22.628999710083008,79.95983333333332,-11.54797222222222,13.0,1.2087994824970016,1.7406922853910005
SB46919_component_286a,76.672115,-12.724044,21.309999465942383,76.67183333333332,-12.724055555555553,14.2,1.0421430948759811,1.5007041877424214
