Component_ID,RA,DEC,ASKAP_flux,RA_comp,DEC_comp,Comp_flux,Flux_Ratio_AlphaCorr,Flux_Ratio_NOAlphaCorr
SB50049_component_12a,131.692054,2.201119,261.175,131.69225,2.20111,184.0,1.0351458395234812,1.4194292814835259
SB50049_component_13a,128.630414,-0.042094,260.243,128.63067,-0.04197,190.8,0.9946916823412856,1.3639570832002588
SB50049_component_18a,129.949460,-1.371770,205.122,129.94962,-1.37161,143.9,1.0395352405541365,1.4254481863693862
SB50049_component_22a,130.884928,-1.706774,185.237,130.88517,-1.70669,130.0,1.0391354624637632,1.4248999962439903
SB50049_component_25a,131.464653,0.753398,182.006,131.46467,0.75353,126.4,1.0500897134622091,1.4399208600008033
SB50049_component_44a,126.321020,-2.078721,114.838,126.32121,-2.07850,105.5,0.7938179806692797,1.0885118240428762
SB50049_component_61a,128.342695,1.360809,93.380,128.34271,1.36092,70.1,0.9714570843730802,1.3320969650986874
SB50049_component_83a,129.835577,-1.615569,79.776,129.83596,-1.61550,48.1,1.2095253266751134,1.6585447188474531
SB50049_component_86a,129.983464,1.783079,75.443,129.98371,1.78308,47.9,1.1486063736635819,1.5750104549782262
SB50049_component_89a,129.209931,2.366995,72.924,129.21025,2.36692,47.0,1.1315152897099245,1.5515745447037068
SB50049_component_90a,131.712522,1.504524,72.642,131.71275,1.50436,48.9,1.0833448031211625,1.4855214374440824
SB50049_component_93a,126.048963,-0.719544,68.605,126.04917,-0.71894,49.0,1.0210511311005575,1.4001021093251753
SB50049_component_96a,130.449516,0.357394,65.235,130.44954,0.35742,44.0,1.0812242439142372,1.4826136502352627
SB50049_component_98a,127.528887,0.562251,63.889,127.52896,0.56239,38.7,1.2039346280417988,1.6508785513944404
SB50049_component_101a,131.477627,-0.039355,62.520,131.47779,-0.03936,48.6,0.9381461143640153,1.2864197625054252
SB50049_component_110a,129.644055,0.035535,59.347,129.64396,0.03589,42.0,1.0304745292108115,1.4130238124302454
SB50049_component_113a,130.796103,-0.440649,60.156,130.79612,-0.44061,36.5,1.201915274139995,1.6481095405474102
SB50049_component_116a,129.667977,-2.105916,65.722,129.66812,-2.10597,41.5,1.1549161542668036,1.583662653543863
SB50049_component_119a,131.161173,0.645236,56.335,131.16096,0.64522,38.8,1.0588497706268538,1.4519329660946563
SB50049_component_120a,127.182108,0.762383,55.389,127.18225,0.76253,61.9,0.6525603102572954,0.8948142154921622
SB50049_component_121a,127.130765,0.156342,56.393,127.13092,0.15622,41.3,0.995778946918907,1.3654479795737648
SB50049_component_126a,130.061064,-2.453294,53.387,130.06104,-2.45350,30.7,1.2681917711350223,1.7389902618109987
SB50049_component_127a,127.661665,0.257116,52.902,127.66175,0.25683,37.8,1.0206294031982683,1.3995238208266163
SB50049_component_128a,126.978109,-1.365383,54.295,126.97829,-1.36525,35.2,1.1248767493348386,1.5424715388904917
SB50049_component_132a,128.712960,-0.755170,51.161,128.71308,-0.75528,32.5,1.1480040986600337,1.57418459378756
SB50049_component_134a,130.964411,2.029103,52.869,130.96433,2.02936,33.6,1.1474918116791426,1.5734821274167015
SB50049_component_136a,126.447749,0.318846,47.901,126.44808,0.31928,35.3,0.9895953919824814,1.3569688661915724
SB50049_component_139a,127.036096,-1.394478,48.540,127.03604,-1.39458,33.3,1.063024631037928,1.4576576851509715
SB50049_component_144a,128.754374,2.390176,46.405,128.75446,2.39025,35.2,0.9614127625037658,1.3183238289572974
SB50049_component_147a,129.288812,1.011892,46.034,129.28900,1.01194,26.8,1.2526556568359652,1.7176865819674818
SB50049_component_152a,126.341857,1.680726,50.224,126.34208,1.68089,35.1,1.0434988008269277,1.4308831630608974
SB50049_component_166a,130.926623,0.395864,39.241,130.92654,0.39611,27.2,1.05210468751593,1.4426838650422937
SB50049_component_167a,131.791829,-0.671430,39.737,131.79200,-0.67122,23.8,1.2176035196743118,1.669621828223477
SB50049_component_171a,127.792348,-2.048237,36.883,127.79212,-2.04822,27.4,0.9816653226670966,1.3460948693491248
SB50049_component_184a,131.506406,0.863868,35.172,131.50650,0.86378,22.8,1.12499348990208,1.5426316177635861
