Component_ID,RA,DEC,ASKAP_flux,RA_comp,DEC_comp,Comp_flux,Flux_Ratio_AlphaCorr,Flux_Ratio_NOAlphaCorr
SB50181_component_13a,132.199189,-0.7889,272.218994140625,132.2002083333333,-0.788111111111111,183.6,1.0296224630118884,1.4826742600251908
SB50181_component_14a,137.177903,-1.391322,263.59698486328125,137.17854166666666,-1.3909444444444443,175.6,1.0424330871633927,1.501121781681556
SB50181_component_29a,134.662738,2.043056,154.2740020751953,134.66299999999998,2.0431111111111107,97.9,1.0943149059165034,1.5758325033217089
SB50181_component_44a,136.233829,-0.745174,118.08499908447266,136.23458333333332,-0.7448888888888888,84.0,0.9762200100195468,1.4057737986246746
SB50181_component_62a,131.841803,-1.571776,85.16999816894531,131.84254166666665,-1.5716111111111108,63.8,0.9270394588883478,1.3349529493565098
SB50181_component_63a,135.088009,-0.988449,96.06600189208984,135.08862499999998,-0.9878333333333332,65.3,1.0216186111901013,1.4711485741514525
SB50181_component_67a,134.581396,1.828161,87.70099639892578,134.58170833333332,1.828083333333333,61.4,0.9919012036068451,1.4283549902105177
SB50181_component_71a,132.082435,-1.049246,79.61699676513672,132.08341666666664,-1.0487499999999998,80.3,0.6885294282993696,0.9914943557302207
SB50181_component_74a,134.457247,1.592072,81.97799682617188,134.4574583333333,1.5921944444444442,88.5,0.6432596232670587,0.926305048883298
SB50181_component_80a,133.221978,-1.427079,82.21199798583984,133.22229166666665,-1.4269444444444443,54.7,1.043710703860454,1.5029615719531964
SB50181_component_100a,136.35656,2.164695,65.93800354003906,136.35687499999997,2.164638888888889,44.0,1.0406756138586455,1.4985909895463423
SB50181_component_102a,132.632337,-0.033803,59.07099914550781,132.63287499999998,-0.033777777777777775,49.3,0.8320696059405119,1.1981947088338298
SB50181_component_149a,131.912687,-0.073497,38.24399948120117,131.91366666666664,-0.07352777777777776,24.2,1.097438516616777,1.5803305570744286
SB50181_component_151a,133.270078,0.283449,38.56100082397461,133.27104166666666,0.28388888888888886,33.4,0.8017409959228712,1.1545209827537308
SB50181_component_153a,135.997346,-1.676553,38.59199905395508,135.99829166666666,-1.6762777777777775,23.4,1.1452852800146682,1.6492307288014991
