Component_ID,RA,DEC,ASKAP_flux,RA_comp,DEC_comp,Comp_flux,Flux_Ratio_AlphaCorr,Flux_Ratio_NOAlphaCorr
SB50220_component_1a,133.546201,-0.324772,691.0549926757812,133.54654166666666,-0.32497222222222216,483.4,0.9927461780093015,1.4295717680508508
SB50220_component_6a,135.527822,0.00547,321.2239990234375,135.5280833333333,0.005444444444444444,225.8,0.9879075573206241,1.4226040700772253
SB50220_component_14a,137.178447,-1.390867,261.4989929199219,137.17854166666666,-1.3909444444444443,175.6,1.034136269126971,1.4891742193617419
SB50220_component_19a,131.432935,0.960335,181.29299926757812,131.43325,0.9602777777777777,157.8,0.7978225290993837,1.148878322354741
SB50220_component_24a,133.163069,-0.290343,166.85899353027344,133.16354166666665,-0.2906944444444444,118.9,0.97454079982561,1.4033557067306428
SB50220_component_32a,134.061216,2.399776,143.75900268554688,134.06133333333332,2.399833333333333,86.5,1.1541206312327206,1.6619537882722182
SB50220_component_35a,136.167266,-1.645512,137.2169952392578,136.16754166666664,-1.6457499999999998,98.7,0.9654349418756725,1.390243112859755
SB50220_component_41a,132.235572,1.613362,128.79100036621094,132.23604166666664,1.6131666666666664,87.6,1.0209716224834788,1.4702168991576592
SB50220_component_44a,136.234234,-0.744773,117.45099639892578,136.23458333333332,-0.7448888888888888,84.0,0.97097864902674,1.3982261476062594
SB50220_component_52a,136.534338,-2.263789,113.43299865722656,136.5344583333333,-2.2637777777777774,82.6,0.9536557387424994,1.3732808554143652
SB50220_component_63a,135.950277,-0.286371,89.40499877929688,135.95062499999997,-0.28636111111111107,68.0,0.9130302145747198,1.3147793938131893
SB50220_component_66a,134.581399,1.828142,87.43599700927734,134.58170833333332,1.828083333333333,61.4,0.9889040516434657,1.4240390392390447
SB50220_component_67a,132.684311,0.854367,86.77899932861328,132.6844583333333,0.8544166666666666,61.1,0.9862924041544049,1.420278221417566
SB50220_component_72a,134.457294,1.592056,82.88899993896484,134.4574583333333,1.5921944444444442,88.5,0.650408023347789,0.9365988693668343
SB50220_component_79a,133.222155,-1.426729,82.28399658203125,133.22229166666665,-1.4269444444444443,54.7,1.0446247517774119,1.504277816856147
SB50220_component_80a,134.203808,1.107573,72.01799774169922,134.20387499999998,1.1074444444444442,56.2,0.8898913557584748,1.281459034549808
SB50220_component_83a,131.71245,1.504731,69.42400360107422,131.71274999999997,1.5043611111111108,48.9,0.9859004322620588,1.4197137750730924
SB50220_component_97a,136.356544,2.164691,65.79399871826172,136.35687499999997,2.164638888888889,44.0,1.0384028379440586,1.4953181526877664
SB50220_component_105a,133.980847,0.338533,54.82500076293945,133.981125,0.3384444444444444,54.8,0.6947528687831762,1.0004562183018149
SB50220_component_109a,136.333846,1.51763,58.152000427246094,136.33412499999997,1.517583333333333,40.0,1.0095711432252195,1.4538000106811524
SB50220_component_119a,132.286521,2.106304,46.426998138427734,132.28733333333332,2.1056388888888886,52.4,0.6152782710375371,0.8860114148554912
SB50220_component_129a,132.506894,0.111572,43.96500015258789,132.50674999999998,0.11177777777777777,29.3,1.0420095984734863,1.5005119506002693
SB50220_component_130a,135.635424,1.005298,43.36199951171875,135.63562499999998,1.0053888888888887,29.9,1.0070948444635464,1.4502340973818981
SB50220_component_131a,133.895224,0.86012,43.11199951171875,133.89529166666665,0.860111111111111,31.1,0.9626535960087972,1.3862379264218248
SB50220_component_143a,136.700569,-1.971867,39.92499923706055,136.70054166666665,-1.9720555555555552,25.8,1.074626315501595,1.547480590583742
SB50220_component_144a,135.642105,-1.190188,39.3489990234375,135.642375,-1.1903333333333332,43.0,0.6354735726579176,0.9150930005450582
SB50220_component_148a,131.791717,-0.671338,38.685001373291016,131.79199999999997,-0.6712222222222222,23.8,1.1287504082364657,1.62542022576853
SB50220_component_149a,134.309397,2.172001,37.7869987487793,134.3094583333333,2.1719999999999997,28.2,0.9305196566194981,1.3399644946375637
SB50220_component_151a,131.913405,-0.073102,38.0260009765625,131.91366666666664,-0.07352777777777776,24.2,1.0911828958971677,1.5713223544034092
SB50220_component_152a,135.998024,-1.676096,38.31399917602539,135.99829166666666,-1.6762777777777775,23.4,1.1370351458976558,1.6373503921378374
SB50220_component_153a,133.270677,0.283747,37.768001556396484,133.27104166666666,0.28388888888888886,33.4,0.7852533527349665,1.1307784897124697
SB50220_component_167a,133.474469,-0.227174,35.040000915527344,133.47508333333332,-0.22705555555555554,24.3,1.0013596699609073,1.4419753463179976
SB50220_component_169a,134.961589,-1.379247,34.99399948120117,134.96179166666664,-1.3786944444444442,25.5,0.9529841147255821,1.372313705145144
SB50220_component_170a,134.627706,0.189815,35.11199951171875,134.628,0.18977777777777774,24.2,1.0075635702937042,1.45090907073218
SB50220_component_174a,132.35054,0.298359,36.79600143432617,132.35074999999998,0.2984444444444444,27.8,0.9191535989839492,1.3235971738966248
SB50220_component_178a,131.506335,0.864023,34.500999450683594,131.5065,0.8637777777777776,22.8,1.0508218390139203,1.51320173029314
SB50220_component_190a,134.548937,-2.463365,31.36199951171875,134.54929166666665,-2.4628055555555552,22.7,0.9594230483396964,1.3815858815735134
SB50220_component_191a,135.782472,2.197954,31.141000747680664,135.78283333333331,2.197861111111111,24.2,0.8936129622974054,1.286818212714077
SB50220_component_204a,131.654576,-1.280282,29.274999618530273,131.65504166666665,-1.2800555555555553,20.1,1.0114236430878265,1.4564676427129488
SB50220_component_208a,133.581542,1.385647,28.40399932861328,133.58166666666665,1.3861944444444443,19.1,1.032710011591694,1.4871203836970304
SB50220_component_213a,136.090885,-1.535156,27.30900001525879,136.09099999999998,-1.5354166666666664,18.9,1.003404985117681,1.4449206357279785
SB50220_component_214a,134.181117,1.201841,27.22100067138672,134.18116666666666,1.201833333333333,18.5,1.0217969892746288,1.4714054416965794
SB50220_component_223a,135.677141,-0.537699,26.711000442504883,135.67741666666666,-0.5380833333333332,20.1,0.9228398883045026,1.328905494651984
SB50220_component_225a,135.792242,-0.753624,28.66900062561035,135.79291666666666,-0.7533055555555555,18.5,1.0761506852153788,1.5496757094924514
SB50220_component_244a,131.402564,0.182067,27.625,131.40266666666665,0.1819444444444444,22.6,0.8488405310310251,1.2223451327433628
SB50220_component_245a,132.201625,-0.133899,24.05900001525879,132.20154166666666,-0.13355555555555554,18.8,0.8886934596861967,1.2797340433648292
SB50220_component_246a,135.888823,-2.547629,27.70400047302246,135.88924999999998,-2.5475555555555554,17.0,1.1316856928281371,1.62964708664838
SB50220_component_249a,133.225741,2.038594,23.937000274658203,133.22583333333333,2.03875,19.5,0.8524469755695704,1.2275384756234975
SB50220_component_256a,134.290247,-2.25857,23.809999465942383,134.29049999999998,-2.258583333333333,18.8,0.8794958554842176,1.2664893332948075
SB50220_component_259a,134.642539,0.832779,24.702999114990234,134.64308333333332,0.8327777777777776,23.8,0.7207837494084123,1.037941139285304
SB50220_component_260a,133.910249,0.156599,27.292999267578125,133.91008333333332,0.1564444444444444,19.0,0.9975390906651697,1.4364736456620066
SB50220_component_261a,131.689722,-0.305891,24.680999755859375,131.68966666666665,-0.30599999999999994,16.4,1.0450839077906857,1.5049390095036206
SB50220_component_265a,135.741119,-0.339427,22.636999130249023,135.74112499999998,-0.3393055555555555,15.7,1.001270596066125,1.4418470783598105
SB50220_component_267a,135.561797,1.801487,22.391000747680664,135.561625,1.8013888888888887,17.6,0.8834726256859066,1.272215951572765
SB50220_component_277a,133.790885,-0.851139,22.108999252319336,133.79070833333333,-0.8514722222222221,13.6,1.1289181034054143,1.625661709729363
SB50220_component_286a,133.48481,2.364686,24.01300048828125,133.48479166666664,2.3640277777777774,14.6,1.1421570761701676,1.6447260608411816
SB50220_component_289a,133.683288,-1.567166,22.332000732421875,133.68379166666665,-1.5676666666666665,14.1,1.0998685442744187,1.5838298391788563
SB50220_component_291a,135.485428,1.729422,22.701000213623047,135.48570833333332,1.729083333333333,16.8,0.938356727264897,1.3512500127156575
SB50220_component_295a,135.961882,-1.189174,20.2810001373291,135.96224999999998,-1.189111111111111,23.7,0.5942555997279454,0.8557384024189495
SB50220_component_296a,131.595458,-1.229405,20.02899932861328,131.5957083333333,-1.2295555555555553,14.3,0.9726475011367661,1.4006293236792504
SB50220_component_299a,136.619144,-1.462155,20.236000061035156,136.61895833333332,-1.462722222222222,14.9,0.9431280562500323,1.3581208094654467
SB50220_component_306a,135.896999,-0.425641,19.58799934387207,135.8974583333333,-0.4255555555555555,13.7,0.9928914581668274,1.4297809740052607
SB50220_component_308a,134.520428,1.153816,19.591999053955078,134.52058333333332,1.1536944444444444,20.2,0.6735341841472331,0.9699009432651029
SB50220_component_309a,131.492274,1.774937,19.452999114990234,131.4924583333333,1.7746666666666664,17.9,0.7546851369053107,1.0867597270944267
SB50220_component_310a,134.449015,1.796577,19.231000900268555,134.44904166666666,1.7969999999999997,9.6,1.3911146235731187,2.003229260444641
SB50220_component_311a,132.204874,-2.368529,19.531999588012695,132.20345833333332,-2.3689999999999998,12.1,1.1209689857340683,1.6142148419845204
SB50220_component_318a,136.235015,-2.076007,18.40999984741211,136.23475,-2.0762777777777774,12.0,1.0653806378785506,1.534166653951009
SB50220_component_323a,133.657948,-2.361382,18.208999633789062,133.65758333333332,-2.361222222222222,10.5,1.204284367549673,1.734190441313244
SB50220_component_324a,133.505672,0.161548,18.200000762939453,133.50608333333332,0.16094444444444442,10.8,1.1702533998986293,1.685185255827727
SB50220_component_325a,131.708566,1.550995,18.84600067138672,131.70904166666665,1.5521388888888887,10.7,1.2231161071434606,1.7613084739613758
SB50220_component_328a,136.553307,-2.016642,18.320999145507812,136.55308333333332,-2.0159166666666666,11.4,1.116031785813876,1.6071051882024396
SB50220_component_333a,135.888688,-1.441816,17.93899917602539,135.88929166666665,-1.4420555555555554,13.1,0.9509532676878335,1.369389250078274
SB50220_component_335a,133.073262,0.743077,19.072999954223633,133.07358333333332,0.7426388888888887,12.9,1.0267425451742331,1.4785271282343901
SB50220_component_336a,132.776132,2.2771,17.965999603271484,132.77604166666666,2.276722222222222,12.3,1.0143282826726052,1.4606503742497141
SB50220_component_339a,136.717455,1.190371,17.836999893188477,136.71758333333332,1.1901944444444443,15.4,0.8043283004669647,1.15824674631094
SB50220_component_344a,133.31396,0.384011,17.3439998626709,133.31324999999998,0.3837222222222222,12.6,0.9558967326354205,1.3765079256088015
SB50220_component_349a,131.597134,-0.545839,16.972000122070312,131.597625,-0.5456944444444444,11.5,1.0248668520979118,1.4758260975713315
SB50220_component_354a,131.635048,-1.904677,17.511999130249023,131.6352083333333,-1.9045555555555553,12.3,0.9886962259931891,1.4237397666869125
SB50220_component_355a,133.563362,0.645946,16.27400016784668,133.56324999999998,0.6450833333333332,10.1,1.1189358876219226,1.6112871453313544
SB50220_component_357a,136.546318,1.332029,17.145000457763672,136.54662499999998,1.3323055555555554,10.8,1.1024172657079048,1.587500042385525
SB50220_component_365a,133.06961,0.195473,16.385000228881836,133.06937499999998,0.19513888888888886,12.6,0.9030424531268897,1.3003968435620505
SB50220_component_370a,133.870317,0.225337,15.61299991607666,133.87041666666664,0.22499999999999998,10.1,1.0734881245763073,1.5458415758491744
SB50220_component_372a,133.894678,1.263012,15.385000228881836,133.89487499999998,1.263722222222222,10.3,1.0372717335002974,1.493689342609887
SB50220_component_375a,132.610429,-0.95626,15.520999908447266,132.6099583333333,-0.9567499999999999,17.4,0.619444938846136,0.8920114889912223
SB50220_component_376a,134.045178,-2.014468,16.06800079345703,134.04524999999998,-2.0146666666666664,11.3,0.9874512453303166,1.4219469728723035
SB50220_component_385a,137.14747,1.921372,15.062000274658203,137.14774999999997,1.9214999999999998,15.0,0.6973064027525433,1.0041333516438802
SB50220_component_386a,134.532398,-2.309572,16.305999755859375,134.53249999999997,-2.309972222222222,9.0,1.258163792513516,1.8117777506510417
SB50220_component_387a,136.853472,1.185954,15.187999725341797,136.853875,1.1871388888888887,8.9,1.185066809288831,1.706516823072112
SB50220_component_388a,132.480209,0.884936,15.015000343322754,132.4814583333333,0.8833888888888888,4.0,2.6067393986042595,3.7537500858306885
SB50220_component_389a,133.264578,-0.170716,14.958999633789062,133.26583333333332,-0.17041666666666663,13.4,0.7752290061677537,1.116343256252915
SB50220_component_391a,135.460136,0.914778,14.984000205993652,135.4612083333333,0.9151388888888887,12.1,0.8599528910219869,1.2383471244622855
SB50220_component_392a,134.350951,1.383157,15.720999717712402,134.35091666666665,1.3827777777777777,11.3,0.966126461445907,1.3912389130718938
SB50220_component_394a,133.417413,-0.394936,15.032999992370605,133.41745833333331,-0.3951111111111111,9.8,1.065250734661371,1.533979591058225
SB50220_component_401a,134.979661,-1.638094,14.680999755859375,134.979875,-1.6380555555555554,16.3,0.6254610763380252,0.9006748316478144
SB50220_component_404a,136.684249,-0.389667,14.873000144958496,136.68395833333332,-0.3900555555555555,11.0,0.9389406851771501,1.352090922268954
SB50220_component_406a,134.037885,-0.52639,15.116000175476074,134.03775,-0.5266944444444444,9.8,1.0711321958517523,1.5424489974975584
SB50220_component_411a,132.442453,1.20293,15.001999855041504,132.44266666666664,1.201611111111111,10.0,1.041792958663044,1.5001999855041503
SB50220_component_412a,135.750555,-2.4886,14.631999969482422,135.7505,-2.488361111111111,9.6,1.0584362839577515,1.5241666634877524
SB50220_component_414a,133.069949,-0.183619,14.86400032043457,133.07037499999998,-0.18352777777777776,9.7,1.0641337870429333,1.5323711670551106
SB50220_component_420a,136.614395,0.880731,13.934000015258789,136.614625,0.8804722222222221,16.8,0.5759685709434431,0.8294047628130231
SB50220_component_424a,134.72326,0.034276,15.413999557495117,134.7242083333333,0.033638888888888885,10.6,1.0098148145654668,1.4541509016504828
SB50220_component_429a,132.191344,-0.725834,13.592000007629395,132.1915,-0.7258333333333332,9.3,1.0149220275231692,1.4615053771644508
SB50220_component_431a,136.254346,0.844834,15.583999633789062,136.25479166666665,0.8449166666666665,9.8,1.1042950221034684,1.59020404426419
SB50220_component_436a,135.968519,-2.466227,13.02299976348877,135.96804166666664,-2.465833333333333,8.6,1.0515861129654296,1.5143022980800895
SB50220_component_437a,136.592343,-2.274965,14.819999694824219,136.592875,-2.274361111111111,10.7,0.9618263657456875,1.3850467004508618
SB50220_component_441a,136.979788,-1.902561,12.829000473022461,136.98024999999998,-1.9031666666666665,8.1,1.099866724652518,1.583827218891662
SB50220_component_447a,133.891179,-2.046525,12.427000045776367,133.8914583333333,-2.0460833333333333,7.4,1.166183362046394,1.6793243305103198
SB50220_component_451a,136.134471,2.203597,12.559000015258789,136.13479166666664,2.2036666666666664,8.4,1.038264573467196,1.4951190494355702
SB50220_component_455a,134.319079,2.303394,13.70300006866455,134.31949999999998,2.303583333333333,9.1,1.0456986044376775,1.505824183369731
SB50220_component_457a,135.035953,-0.206351,13.154000282287598,135.03562499999998,-0.20741666666666664,9.7,0.9417125829788245,1.3560825033286183
SB50220_component_458a,132.541856,1.957884,12.677000045776367,132.5415833333333,1.9586111111111109,11.6,0.7589108528215304,1.0928448315324455
SB50220_component_480a,134.959149,-2.004626,11.831999778747559,134.95833333333331,-2.004694444444444,7.5,1.0955422988497554,1.5775999704996744
SB50220_component_485a,131.99994,2.264431,12.137999534606934,132.00016666666664,2.2643611111111106,9.2,0.9162026635285775,1.3193477755007537
SB50220_component_486a,136.951919,1.099974,12.317000389099121,136.95129166666666,1.0999166666666664,8.6,0.9945778083233701,1.4322093475696653
SB50220_component_488a,131.716719,2.154122,13.491000175476074,131.7168333333333,2.1528611111111107,8.8,1.0646178330721976,1.5330682017586448
