Component_ID,RA,DEC,ASKAP_flux,RA_comp,DEC_comp,Comp_flux,Flux_Ratio_AlphaCorr,Flux_Ratio_NOAlphaCorr
SB50413_component_2a,213.663035,-30.428118,1937.336,213.66329,-30.42797,1354.5,1.0430706696654635,1.4302960941825857
SB50413_component_3a,211.648352,-27.604475,1461.251,211.64854,-27.60450,954.2,1.1167942855182784,1.5313885732157828
SB50413_component_5a,210.509914,-28.373671,1255.732,210.51033,-28.37358,1097.1,0.8347156317913986,1.1445921571999478
SB50413_component_9a,214.579054,-29.974250,758.031,214.57929,-29.97417,565.5,0.9775571163749993,1.3404615488229443
SB50413_component_23a,215.384001,-28.055974,264.054,215.38433,-28.05636,187.6,1.0264733393203822,1.4075372366508696
SB50413_component_29a,215.443710,-29.818186,237.063,215.44412,-29.81819,154.7,1.1175352985951106,1.532404677052612
SB50413_component_30a,213.460496,-30.397696,228.627,213.46067,-30.39731,148.3,1.1242791208937741,1.5416520492337638
SB50413_component_31a,212.996936,-29.345977,227.571,212.99696,-29.34597,148.8,1.1153258447100847,1.5293749942574448
SB50413_component_32a,211.812449,-30.249171,217.825,211.81258,-30.24892,139.2,1.141185545671651,1.5648347481913951
SB50413_component_34a,215.992781,-27.435484,192.223,215.99300,-27.43572,138.3,1.0136101901061003,1.3898988228644138
SB50413_component_44a,211.208858,-26.737401,156.917,211.20900,-26.73739,109.3,1.0469781929830762,1.4356542309816016
SB50413_component_52a,213.649462,-27.745526,131.684,213.64975,-27.74531,99.3,0.9671003965905495,1.3261229177976304
SB50413_component_66a,213.246781,-27.126513,107.265,213.24687,-27.12631,71.7,1.091004796252815,1.4960250960899364
SB50413_component_68a,214.369641,-26.531107,102.175,214.36979,-26.53122,85.9,0.8674396637053104,1.1894645291240722
SB50413_component_73a,212.091936,-25.462493,94.490,212.09221,-25.46256,70.8,0.9732857443776373,1.3346044896012645
SB50413_component_86a,215.466503,-25.711893,74.641,215.46646,-25.71175,52.7,1.0328912732137252,1.416337738905731
SB50413_component_87a,212.763322,-29.141044,77.439,212.76358,-29.14083,52.0,1.0860359215169448,1.4892115959754357
SB50413_component_103a,211.166657,-29.067172,68.078,211.16717,-29.06700,44.9,1.105727846871535,1.5162138737124164
SB50413_component_110a,213.700319,-26.282244,66.739,213.70062,-26.28225,48.8,0.9973501183741105,1.3676024264976627
SB50413_component_112a,212.209797,-28.280940,64.456,212.20983,-28.28114,44.9,1.0468990341684297,1.4355456855620998
SB50413_component_121a,211.890307,-25.970733,54.569,211.89025,-25.97094,51.2,0.7772555236106549,1.0658007860183716
SB50413_component_124a,215.151704,-28.740396,54.970,215.15225,-28.74033,37.9,1.0577287706840806,1.4503958105726418
SB50413_component_135a,215.031192,-26.061479,50.584,215.03142,-26.06167,34.1,1.0817989797973364,1.4834017487914681
SB50413_component_138a,212.428395,-25.648220,48.632,212.42867,-25.64822,36.4,0.9743355020872059,1.3360439552055612
SB50413_component_140a,215.633257,-28.496962,50.162,215.63400,-28.49733,33.7,1.0855072115075866,1.488486609756062
SB50413_component_149a,214.446930,-27.310801,45.844,214.44742,-27.31078,29.8,1.1218997142870744,1.5383893211415949
SB50413_component_156a,215.393943,-27.019357,42.997,215.39471,-27.01967,28.7,1.092556878733755,1.498153367524363
SB50413_component_167a,215.361143,-30.332954,38.092,215.36158,-30.33267,26.0,1.0684352250749098,1.46507688669058
