Component_ID,RA,DEC,ASKAP_flux,RA_comp,DEC_comp,Comp_flux,Flux_Ratio_AlphaCorr,Flux_Ratio_NOAlphaCorr
SB50425_component_10a,130.631816,-4.8047,284.8949890136719,130.63233333333332,-4.80461111111111,208.8,0.9475160539919936,1.3644396025558998
SB50425_component_12a,128.589876,-5.040401,248.76100158691406,128.58999999999997,-5.040444444444444,163.2,1.058508630006813,1.5242708430570715
SB50425_component_13a,126.776388,-3.974986,227.3820037841797,126.77683333333331,-3.974916666666666,154.5,1.022021110272587,1.4717281798328783
SB50425_component_14a,128.476238,-4.570777,243.16400146484375,128.4764583333333,-4.570888888888888,168.2,1.0039348973612885,1.4456837185781437
SB50425_component_15a,130.363043,-3.890129,201.87899780273438,130.363125,-3.8899999999999997,133.5,1.0501277504824262,1.5122022307320926
SB50425_component_17a,126.965104,-4.93853,189.43600463867188,126.96529166666664,-4.938472222222222,127.7,1.030158117559133,1.483445611892497
SB50425_component_20a,129.026827,-4.490704,193.2239990234375,129.0269583333333,-4.490722222222222,123.7,1.0847349352202245,1.562037178847514
SB50425_component_22a,131.796634,-5.138002,186.71499633789062,131.797,-5.138111111111111,117.8,1.1006929146355242,1.5850169468411768
SB50425_component_23a,128.722584,-4.286489,167.04200744628906,128.72279166666664,-4.286444444444444,141.0,0.8226949827020801,1.1846950882715537
SB50425_component_25a,130.431978,-3.889904,162.49200439453125,130.43212499999998,-3.889722222222222,119.4,0.9450611925834967,1.3609045594181846
SB50425_component_26a,130.02335,-6.814984,156.01699829101562,130.0234583333333,-6.814722222222222,158.3,0.6844209014787082,0.985578005628652
SB50425_component_30a,127.118557,-4.847453,144.48699951171875,127.11879166666665,-4.847583333333333,101.2,0.9914721526202901,1.427737149325284
SB50425_component_36a,131.217382,-5.398924,134.94500732421875,131.21741666666665,-5.399027777777777,88.7,1.0564901740686352,1.5213642313891629
SB50425_component_37a,131.544465,-3.48571,131.21400451660156,131.54449999999997,-3.485805555555555,89.6,1.0169613345023816,1.4644420146942139
SB50425_component_43a,130.751305,-6.657687,128.58900451660156,130.75145833333332,-6.657472222222221,80.9,1.103792842135424,1.5894808963733196
SB50425_component_49a,129.790794,-4.67262,108.71499633789062,129.791125,-4.672583333333333,81.1,0.9308953527138932,1.3405055035498228
SB50425_component_54a,128.514619,-4.155258,109.57499694824219,128.51475,-4.155138888888889,69.5,1.0948608422400605,1.5766186611257869
SB50425_component_59a,126.29961,-4.837339,102.21600341796875,126.29987499999999,-4.837166666666666,101.7,0.6979594700547223,1.0050737799210299
SB50425_component_60a,131.015262,-5.482763,99.26300048828125,131.01554166666665,-5.48286111111111,65.4,1.0540031559877927,1.517782882083811
SB50425_component_62a,127.707288,-6.605588,100.72799682617188,127.70729166666665,-6.605583333333333,127.6,0.5481908517093839,0.7894043638414724
SB50425_component_63a,129.523563,-4.490108,97.00199890136719,129.52399999999997,-4.489972222222222,68.1,0.9891583756345902,1.424405270210972
SB50425_component_70a,129.616384,-3.323662,84.8290023803711,129.6162083333333,-3.3233611111111108,60.1,0.9801716756590781,1.4114642658963577
SB50425_component_74a,129.175182,-4.461099,81.28800201416016,129.17524999999998,-4.461138888888888,57.7,0.9783244260721359,1.4088041943528622
SB50425_component_76a,128.309119,-4.08369,84.66699981689453,128.309125,-4.083555555555555,58.1,1.011976201138314,1.4572633359190108
SB50425_component_79a,130.250874,-5.488277,80.95800018310547,130.25091666666665,-5.488388888888888,56.6,0.9932889437257554,1.4303533601255383
SB50425_component_84a,129.979576,-7.057709,69.8290023803711,129.97979166666664,-7.057305555555555,49.2,0.9856052213805782,1.4192886662677051
SB50425_component_87a,131.47259,-2.68361,67.4520034790039,131.47254166666664,-2.683472222222222,54.9,0.8532077077172103,1.2286339431512552
SB50425_component_95a,130.103924,-6.371595,63.09400177001953,130.10412499999998,-6.371333333333332,38.9,1.126343178459016,1.6219537730082143
SB50425_component_99a,131.574413,-4.646615,62.141998291015625,131.57491666666664,-4.646999999999999,37.7,1.1446589947579,1.6483288671356928
SB50425_component_100a,130.694635,-4.528456,60.63199996948242,130.695125,-4.528333333333332,40.8,1.0319864418112408,1.4860784306245693
SB50425_component_101a,126.995265,-7.15826,59.81100082397461,126.99533333333332,-7.1579999999999995,42.4,0.9795970617611073,1.4106368118861936
SB50425_component_103a,127.079567,-4.127676,61.948001861572266,127.07999999999998,-4.127694444444444,46.0,0.9351940432033267,1.3466956926428753
SB50425_component_104a,127.27733,-2.866643,65.04399871826172,127.27737499999998,-2.8666388888888887,43.3,1.0431616126738863,1.5021708710914947
SB50425_component_109a,127.830166,-5.643562,58.42900085449219,127.82987499999999,-5.643527777777777,34.6,1.1726937807155386,1.6886994466616239
SB50425_component_115a,129.668366,-2.106043,60.981998443603516,129.66812499999997,-2.105972222222222,41.5,1.0204361056697422,1.4694457456290004
SB50425_component_125a,128.458048,-2.658876,48.08700180053711,128.45779166666665,-2.6586111111111106,47.1,0.708988275916808,1.020955452240703
SB50425_component_128a,128.27232,-6.339389,48.18600082397461,128.272,-6.338555555555555,34.7,0.9643255414092702,1.3886455568868763
