Component_ID,RA,DEC,ASKAP_flux,RA_comp,DEC_comp,Comp_flux,Flux_Ratio_AlphaCorr,Flux_Ratio_NOAlphaCorr
SB51434_component_5a,319.610437,-0.446531,333.608,319.61050,-0.44661,237.8,1.0230865833008065,1.402893194739211
SB51434_component_6a,319.480101,-2.215546,350.586,319.48004,-2.21567,234.9,1.0884270629029509,1.4924904152199074
SB51434_component_9a,314.299257,0.857193,264.147,314.29942,0.85731,176.8,1.0895601430829513,1.4940441355985752
SB51434_component_11a,317.149788,1.759026,253.190,317.14979,1.75908,174.1,1.060560780091525,1.454279163936854
SB51434_component_13a,319.590705,-2.096910,224.364,319.59083,-2.09722,136.5,1.1986939144666708,1.6436922960665636
SB51434_component_14a,316.940619,0.197249,207.161,316.94096,0.19728,152.7,0.9893654339949458,1.3566535395114503
SB51434_component_23a,316.262754,-1.015721,173.055,316.26279,-1.01575,131.5,0.9597235711282427,1.3160075488652567
SB51434_component_24a,314.158903,-2.085807,171.575,314.15962,-2.08558,122.9,1.0180987349832358,1.3960536773656809
SB51434_component_38a,314.771287,0.845537,113.335,314.77142,0.84556,74.1,1.1154076489153373,1.5294871671318848
SB51434_component_42a,317.157571,-0.998979,116.419,317.15750,-0.99892,86.0,0.9872182820790137,1.3537092874216479
SB51434_component_44a,314.778723,1.310368,102.220,314.77875,1.31044,71.4,1.044059984370782,1.431652678161108
SB51434_component_49a,316.617189,2.527016,93.624,316.61729,2.52706,81.8,0.8346831988464589,1.1445476839769733
SB51434_component_56a,314.070289,-1.919393,86.868,314.07058,-1.91939,61.9,1.023427153848062,1.4033601973476626
SB51434_component_58a,315.247388,-1.228834,83.609,315.24737,-1.22856,57.6,1.0585669549325316,1.4515451590220134
SB51434_component_59a,316.557390,0.338215,84.102,316.55762,0.33811,57.2,1.0722549560252725,1.4703146394316133
SB51434_component_62a,318.321266,2.450637,86.132,318.32117,2.45086,61.5,1.0213561678683702,1.400520386734629
SB51434_component_63a,315.872477,0.251150,91.751,315.87271,0.25128,58.4,1.1457391085485638,1.571078757717185
SB51434_component_64a,315.457646,2.265591,83.647,315.45767,2.26603,59.4,1.0269557289018183,1.4081987066301032
SB51434_component_68a,317.788873,-2.521626,86.779,317.78896,-2.52158,56.5,1.1200927105852623,1.535911492541828
SB51434_component_80a,314.760138,2.237779,67.902,314.76021,2.23769,47.5,1.042501624153484,1.4295157984683389
SB51434_component_82a,317.883190,-0.951922,74.402,317.88308,-0.95164,57.4,0.9452800688744841,1.2962020980356463
SB51434_component_85a,319.678770,1.335295,64.811,319.67879,1.33542,45.7,1.0342375061292564,1.418183741997316
SB51434_component_94a,315.936748,0.900492,62.862,315.93704,0.90042,59.8,0.7666105431818678,1.051204005212688
SB51434_component_95a,316.142249,1.849415,61.970,316.14233,1.84969,39.4,1.1470254755984286,1.5728426705762215
SB51434_component_96a,317.774960,-0.486686,58.448,317.77521,-0.48694,38.4,1.1100082974500614,1.5220833818117778
SB51434_component_98a,314.860459,0.447519,58.680,314.86037,0.44756,47.2,0.9066421166520372,1.2432203454486395
SB51434_component_120a,318.607125,-1.473363,47.510,318.60712,-1.47319,35.4,0.9787449492468225,1.3420903480659097
SB51434_component_121a,315.668995,-0.028317,50.383,315.66929,-0.02825,30.8,1.192946817429701,1.6358116694859095
SB51434_component_124a,319.217974,2.375804,47.138,319.21800,2.37614,49.6,0.6930702560072819,0.9503629130701865
SB51434_component_129a,318.752768,2.067334,43.640,318.75287,2.06728,28.9,1.1012214799318598,1.5100345809566935
SB51434_component_142a,319.618874,0.343612,41.432,319.61900,0.34342,38.6,0.7827739528631117,1.0733678550917867
SB51434_component_143a,314.940354,-1.502978,40.099,314.94021,-1.50281,28.4,1.0296816481411235,1.4119365853323065
SB51434_component_145a,315.656923,-2.371465,40.836,315.65704,-2.37133,34.6,0.8607060618158119,1.1802311715363079
SB51434_component_147a,316.519763,1.131735,39.379,316.51979,1.13158,26.1,1.1003021833341202,1.5087740083307142
SB51434_component_151a,314.157570,-1.594897,42.524,314.15796,-1.59475,28.7,1.0805378289205734,1.4816724132577717
SB51434_component_155a,318.581258,1.542452,36.797,318.58129,1.54256,28.5,0.9415759217997772,1.2911228380705182
SB51434_component_161a,319.174108,0.827250,34.957,319.17433,0.82761,24.6,1.0363031956652353,1.4210162899358485
SB51434_component_163a,318.867776,1.112681,34.593,318.86754,1.11267,25.8,0.9778140719213015,1.3408138955286306
SB51434_component_172a,318.552428,2.177897,32.222,318.55229,2.17814,25.8,0.9107948575370062,1.248914733413578
SB51434_component_177a,315.020010,1.000887,31.227,315.02004,1.00086,24.1,0.9449329464966897,1.2957261113210337
SB51434_component_178a,317.351540,0.748299,33.941,317.35179,0.74808,28.9,0.8564748133988994,1.1744291312141815
SB51434_component_184a,317.804385,0.362740,29.604,317.80458,0.36256,21.9,0.985811914927379,1.3517808260982984
SB51434_component_194a,316.017397,0.492965,29.017,316.01771,0.49331,22.1,0.9575203657991089,1.3129864343151247
SB51434_component_195a,314.294385,2.004426,30.960,314.29450,2.00422,24.3,0.9291427584500189,1.2740740363980516
SB51434_component_203a,319.510622,-1.843336,30.030,319.51058,-1.84306,20.8,1.0528822108150953,1.4437500330118032
SB51434_component_208a,318.891171,-2.490086,28.622,318.89142,-2.49003,17.5,1.1927507700986097,1.6355428423200336
SB51434_component_209a,315.184334,1.384642,26.914,315.18417,1.38492,17.2,1.1411364424859052,1.564767416133437
SB51434_component_210a,316.474673,-2.061931,26.721,316.47487,-2.06178,14.4,1.3532499095135608,1.8556250466240776
SB51434_component_212a,314.239168,-1.282669,26.348,314.23958,-1.28239,18.2,1.0557571725950912,1.4476922842172477
SB51434_component_213a,317.500888,-1.620321,26.431,317.50108,-1.62033,21.7,0.8882631339019602,1.2180184219290036
SB51434_component_215a,314.921318,-0.602954,25.787,314.92112,-0.60244,18.4,1.0220468149936193,1.4014674269634746
SB51434_component_219a,319.737476,1.929658,25.371,319.73754,1.93008,18.4,1.0055589785448684,1.3788587114085322
SB51434_component_221a,317.843450,1.916264,25.018,317.84421,1.91611,16.0,1.1403032977647312,1.5636249780654907
SB51434_component_226a,314.417272,-1.188274,24.498,314.41746,-1.18800,16.6,1.076242923247857,1.4757830838122998
SB51434_component_230a,314.539567,-0.642275,23.963,314.53958,-0.64225,19.3,0.9054649583936407,1.2416061836203145
SB51434_component_239a,317.523241,0.448709,24.038,317.52329,0.44853,14.7,1.192528532783495,1.6352381025041853
SB51434_component_243a,319.600876,0.386590,22.614,319.60096,0.38544,14.2,1.161386652439826,1.5925352338334204
SB51434_component_244a,317.211686,0.151958,22.627,317.21179,0.15200,15.0,1.1000780878897427,1.5084667205810547
