Component_ID,RA,DEC,ASKAP_flux,RA_comp,DEC_comp,Comp_flux,Flux_Ratio_AlphaCorr,Flux_Ratio_NOAlphaCorr
SB51964_component_2a,336.485657,-5.126228,809.021,336.48579,-5.12642,560.9,1.0518701567116586,1.4423622679510608
SB51964_component_12a,338.496507,-2.459515,220.280,338.49667,-2.45978,153.4,1.04721893613715,1.435984346670775
SB51964_component_34a,336.600995,-6.536846,149.203,336.60112,-6.53689,97.9,1.1114313766083415,1.5240347592409345
SB51964_component_44a,337.235550,-6.996519,136.934,337.23567,-6.99625,88.5,1.1283811511715272,1.5472769009864937
SB51964_component_57a,337.094282,-2.411917,101.787,337.09450,-2.41206,68.2,1.0884180405560946,1.4924780434527354
SB51964_component_62a,336.310293,-5.622610,93.414,336.31054,-5.62272,68.6,0.9930603474258972,1.3617201379714834
SB51964_component_81a,336.792513,-5.357447,78.547,336.79333,-5.35753,44.9,1.27576600680375,1.7493763267330178
SB51964_component_90a,337.681111,-2.198889,70.717,337.68125,-2.19917,46.8,1.101959856737168,1.511047069842999
SB51964_component_111a,340.321361,-3.045924,61.537,340.32137,-3.04544,45.4,0.9884808026098956,1.355440501074434
SB51964_component_115a,337.879075,-7.097800,63.506,337.87900,-7.09739,36.8,1.258504360952064,1.7257065358369248
SB51964_component_117a,340.160813,-3.332688,58.257,340.16067,-3.33281,36.4,1.1671710674243136,1.600467032128638
SB51964_component_126a,336.295897,-6.995338,56.685,336.29604,-6.99522,32.8,1.2603236870722219,1.7282012613808238
SB51964_component_133a,338.914615,-2.678237,49.627,338.91529,-2.67794,38.1,0.9499064094196458,1.3025459029230233
SB51964_component_138a,335.763087,-6.289992,47.181,335.76304,-6.28981,28.9,1.1905758731091205,1.6325605451854457
SB51964_component_147a,339.930974,-5.867210,45.090,339.93092,-5.86714,38.3,0.8585572178773843,1.1772845992842793
SB51964_component_150a,336.397094,-5.867429,44.479,336.39733,-5.86744,38.8,0.8360092271241986,1.1463659817410499
SB51964_component_159a,338.274640,-4.258406,40.700,338.27475,-4.25836,28.0,1.060044670466992,1.4535714558192663
SB51964_component_172a,341.110384,-3.235574,39.134,341.11050,-3.23544,27.0,1.057007928351314,1.4494073655870225
SB51964_component_173a,339.117384,-5.984440,36.159,339.11733,-5.98425,25.1,1.0505832574964094,1.4405976253676698
SB51964_component_178a,340.917772,-5.277651,35.416,340.91771,-5.27736,50.9,0.5074222561672732,0.695795684994321
SB51964_component_194a,337.717307,-6.009418,32.913,337.71729,-6.00958,21.6,1.1112236497174992,1.5237499166418005
SB51964_component_198a,338.857573,-3.195349,31.957,338.85796,-3.19569,26.4,0.8827746769729394,1.2104924519856772
SB51964_component_204a,341.118773,-4.812243,31.371,341.11887,-4.81250,20.1,1.138203954616117,1.5607462830804473
SB51964_component_208a,341.342868,-4.872444,32.460,341.34321,-4.87222,22.0,1.0760033000443208,1.4754545038396663
