Component_ID,RA,DEC,ASKAP_flux,RA_comp,DEC_comp,Comp_flux,Flux_Ratio_AlphaCorr,Flux_Ratio_NOAlphaCorr
SB53183_component_6a,31.569520,-5.889264,555.678,31.56942,-5.88961,405.0,1.0005895058831829,1.372044391396605
SB53183_component_17a,32.378256,-4.640511,237.005,32.37825,-4.64075,218.1,0.7924824120457373,1.0866804442128037
SB53183_component_22a,30.439905,-4.322775,217.973,30.43979,-4.32275,136.8,1.161995374666082,1.5933699356882194
SB53183_component_24a,32.550678,-5.091901,191.860,32.55050,-5.09219,117.9,1.186747750809037,1.6273112859232532
SB53183_component_39a,30.666292,-3.035407,120.599,30.66612,-3.03581,158.7,0.5541847328178919,0.75991807828253
SB53183_component_40a,31.128095,-5.586720,115.556,31.12812,-5.58697,76.4,1.103028976804211,1.5125130858096776
SB53183_component_44a,33.605026,-5.928420,101.372,33.60496,-5.92864,66.9,1.1050442906385094,1.5152765567705413
SB53183_component_45a,34.169835,-4.734511,101.285,34.16937,-4.73464,88.3,0.8365120963248455,1.147055534112224
SB53183_component_46a,33.708622,-5.698583,104.887,33.70846,-5.69875,76.0,1.0064584644623409,1.3800921189157587
SB53183_component_51a,34.273022,-4.381350,95.271,34.27287,-4.38161,68.7,1.0113274250477033,1.3867686131462085
SB53183_component_54a,34.575696,-4.768499,94.028,34.57546,-4.76886,61.8,1.1095745933825951,1.5214886711639108
SB53183_component_56a,30.439367,-3.919270,96.533,30.43921,-3.91922,58.9,1.1952211686080687,1.638930341788585
SB53183_component_61a,33.009124,-5.383425,85.817,33.00904,-5.38364,58.0,1.0790290136832492,1.4796034714271282
SB53183_component_62a,33.941773,-3.597410,84.586,33.94162,-3.59775,69.0,0.893999283320994,1.225884036741395
SB53183_component_63a,33.750654,-4.054039,84.664,33.75054,-4.05447,61.0,1.0121776339565942,1.3879344502433402
SB53183_component_72a,29.948307,-7.016625,74.863,29.94821,-7.01697,48.1,1.1350367550070701,1.5564033048316495
SB53183_component_80a,30.929414,-6.260174,71.338,30.92929,-6.26033,72.4,0.7185717322107842,0.9853314563055723
SB53183_component_82a,31.022467,-4.141180,74.470,31.02246,-4.14136,48.1,1.1290783124166603,1.5482328736112916
SB53183_component_92a,29.653760,-3.341459,62.154,29.65358,-3.34186,42.1,1.0766505430736497,1.4763420268079164
SB53183_component_100a,33.057269,-5.833161,60.812,33.05712,-5.83328,38.3,1.15791930788833,1.5877806860224075
SB53183_component_101a,30.861408,-2.951547,59.787,30.86150,-2.95194,38.5,1.1324885092487378,1.552909058409852
SB53183_component_102a,34.988965,-4.797714,60.689,34.98879,-4.79797,40.6,1.0901135122692533,1.4948029353700834
SB53183_component_106a,30.906343,-2.355516,55.561,30.90637,-2.35594,46.8,0.8657888488554877,1.1872008723071499
SB53183_component_109a,29.524423,-3.757075,53.661,29.52396,-3.75711,80.5,0.4861280226606677,0.6665962645726174
SB53183_component_110a,33.172746,-5.786913,53.708,33.17262,-5.78697,37.1,1.0557299761403598,1.4476549914583683
SB53183_component_115a,32.199021,-5.272068,52.519,32.19879,-5.27217,32.0,1.1968900568347776,1.6412187814712524
SB53183_component_117a,33.397212,-5.268910,50.150,33.39687,-5.26881,32.6,1.1218663749844582,1.53834360508831
SB53183_component_122a,30.002761,-6.965050,48.687,30.00262,-6.96508,31.4,1.1307618565643205,1.550541410020962
SB53183_component_127a,34.392367,-3.218638,51.310,34.39254,-3.21894,32.8,1.1408169453610875,1.5643293101613116
SB53183_component_129a,30.134067,-2.366884,47.689,30.13408,-2.36719,34.9,0.9965074781066442,1.3664469677944238
SB53183_component_134a,33.622154,-5.295670,45.496,33.62196,-5.29600,41.4,0.80142085475853,1.0989371589992358
SB53183_component_135a,30.697963,-7.191022,46.834,30.69779,-7.19103,32.7,1.0444827609935836,1.4322324047030293
SB53183_component_138a,33.447456,-3.712750,47.331,33.44737,-3.71331,32.9,1.049149975765769,1.4386322578035953
SB53183_component_140a,29.348269,-6.680117,44.772,29.34812,-6.68028,39.0,0.8372008540790915,1.147999983567458
SB53183_component_142a,34.332510,-3.433540,49.000,34.33237,-3.43403,30.4,1.1754665561697388,1.611842105263158
SB53183_component_144a,33.298948,-5.017083,43.099,33.29883,-5.01733,31.3,1.0041778258302587,1.376964825029952
SB53183_component_145a,31.348031,-6.701333,44.079,31.34775,-6.70144,23.5,1.3678914587576774,1.8757020666244182
SB53183_component_150a,32.791627,-6.763779,39.785,32.79117,-6.76428,30.1,0.9639192334657763,1.3217607922728274
SB53183_component_161a,34.144445,-3.185633,36.064,34.14412,-3.18578,38.7,0.6795958220533599,0.9318862836182271
SB53183_component_165a,34.018220,-6.749389,34.670,34.01792,-6.74975,30.2,0.8372104810392375,1.1480131844021626
SB53183_component_174a,29.388070,-5.812118,34.052,29.38783,-5.81222,22.8,1.0891696593871023,1.4935086902819181
SB53183_component_183a,29.566467,-3.608144,31.635,29.56617,-3.60822,24.7,0.9340253632269421,1.2807692400357018
SB53183_component_185a,32.820857,-6.738691,30.986,32.82058,-6.73950,21.2,1.0659023932894665,1.4616037764639225
SB53183_component_186a,30.336692,-5.982113,33.457,30.33692,-5.98217,20.8,1.173036300131019,1.6085096505972054
SB53183_component_187a,33.020867,-5.208927,30.532,33.02062,-5.20908,22.0,1.0120928293361724,1.387818163091486
SB53183_component_191a,29.565306,-6.118486,29.483,29.56529,-6.11936,19.7,1.0914233081616167,1.496598974702322
SB53183_component_196a,29.344820,-6.808208,30.247,29.34479,-6.80836,21.2,1.040481164068486,1.4267452707830466
SB53183_component_197a,33.064059,-5.501995,30.858,33.06408,-5.50178,21.3,1.0565156859406952,1.4487323850533211
SB53183_component_200a,30.940246,-7.026037,28.052,30.94033,-7.02581,15.6,1.3113753424639665,1.7982051311395109
SB53183_component_210a,33.636638,-6.833763,26.073,33.63596,-6.83306,13.9,1.367930347588067,1.8757553923901893
SB53183_component_213a,33.766728,-5.360215,25.931,33.76654,-5.36094,18.9,1.0005648403241272,1.3720105690930888
SB53183_component_214a,32.967514,-3.018717,28.648,32.96754,-3.01775,17.8,1.1737134934902749,1.609438242537252
SB53183_component_217a,34.045488,-4.434897,26.191,34.04508,-4.43539,24.1,0.7925429710077443,1.0867634848440335
SB53183_component_220a,30.474836,-2.846368,26.340,30.47500,-2.84628,18.8,1.0217524899845154,1.401063837903611
SB53183_component_225a,32.017872,-6.658267,24.876,32.01750,-6.65947,14.4,1.2598122510338592,1.7274999618530273
SB53183_component_226a,29.705901,-2.532996,26.175,29.70621,-2.53294,18.5,1.0318171216904208,1.4148648236248944
SB53183_component_234a,32.433726,-3.069370,24.183,32.43379,-3.06956,18.2,0.9690062515153157,1.3287362947568788
SB53183_component_248a,34.742373,-4.155997,23.148,34.74212,-4.15600,17.8,0.9483775519727556,1.3004494784923082
SB53183_component_259a,31.681724,-2.568938,21.697,31.68162,-2.56903,17.9,0.883963736424265,1.2121229331586616
SB53183_component_263a,34.113141,-3.754289,21.316,34.11267,-3.75447,11.9,1.3063108400594923,1.7912605029194295
SB53183_component_268a,34.259978,-6.057283,21.337,34.26000,-6.05856,9.8,1.5877973040745241,2.1772448870600485
SB53183_component_269a,33.554873,-3.368356,22.679,33.55467,-3.36867,15.3,1.080986492952828,1.482287637548509
SB53183_component_275a,31.777472,-6.859122,20.971,31.77700,-6.85961,17.2,0.8891570741982655,1.2192442250806232
SB53183_component_279a,31.422880,-5.677409,21.020,31.42283,-5.67714,12.2,1.2564947298138567,1.7229508571937437
SB53183_component_283a,34.730513,-2.962726,21.194,34.73071,-2.96311,12.0,1.2880106968445473,1.7661666870117188
SB53183_component_287a,30.883791,-6.097278,19.770,30.88392,-6.09822,10.0,1.4417649394862722,1.9770000457763672
SB53183_component_289a,33.831764,-6.760879,18.978,33.83217,-6.76114,12.8,1.0812553471170443,1.4826563000679016
SB53183_component_292a,29.345976,-3.773301,19.234,29.34504,-3.77422,15.2,0.9228131780610263,1.265394687652588
SB53183_component_293a,31.635021,-5.046673,20.605,31.63504,-5.04714,13.5,1.1130806208533093,1.5262962623878762
SB53183_component_294a,33.397918,-3.403451,19.536,33.39758,-3.40350,12.6,1.130714253343888,1.5504761347695002
SB53183_component_295a,31.967442,-2.595534,18.727,31.96717,-2.59589,12.7,1.0753559781029087,1.474566872664324
SB53183_component_297a,30.681697,-2.908882,18.561,30.68183,-2.90853,13.4,1.0101465211935456,1.3851493152219858
SB53183_component_298a,32.515399,-2.239457,18.684,32.51483,-2.23936,13.2,1.0322471884101927,1.4154545466105144
SB53183_component_301a,32.612884,-3.673778,18.236,32.61267,-3.67381,12.2,1.090077900598372,1.4947541033635374
SB53183_component_316a,29.517291,-4.435816,18.192,29.51696,-4.43561,14.6,0.9086891844513547,1.24602735859074
SB53183_component_326a,34.752680,-3.932178,17.753,34.75262,-3.93272,13.7,0.9450155899427082,1.295839434992658
SB53183_component_329a,30.971280,-5.575815,16.295,30.97171,-5.57622,11.8,1.0070711167813784,1.380932209855419
SB53183_component_333a,31.265937,-6.724626,16.069,31.26737,-6.72519,9.0,1.3020693884202914,1.7854444715711806
SB53183_component_340a,32.436145,-3.742668,16.791,32.43667,-3.74378,11.6,1.055616968690165,1.4475000315699085
SB53183_component_344a,34.483575,-7.030286,15.483,34.48375,-7.03081,8.7,1.2978474151127557,1.779655149613304
SB53183_component_347a,29.837572,-2.554813,15.254,29.83808,-2.55525,10.6,1.0494594182009516,1.4390565764229253
SB53183_component_356a,30.515796,-5.492270,15.246,30.51537,-5.49350,8.5,1.3080513062833319,1.7936470929314108
SB53183_component_360a,30.907220,-5.448733,14.963,30.90700,-5.44897,11.8,0.9247502515800732,1.2680508726734225
SB53183_component_363a,30.961514,-6.269997,14.569,30.96146,-6.26942,8.6,1.2354326657143058,1.6940697958303053
SB53183_component_364a,33.901428,-5.528481,16.114,33.90146,-5.52878,9.1,1.2913672152242444,1.770769265981821
SB53183_component_366a,31.452555,-4.914682,15.839,31.45279,-4.91553,9.5,1.2158833950840984,1.6672631313926296
SB53183_component_371a,34.898986,-4.311334,14.537,34.89829,-4.31219,10.2,1.039351364764753,1.4251960492601583
SB53183_component_372a,33.476736,-6.008086,14.750,33.47646,-6.00833,11.1,0.9690737337497903,1.3288288288288288
SB53183_component_375a,29.443800,-4.691565,14.132,29.44379,-4.69228,9.0,1.145114461251515,1.5702222188313801
SB53183_component_377a,33.494141,-5.143367,14.205,33.49387,-5.14336,8.1,1.2789218220145853,1.7537036942846982
SB53183_component_381a,30.434426,-2.409200,15.932,30.43529,-2.40894,10.1,1.1503677797156613,1.577425758437355
SB53183_component_385a,33.220827,-6.310477,14.491,33.22083,-6.31058,10.2,1.0360625381759645,1.4206862917133407
SB53183_component_386a,34.428318,-3.914006,14.652,34.42937,-3.91533,7.4,1.4439527553493112,1.9800000577359584
SB53183_component_389a,31.332873,-2.551483,13.363,31.33250,-2.55111,9.2,1.0592632842502065,1.452499990877898
SB53183_component_394a,31.468860,-4.122936,13.941,31.46900,-4.12233,10.1,1.0066078984551112,1.3802970281921991
SB53183_component_398a,32.169086,-6.256899,14.110,32.16942,-6.25650,10.3,0.9990277673891703,1.3699028792890529
SB53183_component_399a,34.376013,-2.356489,13.988,34.37504,-2.35583,8.9,1.1461815021949509,1.5716853838288383
SB53183_component_402a,33.283612,-2.205406,13.944,33.28367,-2.20489,10.8,0.9415673861768392,1.2911111337167245
SB53183_component_403a,34.208694,-6.598718,14.455,34.20837,-6.59900,8.8,1.197907275010387,1.6426136276938696
SB53183_component_404a,34.600258,-4.884512,13.347,34.59992,-4.88386,8.7,1.118799317307265,1.5341379450655532
SB53183_component_406a,34.212270,-2.256207,13.376,34.21162,-2.25636,11.6,0.8409226783450442,1.1531034831343026
SB53183_component_407a,30.413009,-6.881283,13.020,30.41392,-6.88161,8.6,1.1040794566261105,1.513953541600427
SB53183_component_408a,33.123169,-4.094375,13.342,33.12300,-4.09519,12.6,0.7722148914190096,1.0588888894943964
SB53183_component_410a,33.582715,-3.834367,13.173,33.58308,-3.83417,8.4,1.1436501669247248,1.5682143256777807
SB53183_component_411a,31.706930,-2.220105,13.396,31.70654,-2.21908,8.7,1.1229066767921942,1.539770104419226
SB53183_component_412a,34.242116,-2.348079,13.711,34.24387,-2.34911,8.7,1.149311290505528,1.5759770623568832
SB53183_component_418a,29.729267,-6.575082,12.402,29.72996,-6.57567,9.8,0.9228974524107666,1.2655102476781728
SB53183_component_420a,31.472216,-3.057242,12.880,31.47237,-3.05758,7.9,1.1889854949388436,1.630379761321635
SB53183_component_421a,34.931300,-5.272471,13.907,34.93087,-5.27269,8.7,1.165740728445245,1.5985056997715743
SB53183_component_423a,33.951419,-6.239793,12.567,33.95137,-6.24133,8.6,1.0656656277414491,1.4612791150115259
SB53183_component_429a,30.928037,-3.291332,13.086,30.92858,-3.29117,7.9,1.2080019079702444,1.6564557522158079
SB53183_component_430a,33.855571,-4.598689,13.926,33.85612,-4.59967,8.7,1.1673333894615596,1.6006896139561446
SB53183_component_432a,32.860883,-5.714827,13.372,32.86142,-5.71522,9.4,1.0374239902719646,1.4225531638936793
SB53183_component_438a,30.008717,-3.992686,12.335,30.00883,-3.99292,9.4,0.9569716727353544,1.31223404661138
SB53183_component_442a,30.980817,-6.804691,12.087,30.98158,-6.80392,8.2,1.0749603529657938,1.474024377218107
SB53183_component_443a,33.538640,-7.138951,12.417,33.53879,-7.13981,8.9,1.0174532162046523,1.3951685187521945
SB53183_component_450a,33.415808,-7.145098,12.885,33.41529,-7.14611,11.3,0.8315603397088981,1.1402655069806933
SB53183_component_451a,30.296039,-2.676266,12.712,30.29687,-2.67619,9.0,1.0300520054169637,1.4124444325764973
SB53183_component_452a,33.025671,-3.896543,12.975,33.02521,-3.89667,8.9,1.063175973508601,1.4578652114010928
SB53183_component_456a,30.742597,-6.600317,11.486,30.74300,-6.59956,7.7,1.0878421194054502,1.4916883196149553
SB53183_component_457a,34.342747,-4.450371,11.687,34.34287,-4.44975,8.0,1.0653709442095436,1.4608750343322754
SB53183_component_459a,29.968957,-6.704225,11.497,29.96929,-6.70550,8.7,0.9637248327881582,1.3214942230575388
SB53183_component_461a,29.678215,-3.374693,12.252,29.67758,-3.37539,7.1,1.2584513041225998,1.725633782400212
SB53183_component_462a,31.624884,-7.124041,11.888,31.62479,-7.12589,7.1,1.2210633933021928,1.6743661316347795
SB53183_component_466a,32.228985,-5.422516,11.970,32.22825,-5.42319,9.8,0.8907500702489595,1.2214285986764088
SB53183_component_471a,34.509499,-3.691336,12.073,34.50792,-3.69331,6.7,1.3140992794285458,1.801940291675169
SB53183_component_472a,31.875366,-2.421634,11.694,31.87625,-2.42156,8.5,1.0033026370294675,1.3757647346047794
SB53183_component_478a,31.358569,-2.901957,12.440,31.35954,-2.90236,8.7,1.042770878140716,1.42988500923946
SB53183_component_479a,29.308169,-5.238241,11.245,29.30850,-5.23844,7.0,1.1715186215861813,1.606428555079869
SB53183_component_480a,29.575928,-2.816929,11.065,29.57583,-2.81683,8.0,1.0086702125089082,1.3831249475479126
SB53183_component_481a,31.227550,-5.855028,12.319,31.22708,-5.85414,8.0,1.1229831961479548,1.5398750305175781
SB53183_component_483a,32.654545,-4.694237,11.067,32.65446,-4.69392,6.9,1.169684177961865,1.6039130998694378
SB53183_component_484a,33.770091,-6.607666,11.160,33.77042,-6.60756,6.6,1.233127644588023,1.6909090677897136
SB53183_component_485a,32.702276,-4.158599,11.277,32.70204,-4.15864,6.9,1.191879326905191,1.6343478880066802
SB53183_component_493a,32.665442,-5.943662,11.143,32.66571,-5.94361,9.3,0.8737897565397265,1.1981720052739624
SB53183_component_497a,34.276413,-3.096513,10.980,34.27667,-3.09719,12.1,0.6617664300205743,0.9074379786972172
SB53183_component_498a,30.698846,-5.521231,10.828,30.69804,-5.52056,7.2,1.0967396238886962,1.503888898425632
SB53183_component_499a,34.304035,-3.172792,10.898,34.30417,-3.17331,7.8,1.018919731120497,1.3971794568575346
SB53183_component_500a,33.473786,-4.971525,10.679,33.47442,-4.97156,6.0,1.297977346929393,1.7798333168029785
SB53183_component_504a,35.082034,-2.631842,10.809,35.08229,-2.63161,9.2,0.8568118631692039,1.1748913060063901
SB53183_component_510a,34.594722,-2.493101,10.766,34.59450,-2.49208,7.7,1.0196507026985866,1.3981817914293957
SB53183_component_511a,34.426058,-3.867903,10.984,34.42642,-3.86867,6.8,1.1779840240433814,1.615294147940243
SB53183_component_512a,32.742523,-6.749518,9.937,32.74275,-6.75094,7.3,0.9927050303100668,1.36123291433674
SB53183_component_522a,30.298866,-4.350683,10.028,30.29875,-4.35131,10.7,0.6834682163763673,0.9371962502738026
SB53183_component_531a,30.560327,-2.435811,10.441,30.55987,-2.43567,6.7,1.1364624044135676,1.5583582066777926
SB53183_component_533a,33.316306,-3.163248,10.534,33.31671,-3.16314,5.3,1.4494566851698392,1.9875472446657578
SB53183_component_535a,34.637352,-2.986444,9.970,34.63546,-2.98731,4.3,1.6908866498264368,2.3186047132625136
SB53183_component_536a,33.844014,-3.744294,9.687,33.84350,-3.74356,5.2,1.3585441268250427,1.8628846682035005
SB53183_component_542a,33.931054,-6.906319,9.738,33.92996,-6.90711,6.5,1.0925572183676229,1.498153833242563
SB53183_component_544a,31.109033,-2.200400,9.645,31.11004,-2.19925,6.6,1.0657273171281008,1.4613637057217685
SB53183_component_548a,33.963302,-4.706952,10.086,33.96237,-4.70706,7.9,0.931064295150094,1.2767089167727699
SB53183_component_550a,33.796783,-4.825715,10.572,33.79746,-4.82678,6.5,1.18612800578444,1.6264614692101111
SB53183_component_551a,33.951548,-2.461384,10.410,33.95250,-2.46356,5.1,1.4885667978355208,2.0411764406690414
SB53183_component_554a,30.749038,-2.178860,9.426,30.74796,-2.17878,5.3,1.2969980710182618,1.778490498380841
SB53183_component_559a,32.475638,-2.324124,9.227,32.47546,-2.32392,7.6,0.8853902197378958,1.21407897848832
SB53183_component_563a,34.847266,-3.121526,9.876,34.84787,-3.12153,6.7,1.0749643886532527,1.4740299110981956
SB53183_component_565a,30.078369,-5.847366,9.213,30.07796,-5.84742,6.4,1.0498056168530867,1.439531296491623
SB53183_component_566a,34.070177,-5.214809,9.089,34.07025,-5.21456,6.9,0.9606269833943135,1.3172463403231855
SB53183_component_567a,31.350705,-5.176809,9.162,31.35042,-5.17728,6.7,0.9972481779813834,1.3674626421572558
SB53183_component_574a,30.520143,-6.383024,8.719,30.51979,-6.38219,6.3,1.0092851938816745,1.383968232169984
SB53183_component_577a,29.689674,-3.307969,8.836,29.69050,-3.30847,5.9,1.0921731564100703,1.4976271936448953
