Component_ID,RA,DEC,ASKAP_flux,ASKAP_flux_SNR,RA_comp,DEC_comp,Comp_flux,Flux_Ratio_AlphaCorr,Flux_Ratio_NOAlphaCorr
SB74234_component_1a,136.961342,4.227071,983.2630004882812,3886.4150390625,136.96141666666665,4.22711111111111,665.1,1.07813673655074,1.478368667100107
SB74234_component_2a,138.829478,2.467686,547.5850219726562,3626.39111328125,138.829625,2.4676666666666662,347.3,1.1498412168324017,1.576691684343957
SB74234_component_3a,141.331348,6.08637,543.6610107421875,3236.077392578125,141.3312083333333,6.086499999999999,349.6,1.134090883401295,1.5550944243197582
SB74234_component_4a,136.833426,4.605333,405.1470031738281,2853.147705078125,136.8335,4.605361111111111,314.8,0.9385750434185758,1.2869981041100003
SB74234_component_5a,138.658035,2.766541,431.45001220703125,3751.7392578125,138.65816666666666,2.7666111111111107,442.1,0.7117067188044433,0.9759104551165602
SB74234_component_7a,140.74713,5.398207,348.6390075683594,2881.314208984375,140.7469583333333,5.398583333333333,266.1,0.9554813118398048,1.3101804117563298
SB74234_component_12a,141.229402,6.131941,292.32501220703125,2586.947021484375,141.2293333333333,6.132111111111111,208.6,1.0219808722234427,1.401366309717312
SB74234_component_14a,137.463014,4.739491,275.08099365234375,2547.046142578125,137.46316666666664,4.739527777777777,192.0,1.0448415885399653,1.432713508605957
SB74234_component_17a,139.128459,3.933145,233.1959991455078,2914.949951171875,139.12845833333333,3.9331388888888883,135.8,1.2523116485205625,1.7172017610125758
SB74234_component_23a,142.055455,5.486809,178.95799255371094,2080.90673828125,142.05533333333332,5.486944444444443,129.6,1.007017906168136,1.3808487079761647
SB74234_component_25a,142.046155,2.688952,175.4010009765625,2470.4365234375,142.046125,2.688944444444444,138.0,0.9269238912027203,1.2710217462069746
SB74234_component_26a,139.439304,3.444876,174.98399353027344,2611.701416015625,139.439125,3.4449999999999994,103.4,1.23415265031192,1.6923016782424896
SB74234_component_27a,140.478335,5.594339,165.75100708007812,2511.37890625,140.47845833333332,5.594388888888888,163.4,0.739767450601729,1.0143880482256922
SB74234_component_35a,138.394069,6.728106,149.58799743652344,1942.7012939453125,138.39416666666665,6.728305555555555,95.3,1.1447085922010047,1.5696536981796794
SB74234_component_37a,137.316209,3.911896,144.4810028076172,1852.320556640625,137.31629166666664,3.9120277777777774,113.6,0.9275204868722773,1.2718398134473345
SB74234_component_43a,141.653712,6.778051,142.19700622558594,1421.9700927734375,141.65379166666665,6.778027777777777,101.4,1.0226890195938105,1.4023373395028198
SB74234_component_45a,140.38341,6.04591,125.06999969482422,1954.2186279296875,140.38370833333332,6.045916666666666,73.0,1.2494571991652006,1.7132876670523867
SB74234_component_46a,138.543792,5.843318,115.19599914550781,1719.34326171875,138.5438333333333,5.843722222222222,78.2,1.074290506604959,1.4730946182290001
SB74234_component_47a,142.470817,6.763752,114.99099731445312,1263.6373291015625,142.47074999999998,6.764222222222221,73.4,1.142507016153168,1.566634840796364
SB74234_component_50a,140.871426,4.206592,121.93499755859375,2102.32763671875,140.87145833333332,4.206638888888889,87.1,1.0209425725782897,1.3999425666887917
SB74234_component_51a,141.193759,5.134519,110.11499786376953,1508.4246826171875,141.19370833333332,5.1348055555555545,70.9,1.1326385384572821,1.5531029317880045
SB74234_component_59a,141.48979,7.030235,105.26899719238281,1085.247314453125,141.48966666666664,7.030361111111111,69.5,1.1046044189315334,1.5146618301062276
SB74234_component_60a,141.375466,6.884738,98.7040023803711,1121.6363525390625,141.37541666666664,6.885027777777777,63.8,1.1282495778901929,1.5470846768083244
SB74234_component_62a,141.128815,2.259706,93.36299896240234,1582.4237060546875,141.12895833333332,2.259694444444444,63.1,1.079037478168123,1.4796037870428262
SB74234_component_67a,139.173964,2.714688,91.60399627685547,1665.5272216796875,139.17399999999998,2.7146111111111106,72.5,0.9214409499428142,1.2635033969221443
SB74234_component_71a,138.586242,4.489792,89.87100219726562,1449.5323486328125,138.58624999999998,4.489999999999999,57.3,1.1438157117857863,1.568429357718423
SB74234_component_73a,139.070277,6.373149,85.57499694824219,1645.6729736328125,139.0702083333333,6.373416666666666,59.0,1.0577571647942727,1.4504236770888506
SB74234_component_74a,139.756852,2.284648,96.43000030517578,1320.958984375,139.7569583333333,2.2846388888888884,56.6,1.2424726340567849,1.7037102527416215
SB74234_component_77a,138.894387,3.982399,89.89600372314453,1797.9200439453125,138.89433333333332,3.9824999999999995,60.5,1.0836177398912077,1.4858843590602402
SB74234_component_78a,140.868089,6.98199,76.45999908447266,1033.2431640625,140.86808333333332,6.982166666666666,53.6,1.040304779655872,1.4264925202326988
