Component_ID,RA,DEC,ASKAP_flux,ASKAP_flux_SNR,RA_comp,DEC_comp,Comp_flux,Flux_Ratio_AlphaCorr,Flux_Ratio_NOAlphaCorr
SB76157_component_1a,313.072903,-36.675147,2663.9970703125,3639.34033203125,313.0729583333333,-36.675083333333326,1426.3,1.3621155652017307,1.8677676998615298
SB76157_component_4a,315.972397,-39.404936,930.4609985351562,2794.17724609375,315.9733333333333,-39.40622222222222,481.7,1.4086808884707036,1.9316192620617734
SB76157_component_10a,315.772871,-37.378725,422.8689880371094,2416.394287109375,315.7732083333333,-37.37913888888888,286.9,1.0748958428326998,1.4739246707462859
SB76157_component_12a,311.533108,-39.311685,389.59698486328125,1997.933349609375,311.5340416666666,-39.31130555555555,250.0,1.1364927603733184,1.558387939453125
SB76157_component_16a,311.722876,-38.482221,347.4110107421875,1985.205810546875,311.7232916666666,-38.48191666666666,204.0,1.2419511282904296,1.7029951506969976
SB76157_component_17a,315.918303,-38.720439,301.62298583984375,2065.910888671875,315.91874999999993,-38.72163888888888,188.5,1.1669283080220076,1.600121940794927
SB76157_component_20a,315.326507,-37.045147,267.6789855957031,1997.6043701171875,315.32666666666665,-37.04552777777777,158.9,1.2285178630827622,1.684575113881077
SB76157_component_23a,312.831524,-35.000265,231.3990020751953,1739.8421630859375,312.83129166666663,-34.99999999999999,167.2,1.0092907746849162,1.38396532341624
SB76157_component_25a,310.742584,-35.606583,230.43699645996094,2114.100830078125,310.74266666666665,-35.60686111111111,138.3,1.2151254609922477,1.6662111096164924
SB76157_component_27a,317.557789,-36.590592,208.70399475097656,1643.3385009765625,317.55770833333327,-36.59038888888888,145.1,1.048949172016367,1.4383459321225125
SB76157_component_37a,316.528034,-37.652782,178.3520050048828,2148.8193359375,316.528375,-37.65283333333333,112.7,1.1541046078496369,1.5825377551453665
SB76157_component_38a,312.100691,-35.776107,197.5850067138672,2469.812744140625,312.10091666666665,-35.77647222222222,136.2,1.057956895517856,1.450697552965251
SB76157_component_40a,311.601186,-39.05047,180.43600463867188,2050.4091796875,311.6015416666666,-39.05049999999999,109.1,1.2061172990801088,1.6538588876138578
SB76157_component_44a,315.969648,-38.933645,155.01800537109375,1684.978271484375,315.9704166666666,-38.93483333333333,90.4,1.2505607938946897,1.714800944370506
SB76157_component_46a,314.613515,-35.876342,147.86500549316406,1920.32470703125,314.6133333333333,-35.87658333333333,105.9,1.0182643489636356,1.396270117971332
SB76157_component_49a,311.402568,-36.796663,140.51699829101562,1801.5,311.4029166666666,-36.79691666666666,88.6,1.1566081202217928,1.5859706353387768
SB76157_component_51a,316.180706,-36.174367,132.96400451660156,1683.088623046875,316.1807916666666,-36.17477777777777,69.2,1.401261168280851,1.921445151974011
SB76157_component_55a,311.596876,-36.684088,126.55799865722656,1782.5069580078125,311.59749999999997,-36.684527777777774,91.0,1.0142366528075093,1.3907472379915007
SB76157_component_57a,314.094028,-37.164421,127.5260009765625,1656.181884765625,314.0937916666666,-37.16433333333333,82.1,1.1327828857689681,1.5533008645135506
SB76157_component_68a,313.80254,-35.415407,113.7239990234375,1834.258056640625,313.8024166666666,-35.415416666666665,70.6,1.1747312365179128,1.6108215159127126
SB76157_component_77a,311.359103,-37.273328,88.3949966430664,1281.0869140625,311.35949999999997,-37.273666666666664,53.9,1.1959967886274483,1.6399813848435327
SB76157_component_88a,313.635627,-38.851493,84.26699829101562,1381.4261474609375,313.6356666666666,-38.851611111111104,57.7,1.0650568892410943,1.4604332459448115
SB76157_component_92a,315.994579,-34.913451,77.0979995727539,1243.51611328125,315.99520833333327,-34.91369444444444,46.6,1.206558234942053,1.6544635101449336
SB76157_component_97a,312.631196,-38.084137,72.60399627685547,981.1350708007812,312.6309583333333,-38.08405555555555,51.3,1.0321296537419746,1.415282578496208
SB76157_component_98a,316.776705,-39.029649,74.33899688720703,1109.5372314453125,316.77666666666664,-39.02927777777777,41.4,1.3095058728124422,1.7956279441354357
SB76157_component_100a,315.901382,-37.26034,68.29299926757812,961.8731689453125,315.90174999999994,-37.26069444444444,50.8,0.9804006016604887,1.344350379283034
SB76157_component_105a,313.30138,-37.019053,63.722999572753906,995.6718139648438,313.3015,-37.01911111111111,40.4,1.1502862823923983,1.5773019696226216
SB76157_component_109a,315.427908,-39.036122,71.20500183105469,1186.75,315.427875,-39.03574999999999,37.5,1.384746669463414,1.898800048828125
SB76157_component_121a,314.821635,-39.386167,63.62200164794922,1223.5,314.8216666666666,-39.38555555555555,38.3,1.2114336967675416,1.661148868092669
SB76157_component_122a,317.064586,-39.299879,59.512001037597656,804.2162475585938,317.06424999999996,-39.29941666666666,36.9,1.1761677909075523,1.612791356032457
