Component_ID,RA,DEC,ASKAP_flux,RA_comp,DEC_comp,Comp_flux,Flux_Ratio_AlphaCorr,Flux_Ratio_NOAlphaCorr
SB51930_component_43a,319.634058,3.209131,120.207,319.633935881885,3.2088210693049843,59.072000835827,1.3123683182147194,2.034923466813006
SB51930_component_56a,315.394247,3.340164,98.875,315.3936895428516,3.3395128028555368,18.737829727198772,3.403101212995326,5.27675837807826
SB51930_component_74a,314.575091,5.985450,71.094,314.57451220500053,5.985687062960848,25.7610449094836,1.7798243470803994,2.759748372778434
SB51930_component_81a,314.603630,3.014579,68.633,314.6034356026697,3.0149546533731355,30.85651216942161,1.4344777820395387,2.224263159038359
SB51930_component_84a,314.470106,5.089431,57.716,314.4700477851545,5.08961923630855,33.2725907310014,1.1187093328366373,1.734640986326778
SB51930_component_104a,314.564960,4.700790,55.136,314.5647501331446,4.700867108842003,31.69049759342117,1.1220542817320536,1.7398275752653405
SB51930_component_107a,315.405682,3.826975,51.478,315.4054487266876,3.8270091654725413,28.101824820073038,1.1813941234651095,1.8318383582015136
SB51930_component_112a,318.124342,7.153140,49.300,318.1243842816818,7.15339845583683,26.06735682959939,1.2197127765025848,1.8912542441234614
SB51930_component_122a,319.217977,2.375759,47.835,319.2178799162713,2.376021276072876,33.465191449582186,0.9218496891152149,1.429395650000678
SB51930_component_138a,319.142057,3.093311,42.668,319.14193453844086,3.0933031985654447,24.654556343552972,1.1161247651012285,1.7306334242244665
SB51930_component_140a,319.139002,3.387855,48.809,319.13912235435595,3.3883625516297293,15.010414559778962,2.097079349797626,3.251675555896765
SB51930_component_148a,317.310935,4.737565,44.824,317.31044325748513,4.73679479098083,7.461483427024657,3.8742987008985734,6.007384691080108
SB51930_component_184a,318.552403,2.177832,34.080,318.5522818902351,2.178385679065087,19.749499287841246,1.1128872772998342,1.725613461604872
SB51930_component_189a,318.796389,7.240667,33.254,318.79644898882844,7.240976378243476,17.904528069616948,1.197812091251371,1.8572956231034066
SB51930_component_198a,319.742439,6.577490,31.755,319.7419508920602,6.5777760578718665,15.576276436127184,1.314789166443873,2.038677169796174
