Component_ID,RA,DEC,ASKAP_flux,RA_comp,DEC_comp,Comp_flux,Flux_Ratio_AlphaCorr,Flux_Ratio_NOAlphaCorr
SB51964_component_34a,336.600995,-6.536846,149.203,336.60096625176715,-6.536697453201098,78.02906911565931,1.2331865963110635,1.9121463913471781
SB51964_component_57a,337.094282,-2.411917,101.787,337.09432569413985,-2.411705814193557,51.77060143121148,1.2679927562791835,1.9661158987832652
SB51964_component_62a,336.310293,-5.622610,93.414,336.31035278535813,-5.622555082687753,60.58428602460219,0.99439661925166,1.541884993526374
SB51964_component_81a,336.792513,-5.357447,78.547,336.7925784200601,-5.357286996218625,34.93889021806204,1.449866907767049,2.2481251287628696
SB51964_component_90a,337.681111,-2.198889,70.717,337.68112094432774,-2.1986767651184245,46.747710030899654,0.9755985856848949,1.512737261823291
SB51964_component_117a,340.160813,-3.332688,58.257,340.16073647837953,-3.332541191720579,30.032054913498857,1.251038641833036,1.9398272991068943
SB51964_component_126a,336.295897,-6.995338,56.685,336.2957816897822,-6.995246729713144,23.87044212186716,1.5314941985105068,2.3746942383343286
SB51964_component_133a,338.914615,-2.678237,49.627,338.91459962570417,-2.6780613168375,31.97013913318814,1.0011084889196833,1.5522922404128512
SB51964_component_138a,335.763087,-6.289992,47.181,335.76308558349905,-6.289821591710779,31.64940076502638,0.961411483046942,1.4907391171840423
SB51964_component_147a,339.930974,-5.867210,45.090,339.93085121875407,-5.867022906563065,35.12902133084819,0.8277931788117932,1.2835541226135032
SB51964_component_150a,336.397094,-5.867429,44.479,336.39716313660387,-5.867400080492211,37.74382745375102,0.7600054993784094,1.1784443468552463
SB51964_component_159a,338.274640,-4.258406,40.700,338.27457401157017,-4.258189214572583,23.833134498241034,1.1013387273103636,1.7077065866406809
SB51964_component_172a,341.110384,-3.235574,39.134,341.11023846642684,-3.23607277157497,7.206163208541914,3.5023358660293518,5.43062899608791
SB51964_component_173a,339.117384,-5.984440,36.159,339.117375722241,-5.984247743680786,20.79358153337393,1.1214883690253514,1.738950086049049
SB51964_component_178a,340.917772,-5.277651,35.416,340.9177093345529,-5.277450355936772,54.93755237303814,0.41575536721886164,0.6446592328272738
SB51964_component_194a,337.717307,-6.009418,32.913,337.7172768523577,-6.009286295684475,17.001264972469226,1.2485152959117816,1.9359146659239839
SB51964_component_198a,338.857573,-3.195349,31.957,338.85756301325046,-3.19520196454958,20.421518351384453,1.0092195180745598,1.5648689868476595
SB51964_component_204a,341.118773,-4.812243,31.371,341.11876564464836,-4.8119951242156835,15.767487069577195,1.283138513914425,1.9896005084060744
SB51964_component_208a,341.342868,-4.872444,32.460,341.34289597724353,-4.872219610780977,15.535956591862476,1.3474670732974243,2.0893466644644696
SB51964_component_211a,338.531777,-2.528849,30.543,338.5317748052615,-2.5286476913873455,16.946773091520647,1.162337701269686,1.8022899759518451
SB51964_component_215a,339.403741,-6.569316,30.781,339.4035435473037,-6.569152648710178,17.234076446440053,1.1518670874075172,1.7860545201241325
SB51964_component_219a,340.394321,-6.167549,28.860,340.3942637223801,-6.167402631846065,15.700437967116024,1.185474525942324,1.8381653219354612
SB51964_component_231a,336.693228,-6.057100,26.797,336.693265763107,-6.0570022082878,16.119120227628212,1.0721425039136925,1.6624356978912311
SB51964_component_252a,337.772993,-6.517306,25.876,337.7731009113995,-6.5172181587829545,15.142458625995033,1.102068006950862,1.7088373882866228
SB51964_component_256a,337.959491,-6.032733,25.012,337.95940293359456,-6.0325477751201415,13.587900720412087,1.1871448076130477,1.8407552163429755
SB51964_component_269a,336.032296,-2.444295,24.023,336.03241422898594,-2.4441016711447023,13.258961836313624,1.1684910523081447,1.8118311986817044
SB51964_component_270a,340.180291,-2.066154,23.017,340.1802356083092,-2.0658883662637564,15.30173975810867,0.9700979066135984,1.5042080549152674
SB51964_component_272a,338.413970,-2.462098,22.754,338.4140416840442,-2.461886231951218,12.482292115344277,1.175631093123435,1.8229023563798743
SB51964_component_276a,335.865247,-5.511673,22.450,335.86531910512355,-5.511542485460663,12.867448831897876,1.125204777912216,1.7447126509869482
SB51964_component_278a,336.821067,-4.818928,21.886,336.82110037759867,-4.818756017879355,13.638561269605297,1.0349169190027978,1.6047146943820427
SB51964_component_286a,336.396283,-6.908769,22.030,336.3962912566235,-6.908660581935376,14.679879781892073,0.9678313131208564,1.5006935352304422
SB51964_component_291a,336.704021,-4.791145,21.247,336.70405184752457,-4.790917784838389,7.881040673811731,1.738688177833182,2.6959637210353713
SB51964_component_298a,335.869223,-6.064325,20.440,335.8692998854621,-6.064106756815569,12.072191561012422,1.0919492191645983,1.6931474646301452
SB51964_component_301a,337.978530,-6.544907,20.775,337.97856859557646,-6.544835325857085,11.304558665735401,1.185209352781493,1.837754151473439
SB51964_component_302a,337.684873,-2.128497,20.828,337.68490943769166,-2.1283318031590617,12.713406232596617,1.0565578564724496,1.6382705573891092
SB51964_component_317a,336.515020,-4.711873,18.466,336.51507464707385,-4.711647539106185,8.83353834678041,1.3481734825610812,2.0904420039113605
SB51964_component_319a,336.280318,-6.876682,18.235,336.2802465007225,-6.876581067384102,9.744764700068933,1.2068188433629692,1.8712612537707116
SB51964_component_331a,337.087169,-2.835189,17.547,337.0872318183228,-2.8350443020117004,8.301261833847244,1.3632215506995815,2.1137751387944785
SB51964_component_332a,339.842304,-6.591580,17.154,339.8422096370113,-6.591511604726919,11.462493312918074,0.9651480796163807,1.4965329846064954
SB51964_component_336a,337.282438,-5.553949,17.466,337.2825860932327,-5.553847064755687,9.730119124640288,1.1576651139636562,1.7950447861466634
SB51964_component_342a,336.945303,-3.907265,16.867,336.9453638086735,-3.9072050876704285,8.306073579177959,1.3096334025343481,2.030682779179436
SB51964_component_347a,340.875963,-6.474020,16.793,340.8759357042566,-6.47392265472149,9.958048300856191,1.0875812157719746,1.6863745545534525
SB51964_component_349a,337.657569,-2.172567,17.883,337.65749033321237,-2.172408157127848,6.778032606841994,1.7015486319329014,2.6383761273314414
SB51964_component_350a,337.371546,-6.321538,16.333,337.37153414609,-6.32139618368993,8.558721737594517,1.2307354711711755,1.9083457417901708
SB51964_component_353a,338.963008,-2.959782,15.944,338.96303598536184,-2.9596409582941385,14.2613942492224,0.7210127820049872,1.1179832746724583
SB51964_component_367a,341.312960,-5.985229,15.377,341.3128709490299,-5.984974441445414,8.05440248889559,1.2312491385714857,1.909142220821644
SB51964_component_376a,341.048602,-4.952765,15.079,341.04850002126824,-4.952531173803308,10.394040475803095,0.9356120543718158,1.4507352081344846
SB51964_component_383a,336.423919,-4.458038,16.319,336.42406829518296,-4.458043352763513,7.517593389002384,1.399981750466401,2.1707745284566693
SB51964_component_394a,338.810033,-6.687947,13.905,338.8100070622904,-6.6879084602465655,16.26878156542971,0.5512182833240022,0.8547044335833098
SB51964_component_395a,339.184877,-5.274578,14.111,339.184843577674,-5.274382549397242,10.92117702738828,0.8332896819977139,1.292076854504546
SB51964_component_398a,341.339575,-3.027265,14.810,341.3395494092081,-3.0270525201773193,8.37078527759816,1.141028590235976,1.7692486342053386
SB51964_component_401a,339.494441,-2.480947,13.837,339.4944805698506,-2.4806288298270727,8.56502917837002,1.041887309519561,1.6155227968320531
SB51964_component_405a,335.609040,-5.487393,13.540,335.60912341387797,-5.4872561118269525,8.513469367054352,1.025698553101558,1.5904209409915158
SB51964_component_406a,335.642391,-3.498020,13.743,335.64242134059634,-3.4979087828073867,8.525655045157064,1.0395884556993578,1.6119582551400773
SB51964_component_409a,339.885597,-6.255479,15.014,339.8854238896846,-6.2554410003397205,8.664068832406398,1.1175891409393506,1.7329040465153813
SB51964_component_412a,338.014223,-6.681915,13.250,338.0142393061382,-6.681815409675582,7.61077525448814,1.1227799232190028,1.7409527356869932
SB51964_component_414a,341.224190,-5.170318,15.006,341.2241253734283,-5.1700184204672635,7.776466182197011,1.2444868136863847,1.929668208353863
SB51964_component_419a,335.718338,-4.424702,13.262,335.7184137017436,-4.424598400927156,8.262030386519106,1.035213426017297,1.605174450285553
SB51964_component_423a,335.784296,-3.985977,12.817,335.7843480200001,-3.9859629790281788,5.902624149421936,1.4003897541761465,2.1714071681752487
SB51964_component_425a,341.008718,-4.122232,13.064,341.0087944594929,-4.122126884313172,7.979412630600104,1.0558759784749003,1.6372132554720646
SB51964_component_426a,337.097626,-5.274287,12.635,337.0976440654543,-5.274155102592965,14.746057137341326,0.5525950613521704,0.856839229036101
SB51964_component_427a,340.259116,-5.980135,13.424,340.25898829401183,-5.980009852514986,7.044593421887631,1.2289484357518423,1.9055748121202332
SB51964_component_428a,338.527848,-2.201223,12.853,338.5277518600804,-2.2009966807009693,7.01122820712065,1.1822737615910053,1.833202301722433
