Component_ID,RA,DEC,ASKAP_flux,RA_comp,DEC_comp,Comp_flux,Flux_Ratio_AlphaCorr,Flux_Ratio_NOAlphaCorr
SB53313_component_24a,2.423911,-7.964180,223.864,2.4239337568310475,-7.964058231289488,137.19490948187843,1.052334760975269,1.6317223376473404
SB53313_component_25a,4.943975,-11.494349,222.199,4.9439080847883305,-11.494055131052376,146.5255968507213,0.9779941758027775,1.5164518002498024
SB53313_component_27a,8.117969,-7.846110,197.269,8.118037679641006,-7.84700844176926,38.986774762425796,3.2632412734126013,5.059895269472364
SB53313_component_54a,2.710710,-7.669890,100.206,2.7107413618540326,-7.669750738309841,78.93725181537884,0.8186898139427601,1.2694386867698855
SB53313_component_56a,7.610027,-7.222995,113.367,7.609968052923525,-7.223444368471136,34.336732094514254,2.129292572867722,3.3016245242292173
SB53313_component_57a,4.289026,-6.842641,105.724,4.288898061805403,-6.84260526274086,78.85443325542019,0.8646794243462231,1.3407489554960486
SB53313_component_58a,7.212307,-9.887356,100.130,7.21215568666025,-9.887345049585898,57.24561109503563,1.1280534183172257,1.7491296771588014
SB53313_component_79a,6.139205,-11.445000,75.974,6.139167332576176,-11.444866559688583,53.44877333550754,0.916716190834856,1.421435783877304
SB53313_component_83a,6.745347,-9.892458,71.514,6.7452201926237185,-9.892431293883975,61.65378069737907,0.7480644457449509,1.159928866162865
SB53313_component_91a,2.956487,-9.791697,70.356,2.956414574616513,-9.791672729749614,34.47931323280161,1.315982785184064,2.0405279633204696
SB53313_component_104a,4.848766,-7.656615,59.087,4.848770824734799,-7.656467017382416,32.758735446235896,1.163248449177963,1.8037021574752645
SB53313_component_107a,4.886224,-8.874014,59.388,4.886256882398937,-8.873948845043843,31.834000688346713,1.2031371571395284,1.8655525288727242
SB53313_component_118a,7.456125,-9.862449,54.508,7.455982615726026,-9.862433861102987,56.09714721492998,0.6266530013173809,0.9716715042803278
SB53313_component_121a,4.974902,-10.112008,54.300,4.974798992748341,-10.111873460809248,29.775097610395957,1.1761271814448422,1.8236715777583794
SB53313_component_123a,3.547379,-8.546076,53.468,3.5472675392529887,-8.545989733567923,31.144908899960928,1.1071705359371982,1.7167492342450148
SB53313_component_131a,6.905311,-7.180002,50.923,6.905319188777224,-7.17978568446789,30.425451136326743,1.0794054708869736,1.6736974616259144
SB53313_component_143a,4.942116,-6.934549,50.311,4.941565835786619,-6.933792190387424,14.59357411271687,2.223355689850323,3.447476295757699
SB53313_component_146a,8.078481,-8.604672,49.937,8.078508357672103,-8.605613928532794,7.399057551473057,4.352649560300512,6.749102831983836
SB53313_component_148a,6.193469,-9.697171,44.030,6.19331166114244,-9.6970120936796,37.666638708463324,0.7538752134921342,1.1689388883379117
SB53313_component_156a,2.801797,-11.261880,42.154,2.8015988628591417,-11.261628755348422,20.246350572787097,1.3427640001624699,2.0820542041424503
SB53313_component_157a,6.193906,-9.666960,39.295,6.193757997204505,-9.666899839700395,23.102963229094623,1.09692578008354,1.7008639878480747
SB53313_component_164a,6.215082,-9.772931,39.677,6.2148992227525,-9.772900004579276,20.533795774864558,1.246169811522281,1.9322778201094408
SB53313_component_169a,3.937609,-11.196806,37.263,3.937521524406584,-11.19653287684859,20.18492477969783,1.1905793463322232,1.846080720883374
