Component_ID,RA,DEC,ASKAP_flux,RA_comp,DEC_comp,Comp_flux,Flux_Ratio_AlphaCorr,Flux_Ratio_NOAlphaCorr
SB50045_component_5a,174.771846,1.173095,514.907,174.771774,1.173428,511.05,1.0580858549494798,1.0075471723351432
SB50045_component_11a,171.930007,-1.122718,290.407,171.930096,-1.12264,310.808,0.9812291262550408,0.9343614480304662
SB50045_component_17a,171.838998,-2.223541,247.497,171.839047,-2.223392,250.252,1.0385989796032153,0.9889910730725616
SB50045_component_20a,171.169662,2.589354,215.661,171.170435,2.588489,245.268,0.9233922727076178,0.8792871287057359
SB50045_component_25a,173.489811,0.979921,215.290,173.489944,0.980056,221.839,1.0191578768029605,0.9704785600644288
SB50045_component_28a,171.656700,2.099435,166.978,171.65735,2.098648,185.984,0.9428425695001126,0.8978083965619186
SB50045_component_31a,173.040280,1.537007,152.475,173.04051,1.536882,166.7,0.9605469108121275,0.9146671032004537
SB50045_component_33a,172.314938,1.435432,145.515,172.315282,1.435121,159.402,0.9586708358572991,0.912880637568214
SB50045_component_36a,174.516477,0.635818,153.398,174.51635,0.636114,158.044,1.0192886547636282,0.9706030915132317
SB50045_component_41a,170.980903,-0.317166,120.172,170.981177,-0.317189,127.976,0.9861211346859168,0.9390197933230645
SB50045_component_45a,170.174774,-0.008038,114.973,170.175244,-0.008223,128.689,0.9382313835653435,0.8934174604881063
SB50045_component_46a,170.668165,-1.457530,107.484,170.668288,-1.457495,113.357,0.995751573176714,0.9481902410937831
SB50045_component_47a,171.022746,-0.583407,111.303,171.022952,-0.583359,127.497,0.9167742991472022,0.8729852577222099
SB50045_component_50a,171.089790,2.058571,105.407,171.09057,2.057653,117.068,0.9455549327487163,0.9003912058005951
SB50045_component_55a,173.654786,1.559493,94.763,173.654928,1.559558,99.123,1.0039680351206586,0.9560142498540323
SB50045_component_56a,174.463505,1.704822,97.736,174.463501,1.705194,97.806,1.0494085139991494,0.9992842981109048
SB50045_component_57a,173.317633,-2.039776,89.348,173.317755,-2.03961,93.098,1.007859519624067,0.9597198604991934
SB50045_component_62a,174.457466,1.732607,87.546,174.45746,1.7329,88.05,1.0441489492174487,0.9942759525227588
SB50045_component_63a,171.391575,-1.797762,80.803,171.391648,-1.797639,83.231,1.01952504827829,0.9708281938677729
SB50045_component_66a,174.661863,-0.204767,81.868,174.661762,-0.204424,83.386,1.0310424335994324,0.9817954598592128
SB50045_component_67a,171.875691,2.433442,77.133,171.876358,2.432622,86.384,0.9376968372844592,0.892908446412105
SB50045_component_68a,172.873837,1.246263,76.907,172.874046,1.246156,84.716,0.9533578258305594,0.907821399507343
SB50045_component_70a,170.848338,-0.676592,78.679,170.848573,-0.676546,86.359,0.9567682422317664,0.9110689199098205
SB50045_component_77a,174.594341,-0.138790,74.197,174.594282,-0.138466,55.147,1.412927786122479,1.34544034301397
SB50045_component_93a,173.817478,-2.448315,72.405,173.817611,-2.448096,73.34,1.036771773745175,0.9872511423411081
SB50045_component_97a,169.748020,0.298424,62.356,169.748642,0.297917,65.653,0.9974225566138488,0.9497814112518836
SB50045_component_99a,173.291723,0.997217,62.102,173.291881,0.997319,66.365,0.9827023995704514,0.9357643515435177
SB50045_component_108a,171.753867,-0.149157,56.270,171.753972,-0.149168,60.694,0.9736137045553678,0.9271097712749805
SB50045_component_109a,174.678835,0.574291,61.432,174.678793,0.574577,65.567,0.9839314805758022,0.9369347264102822
