Component_ID,RA,DEC,ASKAP_flux,RA_comp,DEC_comp,Comp_flux,Flux_Ratio_AlphaCorr,Flux_Ratio_NOAlphaCorr
SB50202_component_16a,314.337448,-7.327567,237.697,314.337557,-7.327774,198.419,1.2580444187821707,1.1979548643304618
SB50202_component_24a,316.754055,-11.342722,164.789,316.75405,-11.342535,164.384,1.052747450021033,1.0024637523411266
SB50202_component_27a,315.587995,-11.352400,142.625,315.587946,-11.352212,124.612,1.201963586847755,1.1445526915545854
SB50202_component_29a,316.116179,-10.958102,136.992,316.116185,-10.957899,140.965,1.020562119449399,0.9718157301069857
SB50202_component_32a,318.411900,-9.135475,131.759,318.412024,-9.135463,119.519,1.1577075568625834,1.1024105178720276
SB50202_component_35a,315.611584,-9.534046,144.818,315.611533,-9.533897,151.906,1.001159140777227,0.9533395202563592
SB50202_component_36a,314.286613,-9.632556,141.463,314.286667,-9.632431,144.611,1.0272994290746227,0.9782312371570866
SB50202_component_38a,319.051316,-9.128866,119.053,319.051453,-9.128917,97.257,1.285508639111819,1.2241072766362173
SB50202_component_48a,315.725247,-11.632249,94.095,315.725169,-11.632073,92.921,1.0634282601050284,1.0126344014883946
SB50202_component_49a,314.846439,-10.267315,93.949,314.846311,-10.267067,95.003,1.0385092057139997,0.9889055871662852
SB50202_component_56a,317.899965,-11.779579,83.054,317.899845,-11.779453,47.218,1.8471769057678347,1.7589478769641278
SB50202_component_60a,314.791518,-7.255818,86.763,314.791629,-7.25596,90.047,1.0118609461796981,0.963530161896357
SB50202_component_65a,316.904499,-7.501093,74.154,316.904697,-7.501181,62.529,1.2453992948149937,1.1859137252892782
SB50202_component_69a,317.452086,-9.468056,76.908,317.452205,-9.467868,82.094,0.9838199034802432,0.9368284787115704
SB50202_component_78a,318.082165,-11.095515,64.715,318.082066,-11.095392,64.913,1.0469568196480057,0.996949707113993
SB50202_component_83a,315.853181,-11.204607,58.113,315.853209,-11.20433,53.706,1.1363339981924627,1.082057851309022
SB50202_component_87a,318.840676,-10.898289,65.023,318.840597,-10.898118,67.332,1.0141472695206986,0.9657072807062277
SB50202_component_88a,316.718017,-8.014671,55.297,316.71816,-8.014775,50.59,1.1478692397806518,1.093042120676216
SB50202_component_89a,314.632776,-11.231623,55.902,314.632654,-11.231414,55.173,1.0640358731572064,1.0132129923557915
SB50202_component_91a,314.470290,-8.114748,57.528,314.470524,-8.114926,58.052,1.0406809584641656,0.9909736077642405
SB50202_component_92a,317.648194,-8.261600,52.882,317.648379,-8.26164,52.197,1.0639417437770884,1.013123358995391
SB50202_component_98a,319.859431,-9.188916,51.174,319.859593,-9.188881,48.012,1.1193221180170765,1.0658585309167907
SB50202_component_104a,314.143772,-7.956539,46.539,314.143944,-7.956757,39.066,1.2510470270104959,1.1912916977638803
SB50202_component_108a,315.665634,-7.409165,45.766,315.665751,-7.409249,48.014,1.00099193218005,0.95318029825326
SB50202_component_112a,314.257558,-10.020468,45.237,314.257491,-10.020303,45.311,1.048445027380015,0.9983668317123602
SB50202_component_117a,318.263750,-11.874902,43.893,318.263669,-11.874759,44.155,1.0439288775341051,0.9940663923994221
SB50202_component_118a,315.448562,-6.918219,43.146,315.448744,-6.918252,43.341,1.0454352287803999,0.9955007939006314
SB50202_component_123a,317.791783,-11.590540,42.600,317.791719,-11.590389,41.899,1.0677300012218367,1.0167306731454473
SB50202_component_128a,317.131377,-11.614764,40.823,317.131265,-11.614488,40.715,1.0529458026078409,1.002652630764393
SB50202_component_138a,314.660440,-11.147639,35.481,314.66029,-11.147462,35.723,1.0430459368814986,0.993225624749319
SB50202_component_140a,319.324269,-7.677510,35.934,319.32454,-7.677445,36.744,1.027009895661129,0.9779555330913934
SB50202_component_141a,313.941307,-11.125765,35.245,313.941054,-11.125622,35.531,1.041707020681792,0.9919506608844324
SB50202_component_142a,316.987542,-7.617938,39.996,316.98775,-7.61807,40.565,1.035429613807083,0.9859730896725838
SB50202_component_146a,314.692631,-8.343376,35.013,314.692814,-8.343583,35.952,1.022731882496001,0.9738818560380855
SB50202_component_149a,319.437639,-8.790981,34.156,319.437824,-8.791073,35.761,1.0030275173755965,0.9551186552384012
SB50202_component_152a,318.459351,-8.275111,35.247,318.459482,-8.27513,36.282,1.0202027265414935,0.9714735033335875
SB50202_component_153a,319.452917,-11.082371,34.336,319.452801,-11.082199,36.65,0.9838552848610134,0.9368621701270464
SB50202_component_161a,316.598044,-7.964934,30.659,316.598167,-7.965073,28.939,1.1125767787458378,1.0594353777507348
SB50202_component_169a,316.558439,-8.380071,29.522,316.558611,-8.380067,31.096,0.99700367439768,0.9493825366327135
SB50202_component_175a,314.279160,-7.427001,27.424,314.279293,-7.427172,27.266,1.05624553602527,1.005794754873357
SB50202_component_177a,314.536262,-10.819957,27.698,314.536128,-10.819718,30.026,0.9687382546193031,0.9224671935730244
SB50202_component_182a,315.042254,-11.486345,29.005,315.042116,-11.486184,28.809,1.0573047752786402,1.0068034003528967
SB50202_component_183a,315.704476,-7.561612,30.018,315.704529,-7.561565,31.861,0.9894135771273993,0.9421549747041164
SB50202_component_184a,315.059591,-9.365407,26.922,315.059666,-9.365353,25.434,1.1115991020282046,1.0585043990331746
SB50202_component_186a,318.917922,-6.920471,26.711,318.918216,-6.920337,27.261,1.0289727930705945,0.9798246741684048
SB50202_component_187a,315.715053,-10.625419,27.582,315.715038,-10.625159,27.134,1.0674989709230092,1.0165106778367317
SB50202_component_197a,316.281628,-11.081028,26.113,316.281686,-11.080827,26.203,1.0465531432072208,0.9965653119776734
SB50202_component_206a,317.765481,-9.809928,26.082,317.765438,-9.809733,27.036,1.0131038949422382,0.9647137421372197
SB50202_component_208a,318.470149,-8.760061,24.881,318.470274,-8.760218,25.999,1.0050015146933,0.9569983660448028
SB50202_component_214a,319.578346,-11.098185,28.160,319.578206,-11.097979,31.022,0.9532753753602894,0.9077428872223618
SB50202_component_218a,319.819138,-9.902470,24.052,319.81914,-9.902237,23.226,1.087507584084554,1.0355635944965285
SB50202_component_228a,316.921034,-10.585571,23.126,316.92091,-10.585472,25.211,0.9633097558994165,0.9172979830503984
SB50202_component_229a,315.468787,-6.852805,22.570,315.469008,-6.852895,26.241,0.9032473414925392,0.8601044051226789
SB50202_component_231a,318.232379,-9.203190,22.234,318.232449,-9.203126,20.69,1.128528720375574,1.0746253867723217
SB50202_component_236a,314.710865,-10.962297,22.086,314.710794,-10.962091,21.36,1.0858537817111666,1.0339887847614646
SB50202_component_248a,318.925400,-9.666467,21.602,318.925491,-9.666347,21.988,1.031724488974616,0.9824449373675147
SB50202_component_287a,317.093533,-10.277795,18.536,317.093503,-10.277592,20.849,0.933654715585243,0.889059393644573
SB50202_component_307a,319.012757,-7.889200,17.263,319.013056,-7.889122,20.478,0.8852873614606742,0.8430022701573029
