Component_ID,RA,DEC,ASKAP_flux,RA_comp,DEC_comp,Comp_flux,Flux_Ratio_AlphaCorr,Flux_Ratio_NOAlphaCorr
SB50419_component_1a,137.607221,-7.027925,747.429,137.60695,-7.027661,749.564,1.0471689434760283,0.9971516990053968
SB50419_component_12a,137.455258,-3.657755,359.168,137.455313,-3.657584,364.053,1.036068670283334,0.9865816220923276
SB50419_component_15a,138.479078,-6.451765,261.533,138.478728,-6.451538,270.368,1.0158432746580879,0.9673222774217108
SB50419_component_19a,140.135370,-3.855676,241.960,140.135052,-3.855535,241.237,1.0533075300050194,1.0029970805219233
SB50419_component_26a,140.122921,-4.659796,201.931,140.122766,-4.659663,163.489,1.2970896026175338,1.2351350840476079
SB50419_component_27a,142.163860,-6.890699,190.842,142.163453,-6.89039,190.373,1.052747247653511,1.0024635596395384
SB50419_component_30a,141.856267,-2.873063,187.685,141.855738,-2.87268,185.952,1.0599471838341994,1.0093195962323274
SB50419_component_42a,141.055289,-2.315944,154.981,141.054851,-2.315438,152.631,1.0663290407636608,1.0153966285198759
SB50419_component_49a,142.439034,-5.551714,130.073,142.43875,-5.551617,134.5,1.015594607155739,0.9670854873373605
SB50419_component_69a,142.437079,-3.438069,98.694,142.436705,-3.437817,96.202,1.077363284580511,1.0259038299010481
SB50419_component_70a,142.169720,-5.092324,98.555,142.169666,-5.092254,102.236,1.0123491775034792,0.9639950732146776
SB50419_component_73a,138.715813,-2.752710,102.847,138.715242,-2.75231,98.517,1.0963165497834406,1.0439518065112652
SB50419_component_79a,137.466198,-3.552516,87.970,137.466201,-3.552364,86.888,1.0632375776782275,1.012452826865656
SB50419_component_93a,139.921121,-6.138775,72.468,139.920796,-6.138493,76.171,0.9991073465145575,0.951385728418111
SB50419_component_95a,140.368652,-2.164219,71.065,140.368108,-2.163658,71.787,1.0395981330519202,0.9899425027011332
SB50419_component_100a,140.359634,-3.985420,74.611,140.359391,-3.9853,74.217,1.05573516104755,1.0053087575762314
SB50419_component_102a,141.095439,-5.709343,63.933,141.095254,-5.709134,65.474,1.0254434624294118,0.9764639193760356
SB50419_component_110a,138.228152,-5.378999,56.628,138.227965,-5.378821,59.484,0.9997388422823722,0.9519870612610245
SB50419_component_115a,136.883422,-5.738446,56.736,136.883338,-5.738183,58.196,1.0238140831245146,0.9749123661597904
SB50419_component_119a,137.837233,-5.531558,52.123,137.837026,-5.531409,55.547,0.9854266991556322,0.9383585269885469
SB50419_component_125a,139.137360,-4.813328,49.735,139.137287,-4.813228,48.392,1.07930471956573,1.0277525336905182
SB50419_component_135a,139.030408,-5.027232,47.522,139.03034,-5.027064,49.163,1.0151070589563134,0.9666212265144695
SB50419_component_144a,140.141998,-5.944836,43.196,140.141618,-5.944498,47.634,0.9523179967070078,0.9068312370472312
SB50419_component_151a,138.899779,-5.955316,40.881,138.899467,-5.955094,40.227,1.0672333564460348,1.0162577502373737
SB50419_component_153a,140.685140,-5.626065,41.928,140.685017,-5.625724,41.194,1.068872039621461,1.0178181629317034
SB50419_component_156a,141.100269,-5.149091,45.184,141.100261,-5.148978,47.368,1.001740260835721,0.9538928835481792
SB50419_component_158a,141.075776,-2.847942,39.072,141.075329,-2.847484,36.472,1.1250234306215428,1.071287524572039
SB50419_component_163a,142.565689,-4.649113,38.411,142.565788,-4.649077,39.396,1.023903428326326,0.974997443854597
SB50419_component_167a,140.796577,-4.229624,41.573,140.796524,-4.229496,41.07,1.063021875818396,1.012247427844467
SB50419_component_178a,142.170418,-3.604656,38.101,142.170031,-3.604476,38.662,1.034921948952002,0.9854896730511085
SB50419_component_180a,136.806859,-6.363083,33.457,136.806702,-6.362736,36.379,0.9658101584992453,0.9196789557827834
SB50419_component_192a,137.523883,-6.029620,29.793,137.523582,-6.029383,31.25,1.0011974257358973,0.9533759765625
SB50419_component_198a,138.018173,-6.298513,28.770,138.017878,-6.298334,30.842,0.9796092019290635,0.9328188981831163
SB50419_component_200a,137.520356,-2.289311,28.503,137.520212,-2.289012,25.237,1.186064668808602,1.1294131734912793
SB50419_component_203a,140.795838,-3.899276,29.167,140.795612,-3.899065,31.071,0.9858073412109465,0.9387209879596579
SB50419_component_204a,137.802182,-2.794190,29.149,137.801895,-2.793852,29.061,1.0533401254341168,1.0030281190546326
SB50419_component_205a,142.058692,-2.953038,29.092,142.058105,-2.952626,29.549,1.0339184774066266,0.9845341315765366
SB50419_component_207a,140.303909,-5.738596,29.532,140.303698,-5.738351,30.868,1.0047080504272585,0.9567189188808053
SB50419_component_208a,141.216801,-2.879435,32.561,141.216246,-2.879032,32.37,1.056356638511938,1.005900550632518
SB50419_component_209a,137.242250,-4.477752,27.392,137.242294,-4.47752,28.243,1.0185173704712376,0.9698686470404794
