Component_ID,RA,DEC,ASKAP_flux,RA_comp,DEC_comp,Comp_flux,Flux_Ratio_AlphaCorr,Flux_Ratio_NOAlphaCorr
SB51448_component_4a,319.610383,-0.446608,334.365,319.610324,-0.446535,335.576,1.0463703506498518,0.9963912503706314
SB51448_component_6a,319.480052,-2.215649,351.098,319.480134,-2.215634,352.862,1.0449102136198964,0.9950008556981464
SB51448_component_13a,319.590652,-2.097011,224.552,319.590746,-2.096989,228.388,1.0325216575490057,0.9832040297788194
SB51448_component_14a,316.940543,0.197190,207.500,316.9405,0.197294,212.226,1.0267744007915007,0.977731286458775
SB51448_component_23a,316.262698,-1.015821,173.331,316.262585,-1.015452,176.772,1.0297179209781329,0.9805342115965411
SB51448_component_25a,317.564112,-1.329009,173.858,317.564097,-1.328853,181.245,1.0073587639317974,0.9592430230295146
SB51448_component_34a,319.855990,0.528072,123.800,319.856028,0.528185,126.741,1.0257913817419475,0.9767952205817992
SB51448_component_38a,314.771187,0.845512,112.943,314.77105,0.845684,116.406,1.018918567487513,0.9702506811801541
SB51448_component_42a,317.157519,-0.999079,116.698,317.15744,-0.998831,117.76,1.0406893946721711,0.9909816410230553
SB51448_component_43a,319.211450,2.429459,109.541,319.211487,2.429491,105.776,1.0875396082767284,1.0355940890770208
SB51448_component_44a,314.778628,1.310376,102.338,314.778435,1.310449,103.64,1.0369672251633726,0.987437258167922
SB51448_component_47a,316.617087,2.527089,96.511,316.617107,2.527164,73.203,1.3845334833413285,1.3184022729521203
SB51448_component_49a,318.102464,-2.012597,110.962,318.102589,-2.012548,111.092,1.0489311978319267,0.9988297805948209
SB51448_component_57a,316.557308,0.338170,84.199,316.557294,0.338259,85.816,1.030372295883802,0.9811573307723337
SB51448_component_58a,315.247318,-1.228915,83.649,315.24729,-1.228634,85.313,1.0296771381530143,0.9804953767326822
SB51448_component_61a,318.321177,2.450658,86.812,318.321081,2.450789,92.291,0.9878156725566444,0.9406333928547848
SB51448_component_63a,315.872394,0.251094,91.683,315.872352,0.251296,96.275,1.000070926682784,0.9523032838974455
SB51448_component_64a,315.457540,2.265656,84.325,315.457356,2.265751,87.766,1.0089869487188314,0.9607934387831527
SB51448_component_66a,319.701274,0.629509,80.708,319.701355,0.629596,83.137,1.0194777632141736,0.9707831673395175
SB51448_component_67a,319.081285,1.955939,77.454,319.081255,1.956063,81.434,0.9988346893401719,0.9511260945105373
SB51448_component_68a,317.788807,-2.521718,86.723,317.788977,-2.521592,83.609,1.0892731076148485,1.0372447891106689
SB51448_component_77a,318.309877,1.919085,76.517,318.309782,1.919204,77.916,1.0313042220975568,0.9820447442247501
SB51448_component_83a,317.883146,-0.952024,74.530,317.883078,-0.951829,75.875,1.0315444103073974,0.982273460023682
SB51448_component_85a,319.678710,1.335230,65.131,319.678579,1.335462,67.22,1.0175241747466741,0.9689228905697942
SB51448_component_92a,315.936649,0.900475,63.586,315.936629,0.90052,59.621,1.1199993218967221,1.0665033886576247
SB51448_component_93a,316.142157,1.849445,62.120,316.142148,1.849444,65.522,0.9956342183998655,0.9480784916804242
SB51448_component_99a,314.860362,0.447476,58.746,314.860281,0.447686,49.183,1.2543501708144396,1.1944370693647879
SB51448_component_121a,318.607065,-1.473453,47.398,318.607139,-1.473348,48.717,1.0217272801746293,0.9729252377981906
SB51448_component_123a,319.217892,2.375803,47.300,319.217922,2.375783,44.082,1.1268221193597752,1.0730003002826674
SB51448_component_129a,318.752686,2.067330,43.870,318.7526,2.067398,46.432,0.9922149196395286,0.9448225131780833
SB51448_component_137a,319.618832,0.343514,41.487,319.619003,0.343567,42.659,1.0213083335802389,0.9725263018757765
SB51448_component_141a,318.238869,0.602739,40.682,318.238905,0.602776,44.122,0.9682836904191992,0.9220343412932996
SB51448_component_145a,315.656869,-2.371562,40.504,315.656832,-2.371294,38.721,1.0985172650479635,1.0460474062506557
SB51448_component_146a,314.940277,-1.503056,40.060,314.940276,-1.502847,40.457,1.0398550478834057,0.9901871461870879
SB51448_component_147a,316.519664,1.131733,39.394,316.519692,1.131703,41.533,0.9960756181991202,0.9484988083470993
SB51448_component_151a,314.157467,-1.594955,42.342,314.157511,-1.594801,44.746,0.9937397447882091,0.9462745061894935
SB51448_component_154a,318.423035,-1.697175,39.651,318.423128,-1.697104,40.97,1.0163509828733022,0.9678057353322553
SB51448_component_155a,318.581174,1.542415,36.812,318.581249,1.542514,37.197,1.0392906541678668,0.9896497103169126
SB51448_component_170a,318.552342,2.177904,32.609,318.552229,2.178051,33.528,1.0213753408109922,0.9725901085560716
SB51448_component_177a,315.019919,1.000869,31.267,315.0198,1.001101,30.281,1.0843550920406468,1.032561678886571
SB51448_component_178a,317.351466,0.748269,34.030,317.351442,0.748309,37.38,0.95604460811065,0.9103798496334102
SB51448_component_185a,317.804312,0.362679,29.684,317.804487,0.362587,31.357,0.994130589241102,0.9466466822482632
SB51448_component_194a,316.017313,0.492932,28.915,316.017232,0.493163,28.463,1.066836970922956,1.0158802977735075
SB51448_component_198a,314.294243,2.004501,31.063,314.294112,2.004619,32.708,0.9973438725007843,0.9497064854268619
SB51448_component_201a,319.510585,-1.843428,30.248,319.510674,-1.843415,31.255,1.0163251424320525,0.9677811291404314
SB51448_component_205a,318.891112,-2.490185,28.524,318.891221,-2.490121,28.378,1.0555630175842128,1.005144836417178
SB51448_component_208a,315.184234,1.384654,27.023,315.183993,1.384676,28.57,0.9932963792927131,0.9458523177165938
SB51448_component_209a,316.474616,-2.062029,26.784,316.474663,-2.061748,27.155,1.0358125189564402,0.9863377056427367
SB51448_component_213a,317.500834,-1.620400,26.426,317.500869,-1.620305,25.783,1.0763499918240522,1.0249389363182242
SB51448_component_214a,314.239068,-1.282731,26.209,314.239097,-1.28255,28.881,0.9530018380456481,0.9074824152137759
SB51448_component_217a,314.921243,-0.603047,25.792,314.92119,-0.602709,27.437,0.9871971975321833,0.9400444588291187
SB51448_component_218a,317.843368,1.916272,25.218,317.84322,1.916453,27.576,0.9603618446218305,0.9144908765588665
SB51448_component_221a,319.737422,1.929600,25.502,319.737399,1.929878,25.848,1.0361027590817136,0.986614082664648
SB51448_component_227a,314.417173,-1.188343,24.623,314.417225,-1.188141,26.704,0.9683227859717315,0.9220715694758904
SB51448_component_231a,314.539472,-0.642362,23.977,314.539447,-0.642172,24.583,1.0242723971065755,0.9753487891159304
SB51448_component_243a,317.211609,0.151902,22.728,317.211544,0.152041,23.909,0.9982868283853632,0.9506044017260923
SB51448_component_244a,319.600823,0.386488,22.713,319.601045,0.386527,23.019,1.0361999225021674,0.986706605146708
SB51448_component_245a,316.708630,-1.333299,22.571,316.70853,-1.333017,22.907,1.034756322143935,0.9853319572841408
SB51448_component_253a,319.427518,0.548248,24.583,319.427754,0.548335,25.543,1.010691238834012,0.962416324750635
SB51448_component_257a,318.955001,0.081406,21.687,318.95508,0.081414,24.423,0.9325153631809819,0.8879744615591125
SB51448_component_263a,315.110453,0.654845,21.409,315.110439,0.655011,20.954,1.0729635549790915,1.0217142501063528
SB51448_component_273a,314.626352,-1.908451,21.065,314.626524,-1.90835,23.045,0.9599315858316639,0.9140811687592804
SB51448_component_276a,314.621640,2.322066,19.351,314.621566,2.321989,21.868,0.929287004768547,0.8849003032812018
SB51448_component_277a,317.180169,-2.396209,20.087,317.180364,-2.395952,20.778,1.015235640073177,0.9667436660500759
SB51448_component_304a,315.323075,2.021517,18.216,315.323224,2.02155,21.0,0.9109388689873951,0.8674285525367373
