Component_ID,RA,DEC,ASKAP_flux,RA_comp,DEC_comp,Comp_flux,Flux_Ratio_AlphaCorr,Flux_Ratio_NOAlphaCorr
SB51927_component_3a,106.532528,-54.836591,586.067,106.532135,-54.836758,626.178,0.9828901780174117,0.9359431608928491
SB51927_component_11a,105.369637,-58.116988,333.611,105.369288,-58.11705,339.725,1.0312604558687462,0.9820030684572539
SB51927_component_15a,105.915934,-53.939169,240.238,105.915606,-53.939283,260.34,0.9690726464185399,0.9227856133970842
SB51927_component_23a,99.020631,-57.889109,195.300,99.020114,-57.889113,201.684,1.0169189116497253,0.9683465374137652
SB51927_component_28a,99.240070,-55.203280,183.487,99.239431,-55.203342,170.704,1.1288003129055895,1.0748840068874703
SB51927_component_30a,99.967755,-55.246615,181.228,99.967069,-55.246659,186.593,1.0199654547217285,0.971247564625532
SB51927_component_44a,100.715837,-56.349269,110.823,100.715232,-56.349341,111.223,1.0463833239309834,0.9964036039926544
SB51927_component_45a,102.972631,-53.168985,99.240,102.972718,-53.169009,106.861,0.9752658839665449,0.9286830355674149
SB51927_component_50a,101.034484,-56.718181,94.808,101.033835,-56.718257,93.612,1.0635770929748904,1.0127761254671044
SB51927_component_52a,107.638607,-58.053979,95.435,107.638251,-58.054022,92.613,1.082159395185258,1.030470857855741
SB51927_component_58a,101.519118,-54.196019,94.859,101.518614,-54.196097,97.032,1.026642134774343,0.9776053380293921
SB51927_component_65a,108.066902,-55.204334,91.136,108.066349,-55.204509,95.425,1.0029593288949963,0.955053723729778
SB51927_component_73a,108.733547,-56.761697,70.101,108.733441,-56.76162,71.037,1.036322931469888,0.9868237386827242
SB51927_component_83a,106.732321,-56.798307,66.211,106.731993,-56.798334,68.153,1.0202360846066347,0.9715052680755982
SB51927_component_84a,108.073235,-56.894377,64.603,108.073052,-56.894195,48.16,1.4087103532732512,1.3414243527029044
SB51927_component_92a,102.679431,-54.229886,62.036,102.679269,-54.229899,69.874,0.9323601367156252,0.8878266493702337
SB51927_component_126a,99.201725,-55.106235,47.878,99.20104,-55.10633,47.699,1.0541010143403335,1.003752664669087
SB51927_component_130a,104.654411,-55.548660,44.991,104.654157,-55.548855,33.057,1.4292813911046354,1.3610128302371778
SB51927_component_134a,106.691628,-56.509588,44.302,106.691273,-56.509641,42.055,1.10627015777851,1.0534299878356375
SB51927_component_137a,106.344017,-57.346219,43.460,106.343551,-57.346266,45.304,1.0074156291179022,0.9592971720923683
SB51927_component_149a,101.057696,-54.476311,42.540,101.057177,-54.476349,45.956,0.9720996665968868,0.9256680502116664
SB51927_component_150a,98.633311,-53.956091,47.536,98.632458,-53.95625,49.877,1.0008703514042672,0.9530645246926579
SB51927_component_170a,105.461867,-56.231481,36.372,105.461493,-56.231629,38.479,0.9926563958107903,0.9452429025689134
SB51927_component_172a,105.447315,-55.141601,39.064,105.447007,-55.141791,38.481,1.0660703695232143,1.0151503125185257
SB51927_component_180a,104.879114,-58.231719,34.122,104.878672,-58.231751,35.643,1.0053464970500106,0.9573268705762483
SB51927_component_212a,100.265671,-55.221753,30.523,100.265097,-55.221799,30.52,1.0502633670024522,1.0000983196973487
SB51927_component_223a,99.268929,-54.398465,33.231,99.268098,-54.398611,35.603,0.9801946393047749,0.9333763725787131
SB51927_component_230a,100.547929,-58.087294,32.069,100.547547,-58.0873,32.062,1.0503894018728923,1.0002183346060953
SB51927_component_238a,101.718540,-55.543943,29.360,101.718092,-55.544011,29.899,1.0312285238412238,0.9819726616392375
SB51927_component_257a,108.382823,-54.177771,24.798,108.382416,-54.177968,25.57,1.018454082856007,0.9698083823110426
SB51927_component_260a,99.688888,-54.520036,26.843,99.688038,-54.520156,29.632,0.95131777858752,0.9058787936010834
SB51927_component_269a,98.552713,-56.453767,24.868,98.552108,-56.453776,25.163,1.0378484992343957,0.9882764388394698
SB51927_component_277a,105.457270,-53.488133,22.895,105.457083,-53.488211,26.123,0.9203926167315035,0.8764307490626525
SB51927_component_287a,107.239325,-55.349929,24.801,107.238925,-55.350094,26.089,0.9983142953499846,0.9506305567516108
SB51927_component_292a,99.729694,-55.767845,21.238,99.729028,-55.767906,20.902,1.067041500718468,1.0160750583557063
SB51927_component_293a,100.484149,-58.026247,20.893,100.483576,-58.026168,21.407,1.0249448743966634,0.9759891460292358
SB51927_component_322a,99.066673,-53.941782,18.292,99.065848,-53.941874,20.715,0.9273245784145598,0.8830316107600547
