Component_ID,RA,DEC,ASKAP_flux,ASKAP_flux_SNR,RA_comp,DEC_comp,Comp_flux,Flux_Ratio_AlphaCorr,Flux_Ratio_NOAlphaCorr
SB62482_component_20a,140.350132,1.64279,188.76400756835938,2220.7529296875,140.350031,1.642781,189.392,1.0466859464043277,0.9966841660067974
SB62482_component_24a,141.054879,-2.315659,165.18299865722656,1776.1612548828125,141.054851,-2.315438,152.631,1.1365313778945951,1.0822375445173429
SB62482_component_50a,138.584144,0.742246,108.3759994506836,1337.975341796875,138.584239,0.742274,111.398,1.0216792099969936,0.9728720394502918
SB62482_component_51a,137.664296,-0.970927,110.97200012207031,1404.708740234375,137.664281,-0.970946,109.71,1.062248270939038,1.0115030546173578
SB62482_component_56a,139.838597,0.268559,103.09700012207031,1494.159423828125,139.838616,0.268588,105.217,1.029008466162543,0.9798511658959134
SB62482_component_64a,138.651156,-2.087023,93.5979995727539,1264.8377685546875,138.650994,-2.087037,88.529,1.1102987286019597,1.0572580687995337
SB62482_component_75a,136.73228,0.246505,83.35099792480469,2137.205078125,136.732324,0.246382,86.21,1.0153411621610169,0.9668367698040214
SB62482_component_86a,142.089323,-2.057182,72.49099731445312,1020.9999389648438,142.089256,-2.056809,67.998,1.1195584438015054,1.0660754333135256
SB62482_component_87a,140.896065,-0.49004,71.07599639892578,1204.6778564453125,140.895956,-0.490182,74.677,0.9995279161829148,0.9517789466492464
SB62482_component_88a,138.57242,0.391858,70.78900146484375,1123.6348876953125,138.572471,0.39183,73.34,1.0136399408735433,0.9652168184461923
SB62482_component_91a,142.2749,2.312693,75.80400085449219,913.30126953125,142.274949,2.312666,75.741,1.0510416523754988,1.0008317932756656
SB62482_component_95a,137.426186,-1.901439,64.75800323486328,966.537353515625,137.426059,-1.901424,65.29,1.0416111369726548,0.9918517879439925
SB62482_component_103a,141.115854,1.470957,69.21499633789062,1214.2982177734375,141.115824,1.470878,69.246,1.049697935527438,0.9995522678261651
SB62482_component_108a,138.497397,-1.400939,62.404998779296875,904.4202880859375,138.497309,-1.401025,61.579,1.0642547109393237,1.0134136439256383
SB62482_component_115a,137.849646,-1.409665,55.444000244140625,792.05712890625,137.84953,-1.409713,54.95,1.0596091361821618,1.0089899953437784
SB62482_component_122a,137.918106,1.052711,53.72100067138672,778.5652465820312,137.918188,1.052703,50.184,1.1241846563568396,1.0704806446554025
SB62482_component_136a,142.317698,-2.0468,47.42499923706055,1355.0,142.317621,-2.04645,46.641,1.067820645879126,1.0168092287270973
SB62482_component_146a,142.062504,0.666066,42.52199935913086,685.8386840820312,142.062445,0.666008,45.011,0.9920963438554498,0.944702391840458
SB62482_component_152a,140.106849,1.683072,44.939998626708984,976.9564819335938,140.106741,1.683057,44.638,1.05727304766013,1.0067655053252607
SB62482_component_168a,138.186144,1.195968,39.720001220703125,722.1818237304688,138.186305,1.196011,40.082,1.040683583382535,0.9909685450003274
SB62482_component_173a,141.683427,1.472403,42.0890007019043,825.2745361328125,141.683399,1.472391,43.769,1.009859195853329,0.9616166853687381
SB62482_component_176a,142.322874,1.4424,36.8380012512207,518.8450927734375,142.322949,1.442471,36.3,1.0657326410941503,1.0148209711080085
SB62482_component_181a,138.104959,-0.895367,40.737998962402344,798.7843017578125,138.104938,-0.895439,42.169,1.0145307731618682,0.966065094320528
SB62482_component_187a,142.333901,-1.405466,35.974998474121094,571.03173828125,142.3339,-1.405052,34.269,1.1024481852246222,1.0497825578254718
SB62482_component_193a,139.77557,0.922025,36.4370002746582,728.739990234375,139.775606,0.922184,36.653,1.043979385758286,0.9941069018813795
SB62482_component_198a,137.469971,-1.860352,31.945999145507812,515.258056640625,137.469875,-1.860283,31.252,1.073488742174118,1.022206551436958
SB62482_component_206a,138.873985,1.570101,30.941999435424805,499.06451416015625,138.874039,1.570284,32.312,1.0056419185683887,0.9576008738371133
SB62482_component_218a,138.039617,-0.165045,29.430999755859375,474.69354248046875,138.039627,-0.165126,26.702,1.157497489532095,1.1022020730978719
SB62482_component_224a,141.612322,0.747599,32.56399917602539,581.4999389648438,141.612347,0.747593,34.055,1.0041895200868853,0.9562178586411801
SB62482_component_235a,141.065673,-0.819183,27.570999145507812,626.6136474609375,141.065632,-0.819154,30.068,0.9629567847373435,0.9169548738029736
SB62482_component_239a,138.739418,2.420255,28.371000289916992,315.23333740234375,138.739484,2.4202,27.762,1.073205111626471,1.0219364703521718
SB62482_component_249a,140.842504,-2.52427,29.336999893188477,488.95001220703125,140.842443,-2.52409,27.726,1.1111874163429083,1.0581043025747845
SB62482_component_250a,142.127316,-1.752362,26.40999984741211,498.3018798828125,142.127217,-1.751854,27.102,1.0233540012600353,0.9744668233861747
SB62482_component_253a,137.304203,-0.992958,30.312999725341797,466.3538513183594,137.304166,-0.992966,30.64,1.038960385892074,0.9893276672761683
SB62482_component_261a,142.463899,-0.055449,25.545000076293945,364.9285583496094,142.463791,-0.05558,23.009,1.1659152918606257,1.1102177441998324
SB62482_component_262a,141.721979,2.585786,27.78499984741211,1029.0740966796875,141.722056,2.585686,26.13,1.116682790674764,1.0633371545125185
SB62482_component_265a,137.526066,1.864045,25.104999542236328,363.840576171875,137.52613,1.864219,24.998,1.0546631895572673,1.0042803241153824
SB62482_component_270a,142.432879,1.316824,24.915000915527344,336.689208984375,142.432822,1.316775,24.886,1.0513919436678254,1.0011653506199205
SB62482_component_275a,138.077916,-0.066805,24.5049991607666,360.36761474609375,138.078058,-0.066888,25.995,0.9899738078166196,0.9426812525780573
SB62482_component_278a,141.924962,-2.36329,23.69300079345703,401.5762939453125,141.924736,-2.362897,21.711,1.146038152437375,1.0912901659737937
SB62482_component_280a,138.573346,-1.820298,23.974000930786133,489.2653503417969,138.573257,-1.820336,25.64,0.9819318142043851,0.9350234372381487
SB62482_component_288a,138.198967,2.539708,25.70599937438965,6426.49951171875,138.199142,2.53963,25.64,1.052871344858312,1.0025740785643389
SB62482_component_289a,138.980352,-0.990816,22.915000915527344,487.55322265625,138.98018,-0.990951,20.979,1.1470805877755623,1.092282802589606
SB62482_component_298a,140.950574,1.793165,22.947999954223633,468.3265380859375,140.950579,1.793167,22.986,1.0484320103406146,0.9983468178118695
SB62482_component_307a,137.413189,-0.671482,21.618000030517578,348.67742919921875,137.413221,-0.671593,22.169,1.0240666993306031,0.975145474785402
SB62482_component_312a,137.849596,1.828543,21.156999588012695,352.6166687011719,137.849775,1.828693,20.781,1.0691692740973011,1.0180934309230882
SB62482_component_317a,142.505319,1.154167,20.98699951171875,272.5584411621094,142.505374,1.15408,24.666,0.8935327180274368,0.8508473004021223
SB62482_component_320a,139.342196,2.378014,20.56999969482422,267.1428527832031,139.342232,2.377911,20.993,1.0290076742303869,0.9798504117955614
SB62482_component_321a,139.903687,1.827736,22.847000122070312,456.94000244140625,139.903642,1.827673,22.695,1.057201647273334,1.0066975158435916
SB62482_component_324a,139.567256,-1.674001,21.195999145507812,353.26666259765625,139.567021,-1.674043,21.2,1.0499699423285558,0.9998112804484818
SB62482_component_337a,140.984797,1.334039,19.38800048828125,403.91668701171875,140.984764,1.333945,21.322,0.9549132449681068,0.9092955861683356
SB62482_component_340a,142.259995,0.848003,21.304000854492188,361.0847473144531,142.259935,0.848014,22.374,0.9999455944436266,0.9521766717838647
SB62482_component_341a,140.625506,-0.802721,19.22800064086914,437.0000305175781,140.625388,-0.802782,20.33,0.9932431612749139,0.9457944240466868
