Component_ID,RA,DEC,ASKAP_flux,ASKAP_flux_SNR,RA_comp,DEC_comp,Comp_flux,Flux_Ratio_AlphaCorr,Flux_Ratio_NOAlphaCorr
SB64690_component_6a,109.781352,-63.450018,669.4840087890625,4375.71240234375,109.780287,-63.449883,635.389,1.1065202093495636,1.053660055161582
SB64690_component_8a,97.433349,-66.191407,455.8949890136719,2681.735107421875,97.431932,-66.191004,484.374,0.9884229704744045,0.9412045010955828
SB64690_component_10a,101.118321,-67.216605,399.4200134277344,2627.763427734375,101.11674,-67.216103,438.737,0.956058341149742,0.9103859793628857
SB64690_component_17a,106.359874,-65.01235,220.58200073242188,2980.837890625,106.358294,-65.01219,237.215,0.9765326270671062,0.9298821774863388
SB64690_component_45a,107.334899,-65.375961,111.35800170898438,1687.242431640625,107.333438,-65.37579,109.854,1.0645458915403079,1.0136909143862252
SB64690_component_48a,105.798661,-64.373948,108.91600036621094,2593.238037109375,105.797163,-64.37385,100.109,1.1425557381122546,1.08797411188016
SB64690_component_57a,106.326394,-67.239958,102.56300354003906,1465.185791015625,106.324901,-67.239486,98.722,1.0910273048810468,1.0389072703150166
SB64690_component_71a,97.876277,-66.169855,88.21900177001953,1633.6851806640625,97.874873,-66.169485,92.804,0.9982843851865523,0.9505948210208561
SB64690_component_75a,97.184027,-66.169635,90.17400360107422,4098.818359375,97.182594,-66.169224,95.83,0.9881860033299659,0.940978854232226
SB64690_component_85a,101.472788,-65.051644,75.37300109863281,1752.8604736328125,101.47104,-65.051589,80.201,0.986949334610658,0.9398012630594733
SB64690_component_103a,110.925777,-64.111674,61.43299865722656,1365.177734375,110.924577,-64.11161,63.618,1.0140994261809504,0.9656543534412676
SB64690_component_118a,106.414595,-64.062559,47.62900161743164,1323.02783203125,106.41318,-64.062496,49.402,1.012478432911095,0.9641107974865722
SB64690_component_129a,98.178869,-63.661241,43.07400131225586,978.95458984375,98.177423,-63.661121,44.76,1.01061088900624,0.9623324689958861
SB64690_component_135a,101.123611,-64.688341,41.27899932861328,1179.4000244140625,101.121968,-64.68827,35.013,1.2381084030546494,1.1789620806161507
SB64690_component_140a,111.276149,-65.013357,49.92599868774414,49925.99609375,111.274352,-65.013389,47.185,1.1111728867154984,1.0580904670497857
SB64690_component_150a,99.867296,-63.027349,35.79600143432617,852.2857666015625,99.866276,-63.027185,37.02,1.0154462418416945,0.9669368296684541
SB64690_component_153a,109.610762,-66.883601,40.13800048828125,912.227294921875,109.609817,-66.883293,41.693,1.0110006211627858,0.9627035830542597
SB64690_component_160a,109.10092,-63.730296,34.41899871826172,1075.5936279296875,109.099851,-63.73015,34.712,1.0413037424007237,0.9915590780785237
SB64690_component_164a,110.334044,-64.533238,33.46900177001953,796.8809814453125,110.332913,-64.533188,34.419,1.0211824570140062,0.9723990171132089
SB64690_component_167a,105.929239,-67.264813,31.7189998626709,621.941162109375,105.927838,-67.264327,31.059,1.0724840709021892,1.021249874840494
SB64690_component_185a,99.689522,-66.769379,29.815000534057617,709.8809814453125,99.687956,-66.768896,30.083,1.0408125301494666,0.9910913317839849
SB64690_component_191a,107.6045,-65.061953,28.48200035095215,890.0624389648438,107.603064,-65.061817,28.813,1.0381039473659603,0.9885121421216864
SB64690_component_211a,98.520889,-63.447479,27.530000686645508,834.242431640625,98.51965,-63.447318,29.187,0.9905481662597413,0.9432281730443521
SB64690_component_229a,108.606812,-62.837452,28.434999465942383,710.875,108.605763,-62.837371,29.4,1.0156983062569993,0.9671768525830743
SB64690_component_232a,98.78861,-64.94483,24.514999389648438,742.8787841796875,98.786736,-64.944808,25.308,1.0172621722717445,0.9686660103385664
SB64690_component_236a,98.834183,-62.941607,24.27899932861328,638.9210815429688,98.833109,-62.941424,25.858,0.986040347790765,0.938935699923168
SB64690_component_253a,103.298798,-65.293442,22.982999801635742,741.3870849609375,103.2972,-65.293321,22.797,1.0587364089126627,1.008158959583969
SB64690_component_259a,108.3618,-62.252576,22.601999282836914,1883.4998779296875,108.360824,-62.25243,22.135,1.072324342072886,1.0210977765004252
SB64690_component_279a,108.596469,-65.735489,20.430999755859375,600.9117431640625,108.595287,-65.735321,20.957,1.023809934590022,0.9749009760871964
SB64690_component_295a,106.867846,-62.633077,20.650999069213867,543.4473876953125,106.866434,-62.633121,20.738,1.0457624200317774,0.9958047578943904
SB64690_component_316a,100.563753,-66.237101,19.391000747680664,587.6060791015625,100.562181,-66.236694,20.329,1.0017123806390738,0.9538590559142439
