Component_ID,RA,DEC,ASKAP_flux,ASKAP_flux_SNR,RA_comp,DEC_comp,Comp_flux,Flux_Ratio_AlphaCorr,Flux_Ratio_NOAlphaCorr
SB70295_component_22a,131.346968,3.373099,159.75100708007812,1597.510009765625,131.346956,3.373007,151.688,1.105990034181502,1.0531552072680643
SB70295_component_40a,131.859595,4.000247,124.85099792480469,821.38818359375,131.859635,4.000138,120.208,1.0907305584300657,1.0386246998935569
SB70295_component_45a,127.110413,3.537931,102.51799774169922,976.3619384765625,127.110446,3.53816,96.294,1.1180461289114956,1.0646353640070951
SB70295_component_68a,126.252271,6.244763,73.30699920654297,637.4521484375,126.252116,6.244968,69.108,1.1139763014755195,1.0607599584207756
SB70295_component_69a,131.814458,5.545092,81.16600036621094,1014.5750122070312,131.81452,5.54516,79.593,1.070922653884647,1.0197630490898815
SB70295_component_75a,130.614192,5.787887,64.31600189208984,989.4769897460938,130.614145,5.78801,60.838,1.1102044020107384,1.0571682483331115
SB70295_component_80a,127.499113,2.710884,69.5250015258789,952.3972778320312,127.499062,2.710914,62.538,1.1674972146849099,1.111724096163595
SB70295_component_93a,131.644254,4.449291,52.479000091552734,589.6516723632812,131.644355,4.449304,44.888,1.2277618376568666,1.169109786391747
SB70295_component_96a,128.987869,4.50317,51.652000427246094,622.3132934570312,128.987769,4.503337,48.032,1.1293155537580666,1.075366431280107
SB70295_component_119a,126.22196,4.994333,43.319000244140625,515.702392578125,126.221793,4.99461,40.564,1.1214927882350738,1.0679173711700183
SB70295_component_124a,127.785236,6.364587,41.5369987487793,423.846923828125,127.785065,6.364532,41.654,1.047218329203983,0.9971911160699883
SB70295_component_127a,126.441737,3.246615,46.58300018310547,149.78457641601562,126.441809,3.246675,42.187,1.159598506005222,1.104202720816969
SB70295_component_137a,129.060487,5.95464,42.11399841308594,658.0311889648438,129.060307,5.954666,38.021,1.1632197717813821,1.1076509932165366
SB70295_component_140a,127.980604,6.380346,38.05500030517578,521.3013916015625,127.980404,6.380206,36.767,1.0869570128625883,1.0350314223400272
SB70295_component_146a,130.992151,2.370506,35.47100067138672,373.37896728515625,130.99175,2.370459,30.579,1.21817307399356,1.1599790925598195
SB70295_component_147a,126.265359,4.747936,32.59400177001953,465.62860107421875,126.265285,4.748372,29.132,1.1749684839549792,1.118838451531633
SB70295_component_149a,128.692143,2.166048,32.81399917602539,400.17071533203125,128.691977,2.166051,29.443,1.1704043792737024,1.1144923810761604
SB70295_component_158a,127.963763,2.293802,31.222000122070312,367.3176574707031,127.963576,2.29384,26.057,1.2583317139409511,1.198219293167683
SB70295_component_164a,129.035197,2.593266,29.915000915527344,404.25677490234375,129.035108,2.593362,25.779,1.2186578439059874,1.160440704275858
SB70295_component_165a,130.8681,4.354952,30.148000717163086,471.0625,130.868176,4.354892,31.514,1.0046477604851938,0.956654208198359
SB70295_component_174a,130.2072,2.257287,28.871999740600586,390.1621398925781,130.206986,2.257287,25.481,1.1899240204474937,1.1330795392881199
SB70295_component_175a,131.455998,5.192275,33.39799880981445,417.4750061035156,131.45609,5.19233,31.74,1.1050256440469872,1.0522368875177837
SB70295_component_177a,126.927538,6.403823,28.19099998474121,462.14752197265625,126.927427,6.403877,26.492,1.1175181083029802,1.0641325677465352
SB70295_component_180a,130.805596,3.969939,28.16200065612793,485.5517578125,130.805686,3.969796,26.471,1.1172541858816616,1.0638812533008926
SB70295_component_195a,126.031419,4.092608,25.774999618530273,306.8452453613281,126.03144,4.092802,22.789,1.1877696756986846,1.1310281108662192
SB70295_component_204a,131.461256,4.835654,27.233999252319336,289.7234191894531,131.461395,4.83553,26.67,1.072376380051807,1.0211473285459067
SB70295_component_213a,127.16052,2.10269,24.926000595092773,237.39048767089844,127.160349,2.102649,25.638,1.021003643928262,0.9722287462006698
SB70295_component_217a,126.888314,2.154401,24.520000457763672,272.4444274902344,126.88827,2.154403,22.588,1.139991279360803,1.085532161225592
SB70295_component_221a,126.538237,5.839614,26.961999893188477,490.2181701660156,126.537987,5.839741,24.852,1.139330154424367,1.0849026192334008
SB70295_component_226a,126.790493,4.962945,23.29199981689453,447.9230651855469,126.790364,4.96322,20.312,1.2042396554769914,1.1467112946482143
SB70295_component_228a,130.695905,5.234094,23.222000122070312,387.0333557128906,130.695908,5.234109,21.432,1.137878146391538,1.0835199758338145
SB70295_component_229a,130.352193,5.966392,27.125,444.672119140625,130.352139,5.966607,24.824,1.1475108973190102,1.0926925555913631
SB70295_component_234a,129.95932,5.550404,22.08099937438965,394.3035583496094,129.959112,5.550636,21.628,1.0721639454602496,1.0209450422780493
SB70295_component_235a,131.812529,4.289369,22.8799991607666,282.4691162109375,131.812538,4.289296,21.355,1.1251625344703426,1.0714118080433903
SB70295_component_238a,128.899289,5.771813,23.761999130249023,389.54095458984375,128.899247,5.771797,22.73,1.097848402193634,1.0454025134293454
SB70295_component_243a,128.274404,6.125327,22.636999130249023,310.09588623046875,128.27416,6.125362,23.562,1.0089404565009736,0.9607418355932867
SB70295_component_249a,128.920474,6.443819,22.152000427246094,402.7636413574219,128.92021,6.44392,20.69,1.1243752950841586,1.0706621762806232
SB70295_component_252a,126.989715,3.193178,21.46500015258789,335.390625,126.989854,3.193441,21.726,1.0375521983718903,0.9879867510166571
SB70295_component_290a,128.205644,3.293077,20.58099937438965,367.517822265625,128.20557,3.293224,20.588,1.049811036430629,0.9996599657271055
SB70295_component_300a,131.872119,4.106053,26.23900032043457,,131.871853,4.105978,22.278,1.2368866993780057,1.177798739583202
