Component_ID,RA,DEC,ASKAP_flux,ASKAP_flux_SNR,RA_comp,DEC_comp,Comp_flux,Flux_Ratio_AlphaCorr,Flux_Ratio_NOAlphaCorr
SB72953_component_7a,101.660346,-10.591169,370.57501220703125,4163.76416015625,101.660455,-10.5908,392.33,0.9919355324373209,0.9445492626284793
SB72953_component_8a,101.785215,-10.456976,383.6700134277344,4081.595947265625,101.785335,-10.456601,410.662,0.981142692481942,0.93427201306119
SB72953_component_10a,100.711432,-10.24954,297.75299072265625,3422.4482421875,100.711484,-10.249205,309.165,1.0114039472325276,0.9630876416239104
SB72953_component_19a,104.402852,-10.658443,205.3179931640625,2851.638916015625,104.403061,-10.658272,199.837,1.078971425970456,1.027427319085367
SB72953_component_20a,104.135201,-10.570659,195.6439971923828,2920.0595703125,104.135439,-10.570448,202.436,1.0149335621947035,0.9664486415083424
SB72953_component_22a,99.634715,-8.033027,202.67799377441406,2471.682861328125,99.634823,-8.032749,217.703,0.9776896488818255,0.9309839266083336
SB72953_component_23a,103.543993,-10.893758,182.8459930419922,2997.475341796875,103.544157,-10.893491,118.081,1.6261636886153128,1.5484793746834138
SB72953_component_25a,103.00525,-11.28559,187.06399536132812,2367.898681640625,103.005379,-11.285282,194.569,1.009660563202131,0.9614275417015462
SB72953_component_28a,102.621338,-9.520955,156.6750030517578,2568.442626953125,102.62155,-9.520629,171.273,0.9606598524455138,0.9147676694619573
SB72953_component_32a,99.589789,-7.368539,157.8719940185547,1973.4000244140625,99.589965,-7.368255,169.541,0.9778881608143993,0.9311729553238136
SB72953_component_38a,100.621153,-11.815686,128.48599243164062,1272.1385498046875,100.621236,-11.815197,132.922,1.0151208554645899,0.9666269874937229
SB72953_component_40a,99.281732,-10.881336,122.6729965209961,1477.9879150390625,99.281853,-10.880998,125.872,1.0234783852428326,0.9745852653568394
SB72953_component_48a,103.472549,-8.006095,109.60600280761719,1565.800048828125,103.472665,-8.005922,117.21,0.9820384861358396,0.9351250132891152
SB72953_component_51a,103.886671,-7.395868,110.63200378417969,1455.684326171875,103.886786,-7.395746,111.305,1.0438183773100291,0.993953585051702
SB72953_component_55a,104.762879,-11.420714,106.32499694824219,1296.646240234375,104.763186,-11.4206,102.128,1.093325269989405,1.0410954581333443
SB72953_component_62a,102.687815,-8.666713,94.80000305175781,1504.761962890625,102.68794,-8.666457,102.639,0.9699621185875298,0.9236255521951482
SB72953_component_64a,102.991007,-10.647218,93.50499725341797,1948.020751953125,102.991192,-10.646863,103.003,0.9533311464001885,0.9077890668564796
SB72953_component_67a,103.870348,-8.777334,91.5770034790039,1635.3035888671875,103.870467,-8.777127,98.167,0.9796698529722495,0.9328695333360896
SB72953_component_70a,101.053103,-10.205133,85.92900085449219,1481.5345458984375,101.053183,-10.20479,95.203,0.9478682195376296,0.902587112323059
SB72953_component_72a,100.168596,-9.584601,87.74299621582031,1866.872314453125,100.168688,-9.584293,91.135,1.0110813432855257,0.9627804489583619
SB72953_component_77a,99.128689,-9.770185,83.33200073242188,1344.0645751953125,99.12889,-9.769953,85.145,1.0278068159481963,0.9787069203408524
SB72953_component_78a,104.666842,-8.256003,82.12000274658203,1207.64697265625,104.666956,-8.255821,88.043,0.9795192086373311,0.932726085510285
SB72953_component_81a,100.977495,-8.320639,80.7509994506836,1242.3231201171875,100.977559,-8.320354,84.442,1.004264774110093,0.9562895176651856
