Component_ID,RA,DEC,ASKAP_flux,RA_comp,DEC_comp,Comp_flux,Flux_Ratio_AlphaCorr,Flux_Ratio_NOAlphaCorr
SB51928_component_10a,204.886005,-3.285111,347.114,204.88595617378516,-3.284954795854832,257.56683728002406,1.0608309423155577,1.3476657839087265
SB51928_component_18a,203.232305,-6.823437,242.790,203.2321088946195,-6.823136557008772,144.11880894812094,1.3260933445759886,1.6846516777246678
SB51928_component_19a,204.746948,-2.817173,241.213,204.74697268543545,-2.8170341138845414,138.696788180771,1.3689837022842002,1.739139028382817
SB51928_component_20a,201.590934,-3.379693,225.404,201.59087073103376,-3.3794433209850268,148.94071199147479,1.1912754260823284,1.5133807536176522
SB51928_component_38a,202.871454,-3.687358,147.783,202.87128370303927,-3.687220381716921,132.4108772192681,0.8785466080579792,1.1160941447130386
SB51928_component_42a,206.028930,-3.868509,129.344,206.02892095419566,-3.868378249138136,82.54545092386384,1.2334373638119334,1.5669427290417979
SB51928_component_64a,203.179990,-5.948052,96.481,203.180183942225,-5.947673579906983,43.2925706401707,1.754253740222084,2.2285810563093134
SB51928_component_73a,204.403225,-2.581699,79.779,204.40329303514343,-2.5815705873076635,52.44175613028895,1.197499483174229,1.5212877145152481
SB51928_component_75a,206.596486,-4.567943,80.849,206.59634255326378,-4.56777356545913,53.004984414240475,1.2006651711492282,1.5253093632023853
SB51928_component_84a,201.761582,-5.232605,71.195,201.76146164107055,-5.232306972786953,50.35360442193049,1.1129685833846088,1.4139007626595383
SB51928_component_88a,205.483704,-4.801737,66.686,205.48365616824665,-4.801599213251853,57.975552808363986,0.90542759565064,1.150243400519274
SB51928_component_89a,202.677462,-4.039314,70.082,202.67729971151965,-4.039093211443752,44.8415071955012,1.2302411991261615,1.5628823631390554
SB51928_component_96a,201.212758,-3.153594,60.728,201.2127864889372,-3.153241412818002,43.654475829299194,1.0950253712641078,1.3911059401636625
SB51928_component_103a,203.101548,-3.828628,59.853,203.10135925206103,-3.8285090130010078,38.43202550154858,1.2259044759070554,1.5573730465613222
SB51928_component_104a,203.962282,-6.379928,58.393,203.96214979909362,-6.379631320600751,41.95321863413115,1.0956188382783765,1.391859872913081
SB51928_component_106a,201.255620,-5.171756,58.944,201.2556726265631,-5.171451720009634,40.26436826003127,1.1523454546128389,1.4639246259490388
SB51928_component_107a,204.905893,-2.375852,57.583,204.9059745027646,-2.3756642103216494,40.38036579842695,1.122504308120481,1.4260148229105112
SB51928_component_110a,203.536208,-5.594407,57.356,203.53608056839806,-5.594152688738179,38.105394356571566,1.184830879798076,1.5051936861277606
SB51928_component_116a,206.426204,-5.419823,55.522,206.4261271918982,-5.419655447898955,34.02891915453179,1.2843426904234208,1.63161219158901
SB51928_component_120a,204.937369,-2.790697,50.838,204.9373756446884,-2.790530354115583,33.55710969707932,1.1925261097681927,1.5149696058491429
SB51928_component_127a,205.789075,-6.163614,49.012,205.78900360773562,-6.163353601271188,33.9418019065657,1.1366624578270563,1.4440011515156705
SB51928_component_129a,201.690845,-3.817017,48.881,201.69077431084298,-3.8168002078734635,35.04868960043874,1.0978228807019708,1.3946598596424253
SB51928_component_131a,206.083084,-2.468518,49.431,206.08319655909963,-2.4683865787006227,33.67929057929048,1.1553150636109164,1.4676971784629775
SB51928_component_132a,205.720174,-6.820959,48.368,205.72015203831657,-6.820580717238715,35.54776391381093,1.0710501824455734,1.3606481731956637
SB51928_component_142a,203.641628,-4.608746,46.405,203.6415466833166,-4.608579077618686,32.23900739823955,1.1330447955559775,1.4394053205816404
SB51928_component_149a,206.539549,-5.025877,42.406,206.53950608395144,-5.025775550626713,44.10642462231923,0.7568144460780367,0.961447194895088
SB51928_component_151a,205.616102,-6.776763,42.265,205.6160626061857,-6.776387041255866,30.33472035975731,1.0967429411605463,1.3932879185436005
SB51928_component_154a,205.917831,-5.238414,41.599,205.9177653443555,-5.23826798198026,28.443975149653856,1.151215336386276,1.4624889385035105
SB51928_component_157a,204.993227,-5.173362,42.723,204.99314825016125,-5.173193321215053,26.65023681414935,1.2618991298971474,1.6031001852137796
SB51928_component_168a,206.563822,-3.818644,37.982,206.5637846939868,-3.818537882372677,31.19311890572906,0.9584798507432358,1.2176402929887071
SB51928_component_175a,203.154435,-3.082471,35.809,203.15428761593236,-3.0823588564237974,18.31605433719593,1.5389489848924645,1.9550607051426931
SB51928_component_180a,201.946817,-4.312804,34.018,201.94675412366487,-4.3125381564495795,23.556718778418272,1.1367317121267877,1.444089131274192
SB51928_component_181a,201.585107,-5.133105,34.259,201.58503872757223,-5.132818285893995,24.66146271066387,1.0935025813617292,1.3891714077460486
SB51928_component_196a,204.404621,-2.362970,33.481,204.40464630205116,-2.3628490221556127,21.22908374700885,1.2414554349749316,1.5771287820011237
SB51928_component_198a,205.190288,-5.898259,32.147,205.19018300300183,-5.89803485516718,23.00931588478732,1.0997670705269977,1.3971297330219603
SB51928_component_205a,205.003957,-5.128065,29.745,205.00392084343343,-5.127906229370111,18.42019101310895,1.2711120409290517,1.614804147148366
SB51928_component_206a,205.457729,-5.522595,31.489,205.45759000386087,-5.522410333592739,20.5836507266577,1.2042050551145689,1.5298063855919128
SB51928_component_208a,201.403155,-4.197989,29.184,201.4031762324285,-4.197695281360509,26.607615824197826,0.8633816859229493,1.0968288255544458
SB51928_component_225a,201.415376,-4.985582,27.757,201.4154147141919,-4.985279696266414,16.04644823089134,1.3616252055553684,1.7297908901763608
SB51928_component_226a,205.199063,-5.947750,27.407,205.19896758840784,-5.947530065653524,19.794101386254212,1.0899075962501596,1.3846043855794925
SB51928_component_227a,201.251200,-5.883042,26.872,201.25126897133143,-5.882773673728395,19.6165227189128,1.0783057912232517,1.3698656038917942
SB51928_component_229a,202.813347,-4.347706,26.087,202.8132295604161,-4.347545310452407,17.555004859878252,1.1697341225601705,1.486014962764835
SB51928_component_233a,204.255696,-2.775094,25.694,204.25568466520636,-2.775036735132206,44.035664254184724,0.4592943983384911,0.5834816092662646
SB51928_component_239a,203.803102,-5.206081,25.952,203.80296410721297,-5.205759841199906,14.943410253012294,1.3670521551285701,1.7366852160854804
SB51928_component_247a,204.458273,-6.223658,25.544,204.4582308888876,-6.223393525757392,15.732239255199978,1.2780926880332437,1.6236722701231034
SB51928_component_253a,201.748453,-4.761868,23.949,201.74837927033877,-4.761557829091778,14.447927477792941,1.3048055544664998,1.6576079470026288
SB51928_component_263a,204.106206,-6.481895,23.141,204.10613257493046,-6.481550062991769,13.712531800314947,1.3283987713228211,1.6875804617750578
SB51928_component_264a,206.840059,-2.529822,22.647,206.84005256872737,-2.5297153582377594,15.091197122005601,1.1812748358507013,1.5006761343079655
SB51928_component_265a,203.938038,-6.098429,22.975,203.93790345559103,-6.0981894777167005,14.654942838454927,1.2340574410726628,1.5677304671010224
SB51928_component_266a,202.724783,-3.471973,22.825,202.72464433576323,-3.471803387224185,15.714030691966755,1.1433710198156795,1.4525236211106505
SB51928_component_275a,204.229773,-5.935641,22.131,204.2296472299912,-5.93541258882107,12.768631903972542,1.364333860473287,1.7332319300326522
SB51928_component_281a,204.358647,-4.441217,21.799,204.35855977733053,-4.441080179383892,13.490642435925723,1.2719437688798592,1.6158607634819515
SB51928_component_282a,202.390664,-6.522351,20.835,202.3904429320408,-6.5220243909454245,13.785123344702093,1.1897255980497652,1.5114118723123342
SB51928_component_284a,205.117059,-4.364750,20.365,205.1170372801035,-4.364603623369359,14.466737705584602,1.108096999115183,1.4077119655841035
SB51928_component_303a,204.807636,-2.664874,19.730,204.80767407602247,-2.6647649191256733,12.498164478442728,1.242638531504097,1.5786317723908436
SB51928_component_308a,205.208704,-3.799246,19.381,205.20866463100003,-3.7991411335618133,14.156444584367348,1.0776704549508904,1.3690584809833426
SB51928_component_310a,201.394058,-5.542745,19.388,201.39408841363928,-5.542476190033677,12.844168363734564,1.1882039966842122,1.5094788497963916
SB51928_component_312a,204.414216,-6.998444,19.221,204.414267496653,-6.998017792770935,10.50785588022174,1.4398785527731328,1.829202921174925
SB51928_component_313a,204.488112,-3.135931,19.155,204.48805938038927,-3.1358077940138824,14.140725055285522,1.0662878739128507,1.3545981985899478
SB51928_component_314a,201.871690,-5.303146,19.273,201.87161181874376,-5.302868471850414,15.028987640663905,1.00944715151577,1.2823884867012707
SB51928_component_321a,202.815568,-4.739553,19.602,202.8154735245799,-4.739356537412646,13.174625056382464,1.1711865636515704,1.487860124971124
SB51928_component_331a,201.347085,-2.773431,18.691,201.34714361021327,-2.773118390981582,14.956246771623034,0.9837254145340064,1.2497119277414066
SB51928_component_336a,204.882335,-2.607496,18.289,204.8823955052117,-2.607370240506673,15.643163275215352,0.920299842591862,1.1691369089314412
SB51928_component_337a,204.169198,-3.336866,18.343,204.1690785342224,-3.3367532520889145,11.20477053069346,1.2886393404315408,1.6370705996825141
SB51928_component_339a,201.351062,-3.482625,17.787,201.35109364151896,-3.4824127580292705,12.625075209184104,1.1090030070759478,1.4088629462728892
SB51928_component_342a,206.509135,-2.392854,18.301,206.50922653231186,-2.392721674750503,13.334815644917597,1.0803184566662993,1.3724224678027683
SB51928_component_345a,202.100307,-7.128630,17.365,202.1002087047597,-7.128199899938329,10.950776410980838,1.2482277884198558,1.5857322914296281
SB51928_component_347a,204.687435,-5.173175,17.261,204.6875151926512,-5.1729278910574985,11.780619634035828,1.1533517718168693,1.4652030381913046
SB51928_component_354a,203.477125,-2.588173,16.962,203.4771466188628,-2.5880512475157897,11.374850835825496,1.173803290158341,1.4911843801736773
SB51928_component_355a,203.662941,-4.045975,17.002,203.66271910727957,-4.045858891998899,15.633701690846834,0.8560560250566794,1.0875224015992382
SB51928_component_360a,202.208233,-4.031394,16.371,202.2080884999857,-4.031192219796136,14.233527132312528,0.9053711663163653,1.1501717134294869
SB51928_component_370a,204.207892,-2.321390,16.035,204.2079635462486,-2.321323211310109,10.733201331935517,1.175990086977037,1.493962458311636
SB51928_component_371a,206.582262,-5.973919,16.045,206.58215159272362,-5.973655725878851,10.58123541530636,1.1936233974318202,1.5163635857759992
SB51928_component_372a,205.340474,-2.937424,16.126,205.34047807584474,-2.9372255521199784,12.110161802950643,1.0481915915251703,1.3316089176244112
SB51928_component_387a,207.050997,-5.715705,15.546,207.05092675619136,-5.715490459171093,9.976549050108472,1.2265980915566714,1.5582542068300171
SB51928_component_390a,201.956566,-6.043468,15.523,201.956385537408,-6.043189337206614,10.946772397229761,1.1162296106976606,1.4180435291974363
SB51928_component_391a,203.472684,-7.148945,16.161,203.47259115145977,-7.14865058384983,9.05088638746412,1.4055330903548011,1.7855708939711592
SB51928_component_394a,206.490458,-3.781023,15.222,206.49045438301482,-3.780854990414472,10.962107031786896,1.0930541049612787,1.3886016691801106
SB51928_component_399a,204.700862,-2.884715,14.856,204.70088682592262,-2.884458925708119,13.788536859003624,0.8481012071857399,1.0774167047966068
SB51928_component_400a,203.159381,-7.115076,14.897,203.1591246134842,-7.114657739848072,11.579175955953811,1.012710120273352,1.2865337196249615
SB51928_component_405a,204.532287,-6.623736,15.365,204.53235460153607,-6.623335374628765,9.751898754336125,1.2402446177151432,1.575590575557012
SB51928_component_414a,202.833706,-5.904822,14.560,202.8334932660922,-5.9045878605887046,10.558982327146017,1.0854336997538316,1.3789208058606643
SB51928_component_415a,202.802673,-4.554167,15.214,202.802548842814,-4.554035543286393,10.260271450565059,1.1672087390313302,1.4828067484893013
SB51928_component_418a,204.842895,-5.224795,14.640,204.8429250789291,-5.224668661731634,10.303227753132331,1.118489118962346,1.420913979007402
SB51928_component_420a,205.970433,-5.323789,14.501,205.97034671373262,-5.323636842999598,9.133611116389003,1.2497392929160065,1.587652487014459
SB51928_component_427a,203.769390,-5.599643,14.145,203.76933768119628,-5.599484814740376,11.93051850192491,0.9332706838730238,1.1856148964088584
SB51928_component_429a,201.681751,-3.589767,13.759,201.6816702382404,-3.589493293326322,9.724304312066971,1.113761754454765,1.4149083968351615
