Component_ID,RA,DEC,ASKAP_flux,RA_comp,DEC_comp,Comp_flux,Flux_Ratio_AlphaCorr,Flux_Ratio_NOAlphaCorr
SB51932_component_17a,199.167580,-4.034357,212.306,199.16779469423648,-4.034257102371174,134.5246343706206,1.242294103167709,1.578194215127529
SB51932_component_20a,199.094857,-4.782150,198.129,199.0950632212461,-4.782021007174647,140.1202362234344,1.1130409903586354,1.4139927475343372
SB51932_component_29a,200.124884,-6.424181,136.607,200.1253509893812,-6.423781745458043,37.16326720169355,2.8934969278866114,3.6758607333286615
SB51932_component_38a,200.765048,-4.035631,112.873,200.76520751357543,-4.035507637336095,82.81049061457824,1.0729233360845316,1.3630278031315306
SB51932_component_61a,200.407929,-5.931667,76.475,200.4081166263588,-5.931578272076682,50.1538976113313,1.200269483946241,1.5248066873439372
SB51932_component_70a,201.169850,-3.558304,72.302,201.1700299914007,-3.558147854237046,52.010545364860384,1.0942659648243986,1.3901412001338873
SB51932_component_79a,200.426590,-5.699369,66.721,200.42677646594203,-5.699282390783515,46.761379853542806,1.123153745544547,1.4268398597380505
SB51932_component_82a,201.212576,-3.153508,63.688,201.2127864889372,-3.153241412818002,43.654475829299194,1.1483990055384226,1.458911108551139
SB51932_component_88a,201.255527,-5.171537,60.254,201.2556726265631,-5.171451720009634,40.26436826003127,1.1779557647681722,1.4964596297228692
SB51932_component_90a,200.414851,-6.672498,59.908,200.41505495966177,-6.672406030139993,36.659791341560876,1.2863490077462376,1.6341609909308938
SB51932_component_92a,197.487744,-4.526865,59.054,197.4880010738098,-4.526768265044944,37.23152105512071,1.2485401805164218,1.5861291502719865
SB51932_component_100a,198.871432,-5.609083,57.100,198.87161515596856,-5.609006084161928,46.28470345293405,0.9710969446448404,1.2336688844119934
SB51932_component_101a,200.103335,-3.082147,62.310,200.10358762739892,-3.0818874571091954,43.570884678813016,1.1257069809764526,1.4300834567077352
SB51932_component_111a,197.754069,-4.125088,54.057,197.75425153788507,-4.124983661148813,39.87191457908478,1.0672073804406894,1.3557663276821705
SB51932_component_115a,199.893350,-3.794974,53.190,199.89353168050965,-3.794758942860379,33.90368240536476,1.2349434886214423,1.5688560903429312
SB51932_component_124a,196.119497,-7.050961,49.450,196.1196076612097,-7.050965466358908,32.81069274022443,1.1863555857216832,1.5071306526337367
SB51932_component_128a,201.690692,-3.816835,49.365,201.69077431084298,-3.8168002078734635,35.04868960043874,1.1086931072057313,1.4084692535223582
SB51932_component_129a,196.156155,-6.985476,48.357,196.15626074143097,-6.9854787280762105,42.15963619083436,0.9028725680845793,1.1469975268457482
SB51932_component_131a,200.531499,-2.510277,51.081,200.5318072988275,-2.5101387399206674,34.834612778777924,1.1542832430525969,1.4663863670922745
SB51932_component_132a,197.112826,-4.025963,47.140,197.11303656893227,-4.025832062444975,49.03175636217646,0.7567912442525601,0.9614177195988162
SB51932_component_133a,200.100623,-2.313705,46.851,200.10076663876606,-2.3137003214447223,31.454525200209556,1.1724645588375167,1.4894836733758685
SB51932_component_135a,200.453547,-3.936363,47.093,200.45374761186432,-3.936208107914894,44.21474985723189,0.8384036260869778,1.0650970243346523
SB51932_component_137a,197.327712,-4.080007,46.807,197.3279236966377,-4.079893216151087,32.86356575390262,1.1211406326947,1.4242824274473178
SB51932_component_139a,200.583496,-6.104824,45.433,200.58366385404048,-6.104742763063645,30.55795366151475,1.1703374720709725,1.4867814501088703
SB51932_component_141a,201.122435,-2.607113,44.202,201.12268002010106,-2.606866741461449,33.661009234883764,1.033662499210112,1.3131513483707131
SB51932_component_144a,197.355231,-6.737612,45.008,197.3554076094781,-6.73770747405474,29.983410289599586,1.1816059200432925,1.5010967393451586
SB51932_component_148a,195.998468,-4.207300,43.808,195.9986606797646,-4.207288178600785,32.0971506014925,1.0743626698154096,1.3648563139180807
SB51932_component_150a,196.902635,-4.349076,43.570,196.90286124139547,-4.34900251173291,30.890160258734344,1.1102770736457388,1.4104815038149434
SB51932_component_155a,199.510206,-2.534184,48.342,199.51087557857124,-2.534573633625344,18.971503055559147,2.005796374701958,2.5481375361974603
SB51932_component_157a,197.811931,-2.512601,41.007,197.81208514300153,-2.5124294831916303,34.562002216380286,0.9339488266064647,1.1864764000867867
SB51932_component_161a,197.321887,-5.272753,40.801,197.32205426883104,-5.272639160988431,30.686067196691347,1.046630866121931,1.329626192441611
SB51932_component_167a,198.508971,-2.654503,37.663,198.5092875504868,-2.6542762782039935,36.957799747300285,0.8021817145151724,1.01908118061639
SB51932_component_169a,198.569324,-4.284596,36.403,198.56948499258553,-4.284464041895748,28.70450933841338,0.9982769033954311,1.2681979492753048
SB51932_component_179a,201.585021,-5.132874,35.080,201.58503872757223,-5.132818285893995,24.66146271066387,1.1197079255305504,1.4224623349646546
SB51932_component_192a,199.011031,-3.712589,31.761,199.01123521655182,-3.7123716941384948,23.05904561983299,1.0842184953588896,1.377377026057311
SB51932_component_197a,201.403038,-4.197813,30.638,201.4031762324285,-4.197695281360509,26.607615824197826,0.9063969469932117,1.1514748518135947
SB51932_component_208a,198.643479,-2.543639,31.873,198.64368195041004,-2.5433925857075805,19.512087462341864,1.2858288753165337,1.6335002214805951
SB51932_component_209a,197.470519,-3.913364,30.639,197.47067476481493,-3.913224648337632,21.285312671852367,1.1330746628426505,1.4394432635928232
SB51932_component_210a,199.537266,-3.313084,30.563,199.53748293013714,-3.3128712974103194,20.636680626255767,1.1657894239161743,1.4810036690908959
SB51932_component_212a,199.987543,-3.841967,28.397,199.9878020287335,-3.8417449439070954,21.43852767439442,1.0426570211796033,1.3245778716906684
SB51932_component_216a,200.918609,-6.909887,29.576,200.91876422130076,-6.909773414570274,17.258861235999646,1.3489357987324304,1.7136704333615893
SB51932_component_219a,201.415282,-4.985383,28.861,201.4154147141919,-4.985279696266414,16.04644823089134,1.4157821516679303,1.7985911676999191
SB51932_component_220a,197.246308,-4.519049,27.872,197.24653696019573,-4.518960814555349,26.358017543622317,0.8323756426048081,1.0574391527918456
SB51932_component_229a,197.443254,-6.840620,26.015,197.44342686407762,-6.840645118843421,19.416229255830064,1.0546853302409798,1.3398584785373286
SB51932_component_230a,200.704404,-5.253118,26.001,200.70457932797154,-5.253029218240346,16.534257762136004,1.2378536879523914,1.5725531695911226
SB51932_component_246a,196.396871,-4.320977,24.015,196.39705245913925,-4.32090872822006,15.696474432715407,1.2043270460103515,1.5299613612337768
SB51932_component_251a,200.101869,-5.479404,23.154,200.10204425883987,-5.479297886733669,17.06875469082904,1.067795671738735,1.356513685269249
SB51932_component_256a,198.722808,-2.970223,22.822,198.72304054824932,-2.969961463987672,16.2493668109867,1.1055572698460847,1.4044855266673761
SB51932_component_269a,196.054385,-5.551511,22.935,196.05450856706528,-5.551656334602808,15.338903257359254,1.1769781558138614,1.495217688066368
SB51932_component_273a,196.816132,-6.899670,20.421,196.81626731707544,-6.89964280292934,13.957219463321529,1.151707153849977,1.4631137369905456
SB51932_component_274a,200.228886,-6.249543,20.328,200.22909080915093,-6.249429328011342,13.014081298316505,1.2295468862474124,1.562000317119569
SB51932_component_276a,198.024336,-2.532143,20.117,198.02451893889454,-2.5319414218783747,11.89984318080145,1.3307178021776238,1.6905265283066622
SB51932_component_278a,201.346915,-2.773379,20.323,201.34714361021327,-2.773118390981582,14.956246771623034,1.069619152044531,1.3588302108509678
SB51932_component_280a,197.071476,-3.286684,20.539,197.07159308519994,-3.2864901654531664,13.903764680920178,1.1628156103069818,1.4772257750938724
SB51932_component_282a,201.181900,-5.896545,20.184,201.18207652585394,-5.896582733223775,17.877957160122875,0.8886961979843665,1.128988051290311
SB51932_component_286a,201.393968,-5.542497,19.670,201.39408841363928,-5.542476190033677,12.844168363734564,1.2054864925115933,1.5314343069366856
SB51932_component_290a,200.268287,-5.239709,19.648,200.26845069143383,-5.239496921937207,12.727744682553478,1.215152786450243,1.5437142405987707
SB51932_component_293a,198.845700,-3.058908,19.484,198.84594511604772,-3.0586335073758293,17.72267938931329,0.8653916488035851,1.0993822561654034
SB51932_component_296a,200.331052,-2.083996,19.729,200.331085642317,-2.0841194573877218,12.191882983023744,1.273791263111253,1.618207796041337
SB51932_component_297a,200.370830,-2.980936,19.436,200.3711545453514,-2.9807008375262583,13.08705999858546,1.1690384405095047,1.4851311773672151
SB51932_component_304a,197.913855,-5.383047,18.935,197.91407222565144,-5.382955313102713,13.247235440230275,1.125133404514605,1.429354792656515
SB51932_component_305a,199.851529,-6.066396,19.133,199.8517057407807,-6.066330735541582,13.494681507091302,1.1160519121318886,1.4178177832586742
SB51932_component_315a,200.462846,-5.405261,18.141,200.46307355503163,-5.405112785156281,12.687020624462532,1.1255520206023197,1.4298865970708692
SB51932_component_319a,201.350898,-3.482491,18.208,201.35109364151896,-3.4824127580292705,12.625075209184104,1.135251937428058,1.44220924480989
SB51932_component_320a,200.699313,-4.829365,18.756,200.6995278385389,-4.829209275791581,12.63679369497044,1.1683348122238786,1.4842372971764104
SB51932_component_327a,197.018199,-3.840868,17.291,197.01836294962632,-3.84077287797788,13.230668460998164,1.0287321431124357,1.306887888331717
SB51932_component_337a,200.087396,-4.370925,16.469,200.0876531682109,-4.370737041775449,11.908106239783555,1.0886505640499236,1.3830074682782008
SB51932_component_341a,200.351977,-6.990833,16.871,200.3520706192269,-6.990735006930641,10.529947096125456,1.2611844873429208,1.6021923126398951
SB51932_component_345a,195.925354,-4.539048,16.209,195.92545021169113,-4.539048753882426,11.454100635011084,1.1139333195090826,1.4151263508410215
SB51932_component_347a,200.870663,-2.561573,16.109,200.8708196695562,-2.5612971583765574,11.47485150196437,1.1050589949665441,1.4038525247635363
