Component_ID,RA,DEC,ASKAP_flux,RA_comp,DEC_comp,Comp_flux,Flux_Ratio_AlphaCorr,Flux_Ratio_NOAlphaCorr
SB52179_component_15a,303.659801,-16.806187,242.361,303.65952186454183,-16.805914916677175,157.55175038511075,1.2108865807536753,1.5382945085613258
SB52179_component_36a,304.058797,-19.285711,158.704,304.0593627010816,-19.28543878321268,111.88819404430417,1.1165227358656804,1.418415911585228
SB52179_component_38a,308.663800,-16.956831,148.180,308.6635257892883,-16.956580362481997,86.65133249139726,1.3461030245575436,1.7100717140211612
SB52179_component_55a,308.252761,-18.454939,130.474,308.2526646791568,-18.455044969960596,76.0904009540972,1.349764736461433,1.7147235050338097
SB52179_component_57a,306.934584,-17.676565,112.560,306.9342928617406,-17.676337736507246,87.00505166222807,1.0183652759154014,1.2937179555455627
SB52179_component_69a,303.789965,-19.250543,99.480,303.7917242268173,-19.250766189444224,3.39328469118095,23.077006377069686,29.31672771679879
SB52179_component_74a,305.846159,-16.188477,83.871,305.8456821269649,-16.187983785053728,59.26471306502237,1.1139857183686424,1.4151929176683338
SB52179_component_80a,308.495561,-17.747213,77.270,308.4953153706692,-17.7470113481391,56.885552613070345,1.0692343161169187,1.3583413203111332
SB52179_component_88a,305.714714,-20.982333,72.675,305.714345315786,-20.981874065801684,68.03912139215129,0.8407954222178244,1.0681355309232623
SB52179_component_90a,304.242725,-16.679134,70.007,304.24240751305933,-16.678785993340746,52.76541182227611,1.0443742018012743,1.3267593555410224
SB52179_component_96a,309.236076,-17.623459,64.257,309.23578355980527,-17.623239533415404,41.06573656853034,1.2316996864240704,1.5647352063671829
SB52179_component_99a,305.857975,-19.530200,61.632,305.8579622158881,-19.529715037600425,38.826714532975544,1.2495095933202824,1.5873606796459263
SB52179_component_107a,304.434810,-16.464351,55.652,304.4344597260417,-16.46396335967491,39.81371165143011,1.1003024744223693,1.3978099031429307
SB52179_component_114a,308.548868,-21.129815,53.016,308.54866161143934,-21.12924332049341,36.41631060815637,1.1459745689609613,1.45583113596515
SB52179_component_116a,307.251271,-18.619536,52.398,307.25109817599383,-18.619343578550303,50.81720081462185,0.8116484027514113,1.0311075377992436
SB52179_component_134a,305.643451,-19.267160,46.264,305.6436214022584,-19.26686785504475,33.14540293049033,1.0987119610661185,1.3957893357333957
SB52179_component_155a,307.459735,-20.516654,40.577,307.4593610780573,-20.51604774614172,26.209237212223847,1.2186795582202135,1.5481946054264313
