Component_ID,RA,DEC,ASKAP_flux,ASKAP_flux_SNR,RA_comp,DEC_comp,Comp_flux,Flux_Ratio_AlphaCorr,Flux_Ratio_NOAlphaCorr
SB76976_component_18a,28.132036,-4.132499,253.62899780273438,2012.928466796875,28.131999741156292,-4.1324596508784905,163.1439704329325,1.2237569432855773,1.5546329853912666
SB76976_component_24a,26.083486,-3.068647,220.13099670410156,2317.16845703125,26.083339167465766,-3.0684478716022414,171.37638534368946,1.0111079201361675,1.2844885032592817
SB76976_component_27a,27.47458,-5.799974,216.0800018310547,2250.833251953125,27.474597649348674,-5.799943414290073,137.08256441575057,1.2407938877284883,1.5762763320922193
SB76976_component_30a,26.60988,-2.127285,182.3040008544922,911.52001953125,26.609848782207653,-2.1270363245881914,134.72188873218312,1.0651857009068804,1.3531876859067697
SB76976_component_35a,27.643009,-5.352089,153.37899780273438,1762.97705078125,27.643001369750337,-5.351936369540591,104.2880283626482,1.1577071875943328,1.470724878117157
SB76976_component_45a,28.584293,-5.159169,124.76000213623047,1808.115966796875,28.584323507876878,-5.158992872183652,83.52148385445622,1.1758298004999133,1.4937474333386618
SB76976_component_46a,27.186019,-4.105049,122.22599792480469,2071.626953125,27.18589328050409,-4.105012935817856,85.83999282905609,1.1208337762290008,1.4238817350347244
SB76976_component_51a,26.58392,-3.067185,115.01599884033203,1855.0968017578125,26.583787375001798,-3.067074515413478,73.61533676427273,1.229864435375922,1.562391804422907
SB76976_component_52a,25.847684,-6.89616,109.02899932861328,1627.2984619140625,25.847582003499728,-6.8960439394967175,73.76856527147457,1.1634238968399846,1.4779872555115763
SB76976_component_53a,28.24655,-5.769952,107.58599853515625,1434.47998046875,28.246548061369467,-5.769859336344782,63.36255197473639,1.3365659265719494,1.6979429518251161
SB76976_component_57a,26.938452,-3.989053,98.67400360107422,1794.07275390625,26.938313434636544,-3.9889933982651224,66.15217383144181,1.1741563205699554,1.4916214825003216
SB76976_component_58a,26.826362,-5.133881,98.10800170898438,1196.43896484375,26.826376029845058,-5.133645907748651,138.10225667675167,0.559204870711476,0.710401148176893
SB76976_component_66a,26.346154,-2.395254,89.06800079345703,1073.1085205078125,26.346064984605977,-2.3950348186568506,63.17619053521839,1.1097765922501988,1.409834940012803
SB76976_component_70a,26.274904,-7.026231,84.177001953125,1065.5316162109375,26.27485131416841,-7.026183040467783,46.77434981045505,1.4166187489126838,1.7996402364594637
SB76976_component_74a,23.981447,-6.586872,81.24199676513672,873.56982421875,23.981388703146507,-6.586341855022778,54.26271320702753,1.1785455557073328,1.4971974669820807
SB76976_component_77a,28.190396,-3.983289,77.2979965209961,942.658447265625,28.190314410542733,-3.9832424186644277,48.329161354445105,1.2590015634930405,1.5994069492349376
