Component_ID,RA,DEC,ASKAP_flux,RA_comp,DEC_comp,Comp_flux,Flux_Ratio_AlphaCorr,Flux_Ratio_NOAlphaCorr
SB45761_component_11a,334.033433,-60.934733,285.4580078125,334.03366,-60.934441,284.396,1.0037342572065007,1.0037342572065007
SB45761_component_28a,323.200851,-61.238888,162.65699768066406,323.201206,-61.238512,164.599,0.9882016153236901,0.9882016153236901
SB45761_component_34a,325.275722,-62.822375,146.54800415039062,325.275941,-62.821941,156.465,0.9366184395896247,0.9366184395896247
SB45761_component_44a,327.760335,-59.217724,112.52899932861328,327.76044,-59.217578,113.453,0.9918556523724651,0.9918556523724651
SB45761_component_75a,325.83578,-60.243215,68.23799896240234,325.8361,-60.24311,70.21,0.9719128181512939,0.9719128181512939
SB45761_component_126a,330.003954,-57.949283,45.987998962402344,330.004395,-57.948981,42.625,1.0788973363613452,1.0788973363613452
SB45761_component_136a,325.286147,-61.247079,47.93899917602539,325.286451,-61.246893,49.295,0.9724921224470107,0.9724921224470107
SB45761_component_161a,325.044756,-59.651103,38.70199966430664,325.044858,-59.65102,40.581,0.9536975349130539,0.9536975349130539
SB45761_component_163a,329.131969,-62.54927,39.165000915527344,329.132025,-62.549057,39.142,1.0005876274980159,1.0005876274980159
SB45761_component_170a,334.512445,-58.412664,36.922000885009766,334.512504,-58.412432,34.468,1.071196497766327,1.071196497766327
SB45761_component_185a,326.529504,-62.114613,34.768001556396484,326.529826,-62.114281,35.12,0.9899772652732485,0.9899772652732485
SB45761_component_192a,326.162055,-59.940008,33.87799835205078,326.162318,-59.939905,34.96,0.9690502961112923,0.9690502961112923
SB45761_component_197a,328.296743,-59.165225,31.701000213623047,328.296729,-59.165062,31.622,1.0024982674600926,1.0024982674600926
SB45761_component_225a,329.122289,-62.811177,26.5310001373291,329.122176,-62.810986,30.653,0.8655270328297101,0.8655270328297101
SB45761_component_244a,323.799234,-62.326944,24.722999572753906,323.79966,-62.326584,24.451,1.0111242719215536,1.0111242719215536
SB45761_component_283a,329.543821,-62.191891,20.464000701904297,329.544121,-62.191711,20.846,0.9816751751848938,0.9816751751848938
