Component_ID,RA,DEC,ASKAP_flux,RA_comp,DEC_comp,Comp_flux,Flux_Ratio_AlphaCorr,Flux_Ratio_NOAlphaCorr
SB50008_component_4a,129.956379,1.07431,605.7570190429688,129.956191,1.074153,564.814,1.0724893841919088,1.0724893841919088
SB50008_component_5a,129.407474,0.852201,483.4309997558594,129.407329,0.851998,512.698,0.9429157120875435,0.9429157120875435
SB50008_component_9a,128.141448,-1.033934,323.18499755859375,128.141222,-1.034227,333.283,0.9697014175898373,0.9697014175898373
SB50008_component_10a,129.385912,-1.189599,274.3529968261719,129.385719,-1.18976,285.235,0.9618489905732882,0.9618489905732882
SB50008_component_12a,131.691844,2.201508,260.27301025390625,131.691682,2.201202,264.471,0.9841268428444186,0.9841268428444186
SB50008_component_13a,128.630168,-0.041784,258.4159851074219,128.630073,-0.042021,270.868,0.9540292138880262,0.9540292138880262
SB50008_component_15a,130.548785,-1.838828,223.6479949951172,130.548585,-1.838941,228.457,0.9789500649799183,0.9789500649799183
SB50008_component_21a,129.391391,2.11453,194.91700744628906,129.391184,2.114252,193.66,1.006490795447119,1.006490795447119
SB50008_component_22a,129.559134,-0.433345,183.85499572753906,129.558952,-0.433522,186.691,0.9848091002112531,0.9848091002112531
SB50008_component_23a,130.884778,-1.706484,183.52699279785156,130.884602,-1.706597,180.265,1.0180955415518906,1.0180955415518906
SB50008_component_26a,131.464454,0.753726,181.4029998779297,131.464305,0.75352,186.59,0.9722010819332745,0.9722010819332745
SB50008_component_27a,128.983171,-0.813806,178.86900329589844,128.982985,-0.814018,188.167,0.9505864646611704,0.9505864646611704
SB50008_component_28a,128.530506,-0.999048,175.38299560546875,128.530309,-0.999328,179.606,0.9764873980015631,0.9764873980015631
SB50008_component_29a,128.555731,1.189722,176.11700439453125,128.555577,1.189516,182.012,0.9676120497249151,0.9676120497249151
SB50008_component_30a,127.360539,1.118663,168.9149932861328,127.360434,1.118472,167.747,1.006962826674294,1.006962826674294
SB50008_component_44a,126.320958,-2.078444,115.13899993896484,126.320713,-2.078568,95.908,1.2005150763123498,1.2005150763123498
SB50008_component_47a,131.122601,-0.307611,127.95700073242188,131.122491,-0.307797,135.76,0.9425235764026362,0.9425235764026362
SB50008_component_61a,128.342522,1.361058,92.71800231933594,128.342327,1.36083,92.502,1.0023351097201785,1.0023351097201785
SB50008_component_67a,128.171079,-0.28442,87.75499725341797,128.170885,-0.284738,94.327,0.9303274486988664,0.9303274486988664
SB50008_component_76a,128.271386,-0.549083,83.73600006103516,128.271161,-0.549392,89.754,0.932950064186946,0.932950064186946
SB50008_component_79a,130.919279,0.220238,86.68299865722656,130.919119,0.220035,94.673,0.9156042235613804,0.9156042235613804
SB50008_component_83a,129.835476,-1.615303,78.91799926757812,129.835297,-1.615397,80.382,0.981786958119705,0.981786958119705
SB50008_component_84a,129.181108,1.099953,76.72799682617188,129.180937,1.099701,82.239,0.9329879598021847,0.9329879598021847
SB50008_component_85a,127.663192,0.984658,77.22699737548828,127.663097,0.98446,77.335,0.9986034444363908,0.9986034444363908
SB50008_component_88a,129.983316,1.783346,75.18900299072266,129.983109,1.783039,78.89,0.9530866141554399,0.9530866141554399
