Component_ID,RA,DEC,ASKAP_flux,RA_comp,DEC_comp,Comp_flux,Flux_Ratio_AlphaCorr,Flux_Ratio_NOAlphaCorr
SB50047_component_2a,316.939359,-7.018899,897.4600219726562,316.939325,-7.018832,953.755,0.9409754307685477,0.9409754307685477
SB50047_component_4a,314.250126,-8.204518,536.5700073242188,314.250099,-8.20458,540.758,0.992255329230855,0.992255329230855
SB50047_component_10a,315.498722,-8.869871,351.0559997558594,315.498534,-8.869823,360.381,0.974124606335682,0.974124606335682
SB50047_component_11a,317.078755,-11.699197,362.11700439453125,317.078589,-11.698972,360.853,1.0035028235722891,1.0035028235722891
SB50047_component_14a,315.695899,-7.835751,299.76300048828125,315.695805,-7.835687,302.74,0.9901664811002221,0.9901664811002221
SB50047_component_26a,319.537849,-9.951097,145.89599609375,319.537592,-9.950828,153.932,0.9477951049408181,0.9477951049408181
SB50047_component_27a,315.588076,-11.352474,139.44400024414062,315.587946,-11.352212,124.612,1.1190254569715647,1.1190254569715647
SB50047_component_31a,318.412164,-9.135523,131.81500244140625,318.412024,-9.135463,119.519,1.1028790605795418,1.1028790605795418
SB50047_component_34a,315.611835,-9.534095,145.0070037841797,315.611533,-9.533897,151.906,0.9545837806550083,0.9545837806550083
SB50047_component_35a,314.286853,-9.632619,142.7209930419922,314.286667,-9.632431,144.611,0.986930406691,0.986930406691
SB50047_component_40a,314.926726,-7.208004,111.2509994506836,314.926719,-7.207998,115.901,0.9598795476370661,0.9598795476370661
SB50047_component_42a,318.664766,-10.474064,109.78500366210938,318.664519,-10.473818,111.941,0.9807398867448868,0.9807398867448868
SB50047_component_49a,315.72532,-11.632316,92.29499816894531,315.725169,-11.632073,92.921,0.9932630747510822,0.9932630747510822
SB50047_component_57a,317.900078,-11.779649,82.08699798583984,317.899845,-11.779453,47.218,1.7384683380456571,1.7384683380456571
SB50047_component_62a,314.791671,-7.255957,86.73899841308594,314.791629,-7.25596,90.047,0.9632636113705725,0.9632636113705725
SB50047_component_67a,317.452369,-9.468071,79.80899810791016,317.452205,-9.467868,82.094,0.9721660305005257,0.9721660305005257
SB50047_component_68a,319.57473,-9.392513,70.87799835205078,319.574557,-9.392422,72.004,0.9843619570030939,0.9843619570030939
