Component_ID,RA,DEC,ASKAP_flux,RA_comp,DEC_comp,Comp_flux,Flux_Ratio_AlphaCorr,Flux_Ratio_NOAlphaCorr
SB50182_component_32a,207.721222,-1.478146,189.85000610351562,207.721376,-1.477969,194.72,0.9749897601865017,0.9749897601865017
SB50182_component_38a,212.076569,0.219049,171.82400512695312,212.076749,0.219584,177.266,0.9693004023724411,0.9693004023724411
SB50182_component_42a,208.672906,2.08854,159.85699462890625,208.672617,2.088512,164.207,0.9735090137990844,0.9735090137990844
SB50182_component_57a,208.091467,2.502088,117.4000015258789,208.091174,2.501943,126.51,0.9279898942840795,0.9279898942840795
SB50182_component_62a,209.826645,2.327692,106.13999938964844,209.826309,2.327623,113.255,0.9371771611818325,0.9371771611818325
SB50182_component_63a,206.652249,-1.00941,100.98100280761719,206.652638,-1.009296,106.131,0.9514750902904635,0.9514750902904635
SB50182_component_67a,210.133094,1.275417,101.60600280761719,210.132853,1.275501,105.093,0.9668198910262071,0.9668198910262071
SB50182_component_71a,212.347609,-0.077147,98.2750015258789,212.347806,-0.07665,100.478,0.9780748176305153,0.9780748176305153
SB50182_component_74a,209.200525,-2.29382,92.8949966430664,209.200117,-2.293538,90.25,1.0293074420284367,1.0293074420284367
SB50182_component_84a,206.99254,0.630751,80.61199951171875,206.992943,0.630847,77.798,1.0361705893688622,1.0361705893688622
SB50182_component_86a,211.751879,1.771527,78.70899963378906,211.751872,1.771389,78.466,1.0030968780591476,1.0030968780591476
SB50182_component_110a,208.598848,-0.585624,59.5989990234375,208.59898,-0.585191,59.851,0.9957895277177908,0.9957895277177908
SB50182_component_112a,208.168864,2.127302,60.38999938964844,208.168492,2.127287,61.477,0.9823185807643255,0.9823185807643255
SB50182_component_116a,210.779756,0.789114,58.4379997253418,210.779985,0.789171,62.647,0.9328140170373969,0.9328140170373969
SB50182_component_126a,207.587321,-1.526646,50.928001403808594,207.587498,-1.526497,52.36,0.972650905343938,0.972650905343938
SB50182_component_128a,207.302857,2.367429,51.387001037597656,207.30262,2.36737,55.569,0.9247422310568421,0.9247422310568421
SB50182_component_130a,207.152138,1.906826,51.275001525878906,207.151999,1.906792,54.865,0.9345666914404248,0.9345666914404248
SB50182_component_146a,212.022396,1.703845,45.29100036621094,212.022451,1.703621,42.038,1.077382377044839,1.077382377044839
SB50182_component_147a,209.605054,0.982717,45.06999969482422,209.60498,0.982746,35.91,1.2550821413206412,1.2550821413206412
SB50182_component_149a,208.219432,-1.895756,47.25400161743164,208.219376,-1.895683,47.251,1.0000635249504062,1.0000635249504062
SB50182_component_159a,206.592577,0.216003,46.180999755859375,206.59323,0.216343,47.057,0.9813842734526079,0.9813842734526079
SB50182_component_169a,210.943422,1.719773,42.09700012207031,210.943196,1.719758,42.91,0.981053370358199,0.981053370358199
SB50182_component_170a,209.836326,2.163831,37.362998962402344,209.835958,2.163765,37.973,0.9839359271693663,0.9839359271693663
SB50182_component_173a,207.749398,1.766326,38.625999450683594,207.749099,1.76632,40.33,0.957748560641795,0.957748560641795
SB50182_component_175a,207.652029,2.069416,40.13800048828125,207.651775,2.069455,42.384,0.9470083165411771,0.9470083165411771
SB50182_component_183a,209.131448,2.437776,35.242000579833984,209.131222,2.437692,37.291,0.945053781873213,0.945053781873213
SB50182_component_196a,210.950311,2.402469,32.060001373291016,210.94993,2.402574,34.059,0.9413077710235479,0.9413077710235479
SB50182_component_200a,209.350266,0.345131,31.507999420166016,209.350488,0.345267,30.6,1.029673183665556,1.029673183665556
SB50182_component_203a,207.600959,-2.431847,29.469999313354492,207.60115,-2.430921,29.483,0.9995590446479155,0.9995590446479155
SB50182_component_222a,212.085572,1.635889,27.729000091552734,212.085809,1.635552,26.996,1.027152174083299,1.027152174083299
SB50182_component_224a,207.195064,-2.067614,25.85099983215332,207.195233,-2.066923,26.598,0.9719151752821009,0.9719151752821009
SB50182_component_234a,212.13655,1.954653,26.072999954223633,212.136518,1.954501,28.538,0.9136239384057618,0.9136239384057618
SB50182_component_251a,207.092935,-0.555618,27.19700050354004,207.093483,-0.555074,28.677,0.9483907139359082,0.9483907139359082
SB50182_component_253a,209.801684,0.17113,23.232999801635742,209.802232,0.17132,24.841,0.9352682984435305,0.9352682984435305
