Component_ID,RA,DEC,ASKAP_flux,RA_comp,DEC_comp,Comp_flux,Flux_Ratio_AlphaCorr,Flux_Ratio_NOAlphaCorr
SB50428_component_1a,137.606913,-7.027724,741.364013671875,137.60695,-7.027661,749.564,0.9890603252982735,0.9890603252982735
SB50428_component_5a,137.320526,-5.014513,500.6369934082031,137.320606,-5.014533,511.257,0.9792276553831109,0.9792276553831109
SB50428_component_9a,141.831421,-6.733045,379.21099853515625,141.831313,-6.732933,389.074,0.9746500628033645,0.9746500628033645
SB50428_component_10a,141.106754,-4.30469,370.72601318359375,141.106719,-4.304825,373.914,0.9914740105574912,0.9914740105574912
SB50428_component_12a,137.455297,-3.657514,354.8810119628906,137.455313,-3.657584,364.053,0.9748058990391252,0.9748058990391252
SB50428_component_14a,141.400712,-6.104063,269.489013671875,141.400702,-6.104026,283.542,0.9504377258814392,0.9504377258814392
SB50428_component_19a,140.135083,-3.855415,238.5449981689453,140.135052,-3.855535,241.237,0.9888408418648272,0.9888408418648272
SB50428_component_23a,136.714672,-6.350901,195.17799377441406,136.714741,-6.350833,211.559,0.922570033770315,0.922570033770315
SB50428_component_26a,140.122903,-4.659621,198.3520050048828,140.122766,-4.659663,163.489,1.2132437350823775,1.2132437350823775
SB50428_component_27a,138.75536,-7.027464,185.61000061035156,138.755326,-7.027482,192.671,0.9633520385026889,0.9633520385026889
SB50428_component_30a,141.855877,-2.872638,185.16000366210938,141.855738,-2.87268,185.952,0.9957408560387055,0.9957408560387055
SB50428_component_43a,141.054846,-2.315424,152.5919952392578,141.054851,-2.315438,152.631,0.9997444505982259,0.9997444505982259
SB50428_component_48a,142.438866,-5.551527,127.93399810791016,142.43875,-5.551617,134.5,0.9511821420662465,0.9511821420662465
SB50428_component_69a,137.150188,-2.687587,110.03099822998047,137.150123,-2.687698,117.882,0.9333994861809306,0.9333994861809306
SB50428_component_71a,142.436836,-3.437753,96.6050033569336,142.436705,-3.437817,96.202,1.0041891369923037,1.0041891369923037
SB50428_component_73a,138.71538,-2.752186,101.33999633789062,138.715242,-2.75231,98.517,1.0286549157799225,1.0286549157799225
SB50428_component_86a,137.559889,-4.046232,87.71399688720703,137.55989,-4.046242,76.576,1.1454502309758545,1.1454502309758545
SB50428_component_93a,139.920803,-6.138493,71.53299713134766,139.920796,-6.138493,76.171,0.9391106475082072,0.9391106475082072
SB50428_component_96a,140.368109,-2.163641,69.90699768066406,140.368108,-2.163658,71.787,0.9738113820143488,0.9738113820143488
SB50428_component_97a,139.230289,-4.519434,67.36799621582031,139.230324,-4.519554,70.684,0.9530869251290294,0.9530869251290294
SB50428_component_98a,140.67128,-2.682431,68.4000015258789,140.671361,-2.682469,68.853,0.9934207881410965,0.9934207881410965
SB50428_component_102a,141.095214,-5.70912,63.345001220703125,141.095254,-5.709134,65.474,0.9674832944482256,0.9674832944482256
SB50428_component_104a,138.608645,-5.274633,59.98899841308594,138.608631,-5.274714,62.521,0.9595015820777969,0.9595015820777969
SB50428_component_109a,141.312398,-2.789591,55.76300048828125,141.312368,-2.789649,60.725,0.918287369094792,0.918287369094792
SB50428_component_110a,138.228022,-5.378748,55.645999908447266,138.227965,-5.378821,59.484,0.9354784464468977,0.9354784464468977
SB50428_component_115a,136.88323,-5.738193,56.48699951171875,136.883338,-5.738183,58.196,0.9706337121403319,0.9706337121403319
SB50428_component_125a,139.137339,-4.813117,49.30500030517578,139.137287,-4.813228,48.392,1.018866761141837,1.018866761141837
SB50428_component_134a,138.440265,-5.255984,46.24399948120117,138.440266,-5.256079,46.796,0.9882041089238647,0.9882041089238647
SB50428_component_135a,139.03034,-5.027013,46.83399963378906,139.03034,-5.027064,49.163,0.9526269681221461,0.9526269681221461
SB50428_component_152a,140.68491,-5.625825,41.435001373291016,140.685017,-5.625724,41.194,1.0058503998953976,1.0058503998953976
SB50428_component_155a,138.899501,-5.955044,39.06700134277344,138.899467,-5.955094,40.227,0.9711636796871117,0.9711636796871117
SB50428_component_158a,141.075305,-2.847472,38.71799850463867,141.075329,-2.847484,36.472,1.061581446167983,1.061581446167983
SB50428_component_164a,142.565874,-4.648969,37.551998138427734,142.565788,-4.649077,39.396,0.9531931703327173,0.9531931703327173
SB50428_component_180a,142.170195,-3.604364,37.529998779296875,142.170031,-3.604476,38.662,0.9707205726371341,0.9707205726371341
SB50428_component_193a,137.523656,-6.029388,29.483999252319336,137.523582,-6.029383,31.25,0.9434879760742187,0.9434879760742187
SB50428_component_202a,140.795617,-3.899034,28.617000579833984,140.795612,-3.899065,31.071,0.9210196189319295,0.9210196189319295
SB50428_component_203a,137.52008,-2.288807,27.900999069213867,137.520212,-2.289012,25.237,1.1055592609745164,1.1055592609745164
SB50428_component_205a,140.303611,-5.738329,29.041000366210938,140.303698,-5.738351,30.868,0.9408125037647705,0.9408125037647705
SB50428_component_206a,137.801925,-2.793748,28.71299934387207,137.801895,-2.793852,29.061,0.9880251658192103,0.9880251658192103
SB50428_component_207a,142.058312,-2.952624,28.694000244140625,142.058105,-2.952626,29.549,0.971065018922489,0.971065018922489
SB50428_component_208a,141.216335,-2.878977,32.20399856567383,141.216246,-2.879032,32.37,0.9948717505614405,0.9948717505614405
SB50428_component_210a,137.242283,-4.477551,27.243000030517578,137.242294,-4.47752,28.243,0.9645929975752427,0.9645929975752427
SB50428_component_211a,142.392946,-6.254137,26.815000534057617,142.392982,-6.254039,27.471,0.9761202917279174,0.9761202917279174
SB50428_component_212a,137.594484,-2.642643,26.155000686645508,137.594419,-2.642723,27.046,0.9670561519871888,0.9670561519871888
SB50428_component_214a,140.861447,-4.200812,26.378999710083008,140.861643,-4.200901,28.852,0.9142866945127897,0.9142866945127897
SB50428_component_217a,140.866828,-5.161594,26.461000442504883,140.866849,-5.161585,24.133,1.096465439129196,1.096465439129196
SB50428_component_219a,137.995239,-4.122844,28.009000778198242,137.995253,-4.122891,30.049,0.9321109114512377,0.9321109114512377
SB50428_component_223a,139.286006,-4.954601,25.62299919128418,139.28607,-4.954609,27.306,0.9383651648459744,0.9383651648459744
SB50428_component_228a,136.97411,-6.065534,25.070999145507812,136.974234,-6.065415,23.374,1.0726019998933778,1.0726019998933778
SB50428_component_235a,140.31461,-5.045297,24.542999267578125,140.314525,-5.045316,23.976,1.0236486181005224,1.0236486181005224
SB50428_component_238a,140.84242,-2.524057,26.69099998474121,140.842443,-2.52409,27.726,0.9626704171081732,0.9626704171081732
SB50428_component_239a,142.311833,-3.894402,23.961000442504883,142.311715,-3.894604,24.569,0.9752533860761481,0.9752533860761481
SB50428_component_241a,137.08582,-4.429954,24.20800018310547,137.085729,-4.429931,25.581,0.9463273594896786,0.9463273594896786
SB50428_component_243a,136.770118,-4.568637,26.315000534057617,136.770141,-4.568577,29.025,0.9066322320088758,0.9066322320088758
SB50428_component_250a,138.18347,-5.509669,23.246999740600586,138.183422,-5.509876,27.244,0.8532887880120609,0.8532887880120609
SB50428_component_254a,141.045594,-3.877041,23.517000198364258,141.04553,-3.877089,26.599,0.8841309898253414,0.8841309898253414
SB50428_component_257a,140.758848,-5.487073,22.875,140.759026,-5.487292,23.933,0.9557932561734843,0.9557932561734843
SB50428_component_260a,142.2259,-5.928493,22.200000762939453,142.225744,-5.928531,22.54,0.9849157392608453,0.9849157392608453
SB50428_component_265a,141.924956,-2.363032,22.08099937438965,141.924736,-2.362897,21.711,1.017042023600463,1.017042023600463
SB50428_component_268a,140.205839,-5.046913,22.211000442504883,140.205827,-5.047044,22.087,1.0056141822114766,1.0056141822114766
SB50428_component_287a,138.317379,-5.363311,19.875,138.317358,-5.363376,21.513,0.9238599916329661,0.9238599916329661
SB50428_component_302a,139.404116,-4.169982,18.908000946044922,139.404076,-4.170065,21.641,0.8737119793930467,0.8737119793930467
SB50428_component_329a,142.530757,-6.041197,20.562000274658203,142.530607,-6.04136,22.289,0.9225178462316929,0.9225178462316929
