Component_ID,RA,DEC,ASKAP_flux,ASKAP_flux_SNR,RA_comp,DEC_comp,Comp_flux,Flux_Ratio_AlphaCorr,Flux_Ratio_NOAlphaCorr
SB51448_component_4a,319.610383,-0.446608,334.364990234375,2051.31884765625,319.610324,-0.446535,335.576,0.9963912503706314,0.9963912503706314
SB51448_component_6a,319.480052,-2.215649,351.0979919433594,18478.841796875,319.480134,-2.215634,352.862,0.9950008556981464,0.9950008556981464
SB51448_component_13a,319.590652,-2.097011,224.552001953125,20413.818359375,319.590746,-2.096989,228.388,0.9832040297788194,0.9832040297788194
SB51448_component_14a,316.940543,0.19719,207.5,2561.728271484375,316.9405,0.197294,212.226,0.977731286458775,0.977731286458775
SB51448_component_23a,316.262698,-1.015821,173.33099365234375,3270.396240234375,316.262585,-1.015452,176.772,0.9805342115965411,0.9805342115965411
SB51448_component_25a,317.564112,-1.329009,173.85800170898438,2759.65087890625,317.564097,-1.328853,181.245,0.9592430230295146,0.9592430230295146
SB51448_component_34a,319.85599,0.528072,123.80000305175781,1628.947509765625,319.856028,0.528185,126.741,0.9767952205817992,0.9767952205817992
SB51448_component_38a,314.771187,0.845512,112.94300079345703,1851.5245361328125,314.77105,0.845684,116.406,0.9702506811801541,0.9702506811801541
SB51448_component_42a,317.157519,-0.999079,116.697998046875,2333.9599609375,317.15744,-0.998831,117.76,0.9909816410230553,0.9909816410230553
SB51448_component_43a,319.21145,2.429459,109.54100036621094,1244.7840576171875,319.211487,2.429491,105.776,1.0355940890770208,1.0355940890770208
SB51448_component_44a,314.778628,1.310376,102.33799743652344,1795.4034423828125,314.778435,1.310449,103.64,0.987437258167922,0.987437258167922
SB51448_component_47a,316.617087,2.527089,96.51100158691406,1378.7286376953125,316.617107,2.527164,73.203,1.3184022729521203,1.3184022729521203
SB51448_component_49a,318.102464,-2.012597,110.96199798583984,1880.7117919921875,318.102589,-2.012548,111.092,0.9988297805948209,0.9988297805948209
SB51448_component_57a,316.557308,0.33817,84.1989974975586,1683.97998046875,316.557294,0.338259,85.816,0.9811573307723337,0.9811573307723337
SB51448_component_58a,315.247318,-1.228915,83.64900207519531,1467.5263671875,315.24729,-1.228634,85.313,0.9804953767326822,0.9804953767326822
SB51448_component_61a,318.321177,2.450658,86.81199645996094,943.608642578125,318.321081,2.450789,92.291,0.9406333928547848,0.9406333928547848
SB51448_component_63a,315.872394,0.251094,91.68299865722656,1871.0816650390625,315.872352,0.251296,96.275,0.9523032838974455,0.9523032838974455
SB51448_component_64a,315.45754,2.265656,84.32499694824219,1453.8792724609375,315.457356,2.265751,87.766,0.9607934387831527,0.9607934387831527
SB51448_component_66a,319.701274,0.629509,80.70800018310547,1186.88232421875,319.701355,0.629596,83.137,0.9707831673395175,0.9707831673395175
SB51448_component_67a,319.081285,1.955939,77.4540023803711,1191.60009765625,319.081255,1.956063,81.434,0.9511260945105373,0.9511260945105373
SB51448_component_68a,317.788807,-2.521718,86.7229995727539,7226.91650390625,317.788977,-2.521592,83.609,1.0372447891106689,1.0372447891106689
SB51448_component_77a,318.309877,1.919085,76.51699829101562,1443.7169189453125,318.309782,1.919204,77.916,0.9820447442247501,0.9820447442247501
SB51448_component_83a,317.883146,-0.952024,74.52999877929688,1461.37255859375,317.883078,-0.951829,75.875,0.982273460023682,0.982273460023682
SB51448_component_85a,319.67871,1.33523,65.13099670410156,1085.5166015625,319.678579,1.335462,67.22,0.9689228905697942,0.9689228905697942
SB51448_component_92a,315.936649,0.900475,63.58599853515625,1324.708251953125,315.936629,0.90052,59.621,1.0665033886576247,1.0665033886576247
SB51448_component_93a,316.142157,1.849445,62.119998931884766,1294.1666259765625,316.142148,1.849444,65.522,0.9480784916804242,0.9480784916804242
SB51448_component_99a,314.860362,0.447476,58.74599838256836,1151.88232421875,314.860281,0.447686,49.183,1.1944370693647879,1.1944370693647879
SB51448_component_121a,318.607065,-1.473453,47.39799880981445,947.9599609375,318.607139,-1.473348,48.717,0.9729252377981906,0.9729252377981906
