Component_ID,RA,DEC,ASKAP_flux,ASKAP_flux_SNR,RA_comp,DEC_comp,Comp_flux,Flux_Ratio_AlphaCorr,Flux_Ratio_NOAlphaCorr
SB51819_component_30a,72.415362,-48.16135,139.66700744628906,3581.205322265625,72.414198,-48.161439,130.127,1.0733130514519589,1.0733130514519589
SB51819_component_38a,72.378784,-48.398622,123.22599792480469,3159.640869140625,72.377642,-48.398712,124.662,0.98848083557784,0.98848083557784
SB51819_component_43a,68.144941,-45.943859,119.75900268554688,2920.951171875,68.143889,-45.943982,116.55,1.027533270575263,1.027533270575263
SB51819_component_45a,69.203458,-48.991767,119.4800033569336,3063.58984375,69.202381,-48.991905,123.185,0.9699233133655363,0.9699233133655363
SB51819_component_46a,72.732554,-48.138106,118.56199645996094,3204.378173828125,72.731479,-48.13821,121.819,0.9732635833487464,0.9732635833487464
SB51819_component_58a,70.528198,-48.708664,99.6449966430664,2372.5,70.527012,-48.708787,90.308,1.1033905815992646,1.1033905815992646
SB51819_component_59a,67.479271,-46.810562,94.46399688720703,2361.599853515625,67.478239,-46.810716,111.246,0.84914510982154,0.84914510982154
SB51819_component_74a,75.355066,-47.197137,86.04900360107422,1720.9801025390625,75.354279,-47.197059,86.493,0.9948666782407157,0.9948666782407157
SB51819_component_105a,68.9489,-47.554186,58.82699966430664,1225.5625,68.947963,-47.554341,60.181,0.9775011991210955,0.9775011991210955
SB51819_component_124a,74.7394,-47.393394,53.48500061035156,1337.125,74.738565,-47.393355,52.921,1.0106574065182359,1.0106574065182359
SB51819_component_166a,71.649627,-47.876678,40.529998779296875,1307.4193115234375,71.648394,-47.876822,41.735,0.9711273218952169,0.9711273218952169
SB51819_component_173a,75.466232,-47.048612,38.03099822998047,9507.7490234375,75.465596,-47.048547,38.786,0.9805341677404339,0.9805341677404339
SB51819_component_178a,71.092739,-45.096076,41.3390007019043,1333.51611328125,71.091979,-45.09602,42.087,0.98222730776497,0.98222730776497
SB51819_component_179a,70.647463,-47.498683,36.94300079345703,684.129638671875,70.646266,-47.498853,32.717,1.1291683465310705,1.1291683465310705
SB51819_component_189a,68.430092,-47.619474,32.948001861572266,1267.2308349609375,68.429194,-47.619574,33.809,0.9745334633255129,0.9745334633255129
SB51819_component_205a,71.079116,-47.858419,29.68199920654297,1141.6153564453125,71.077923,-47.858544,29.311,1.0126573370592258,1.0126573370592258
SB51819_component_318a,68.934662,-47.991848,19.6200008392334,676.5517578125,68.933846,-47.991992,20.149,0.9737456369662711,0.9737456369662711
