Component_ID,RA,DEC,ASKAP_flux,ASKAP_flux_SNR,RA_comp,DEC_comp,Comp_flux,Flux_Ratio_AlphaCorr,Flux_Ratio_NOAlphaCorr
SB51930_component_6a,315.411857,3.691794,518.7039794921875,3758.724609375,315.411728,3.692068,358.911,1.445216166381603,1.445216166381603
SB51930_component_15a,319.003244,6.264579,252.23599243164062,3192.860595703125,319.00332,6.264825,248.828,1.013696177406243,1.013696177406243
SB51930_component_16a,318.39426,6.928423,247.16799926757812,2808.727294921875,318.394332,6.928776,270.698,0.9130765623225076,0.9130765623225076
SB51930_component_43a,319.634058,3.209131,120.20700073242188,1502.5875244140625,319.633995,3.209175,127.566,0.9423122205950009,0.9423122205950009
SB51930_component_45a,316.617256,2.526955,106.50900268554688,1901.9464111328125,316.617107,2.527164,73.203,1.4549813899095239,1.4549813899095239
SB51930_component_56a,315.394247,3.340164,98.875,1675.847412109375,315.39404,3.34046,101.828,0.9710001178457791,0.9710001178457791
SB51930_component_57a,318.321225,2.450579,91.57099914550781,1028.8875732421875,318.321081,2.450789,92.291,0.9921985799862155,0.9921985799862155
SB51930_component_68a,315.889006,3.056035,74.54100036621094,1433.480712890625,315.888764,3.056344,68.507,1.0880785958545978,1.0880785958545978
SB51930_component_71a,314.760242,2.237667,71.13400268554688,961.270263671875,314.759876,2.237935,72.515,0.9809557013796715,0.9809557013796715
SB51930_component_74a,314.575091,5.98545,71.09400177001953,764.4515991210938,314.574874,5.985612,75.652,0.939750459604763,0.939750459604763
SB51930_component_75a,315.463588,6.632406,70.39299774169922,1099.8905029296875,315.463504,6.632568,64.487,1.0915843153147025,1.0915843153147025
SB51930_component_78a,315.390867,4.639628,67.34200286865234,1247.0740966796875,315.390755,4.639896,68.455,0.9837411857227718,0.9837411857227718
SB51930_component_79a,317.740197,3.222581,66.55899810791016,1255.8302001953125,317.740158,3.222622,68.29,0.9746521907733219,0.9746521907733219
SB51930_component_81a,314.60363,3.014579,68.63300323486328,994.6812133789062,314.603323,3.014781,66.058,1.03898094454666,1.03898094454666
SB51930_component_84a,314.470106,5.089431,57.715999603271484,769.546630859375,314.469945,5.089569,66.54,0.8673880313085585,0.8673880313085585
SB51930_component_85a,319.651013,3.34549,64.93299865722656,854.381591796875,319.650919,3.345537,67.994,0.9549813021329318,0.9549813021329318
SB51930_component_88a,317.15963,5.52381,57.327999114990234,1124.0784912109375,317.159558,5.52401,58.47,0.9804686012483365,0.9804686012483365
SB51930_component_93a,316.664668,5.118768,54.40299987792969,1265.18603515625,316.664585,5.119069,54.216,1.0034491640462166,1.0034491640462166
SB51930_component_97a,317.457509,5.72085,60.90700149536133,1485.53662109375,317.457499,5.721033,65.507,0.9297785197820282,0.9297785197820282
SB51930_component_104a,314.56496,4.70079,55.13600158691406,1021.0370483398438,314.564818,4.700981,57.593,0.9573385930046023,0.9573385930046023
SB51930_component_107a,315.405682,3.826975,51.47800064086914,735.4000244140625,315.40552,3.827274,49.288,1.0444327349632596,1.0444327349632596
SB51930_component_108a,314.925727,5.832664,60.196998596191406,926.1077270507812,314.925539,5.832844,61.211,0.9834343271011976,0.9834343271011976
SB51930_component_112a,318.124342,7.15314,49.29999923706055,835.5932006835938,318.124408,7.153494,54.674,0.9017082934678375,0.9017082934678375
SB51930_component_116a,314.991416,3.049171,48.38399887084961,895.9999389648438,314.991145,3.049476,50.472,0.9586305054455858,0.9586305054455858
SB51930_component_117a,317.653314,3.357349,48.36199951171875,806.0333251953125,317.653179,3.357364,48.713,0.9927945212103289,0.9927945212103289
SB51930_component_122a,319.217977,2.375759,47.834999084472656,673.7323608398438,319.217922,2.375783,44.082,1.0851367697580114,1.0851367697580114
SB51930_component_127a,315.621391,6.149936,47.14099884033203,827.0350952148438,315.621215,6.150164,48.781,0.9663803292333497,0.9663803292333497
SB51930_component_136a,315.841293,5.582193,44.077999114990234,937.8297729492188,315.841081,5.582521,45.672,0.9650989471665405,0.9650989471665405
SB51930_component_138a,319.142057,3.093311,42.667999267578125,775.7817993164062,319.141985,3.09338,40.267,1.0596269716536648,1.0596269716536648
SB51930_component_140a,319.139002,3.387855,48.808998107910156,996.10205078125,319.138864,3.38786,52.471,0.9302090318063342,0.9302090318063342
SB51930_component_141a,319.665649,3.446508,45.08599853515625,609.270263671875,319.665587,3.446613,48.01,0.9390959911509321,0.9390959911509321
SB51930_component_147a,316.157397,3.27529,40.02199935913086,833.7916259765625,316.157242,3.275595,39.972,1.0012508595799774,1.0012508595799774
SB51930_component_148a,317.310935,4.737565,44.82400131225586,845.7359008789062,317.310923,4.737732,48.192,0.9301129090358536,0.9301129090358536
SB51930_component_161a,314.659667,5.579549,44.54399871826172,416.2990417480469,314.659368,5.579637,45.169,0.986163048069732,0.986163048069732
SB51930_component_172a,318.139354,5.084897,35.62799835205078,774.521728515625,318.139469,5.085078,37.556,0.9486632855482688,0.9486632855482688
SB51930_component_177a,315.754897,3.735943,35.66899871826172,699.3921508789062,315.754688,3.736227,36.461,0.9782781250723162,0.9782781250723162
SB51930_component_180a,314.09055,5.046803,36.83599853515625,511.6111145019531,314.090472,5.046869,37.434,0.9840251785851433,0.9840251785851433
SB51930_component_184a,318.552403,2.177832,34.08000183105469,508.65673828125,318.552229,2.178051,33.528,1.016463905722223,1.016463905722223
