Component_ID,RA,DEC,ASKAP_flux,ASKAP_flux_SNR,RA_comp,DEC_comp,Comp_flux,Flux_Ratio_AlphaCorr,Flux_Ratio_NOAlphaCorr
SB53200_component_6a,31.569812,-5.889258,553.7579956054688,1929.4703369140625,31.569145,-5.889146,562.15,0.985071592289369,0.985071592289369
SB53200_component_9a,34.781101,-2.880486,343.43701171875,1056.729248046875,34.780344,-2.880335,348.102,0.9865987892018719,0.9865987892018719
SB53200_component_21a,30.440124,-4.322659,217.3000030517578,1826.0504150390625,30.439627,-4.322691,223.933,0.9703795467919325,0.9703795467919325
SB53200_component_26a,32.838618,-2.20497,160.5919952392578,991.30859375,32.838335,-2.204841,174.946,0.9179517979219749,0.9179517979219749
SB53200_component_39a,34.379113,-2.410892,115.93800354003906,1008.1565551757812,34.378431,-2.410811,124.929,0.9280311500135202,0.9280311500135202
SB53200_component_40a,31.128406,-5.58683,114.93000030517578,1026.16064453125,31.127767,-5.586705,119.171,0.9644124854635421,0.9644124854635421
SB53200_component_41a,34.745347,-2.428871,113.90699768066406,889.8983764648438,34.744672,-2.42872,119.629,0.9521687691167197,0.9521687691167197
SB53200_component_52a,34.273348,-4.381413,94.44499969482422,1037.857177734375,34.272699,-4.381354,95.699,0.9868964116116596,0.9868964116116596
SB53200_component_55a,34.576001,-4.768511,93.33399963378906,933.3399658203125,34.57537,-4.76847,92.095,1.0134534951277383,1.0134534951277383
SB53200_component_61a,33.751018,-4.054093,84.90899658203125,884.4686889648438,33.750396,-4.054007,84.665,1.0028819061245053,1.0028819061245053
SB53200_component_63a,33.94216,-3.597467,84.56500244140625,567.5503540039062,33.941455,-3.597334,81.535,1.037161984931701,1.037161984931701
SB53200_component_83a,33.907105,-2.100381,67.03600311279297,478.8285827636719,33.906509,-2.10024,73.069,0.9174342486251758,0.9174342486251758
SB53200_component_99a,30.015291,-3.813937,59.625999450683594,816.7944946289062,30.014653,-3.813904,58.432,1.0204339993613702,1.0204339993613702
SB53200_component_101a,30.86171,-2.951617,59.63100051879883,816.863037109375,30.861269,-2.951475,61.365,0.9717428586131969,0.9717428586131969
SB53200_component_103a,32.750153,-3.489558,57.55099868774414,788.369873046875,32.749649,-3.48931,57.766,0.9962780647395378,0.9962780647395378
SB53200_component_104a,34.989314,-4.797713,60.52399826049805,672.4888305664062,34.988638,-4.797657,61.385,0.9859737437565863,0.9859737437565863
SB53200_component_106a,30.906673,-2.355671,55.573001861572266,604.0543823242188,30.90633,-2.355365,57.305,0.969775793762713,0.969775793762713
SB53200_component_107a,30.069686,-7.019547,57.02799987792969,626.6813354492188,30.069248,-7.019501,57.762,0.987292681658005,0.987292681658005
SB53200_component_108a,29.52465,-3.757082,52.941001892089844,661.7625122070312,29.524185,-3.757089,54.684,0.9681259946618727,0.9681259946618727
