Component_ID,RA,DEC,ASKAP_flux,ASKAP_flux_SNR,RA_comp,DEC_comp,Comp_flux,Flux_Ratio_AlphaCorr,Flux_Ratio_NOAlphaCorr
SB53214_component_11a,335.625917,-5.097601,409.5039978027344,1467.7562255859375,335.625683,-5.09736,418.09,0.9794637465682853,0.9794637465682853
SB53214_component_26a,335.347259,-5.78225,205.06199645996094,1653.725830078125,335.347048,-5.782019,211.64,0.9689189021922177,0.9689189021922177
SB53214_component_31a,330.179052,-5.34941,173.29600524902344,2166.2001953125,330.179033,-5.34915,167.612,1.0339116844201097,1.0339116844201097
SB53214_component_41a,333.477984,-6.961842,155.50100708007812,2286.779296875,333.477972,-6.961608,153.891,1.0104619963485724,1.0104619963485724
SB53214_component_46a,334.572193,-3.681543,142.0500030517578,1596.0673828125,334.572242,-3.681413,149.904,0.9476064884976906,0.9476064884976906
SB53214_component_51a,333.270756,-2.709812,124.14900207519531,1748.577392578125,333.270781,-2.709791,128.283,0.9677743900220241,0.9677743900220241
SB53214_component_52a,333.417438,-6.54334,125.90799713134766,2289.236328125,333.417371,-6.543101,125.292,1.0049164921251768,1.0049164921251768
SB53214_component_57a,332.776603,-5.600779,120.20899963378906,2185.6181640625,332.776592,-5.600554,120.294,0.9992933947976547,0.9992933947976547
SB53214_component_61a,335.87377,-6.200767,103.51399993896484,1101.2127685546875,335.873462,-6.200563,106.995,0.9674657688580293,0.9674657688580293
SB53214_component_62a,334.543095,-5.545222,91.61499786376953,1607.2806396484375,334.543091,-5.544978,81.325,1.1265293312483189,1.1265293312483189
SB53214_component_73a,330.126086,-4.998742,83.76899719238281,1196.699951171875,330.126062,-4.998466,87.924,0.9527432463534735,0.9527432463534735
SB53214_component_75a,335.017233,-2.806236,80.36299896240234,1057.407958984375,335.017248,-2.806171,85.9,0.9355413150454288,0.9355413150454288
SB53214_component_76a,334.91063,-2.23863,83.00900268554688,855.7628784179688,334.910648,-2.238599,87.683,0.9466943727466769,0.9466943727466769
SB53214_component_77a,330.243204,-5.525618,83.3759994506836,1323.4285888671875,330.243217,-5.525409,87.164,0.9565416852219218,0.9565416852219218
SB53214_component_80a,334.031038,-5.488619,79.53500366210938,1303.8525390625,334.031052,-5.48836,82.954,0.9587844306737394,0.9587844306737394
SB53214_component_84a,335.251101,-5.796312,75.07099914550781,987.7763061523438,335.250909,-5.796092,78.005,0.9623870155183363,0.9623870155183363
SB53214_component_85a,333.637615,-7.122918,74.125,1215.1639404296875,333.637575,-7.122687,72.246,1.0260083603244472,1.0260083603244472
SB53214_component_87a,335.223385,-5.643584,72.25900268554688,938.4285888671875,335.223214,-5.64334,65.564,1.1021140059414753,1.1021140059414753
SB53214_component_88a,332.263949,-2.166938,71.64199829101562,1053.5587158203125,332.264107,-2.166956,74.414,0.9627489221250789,0.9627489221250789
