Component_ID,RA,DEC,ASKAP_flux,ASKAP_flux_SNR,RA_comp,DEC_comp,Comp_flux,Flux_Ratio_AlphaCorr,Flux_Ratio_NOAlphaCorr
SB76783_component_3a,125.147606,-43.006658,868.2440185546875,730.23046875,125.14770833333331,-43.007,1005.8,0.9446297796893315,0.8632372425479097
SB76783_component_14a,119.022509,-40.629145,274.85198974609375,3523.743408203125,119.02199999999999,-40.62877777777777,266.0,1.130703437756336,1.033278156940202
SB76783_component_15a,124.358199,-42.160505,283.07501220703125,2721.875,124.35799999999999,-42.160777777777774,341.9,0.9060118913845371,0.82794680376435
SB76783_component_19a,118.101164,-43.640263,214.36700439453125,2936.534423828125,118.10145833333331,-43.63994444444444,215.2,1.0900517989642056,0.9961292025768181
SB76783_component_20a,117.276905,-43.862106,231.62100219726562,2185.103759765625,117.27649999999998,-43.86155555555555,278.4,0.9104166033392881,0.8319719906510978
SB76783_component_21a,120.100693,-39.988644,200.75,3461.20703125,120.10041666666665,-39.98855555555555,216.1,1.0165582071407475,0.9289680703378066
SB76783_component_29a,119.118739,-40.539401,166.1269989013672,2679.4677734375,119.11812499999998,-40.53916666666666,177.0,1.027066152638312,0.9385706152619615
SB76783_component_49a,120.577918,-41.470667,109.83699798583984,2496.29541015625,120.57774999999998,-41.47044444444444,109.7,1.0956541569033982,1.0012488421680934
SB76783_component_53a,117.867318,-40.50448,96.83799743652344,1936.7598876953125,117.86774999999999,-40.50408333333333,85.6,1.2379511257117,1.131285016781816
SB76783_component_82a,121.055393,-41.130153,64.97100067138672,1856.3143310546875,121.05524999999999,-41.13052777777777,65.4,1.0871094508333217,0.9934403772383289
SB76783_component_95a,124.041255,-39.864324,61.48500061035156,1661.7567138671875,124.04179166666665,-39.864666666666665,52.7,1.2767034453138595,1.1666983038017373
SB76783_component_96a,122.730658,-39.805897,57.45500183105469,1367.9761962890625,122.73095833333332,-39.805611111111105,70.3,0.8943427314240626,0.8172830985925276
SB76783_component_118a,121.317035,-44.380721,50.987998962402344,1019.7599487304688,121.31712499999999,-44.3808611111111,54.9,1.016312080158288,0.9287431504991319
SB76783_component_126a,117.800629,-43.389986,47.71500015258789,1109.651123046875,117.80095833333331,-43.38941666666666,29.7,1.758044825072526,1.606565661703296
SB76783_component_132a,123.158523,-40.503308,45.792999267578125,1272.02783203125,123.15862499999999,-40.50369444444444,47.6,1.052746000784203,0.9620377997390362
SB76783_component_135a,124.115149,-41.218749,43.60599899291992,1282.529296875,124.11520833333331,-41.21883333333333,35.4,1.3479520461390757,1.23180788115593
SB76783_component_139a,118.046351,-39.984556,44.02899932861328,1073.8780517578125,118.04645833333332,-39.983194444444436,51.7,0.9319223682868516,0.8516247452342994
SB76783_component_145a,124.487177,-40.815637,41.32899856567383,1008.0243530273438,124.48704166666666,-40.815527777777774,40.2,1.125020128894106,1.0280845414346722
SB76783_component_146a,122.934288,-41.842906,40.749000549316406,1101.3243408203125,122.93404166666664,-41.842499999999994,33.9,1.3153724060424221,1.2020354144341123
SB76783_component_151a,119.512087,-44.145301,41.66400146484375,1041.60009765625,119.51195833333331,-44.14483333333333,47.8,0.9538158721372182,0.8716318298084467
SB76783_component_152a,119.201871,-42.12759,40.099998474121094,1336.6666259765625,119.20216666666666,-42.1275,43.5,1.0087570037850655,0.9218390453820942
SB76783_component_164a,123.956,-40.581136,38.356998443603516,1065.47216796875,123.95616666666665,-40.58197222222222,36.0,1.1659329557339144,1.0654721789889865
SB76783_component_168a,118.390203,-40.878455,35.5260009765625,789.4666748046875,118.38974999999998,-40.8781111111111,34.8,1.1171166977945868,1.020862097027658
SB76783_component_174a,117.574869,-40.532707,36.24700164794922,724.9400024414062,117.57545833333332,-40.53091666666666,35.6,1.1141753694356575,1.018174203594079
SB76783_component_175a,118.517285,-44.19818,35.047000885009766,715.2449340820312,118.51670833333331,-44.19822222222221,34.3,1.1181194530523493,1.0217784514580108
SB76783_component_183a,124.506508,-39.699265,36.45199966430664,934.6666259765625,124.50670833333332,-39.69944444444444,36.8,1.0839394003246203,0.9905434691387675
SB76783_component_203a,119.840512,-41.326908,30.642000198364258,680.9332885742188,119.84033333333332,-41.326611111111106,30.2,1.1103033035400849,1.014635768157757
SB76783_component_209a,124.46405,-39.868883,29.256000518798828,731.4000244140625,124.46487499999998,-39.86888888888888,41.9,0.7640686766881135,0.6982339025966308
SB76783_component_229a,117.223354,-41.909987,27.232999801635742,567.3541870117188,117.22345833333331,-41.90958333333333,30.0,0.9933577675189733,0.9077666600545248
SB76783_component_237a,120.781506,-39.370796,25.441999435424805,565.3777465820312,120.78145833333332,-39.370527777777774,27.0,1.0311430961815242,0.9422962753861038
SB76783_component_240a,123.725295,-39.354369,25.184999465942383,572.3863525390625,123.72579166666665,-39.35216666666666,24.6,1.120310232773691,1.0237804660952188
SB76783_component_244a,120.049708,-42.268929,25.865999221801758,808.3124389648438,120.04924999999999,-42.268472222222215,27.9,1.0145104405183671,0.9270967463011384
SB76783_component_246a,123.221311,-42.020698,25.677000045776367,733.6285400390625,123.22154166666665,-42.021138888888885,27.8,1.0107202101599555,0.9236330951718117
SB76783_component_252a,118.311047,-42.442361,24.277000427246094,693.6286010742188,118.31187499999999,-42.44349999999999,19.8,1.3417181651341359,1.2261111326891967
SB76783_component_253a,118.804731,-41.287741,23.697999954223633,640.4864501953125,118.80420833333332,-41.28816666666666,23.0,1.1274968109659733,1.0303478240966797
SB76783_component_258a,122.940314,-41.365358,23.458999633789062,710.8787841796875,122.94012499999998,-41.366277777777775,22.6,1.1358801581268378,1.0380088333534983
