Component_ID,RA,DEC,ASKAP_flux,RA_comp,DEC_comp,Comp_flux,Flux_Ratio_AlphaCorr,Flux_Ratio_NOAlphaCorr
SB46984_component_7a,224.435778,-28.32285,300.9530029296875,224.4362,-28.32226,712.8,1.7506231701179986,0.4222124059058467
SB46984_component_10a,222.905576,-29.591737,276.96099853515625,222.90515,-29.5917,1390.3,0.8259842680302467,0.1992095220708885
SB46984_component_11a,221.709246,-26.327032,252.9929962158203,221.70906,-26.32679,807.0,1.299860198326228,0.31349813657474634
SB46984_component_12a,227.437706,-29.08395,245.7270050048828,227.4381,-29.08359,186.8,5.4542833729403934,1.3154550589126488
SB46984_component_42a,225.298137,-25.747795,131.03599548339844,225.29785,-25.74696,331.9,1.6369862899002896,0.3948056507484135
SB46984_component_43a,222.674233,-28.957519,115.677001953125,222.67435,-28.95775,185.3,2.5884113000961024,0.6242687639132487
SB46984_component_44a,222.687377,-29.854733,128.51100158691406,222.68706,-29.85442,780.0,0.6831363388099723,0.1647576943421975
SB46984_component_45a,225.678742,-27.949605,110.9520034790039,225.67819,-27.94921,278.9,1.6494847952969032,0.3978200196450481
SB46984_component_81a,227.378016,-25.394355,72.13300323486328,227.37718,-25.39399,295.5,1.0121344593640733,0.2441049178844781
SB46984_component_109a,224.529538,-27.933546,61.24700164794922,224.53017,-27.93275,294.7,0.8617204090335783,0.20782830555802248
SB46984_component_115a,223.206259,-28.971392,55.3390007019043,223.20656,-28.97102,146.4,1.56729922162377,0.3779986386742097
SB46984_component_132a,226.449511,-29.828366,56.237998962402344,226.45039,-29.82818,131.8,1.7691967433737465,0.4266919496388645
SB46984_component_139a,228.037482,-28.572179,46.88399887084961,228.03728,-28.57182,65.1,2.9861068268018305,0.720184314452375
SB46984_component_148a,226.020646,-29.30988,42.029998779296875,226.02087,-29.30927,156.9,1.1107034374509248,0.2678776212829629
SB46984_component_154a,225.201302,-28.193268,40.79399871826172,225.20068,-28.19242,94.1,1.7974976721506715,0.43351752091670265
SB46984_component_226a,222.298303,-26.03194,26.9689998626709,222.29829,-26.03176,110.8,1.0092221247744035,0.24340252583637995
SB46984_component_237a,223.648373,-26.90536,26.979000091552734,223.64848,-26.90522,148.6,0.7527811269563565,0.1815545093644195
SB46984_component_254a,225.116475,-27.557586,23.7810001373291,225.11638,-27.55718,76.6,1.2872503776919,0.31045692085286036
SB46984_component_292a,222.374277,-29.66391,21.19700050354004,222.37434,-29.66379,61.3,1.4337572195012669,0.3457911990789566
SB46984_component_296a,224.683342,-26.843502,23.10099983215332,224.68269,-26.84385,97.9,0.9783849584323978,0.2359652689699011
SB46984_component_459a,223.076149,-25.8187,13.090999603271484,223.07616,-25.81965,69.0,0.7866569810727168,0.1897246319314708
SB46984_component_464a,227.107461,-29.363621,12.47700023651123,227.10722,-29.36367,48.2,1.0733091387863667,0.2588589260686977
