Component_ID,RA,DEC,ASKAP_flux,RA_comp,DEC_comp,Comp_flux,Flux_Ratio_AlphaCorr,Flux_Ratio_NOAlphaCorr
SB47130_component_1a,30.004042,-48.242380,1961.225,30.00424,-48.24208,151.6,56.33073476221768,12.936840208350512
SB47130_component_34a,35.826910,-46.070553,159.036,35.82679,-46.07102,330.6,2.0946418901478085,0.4810526179171156
SB47130_component_40a,36.095162,-44.699955,152.271,36.09501,-44.70024,541.9,1.2235317396654655,0.280994641250692
SB47130_component_42a,35.969920,-46.785450,138.582,35.96952,-46.78613,594.6,1.0148436165776575,0.2330676097080758
SB47130_component_49a,35.857755,-44.637594,123.547,35.85747,-44.63789,432.6,1.243548938099621,0.28559176391658
SB47130_component_53a,33.369763,-45.942698,128.333,33.36977,-45.94294,456.3,1.2246304532028558,0.2812469703127568
SB47130_component_61a,32.126343,-48.101282,100.421,32.12671,-48.10101,410.1,1.0662326183259594,0.24486953820928772
SB47130_component_63a,30.007271,-47.125896,89.270,30.00682,-47.12609,199.9,1.9445088607953473,0.44657326985025714
SB47130_component_72a,29.562954,-48.705055,75.033,29.56309,-48.70536,232.2,1.4070427122574227,0.32313952252949035
SB47130_component_84a,34.155758,-46.637370,77.054,34.15608,-46.63727,223.7,1.499845109924746,0.34445239541570044
SB47130_component_88a,29.577122,-47.214217,70.963,29.57661,-47.21480,162.9,1.8968285135164809,0.4356230659086767
SB47130_component_97a,36.521471,-48.614405,62.993,36.52158,-48.61345,219.2,1.2513216088884866,0.2873768249567408
SB47130_component_106a,35.194424,-48.833890,57.250,35.19435,-48.83384,177.3,1.4059955870490306,0.3228990411731528
SB47130_component_110a,33.609255,-46.598572,59.549,33.60888,-46.59859,131.1,1.977830098807164,0.45422578021645277
SB47130_component_118a,36.702963,-48.383246,52.333,36.70323,-48.38344,98.9,2.3040746384655186,0.529150659080945
SB47130_component_132a,32.445365,-47.777028,47.086,32.44609,-47.77710,175.1,1.1709081823027951,0.26890918638010425
SB47130_component_141a,35.464581,-48.183670,43.723,35.46456,-48.18395,120.3,1.582564879113859,0.36344970550917627
SB47130_component_149a,29.802357,-45.751619,43.202,29.80127,-45.75258,203.3,0.9253023661525764,0.21250368747814383
SB47130_component_173a,29.557649,-45.740442,34.895,29.55696,-45.74060,59.6,2.549377513173462,0.5854865848618066
SB47130_component_175a,30.699163,-47.626217,34.735,30.69840,-47.62698,139.2,1.086538895739012,0.24953305036172102
SB47130_component_176a,29.908731,-46.807326,37.336,29.90742,-46.80867,80.9,2.0095390566493387,0.4615080165037855
SB47130_component_178a,36.870917,-47.087516,37.109,36.87143,-47.08757,129.9,1.2439052934373447,0.2856736040005232
SB47130_component_182a,31.158868,-48.769978,32.990,31.15854,-48.76946,88.7,1.6194812342280493,0.3719278655971454
SB47130_component_185a,36.987403,-46.245351,32.746,36.98873,-46.24524,62.9,2.2668604884999826,0.5206041078309755
SB47130_component_189a,35.820846,-48.704502,35.149,35.82101,-48.70512,165.8,0.923093362490131,0.21199637069057928
SB47130_component_253a,30.202056,-48.283182,24.332,30.20230,-48.28362,61.5,1.7227406728239967,0.395642288332063
SB47130_component_254a,36.374947,-48.471536,24.623,36.37479,-48.47239,71.4,1.5016196446287273,0.3448599326510389
SB47130_component_258a,34.069327,-48.273535,26.894,34.06762,-48.27438,406.8,0.2878668423042715,0.06611110889806157
SB47130_component_265a,30.788070,-48.834884,22.901,30.78778,-48.83490,68.3,1.459993517849526,0.3353001327849761
SB47130_component_268a,35.588941,-48.899149,22.910,35.58921,-48.89835,91.1,1.0950246899481122,0.2514818863601768
SB47130_component_273a,32.346019,-48.005106,22.420,32.34689,-48.00490,64.2,1.5206097956025593,0.34922118498900223
SB47130_component_284a,36.782189,-48.437038,22.004,36.78254,-48.43781,72.5,1.3215415622086797,0.303503444277007
SB47130_component_319a,33.813319,-47.724345,18.813,33.81274,-47.72532,52.5,1.5603281651357952,0.3583428519112723
SB47130_component_334a,35.550048,-44.705336,19.636,35.54842,-44.70469,45.9,1.862762699773179,0.4277995572890072
SB47130_component_377a,30.176886,-48.831954,16.401,30.17600,-48.83334,52.7,1.3551173038000761,0.3112144035903959
SB47130_component_462a,37.630458,-46.628744,13.215,37.63147,-46.62956,37.3,1.542678911882832,0.35428954832675313
SB47130_component_484a,33.123358,-47.192406,13.226,33.12368,-47.19159,86.0,0.6696490603680149,0.15379069572271303
SB47130_component_485a,36.770299,-47.635376,11.542,36.77022,-47.63615,58.2,0.8635257261684769,0.19831614805660705
SB47130_component_499a,29.939193,-48.080777,10.750,29.93901,-48.08063,71.1,0.6583488263718058,0.15119549929676512
SB47130_component_517a,32.294238,-46.510780,11.760,32.29327,-46.51058,46.3,1.105970495757406,0.25399568528902455
SB47130_component_570a,37.747276,-46.252371,10.073,37.74877,-46.25260,29.5,1.4868050179618248,0.3414576255669028
SB47130_component_578a,31.880013,-48.347752,9.357,31.87962,-48.34712,83.5,0.4879410680162044,0.1120598844425407
