Component_ID,RA,DEC,ASKAP_flux,RA_comp,DEC_comp,Comp_flux,Flux_Ratio_AlphaCorr,Flux_Ratio_NOAlphaCorr
SB50047_component_2a,316.939359,-7.018899,897.460,316.93921,-7.01890,3844.5,1.0164650456276438,0.2334399849064004
SB50047_component_4a,314.250126,-8.204518,536.570,314.24997,-8.20464,985.4,2.3709971801531924,0.5445199993142061
SB50047_component_10a,315.498722,-8.869871,351.056,315.49878,-8.86989,1138.2,1.3429969324127955,0.30843085552263166
SB50047_component_11a,317.078755,-11.699197,362.117,317.07889,-11.69936,1930.6,0.8167211819921804,0.18756707986870988
SB50047_component_14a,315.695899,-7.835751,299.763,315.69577,-7.83573,859.1,1.5193278905504501,0.3489267844119209
SB50047_component_26a,319.537849,-9.951097,145.896,319.53751,-9.95124,960.6,0.6613296485846872,0.1518800708866854
SB50047_component_27a,315.588076,-11.352474,139.444,315.58777,-11.35274,430.3,1.4110606762546922,0.3240622826961204
SB50047_component_31a,318.412164,-9.135523,131.815,318.41214,-9.13573,197.5,2.906129374509651,0.6674177338805379
SB50047_component_34a,315.611835,-9.534095,145.007,315.61203,-9.53416,599.0,1.0540940424464302,0.24208180932250364
SB50047_component_40a,314.926726,-7.208004,111.251,314.92664,-7.20796,218.0,2.2221052724073007,0.5103256855535945
SB50047_component_42a,318.664766,-10.474064,109.785,318.66473,-10.47430,320.5,1.4915306731887759,0.34254291314230695
SB50047_component_49a,315.725320,-11.632316,92.295,315.72549,-11.63253,198.6,2.0235601746237064,0.46472808745692507
SB50047_component_62a,314.791671,-7.255957,86.739,314.79175,-7.25580,243.7,1.549801496693795,0.3559253115021992
SB50047_component_67a,317.452369,-9.468071,79.809,317.45132,-9.46863,229.6,1.5135514111254114,0.3476001659752185
SB50047_component_68a,319.574730,-9.392513,70.878,319.57431,-9.39305,188.1,1.6407403206506186,0.3768101985754959
SB50047_component_73a,316.480336,-7.800636,68.074,316.48041,-7.80052,112.9,2.625454611095801,0.6029583480740354
SB50047_component_81a,318.082303,-11.095594,64.718,318.08249,-11.09555,149.6,1.8836955503069595,0.43260696737524024
SB50047_component_82a,316.718255,-8.014825,61.703,316.71899,-8.01532,41.8,6.427575609934971,1.4761483041863694
SB50047_component_85a,319.257918,-7.002037,57.342,319.25812,-7.00203,82.4,3.0301408738832687,0.6958980467712994
SB50047_component_87a,318.840860,-10.898366,65.508,318.84082,-10.89851,143.0,1.9946905331512017,0.45809792471932365
SB50047_component_91a,314.470520,-8.114886,58.002,314.47034,-8.11505,205.4,1.2295883045989435,0.282385583745702
SB50047_component_92a,314.632855,-11.231700,54.519,314.63309,-11.23141,59.8,3.9697568566834947,0.9116889800515063
SB50047_component_93a,317.648431,-8.261729,53.424,317.64874,-8.26170,41.3,5.632530479141426,1.2935593168614274
SB50047_component_104a,314.143997,-7.956684,47.148,314.14368,-7.95617,25.5,8.05082312961564,1.8489411297966452
SB50047_component_107a,315.665847,-7.409322,45.975,315.66565,-7.40923,107.6,1.860487062391713,0.42727693749183177
SB50047_component_111a,314.257766,-10.020534,45.330,314.25787,-10.02084,132.0,1.4953023214932089,0.34340910478071734
SB50047_component_117a,318.263875,-11.874971,44.535,318.26382,-11.87550,94.9,2.043395557733796,0.46928345466187676
SB50047_component_119a,315.448756,-6.918372,44.333,315.44885,-6.91812,94.3,2.0470697095467654,0.470127255388181
SB50047_component_124a,317.791893,-11.590615,42.752,317.79202,-11.59102,122.0,1.525856867903475,0.35042622050300976
SB50047_component_130a,317.131496,-11.614856,41.041,317.13190,-11.61488,199.0,0.8980118422634238,0.2062361827447786
SB50047_component_136a,316.741703,-7.470217,37.140,316.74188,-7.47012,191.7,0.8436007973623085,0.19374021590844256
SB50047_component_139a,313.941378,-11.125852,35.557,313.94119,-11.12605,63.9,2.4229332290305043,0.5564475619177304
SB50047_component_140a,316.987777,-7.618099,40.366,316.98795,-7.61820,103.1,1.7048032510540765,0.39152280435645387
SB50047_component_142a,314.660516,-11.147726,35.148,314.66071,-11.14811,113.2,1.3519834594013171,0.3104946891326365
SB50047_component_146a,314.692870,-8.343493,35.030,314.69284,-8.34339,81.2,1.8784571604232827,0.43140392585340975
SB50047_component_150a,319.437927,-8.791077,33.815,319.43765,-8.79094,72.7,2.025313070345401,0.46513065511291585
SB50047_component_151a,318.459577,-8.275221,35.118,318.45953,-8.27542,91.5,1.6711902105357408,0.38380327902205
SB50047_component_154a,319.453116,-11.082442,34.182,319.45309,-11.08241,99.7,1.4928614505970057,0.34284853767846507
SB50047_component_155a,314.272677,-7.235669,36.594,314.27255,-7.23587,145.7,1.0936227981402398,0.2511599297873681
SB50047_component_165a,315.851925,-9.897383,29.483,315.85245,-9.89719,25.5,5.034411273550223,1.156196070652382
SB50047_component_169a,316.558697,-8.380183,29.485,316.55893,-8.37997,98.0,1.3100632609586345,0.3008673531668527
SB50047_component_180a,314.279338,-7.427137,27.323,314.27930,-7.42742,48.9,2.432969835250876,0.5587525553010968
SB50047_component_182a,315.704689,-7.561780,30.069,315.70459,-7.56177,126.2,1.037473078234062,0.2382646612055517
SB50047_component_183a,314.536367,-10.820047,27.220,314.53647,-10.82010,43.6,2.718434184312241,0.6243119108567544
SB50047_component_184a,318.918359,-6.920425,27.265,318.91824,-6.92038,44.3,2.679902342019711,0.615462740172651
SB50047_component_185a,315.042326,-11.486416,28.639,315.04254,-11.48641,115.4,1.080610646147022,0.2481715765941494
SB50047_component_188a,315.715209,-10.625508,27.495,315.71548,-10.62521,81.6,1.4671711571352486,0.33694853969648775
SB50047_component_196a,316.281751,-11.081119,25.945,316.28247,-11.08096,41.9,2.6962294567587097,0.6192124032177618
SB50047_component_207a,317.765740,-9.809974,26.259,317.76572,-9.80989,124.7,0.9169147197255149,0.21057739196630507
SB50047_component_218a,318.696464,-7.949956,23.886,318.69650,-7.95000,165.6,0.6280587808923049,0.14423912849979126
SB50047_component_220a,318.993347,-8.418053,25.103,318.99316,-8.41840,76.8,1.423251398781785,0.32686198751131695
SB50047_component_224a,316.371800,-9.594111,23.525,316.37207,-9.59421,62.0,1.6521715434750834,0.3794354777182302
SB50047_component_227a,316.921196,-10.585669,22.949,316.92181,-10.58539,121.3,0.8237969050258223,0.18919208083188152
SB50047_component_228a,319.819398,-9.902511,22.979,319.81940,-9.90224,46.8,2.137974278311695,0.49100427546052855
SB50047_component_234a,314.710967,-10.962383,21.821,314.71106,-10.96286,56.4,1.6846618085681064,0.3868971479699967
SB50047_component_246a,318.925685,-9.666497,21.569,318.92593,-9.66674,57.7,1.6276889095456686,0.3738128291878791
SB50047_component_247a,314.600269,-6.932296,20.800,314.59985,-6.93249,67.9,1.3338615291058769,0.30633283117909493
SB50047_component_261a,317.360069,-7.143938,22.622,317.36014,-7.14399,78.3,1.25801677773131,0.28891442836016074
SB50047_component_273a,317.093744,-10.277867,19.616,317.09338,-10.27839,20.6,4.146297094952372,0.9522329719321241
SB50047_component_282a,317.344282,-11.830479,19.961,317.34415,-11.83109,57.4,1.5142152440695182,0.34775262094956244
SB50047_component_288a,316.078135,-11.292165,18.453,316.07861,-11.29235,52.2,1.5392659414933592,0.3535057301722267
SB50047_component_315a,317.867476,-10.366497,16.966,317.86740,-10.36669,57.5,1.2847801260463876,0.295060862665591
SB50047_component_318a,314.885286,-10.078110,16.413,314.88565,-10.07856,26.8,2.666676786957632,0.6124253771198329
SB50047_component_329a,319.660063,-9.041323,16.008,319.66003,-9.04153,42.8,1.6285852348441396,0.3740186780412621
SB50047_component_333a,314.470190,-7.646855,15.070,314.47064,-7.64680,41.8,1.569835565037347,0.3605263084886177
SB50047_component_357a,319.922399,-10.137633,16.608,319.92212,-10.13756,86.1,0.8399073498537388,0.19289198375883557
SB50047_component_364a,314.722736,-10.142558,14.293,314.72379,-10.14325,33.4,1.8633487045888824,0.42793413836085153
SB50047_component_374a,319.376307,-8.376022,13.244,319.37686,-8.37717,21.6,2.6698240282118952,0.6131481682812726
SB50047_component_395a,318.582671,-6.961919,13.471,318.58240,-6.96146,39.2,1.496342331121011,0.34364795198245923
SB50047_component_396a,314.218409,-7.410285,12.317,314.21829,-7.41041,52.7,1.0176807088240705,0.23371917246867402
SB50047_component_399a,319.227071,-11.294554,12.375,319.22626,-11.29490,33.4,1.6133030058308395,0.37050898203592814
SB50047_component_407a,316.761267,-9.898230,12.040,316.76135,-9.89824,65.8,0.7967421516039014,0.1829787228245141
SB50047_component_417a,316.293046,-8.424704,11.854,316.29340,-8.42455,31.8,1.6231363671752084,0.3727672984765011
SB50047_component_423a,318.800769,-10.148147,11.543,318.80035,-10.14766,20.1,2.500574791652393,0.5742786179727583
SB50047_component_426a,317.233128,-7.071169,11.430,317.23343,-7.07163,39.2,1.269630588654262,0.29158164043815765
SB50047_component_431a,314.613559,-11.518123,11.164,314.61349,-11.51854,21.8,2.229875003402519,0.5121100714447301
