Component_ID,RA,DEC,ASKAP_flux,RA_comp,DEC_comp,Comp_flux,Flux_Ratio_AlphaCorr,Flux_Ratio_NOAlphaCorr
SB50049_component_12a,131.692054,2.201119,261.175,131.69206,2.20086,754.5,1.5072647451406052,0.34615637878458416
SB50049_component_13a,128.630414,-0.042094,260.243,128.63039,-0.04203,613.8,1.8461602418176506,0.4239866592939221
SB50049_component_18a,129.949460,-1.371770,205.122,129.94974,-1.37171,620.3,1.4398844802310777,0.33068191845648026
SB50049_component_22a,130.884928,-1.706774,185.237,130.88483,-1.70654,543.4,1.4843123663059168,0.34088516656554796
SB50049_component_25a,131.464653,0.753398,182.006,131.46472,0.75362,466.0,1.7006579858966713,0.39057080837790037
SB50049_component_61a,128.342695,1.360809,93.380,128.34279,1.36097,216.1,1.8815522893774592,0.432114748974632
SB50049_component_83a,129.835577,-1.615569,79.776,129.83577,-1.61535,322.7,1.076441663973603,0.24721413379783855
SB50049_component_86a,129.983464,1.783079,75.443,129.98367,1.78329,297.3,1.1049464918396261,0.25376051393695603
SB50049_component_89a,129.209931,2.366995,72.924,129.21014,2.36704,259.8,1.2222176731155088,0.28069285450759895
SB50049_component_90a,131.712522,1.504524,72.642,131.71265,1.50456,239.2,1.3223420526428062,0.3036872838253162
SB50049_component_93a,126.048963,-0.719544,68.605,126.04912,-0.71936,165.9,1.800638808369609,0.413532268577056
SB50049_component_96a,130.449516,0.357394,65.235,130.44962,0.35762,265.9,1.068266318343996,0.24533659499944177
SB50049_component_98a,127.528887,0.562251,63.889,127.52909,0.56221,346.5,0.8028604293815728,0.18438383820769075
SB50049_component_101a,131.477627,-0.039355,62.520,131.47752,-0.03959,36.2,7.520169062438878,1.7270718358498252
SB50049_component_110a,129.644055,0.035535,59.347,129.64415,0.03569,148.4,1.7413339699120078,0.3999123997444091
SB50049_component_113a,130.796103,-0.440649,60.156,130.79619,-0.44046,293.5,0.8924585087096613,0.2049608116864752
SB50049_component_116a,129.667977,-2.105916,65.722,129.66783,-2.10597,205.6,1.3918898367179335,0.31965953366765715
SB50049_component_119a,131.161173,0.645236,56.335,131.16122,0.64544,167.7,1.4627241479099522,0.33592724558421383
SB50049_component_120a,127.182108,0.762383,55.389,127.18261,0.76246,22.9,10.531864034426262,2.4187336217888578
SB50049_component_121a,127.130765,0.156342,56.393,127.13102,0.15637,107.7,2.279957280426554,0.5236118993165876
SB50049_component_127a,127.661665,0.257116,52.902,127.66193,0.25722,131.4,1.7530485005580505,0.40260274297751975
SB50049_component_128a,126.978109,-1.365383,54.295,126.97810,-1.36494,175.7,1.3455668016156173,0.30902104820116855
SB50049_component_132a,128.712960,-0.755170,51.161,128.71307,-0.75504,212.3,1.0493158348988407,0.24098445265235846
SB50049_component_134a,130.964411,2.029103,52.869,130.96461,2.02906,194.6,1.1829747036635285,0.27168036732374706
SB50049_component_139a,127.036096,-1.394478,48.540,127.03601,-1.39418,121.9,1.7338570023740179,0.39819524951211926
SB50049_component_144a,128.754374,2.390176,46.405,128.75427,2.39023,107.6,1.8778880418622037,0.43127322285591896
SB50049_component_147a,129.288812,1.011892,46.034,129.28876,1.01195,216.2,0.9271291364820714,0.21292322107645012
SB50049_component_152a,126.341857,1.680726,50.224,126.34192,1.68079,161.8,1.3516055760994465,0.3104079049656211
SB50049_component_166a,130.926623,0.395864,39.241,130.92668,0.39627,100.8,1.695105561531095,0.3892956461225237
SB50049_component_167a,131.791829,-0.671430,39.737,131.79216,-0.67128,174.5,0.9915550754376912,0.22771919490956305
SB50049_component_184a,131.506406,0.863868,35.172,131.50644,0.86410,104.7,1.4627415431196769,0.33593124054450585
SB50049_component_187a,131.188643,-0.708935,33.326,131.18880,-0.70901,57.1,2.54134886233455,0.583642735790246
SB50049_component_191a,128.211234,2.502567,32.939,128.21130,2.50305,82.1,1.7469659666908892,0.4012058364923921
SB50049_component_194a,130.716211,0.189384,31.829,130.71620,0.18969,158.0,0.8771686788558971,0.20144937008242064
SB50049_component_201a,128.410188,-0.861628,31.849,128.41037,-0.86152,87.6,1.58310204363929,0.3635730699861431
SB50049_component_202a,128.050624,-0.988802,31.105,128.05103,-0.98873,59.5,2.276304912944457,0.5227731015501904
SB50049_component_204a,127.852439,0.693214,31.294,127.85272,0.69324,160.0,0.8516444222948972,0.1955875039100647
SB50049_component_209a,131.654654,-1.280404,30.179,131.65475,-1.28057,89.5,1.4682466689120408,0.3371955402736557
SB50049_component_224a,130.992269,2.370453,30.317,130.99249,2.37048,96.2,1.3722345374626819,0.3151455242767651
SB50049_component_225a,128.039283,1.827308,28.325,128.03929,1.82781,32.6,3.783289127574565,0.8688650540778973
SB50049_component_232a,128.284203,0.447690,27.989,128.28404,0.44755,66.1,1.8437546549245045,0.42343419546799654
SB50049_component_236a,128.292879,0.686397,29.833,128.29285,0.68642,90.0,1.4433498901935728,0.331477779812283
SB50049_component_254a,131.324701,1.749544,26.036,131.32468,1.74973,87.1,1.3015872877812116,0.2989207726532228
SB50049_component_260a,130.207315,2.257259,24.499,130.20750,2.25735,40.4,2.6404880387049157,0.6064109046860496
SB50049_component_262a,129.158431,-2.521963,24.853,129.15849,-2.52199,128.8,0.8401951498234023,0.19295807950985355
SB50049_component_264a,130.358636,0.992932,25.081,130.35899,0.99299,62.4,1.7501587750714027,0.4019390925382957
SB50049_component_265a,127.809907,1.669300,25.012,127.81006,1.66925,72.5,1.5021994564653962,0.34499309145171064
SB50049_component_272a,130.024034,1.671227,24.092,130.02443,1.67130,57.9,1.8118050919883886,0.41609670214084765
SB50049_component_274a,131.689857,-0.306019,25.649,131.69000,-0.30548,59.7,1.8707394790101997,0.42963149359877184
SB50049_component_275a,127.160782,2.102617,23.975,127.16124,2.10251,16.5,6.326913263639396,1.4530303261496804
SB50049_component_281a,126.583420,1.838829,23.731,126.58341,1.83882,74.4,1.3888659235344545,0.3189650658638246
SB50049_component_305a,126.888591,2.154316,21.348,126.88869,2.15433,59.2,1.5701917127562905,0.3606081008911133
SB50049_component_311a,128.112411,0.849959,21.001,128.11237,0.84990,63.4,1.4423408635383543,0.33124604811803776
SB50049_component_315a,131.595517,-1.229521,20.816,131.59537,-1.22967,39.7,2.283094954613963,0.5243324933184184
SB50049_component_323a,127.953060,2.415600,23.621,127.95333,2.41589,57.9,1.7763842887128567,0.4079620084614334
SB50049_component_327a,126.738291,2.254466,21.937,126.73831,2.25481,83.3,1.1466990202620708,0.2633493430331117
SB50049_component_331a,128.402427,-0.101797,19.366,128.40236,-0.10176,54.2,1.5558145392404426,0.35730625870482946
SB50049_component_333a,126.866513,1.310633,20.606,126.86669,1.31058,77.2,1.1622341074627924,0.2669171101071056
SB50049_component_335a,130.949367,1.381957,20.074,130.94907,1.38219,52.0,1.6809227902689086,0.38603845009436977
SB50049_component_337a,128.217403,-0.179015,19.050,128.21748,-0.17884,73.3,1.131639739726889,0.2598908490731316
SB50049_component_344a,131.708650,1.550790,19.564,131.70872,1.55072,98.2,0.8674877490206159,0.1992260608556557
SB50049_component_353a,129.476827,0.608755,18.033,129.47688,0.60864,72.3,1.086042723953801,0.24941910022192149
SB50049_component_354a,129.454235,-1.379493,18.642,129.45468,-1.37946,74.8,1.0851958207612526,0.24922460158240986
SB50049_component_376a,131.597255,-0.545950,17.231,131.59694,-0.54584,49.5,1.5157323101435318,0.3481010282882536
SB50049_component_384a,129.090318,-0.571035,16.741,129.09018,-0.57115,27.0,2.6998200248285134,0.62003700821488
SB50049_component_390a,130.373881,1.272774,16.172,130.37410,1.27256,46.6,1.5111063894083279,0.3470386456010679
SB50049_component_397a,127.715030,1.238827,15.753,127.71533,1.23889,45.7,1.5009432852040023,0.34470460086213156
SB50049_component_401a,130.602056,-1.907847,16.073,130.60246,-1.90749,36.6,1.912198883343134,0.43915300421376047
SB50049_component_433a,127.115655,0.502000,14.152,127.11595,0.50249,36.7,1.6790706525712007,0.38561309066065647
SB50049_component_456a,126.836540,1.878881,13.470,126.83716,1.87878,39.8,1.4736750623946986,0.338442217764543
SB50049_component_458a,129.112209,-0.831059,13.226,129.11198,-0.83123,20.8,2.76874130729083,0.6358653765458326
SB50049_component_460a,127.274386,2.225698,13.161,127.27437,2.22596,51.7,1.1084485931371926,0.2545648017750487
SB50049_component_473a,131.107116,-1.070363,14.495,131.10725,-1.07057,22.0,2.8688823432702693,0.6588636311617765
SB50049_component_477a,126.388773,2.270917,13.044,126.38937,2.27064,35.1,1.6181577773210527,0.3716239222773799
SB50049_component_480a,127.237667,0.675172,13.630,127.23832,0.67585,42.5,1.3964459525076918,0.32070588504566866
SB50049_component_484a,128.217258,2.263364,14.124,128.21812,2.26333,27.6,2.2282597554293613,0.5117391157841337
SB50049_component_500a,130.594894,-2.122381,13.163,130.59500,-2.12222,42.3,1.3549763643270742,0.31118203562202185
SB50049_component_541a,129.956910,-0.969498,10.690,129.95728,-0.96931,44.1,1.0554952929001897,0.24240361860279594
SB50049_component_546a,130.366648,1.810581,11.821,130.36639,1.81120,29.1,1.7687987968501562,0.4062199346797982
SB50049_component_583a,126.061287,1.565254,9.547,126.06083,1.56574,39.8,1.0444822153367566,0.23987437013405652
SB50049_component_589a,126.404417,2.135683,9.585,126.40423,2.13601,21.4,1.9502736261274534,0.4478971980442511
SB50049_component_599a,130.589224,-0.167445,9.504,130.58855,-0.16820,25.4,1.6292581417632206,0.3741732169324019
SB50049_component_601a,127.596486,-0.037666,10.261,127.59701,-0.03736,31.9,1.4006066794696332,0.32166143196129876
SB50049_component_610a,129.500999,-0.995273,9.500,129.50179,-0.99483,39.7,1.0419582092972555,0.2392947103274559
SB50049_component_632a,126.934021,-0.102062,9.899,126.93412,-0.10189,55.9,0.771075183508697,0.17708408171460965
SB50049_component_643a,126.069840,1.233912,8.897,126.07037,1.23438,20.0,1.937005314777315,0.4448500156402588
SB50049_component_656a,127.692756,0.625789,8.442,127.69275,0.62563,44.4,0.8279032737079289,0.19013514389862887
SB50049_component_658a,131.056523,-0.300429,9.059,131.05713,-0.30035,44.6,0.8844282452837796,0.20311659227037643
SB50049_component_676a,129.249355,0.526513,8.023,129.24966,0.52709,19.6,1.7823701908176979,0.409336722626978
SB50049_component_696a,129.005500,0.043362,7.765,129.00554,0.04343,23.0,1.4700456413558232,0.3376086898471998
SB50049_component_699a,129.687388,-0.698635,8.618,129.68726,-0.69919,16.8,2.233646343465006,0.512976192292713
SB50049_component_709a,131.377026,0.969276,7.702,131.37781,0.96913,19.8,1.693774281341914,0.38898990611837364
SB50049_component_710a,126.649245,0.739425,7.662,126.64905,0.73938,39.1,0.853262388644576,0.1959590838693292
SB50049_component_717a,126.619561,1.226307,7.419,126.61966,1.22660,25.7,1.2569831577257178,0.2886770485903966
SB50049_component_723a,129.364801,0.284959,8.157,129.36517,0.28498,20.7,1.7158420114588209,0.3940579511117244
SB50049_component_749a,130.071147,0.197691,7.430,130.07231,0.19837,29.1,1.1117650492086117,0.25532645458208325
SB50049_component_754a,128.126970,2.045130,7.036,128.12804,2.04552,18.9,1.6209932816840213,0.3722751203668181
SB50049_component_764a,127.120068,1.330224,6.943,127.12045,1.32979,27.4,1.1033512581804912,0.25339415473659543
SB50049_component_795a,130.802356,-1.479392,6.569,130.80247,-1.47852,24.7,1.1580291600520785,0.2659514075831363
SB50049_component_816a,129.878270,-0.311660,6.151,129.87846,-0.31169,16.8,1.5942398075104458,0.36613095374334426
SB50049_component_818a,130.953660,-0.378461,7.130,130.95438,-0.37862,22.2,1.3984719649873105,0.3211711763261675
SB50049_component_820a,126.261630,0.847262,6.631,126.26210,0.84671,17.5,1.6499021335580424,0.37891428811209543
SB50049_component_838a,126.033778,0.032481,6.715,126.03426,0.03291,24.3,1.2032530063527165,0.27633745483900785
SB50049_component_842a,130.657370,0.504082,6.955,130.65808,0.50369,30.8,0.9832492305770408,0.22581168583461217
SB50049_component_846a,127.842113,1.191148,5.997,127.84227,1.19124,16.4,1.5922359257147134,0.3656707449657161
SB50049_component_865a,131.058896,-1.320214,5.873,131.05949,-1.32079,23.7,1.0790184426181035,0.24780591328938803
SB50049_component_889a,130.379601,-0.425522,5.512,130.37923,-0.42513,18.8,1.2766403547733263,0.2931914938257096
SB50049_component_896a,128.136387,-0.743092,5.437,128.13628,-0.74249,54.6,0.4335946114507424,0.09957875087584331
SB50049_component_928a,130.019637,2.254250,5.302,130.02020,2.25429,19.6,1.1778794854652366,0.27051020641716156
SB50049_component_1041a,126.444020,2.296478,4.470,126.44414,2.29675,81.6,0.23852535240557773,0.054779409193525135
SB50049_component_1056a,129.607375,2.331161,4.836,129.60745,2.33093,19.1,1.1024784878271294,0.25319371547998554
SB50049_component_1059a,126.267108,-0.216591,4.306,126.26715,-0.21614,34.8,0.5387806714466231,0.12373563887059004
SB50049_component_1423a,127.650992,0.745864,3.016,127.65107,0.74587,30.0,0.43775114358992934,0.10053333441416422
