Component_ID,RA,DEC,ASKAP_flux,RA_comp,DEC_comp,Comp_flux,Flux_Ratio_AlphaCorr,Flux_Ratio_NOAlphaCorr
SB50050_component_21a,207.374976,1.577119,340.9570007324219,207.37518,1.57746,1485.6,0.9516108902594639,0.22950794341170025
SB50050_component_31a,211.038152,2.506001,187.63999938964844,211.0381,2.50621,474.8,1.638612995049185,0.3951979768105485
SB50050_component_49a,210.192139,0.316636,114.66899871826172,210.19312,0.31753,303.3,1.5676001346921449,0.3780712123912355
SB50050_component_51a,208.091373,2.5019,120.56300354003906,208.09155,2.50216,770.5,0.6487884323039763,0.15647372295916814
SB50050_component_55a,208.267521,0.8679,113.98999786376953,208.26782,0.86837,432.5,1.0928041003074997,0.26356068870235727
SB50050_component_61a,209.826561,2.327519,108.15599822998047,209.82671,2.32761,422.3,1.0619185583852369,0.2561117646932997
SB50050_component_64a,208.797509,0.532057,104.0979995727539,208.79771,0.53234,300.7,1.4353923849799877,0.34618556558947094
SB50050_component_66a,206.652844,-1.009133,100.08599853515625,206.65302,-1.00889,423.9,0.9789749787047067,0.2361075690850584
SB50050_component_69a,206.946642,0.211987,99.5199966430664,206.94673,0.21231,535.9,0.7699956608280523,0.18570628222255348
SB50050_component_70a,212.347986,-0.077073,97.447998046875,212.34805,-0.07664,196.2,2.059375779097896,0.4966768503918196
SB50050_component_72a,209.200388,-2.293599,93.61199951171875,209.2005,-2.29345,157.8,2.4597230162116093,0.5932319360691936
SB50050_component_82a,210.966421,2.576382,80.78199768066406,210.96651,2.57671,161.1,2.079125622100292,0.5014400849203232
SB50050_component_84a,206.993092,0.630824,79.41000366210938,206.99341,0.63101,150.4,2.1892182602434467,0.5279920456257272
SB50050_component_85a,208.441433,-2.154894,79.01699829101562,208.44145,-2.15467,283.9,1.1540292517321382,0.27832686964077363
SB50050_component_86a,211.75186,1.771331,77.41699981689453,211.75223,1.77177,39.9,8.044982862711558,1.9402756846339482
SB50050_component_87a,210.566761,-1.034861,79.0770034790039,210.56671,-1.03458,412.1,0.7956265581847419,0.19188789973065737
SB50050_component_88a,210.881714,-1.577396,75.11399841308594,210.88167,-1.57703,336.0,0.9269222035238783,0.2235535667056129
SB50050_component_97a,208.236967,2.257635,71.3740005493164,208.23724,2.258,162.4,1.8222824688870967,0.4394950772741158
SB50050_component_100a,209.411174,1.470272,65.30899810791016,209.41101,1.47083,75.8,3.57244456083027,0.8615962811069942
SB50050_component_101a,206.760376,1.276182,65.33799743652344,206.76038,1.27653,202.0,1.3411462271934427,0.3234554328540764
SB50050_component_111a,208.168794,2.127131,61.176998138427734,208.16888,2.12777,226.0,1.1223838422511672,0.2706946820284413
SB50050_component_121a,209.751607,2.275633,63.89699935913086,209.7515,2.27563,187.7,1.4114902203059931,0.34042088097565726
SB50050_component_122a,209.845403,2.293873,54.82699966430664,209.84555,2.29402,172.4,1.3186176998184114,0.3180220398161638
SB50050_component_126a,208.490237,0.524702,52.47999954223633,208.49092,0.52472,148.1,1.4692660588895865,0.354355162337855
SB50050_component_128a,207.302793,2.367267,51.59600067138672,207.30286,2.36755,261.0,0.8196665543963423,0.19768582632715218
SB50050_component_129a,210.084024,0.88658,50.827999114990234,210.0844,0.88689,111.3,1.893518407923689,0.4566756434410623
SB50050_component_130a,207.152189,1.906702,51.49700164794922,207.15215,1.90707,116.0,1.840711121886094,0.4439396693788726
SB50050_component_132a,207.587684,-1.526328,50.77299880981445,207.58788,-1.52587,174.1,1.209193282781313,0.2916312395738912
SB50050_component_146a,212.099183,0.738315,46.667999267578125,212.09923,0.73846,109.5,1.7671228610879348,0.4261917741331336
SB50050_component_150a,210.02056,0.325048,44.375999450683594,210.02109,0.32507,132.4,1.3897025183660314,0.3351661589930785
SB50050_component_151a,208.21949,-1.89548,47.0099983215332,208.21913,-1.89534,96.1,2.0282829042927224,0.4891779221803663
SB50050_component_153a,210.497531,0.988979,44.64099884033203,210.49794,0.98937,132.2,1.4001163602942142,0.3376777521961576
SB50050_component_154a,206.809496,0.115844,43.42399978637695,206.81,0.11685,34.0,5.2955684851208975,1.2771764643052046
SB50050_component_155a,209.82125,-0.738743,44.29800033569336,209.82123,-0.73855,179.7,1.0221102113854168,0.2465108532871083
SB50050_component_158a,207.46546,2.142518,42.529998779296875,207.46535,2.14297,230.4,0.7653755378508693,0.18459200859069824
SB50050_component_162a,207.450943,0.293353,41.654998779296875,207.45119,0.29388,186.9,0.9241011417734483,0.22287318769019193
SB50050_component_169a,208.823618,1.135919,39.49700164794922,208.82362,1.13574,131.3,1.2472717448882145,0.300814940197633
SB50050_component_171a,209.836227,2.16367,37.84400177001953,209.83672,2.16405,76.7,2.0458009328897977,0.49340289139530025
SB50050_component_172a,210.943355,1.719599,42.13600158691406,210.94315,1.7199,111.2,1.571123109256066,0.3789208775801624
SB50050_component_174a,207.234441,0.420118,38.0099983215332,207.23473,0.42074,38.3,4.114913957605936,0.9924281546092221
SB50050_component_175a,207.749387,1.766189,38.582000732421875,207.74957,1.76663,199.5,0.8018691900631434,0.19339348738056078
SB50050_component_179a,207.437473,1.491236,39.176998138427734,207.43758,1.49162,270.5,0.6005173627282652,0.1448317860940027
SB50050_component_182a,208.176995,2.005651,38.4109992980957,208.17728,2.00621,139.3,1.1433157114317236,0.27574299567907895
SB50050_component_195a,209.131399,2.437585,32.88100051879883,209.13116,2.43758,118.1,1.1544013036077247,0.27841660049787326
SB50050_component_197a,210.950225,2.40231,32.45100021362305,210.94968,2.40251,68.2,1.9729014625777062,0.47582111750180417
SB50050_component_199a,209.854878,-1.081092,32.08700180053711,209.8558,-1.081,94.6,1.406370293762248,0.33918606554478975
SB50050_component_201a,209.350846,0.345309,31.43199920654297,209.35094,0.34525,110.5,1.1794279323830934,0.28445248150717617
SB50050_component_208a,206.808765,0.158316,30.615999221801758,206.80891,0.15847,78.1,1.625395624958027,0.3920102333137229
SB50050_component_218a,210.333866,-1.118445,31.11199951171875,210.33374,-1.11826,93.7,1.3767339259276334,0.33203841527981587
SB50050_component_221a,207.601063,-2.431535,27.881999969482422,207.6013,-2.4312,77.6,1.4897859811817578,0.3593041233180725
SB50050_component_227a,209.191145,-1.412422,26.238000869750977,209.19115,-1.41221,56.3,1.9323421598171586,0.46603909182506176
SB50050_component_231a,208.898904,-1.049717,26.452999114990234,208.89899,-1.04949,125.2,0.876056811448764,0.21128593542324467
SB50050_component_233a,212.136531,1.954438,26.033000946044922,212.13628,1.9551,81.8,1.319570544428855,0.3182518453061727
SB50050_component_234a,207.195242,-2.067299,25.709999084472656,207.19572,-2.0668,56.3,1.8934565711163718,0.4566607297419655
SB50050_component_237a,210.665694,1.147108,25.240999221801758,210.66563,1.14695,71.8,1.4576181966953685,0.3515459501643699
SB50050_component_243a,211.737338,-1.744512,28.891000747680664,211.73763,-1.7442,102.3,1.170977725498157,0.28241447456188334
SB50050_component_248a,209.844398,-2.003111,23.836000442504883,209.84442,-2.00339,59.4,1.6638287407555488,0.4012794687290384
SB50050_component_252a,209.80226,0.171339,23.447999954223633,209.80287,0.171,46.5,2.090809832656288,0.504258063531691
SB50050_component_253a,212.212693,1.206756,24.56800079345703,212.21281,1.20699,99.3,1.0258461930329157,0.24741189117277979
SB50050_component_261a,212.177907,0.524485,23.08099937438965,212.17833,0.5249,104.4,0.916675855834391,0.22108236948649088
SB50050_component_263a,211.694907,2.493476,22.85700035095215,211.69524,2.49366,73.6,1.2876656269599793,0.31055706998576293
SB50050_component_264a,208.763021,-1.430938,22.511999130249023,208.76311,-1.4308,103.2,0.9044739187920222,0.21813952645590137
SB50050_component_269a,208.568739,0.662567,22.139999389648438,208.56879,0.66268,153.5,0.5980409282332441,0.14423452371106474
SB50050_component_275a,212.121853,-0.843971,21.583999633789062,212.12173,-0.84354,28.1,3.1848375657579644,0.768113865971141
SB50050_component_280a,210.276548,0.535241,21.746999740600586,210.2766,0.53472,87.1,1.0352443677992424,0.24967852744661984
SB50050_component_286a,206.656974,-1.338311,20.874000549316406,206.65739,-1.33805,58.7,1.4744473574694406,0.3556047793750665
SB50050_component_296a,208.492404,1.29333,23.399999618530273,208.49281,1.29387,85.4,1.1361081145958907,0.2740046793738908
SB50050_component_299a,209.77527,-2.158092,19.909000396728516,209.77499,-2.1583,55.7,1.4820264075787168,0.3574326821674778
SB50050_component_303a,206.70749,0.593149,19.857999801635742,206.70753,0.59334,146.5,0.5620300796385482,0.13554948670058528
SB50050_component_311a,209.052497,-1.30892,19.524999618530273,209.05244,-1.30917,47.1,1.7188255828952266,0.41454351631699093
SB50050_component_314a,206.767038,0.848507,19.10300064086914,206.76733,0.84901,90.0,0.8800771858192808,0.21225556267632378
SB50050_component_316a,212.292672,1.147832,19.635000228881836,212.29256,1.14829,63.9,1.274065438086468,0.3072769988870397
SB50050_component_323a,208.356994,-2.133199,21.3700008392334,208.35703,-2.13282,72.6,1.220477003218368,0.2943526286395785
SB50050_component_324a,209.79131,-0.410537,18.420000076293945,209.79158,-0.41045,58.6,1.3033279047783035,0.3143344722917055
SB50050_component_326a,206.859642,0.913069,18.458999633789062,206.86,0.91367,78.3,0.9774804526546637,0.23574712175975815
SB50050_component_346a,207.558905,1.411979,17.114999771118164,207.55902,1.41246,65.3,1.0867393642933088,0.26209800568327973
SB50050_component_350a,211.758291,0.51873,16.75,211.75851,0.51916,49.5,1.4030440119287089,0.3383838383838384
