Component_ID,RA,DEC,ASKAP_flux,RA_comp,DEC_comp,Comp_flux,Flux_Ratio_AlphaCorr,Flux_Ratio_NOAlphaCorr
SB50412_component_5a,121.789934,-5.68702,678.7160034179688,121.79038,-5.68717,1161.2,2.423498439986963,0.584495352581785
SB50412_component_12a,124.902533,-6.513209,337.30999755859375,124.90279,-6.51315,320.5,4.363780143114906,1.0524492903544267
SB50412_component_17a,123.817998,-4.514429,250.44000244140625,123.81814,-4.51478,982.6,1.0567898214456863,0.25487482438571774
SB50412_component_30a,123.764891,-4.967194,177.19700622558594,123.76502,-4.96789,720.4,1.01986892245327,0.24597030292280114
SB50412_component_31a,124.615324,-2.147151,173.2259979248047,124.61515,-2.14754,340.3,2.1106333929042806,0.509039077063781
SB50412_component_43a,121.419285,-2.629946,120.16999816894531,121.41997,-2.62978,251.8,1.9788004976821025,0.47724383704902823
SB50412_component_50a,126.094429,-4.950551,123.46600341796875,126.09446,-4.95083,447.1,1.1449971418102534,0.27614852028174625
SB50412_component_51a,122.642105,-4.149939,105.32099914550781,122.64254,-4.14967,162.6,2.6856914176284423,0.6477306220510936
SB50412_component_52a,126.299754,-4.83705,105.4990005493164,126.29987,-4.83719,105.8,4.134512980710722,0.9971550146438224
SB50412_component_59a,120.665221,-3.314621,91.62699890136719,120.66541,-3.31484,164.7,2.3067022812742484,0.556326647852867
SB50412_component_63a,125.528851,-5.270879,86.01399993896484,125.52898,-5.27105,192.4,1.8536415626778313,0.4470582117409815
SB50412_component_66a,120.76297,-5.651296,81.12899780273438,120.76346,-5.65135,47.7,7.052115461390832,1.700817563998624
SB50412_component_70a,125.21021,-5.682321,76.31099700927734,125.21047,-5.6825,213.3,1.4833989059511783,0.3577636990589655
SB50412_component_73a,123.443712,-5.456555,72.37999725341797,123.44373,-5.45707,123.1,2.437935388351328,0.5879772319530299
SB50412_component_83a,122.50177,-5.942765,69.18699645996094,122.50223,-5.94307,163.0,1.759942808820001,0.42446010098135545
SB50412_component_100a,120.719492,-4.78902,69.60900115966797,120.71989,-4.78936,139.6,2.0674816604130477,0.4986318134646703
SB50412_component_116a,123.589055,-4.838493,54.207000732421875,123.58901,-4.83904,220.4,1.0197776052281775,0.24594827918521722
SB50412_component_117a,120.626957,-3.762682,51.099998474121094,120.62695,-3.76296,122.6,1.7281924326165652,0.41680259766819816
SB50412_component_122a,120.673684,-5.967184,48.4379997253418,120.67378,-5.96707,106.2,1.8911386291649326,0.4561016923290188
SB50412_component_125a,121.548449,-5.887864,46.10599899291992,121.54907,-5.88768,53.9,3.5467481706309254,0.8553988681432267
SB50412_component_133a,125.311027,-4.012223,48.68199920654297,125.3112,-4.01274,136.6,1.477676571768617,0.356383595948338
SB50412_component_136a,121.800965,-6.618205,42.03799819946289,121.80177,-6.61789,75.5,2.308642879539547,0.5567946781385813
SB50412_component_139a,121.885407,-5.526603,41.71099853515625,121.88573,-5.52658,56.2,3.077343339834012,0.7421885860348086
SB50412_component_145a,120.871719,-4.230568,41.93299865722656,120.87177,-4.23082,92.0,1.8898606178310824,0.4557934636655061
SB50412_component_151a,120.958723,-3.323206,40.26100158691406,120.95892,-3.32314,104.3,1.6005231069636754,0.3860115204881502
SB50412_component_154a,122.469497,-4.271686,39.70500183105469,122.46974,-4.27171,126.8,1.2983376432989526,0.3131309292669928
