Component_ID,RA,DEC,ASKAP_flux,RA_comp,DEC_comp,Comp_flux,Flux_Ratio_AlphaCorr,Flux_Ratio_NOAlphaCorr
SB50425_component_10a,130.631816,-4.8047,284.8949890136719,130.63188,-4.80476,143.9,8.20891386598252,1.9798122933542173
SB50425_component_12a,128.589876,-5.040401,248.76100158691406,128.59006,-5.04024,495.2,2.08287565006829,0.5023445104743822
SB50425_component_13a,126.776388,-3.974986,227.3820037841797,126.77678,-3.97508,415.9,2.266881671767014,0.5467227789953828
SB50425_component_14a,128.476238,-4.570777,243.16400146484375,128.47646,-4.57094,722.9,1.3947062235240484,0.33637294434201653
SB50425_component_15a,130.363043,-3.890129,201.87899780273438,130.36313,-3.8902,447.7,1.8696733074272318,0.4509247214713745
SB50425_component_17a,126.965104,-4.93853,189.43600463867188,126.96534,-4.9386,658.9,1.1920780741872719,0.28750342182223687
SB50425_component_20a,129.026827,-4.490704,193.2239990234375,129.02708,-4.49068,519.9,1.5410010366106293,0.37165608583080884
SB50425_component_22a,131.796634,-5.138002,186.71499633789062,131.79672,-5.13821,571.4,1.3548794214455022,0.3267675819704071
SB50425_component_23a,128.722584,-4.286489,167.04200744628906,128.72319,-4.28635,150.7,4.595937672061445,1.108440659895747
SB50425_component_25a,130.431978,-3.889904,162.49200439453125,130.43208,-3.88993,335.6,2.0075747550790752,0.4841835649419882
SB50425_component_30a,127.118557,-4.847453,144.48699951171875,127.11898,-4.84757,390.0,1.536122489642546,0.370479485927484
SB50425_component_36a,131.217382,-5.398924,134.94500732421875,131.21741,-5.39906,432.4,1.2939956550820944,0.3120837357174347
SB50425_component_37a,131.544465,-3.48571,131.21400451660156,131.5442,-3.48599,181.4,2.9991942122631987,0.7233407084707913
SB50425_component_43a,130.751305,-6.657687,128.58900451660156,130.75107,-6.65786,607.7,0.8773568677544772,0.21159948085667526
SB50425_component_49a,129.790794,-4.67262,108.71499633789062,129.79102,-4.67243,182.4,2.4713047488305455,0.5960251992208916
SB50425_component_54a,128.514619,-4.155258,109.57499694824219,128.51508,-4.15511,355.1,1.2794475207075102,0.3085750406878124
SB50425_component_59a,126.29961,-4.837339,102.21600341796875,126.29987,-4.83719,105.8,4.0058521006595615,0.9661247960110468
SB50425_component_60a,131.015262,-5.482763,99.26300048828125,131.01543,-5.48297,76.5,5.380066524504845,1.297555561938317
SB50425_component_62a,127.707288,-6.605588,100.72799682617188,127.70715,-6.60529,86.3,4.8395065686421574,1.1671842042430114
SB50425_component_63a,129.523563,-4.490108,97.00199890136719,129.52379,-4.49,275.6,1.4593624002625656,0.35196661430104204
SB50425_component_70a,129.616384,-3.323662,84.8290023803711,129.61607,-3.32367,293.7,1.1975732734630138,0.2888287449110354
SB50425_component_74a,129.175182,-4.461099,81.28800201416016,129.17537,-4.46092,183.7,1.8347587813183417,0.44250409370800303
SB50425_component_76a,128.309119,-4.08369,84.66699981689453,128.30942,-4.08352,181.0,1.93953346796491,0.467773479651351
SB50425_component_79a,130.250874,-5.488277,80.95800018310547,130.25085,-5.48811,221.2,1.5175266659588562,0.3659945758729904
SB50425_component_84a,129.979576,-7.057709,69.8290023803711,129.97972,-7.05806,118.0,2.4536663802744214,0.5917712066133144
SB50425_component_87a,131.47259,-2.68361,67.4520034790039,131.47234,-2.68401,131.7,2.123590436837969,0.5121640355277443
SB50425_component_95a,130.103924,-6.371595,63.09400177001953,130.10417,-6.37146,205.3,1.274268086140047,0.3073258732100318
SB50425_component_99a,131.574413,-4.646615,62.141998291015625,131.57468,-4.64673,258.3,0.9975220183123708,0.2405807134766381
SB50425_component_100a,130.694635,-4.528456,60.63199996948242,130.69505,-4.52871,199.9,1.2576238991668898,0.3033116556752497
SB50425_component_103a,127.079567,-4.127676,61.948001861572266,127.08038,-4.12779,184.5,1.3921711011155473,0.33576152770499873
SB50425_component_104a,127.27733,-2.866643,65.04399871826172,127.27713,-2.86637,117.5,2.295255560099591,0.5535659465383976
SB50425_component_109a,127.830166,-5.643562,58.42900085449219,127.8301,-5.6436,158.3,1.5304150474567266,0.3691029744440441
SB50425_component_115a,129.668366,-2.106043,60.981998443603516,129.66783,-2.10597,205.6,1.2298162418582137,0.29660505079573696
SB50425_component_128a,128.27232,-6.339389,48.18600082397461,128.27254,-6.33932,89.7,2.2273584956728305,0.5371906446373981
SB50425_component_132a,131.700876,-2.75828,44.9640007019043,131.70082,-2.75882,97.7,1.9082359100442547,0.4602251863040358
SB50425_component_145a,129.986131,-3.186705,41.54999923706055,129.98576,-3.18671,121.2,1.421445072876908,0.34282177588333784
SB50425_component_159a,131.623531,-5.425202,37.76900100708008,131.62387,-5.42536,82.1,1.9074537783379553,0.4600365530704029
SB50425_component_163a,127.667997,-3.555683,37.10499954223633,127.66759,-3.55631,89.7,1.715148270225749,0.4136566281185767
SB50425_component_165a,130.142588,-5.660019,36.53300094604492,130.14275,-5.65983,94.6,1.601238021298881,0.38618394234719794
SB50425_component_167a,129.191802,-5.248464,35.90599822998047,129.19162,-5.24871,113.6,1.3105402262667634,0.316073928080814
SB50425_component_173a,131.319404,-6.487402,33.74800109863281,131.31898,-6.48759,58.7,2.383809989953482,0.5749233577279865
SB50425_component_180a,128.394064,-5.050314,35.95899963378906,128.39397,-5.05059,64.1,2.3260082669347355,0.5609828336004534
SB50425_component_188a,131.170786,-5.349747,34.65599822998047,131.1711,-5.35002,95.5,1.5046542747845955,0.36289003382178503
SB50425_component_197a,127.830544,-5.304266,31.19099998474121,127.83114,-5.30431,95.0,1.3613424131064575,0.32832631562885484
SB50425_component_200a,131.192498,-2.439344,29.92099952697754,131.19228,-2.4393,48.2,2.5738944958862384,0.6207676250410278
SB50425_component_202a,127.330748,-3.444006,29.996000289916992,127.33085,-3.44461,45.9,2.709644685246581,0.6535076315886055
SB50425_component_223a,128.182212,-3.489161,26.145000457763672,128.18237,-3.4888,106.1,1.0217271926174205,0.24641847745300352
SB50425_component_229a,130.530093,-4.109129,24.78499984741211,130.5302,-4.10997,30.1,3.4141618649625496,0.8234219218409339
SB50425_component_230a,131.210535,-3.845281,25.202999114990234,131.21149,-3.84556,41.1,2.5425651175525497,0.6132116572990325
SB50425_component_239a,126.959178,-2.347462,26.545000076293945,126.95825,-2.34728,64.3,1.711722818395786,0.4128304833016166
SB50425_component_247a,126.831171,-6.126467,23.601999282836914,126.83145,-6.12656,58.9,1.6614802384865173,0.40071306082914965
SB50425_component_250a,129.403172,-3.662655,25.55900001525879,129.40265,-3.66245,75.6,1.4017925413832297,0.3380820107838464
SB50425_component_253a,126.332534,-4.734295,23.979000091552734,126.3326,-4.73477,85.0,1.1696982112585115,0.2821058834300322
SB50425_component_293a,131.270653,-2.806721,20.974000930786133,131.27045,-2.80647,37.9,2.2945829124566126,0.5534037184903993
SB50425_component_296a,127.891831,-2.500594,20.106000900268555,127.89175,-2.50028,61.7,1.351145800589539,0.32586711345654057
SB50425_component_303a,127.643952,-4.661311,21.87299919128418,127.64434,-4.66177,68.1,1.3317506184000807,0.3211894154373595
SB50425_component_309a,129.087878,-6.306964,20.93600082397461,129.0882,-6.30725,49.9,1.7396218875909413,0.4195591347489902
SB50425_component_311a,127.917225,-4.580871,19.222000122070312,127.9176,-4.58112,50.2,1.5876564813508964,0.38290836896554403
SB50425_component_319a,130.132299,-3.261215,18.29599952697754,130.13182,-3.26127,35.0,2.167453445866999,0.5227428436279297
SB50425_component_320a,130.834161,-6.875369,18.020000457763672,130.83398,-6.87564,43.8,1.705856007622554,0.4114155355653807
SB50425_component_331a,128.089944,-4.345187,17.729999542236328,128.09068,-4.34474,77.6,0.9473461298792545,0.2284793755442826
SB50425_component_344a,129.786899,-4.74019,16.64299964904785,129.78716,-4.74017,59.4,1.1617343780163278,0.28018517927689984
