Component_ID,RA,DEC,ASKAP_flux,RA_comp,DEC_comp,Comp_flux,Flux_Ratio_AlphaCorr,Flux_Ratio_NOAlphaCorr
SB50870_component_13a,171.760367,2.51907,253.27200317382812,171.76015,2.51894,1082.6,0.9700203483813324,0.23394790612768165
SB50870_component_18a,171.839368,-2.223919,239.50999450683594,171.83891,-2.22357,689.2,1.440920612927795,0.34751885447886816
SB50870_component_24a,171.649346,-2.260652,190.40499877929688,171.64882,-2.26014,346.5,2.278435764422905,0.5495093759864268
SB50870_component_43a,171.022919,-0.583511,114.91400146484375,171.0229,-0.5834,156.9,3.0367685021469275,0.7324028136701323
SB50870_component_45a,170.174803,-0.008087,113.04100036621094,170.1747,-0.0081,590.2,0.7941425556708872,0.19152999045444075
SB50870_component_69a,169.869022,0.709173,77.09600067138672,169.8689,0.70928,256.8,1.244796941284052,0.3002180711502598
SB50870_component_74a,169.652655,-0.917104,81.69599914550781,169.65273,-0.91716,388.3,0.8723586669457857,0.21039402303761992
SB50870_component_84a,172.400286,1.912733,69.02100372314453,172.40001,1.91289,374.5,0.7641720177060469,0.18430174558917098
SB50870_component_87a,173.530724,2.469374,66.49099731445312,173.53087,2.46899,331.6,0.8313999754507246,0.2005156734452748
SB50870_component_89a,173.81783,-2.448715,70.09500122070312,173.81779,-2.44835,243.7,1.192595594186082,0.28762823644112895
SB50870_component_99a,172.723552,-2.122797,56.3390007019043,172.72322,-2.12263,186.4,1.2532130644597657,0.3022478578428342
SB50870_component_104a,174.678791,0.574207,61.04199981689453,174.67845,0.57414,290.0,0.8727551847252162,0.21048965454101562
SB50870_component_108a,169.494064,2.365962,53.400001525878906,169.49411,2.36588,121.7,1.8193337385567552,0.43878390736137146
SB50870_component_109a,169.924642,-2.060038,56.75199890136719,169.92477,-2.05959,224.8,1.046758600697302,0.2524555111270782
SB50870_component_111a,173.455167,-0.416542,53.51599884033203,173.45503,-0.4161,186.3,1.1910567724687107,0.28725710595991427
SB50870_component_134a,172.648015,2.126981,45.56700134277344,172.6478,2.12721,257.9,0.7325896684677095,0.17668476674204514
SB50870_component_136a,174.742714,0.462436,44.5989990234375,174.74261,0.46267,126.8,1.458369389629216,0.35172712163594244
SB50870_component_160a,174.410661,1.129568,37.01300048828125,174.41031,1.1292,65.0,2.3610360510498927,0.5694307767427884
SB50870_component_162a,170.462653,-2.425488,37.10200119018555,170.46288,-2.42479,111.2,1.3834205732432365,0.3336510898397981
SB50870_component_166a,171.292974,1.532123,34.676998138427734,171.29337,1.53207,33.6,4.279212956990598,1.032053516024635
SB50870_component_175a,173.521995,-2.231287,33.24599838256836,173.5218,-2.23071,63.5,2.1708376054408998,0.5235590296467458
SB50870_component_177a,169.722077,-2.45887,33.60100173950195,169.72252,-2.45861,210.9,0.6605981110459113,0.15932196178047392
SB50870_component_179a,174.340236,0.746375,32.215999603271484,174.34073,0.7466,103.6,1.2893580556200959,0.31096524713582513
SB50870_component_181a,170.842634,-0.730116,33.52399826049805,170.84225,-0.72973,105.3,1.3200461670322812,0.3183665551804183
SB50870_component_186a,170.89146,2.396372,30.97599983215332,170.89159,2.3966,54.1,2.3740493926243458,0.5725693129788044
SB50870_component_198a,174.738205,0.399918,27.83099937438965,174.73854,0.40007,88.9,1.2980419336852325,0.3130596105105697
SB50870_component_202a,172.079637,2.059683,26.180999755859375,172.07983,2.06008,75.6,1.4359063406944574,0.34630952058015047
SB50870_component_203a,169.564087,0.938604,27.891000747680664,169.56384,0.9384,85.4,1.3541535380431042,0.32659251460984384
SB50870_component_208a,170.704106,-1.363519,26.062000274658203,170.70387,-1.36314,114.7,0.94211953545267,0.2272188341295397
SB50870_component_212a,169.345516,2.019772,24.3700008392334,169.34593,2.01984,48.0,2.105115790466554,0.5077083508173624
SB50870_component_216a,170.1807,2.576842,26.410999298095703,170.18059,2.57697,103.9,1.0539765983395069,0.2541963358815756
SB50870_component_220a,170.445379,0.719356,24.20800018310547,170.44508,0.71949,189.6,0.529397959580239,0.12767932586026093
SB50870_component_226a,172.477949,-0.942734,23.836999893188477,172.47833,-0.94285,58.8,1.6808770617757405,0.40539115464606257
SB50870_component_236a,172.446227,-0.382138,22.56999969482422,172.4462,-0.38226,31.1,3.009073848619796,0.7257234628560841
SB50870_component_243a,173.517169,-0.266269,21.716999053955078,173.51765,-0.26642,51.0,1.7655959277094513,0.42582351086186426
SB50870_component_246a,174.282005,-0.061938,21.7810001373291,174.28365,-0.06131,68.4,1.3203327571935497,0.31843567452235527
SB50870_component_247a,172.530534,1.34607,21.121000289916992,172.53076,1.34609,60.5,1.4475073912858238,0.34910744280854533
SB50870_component_252a,172.302917,-1.000191,21.33099937438965,172.30341,-1.0006,25.1,3.5237019243962067,0.8498406125254839
SB50870_component_254a,171.140917,0.308122,20.90399932861328,171.14062,0.30813,39.5,2.194289723978,0.5292151728762856
SB50870_component_255a,173.549368,1.524579,21.054000854492188,173.54929,1.52464,42.9,2.0348810442735146,0.4907692506874636
SB50870_component_261a,170.971269,0.39255,20.761999130249023,170.97127,0.39325,36.5,2.35851143486496,0.5688218939794253
SB50870_component_264a,174.790862,-1.264582,20.527999877929688,174.79031,-1.26517,37.9,2.2457898186544707,0.5416358806841607
SB50870_component_273a,171.445443,1.14248,19.84600067138672,171.4453,1.14315,42.1,1.9545761178923706,0.47140144112557525
SB50870_component_274a,174.739751,-0.741042,20.0049991607666,174.73962,-0.74271,68.2,1.2162303732805575,0.2933284334423255
SB50870_component_275a,170.743627,2.234644,19.716999053955078,170.74376,2.23506,101.3,0.807036268252925,0.19463967476757235
SB50870_component_277a,172.285493,2.34566,19.233999252319336,172.28542,2.34572,71.4,1.116948283859853,0.26938374302968254
SB50870_component_282a,172.672858,2.280011,19.322999954223633,172.67236,2.27996,92.9,0.8624233788374422,0.20799784665472154
SB50870_component_284a,171.164557,-1.609522,19.256999969482422,171.16429,-1.60961,33.6,2.3763534390498138,0.5731249990917388
SB50870_component_286a,170.290066,0.21191,20.1560001373291,170.28963,0.21219,53.3,1.5679738872696196,0.3781613534208087
SB50870_component_290a,171.293865,-0.251522,19.235000610351562,171.2935,-0.25161,98.8,0.8072293462306132,0.19468624099546117
