Component_ID,RA,DEC,ASKAP_flux,RA_comp,DEC_comp,Comp_flux,Flux_Ratio_AlphaCorr,Flux_Ratio_NOAlphaCorr
SB52161_component_3a,331.336114,-11.604710,463.664,331.33594,-11.60456,1691.4,1.193642448390419,0.2741303071212272
SB52161_component_22a,335.860757,-7.952343,170.580,335.86026,-7.95244,586.0,1.2674992204090876,0.2910921532953152
SB52161_component_24a,334.670543,-8.688475,171.626,334.67026,-8.68856,568.6,1.31429678474148,0.3018396185017202
SB52161_component_32a,333.478018,-6.961833,151.331,333.47787,-6.96190,478.5,1.3770925974678911,0.3162612197541144
SB52161_component_36a,331.759191,-9.927304,140.106,331.75909,-9.92679,416.4,1.4650863572348642,0.3364697473766023
SB52161_component_46a,334.051608,-7.874680,122.119,334.05133,-7.87473,572.5,0.928805892974634,0.21330830270025927
SB52161_component_49a,333.397074,-11.363827,116.414,333.39673,-11.36370,381.0,1.330446587314943,0.30554856027518046
SB52161_component_55a,334.736997,-10.295565,96.252,334.73697,-10.29525,103.2,4.061133464440058,0.9326744079589844
SB52161_component_57a,331.323526,-10.043010,97.042,331.32324,-10.04274,344.8,1.2254897489701702,0.28144431501419526
SB52161_component_58a,332.210141,-7.651389,105.511,332.20947,-7.65136,429.3,1.070173171675809,0.2457745203515352
SB52161_component_60a,330.520810,-11.445803,92.314,330.52020,-11.44616,255.6,1.5726205131357434,0.3611658958948461
SB52161_component_61a,330.434385,-8.538616,89.549,330.43405,-8.53845,260.0,1.4997007617936,0.34441924461951623
SB52161_component_63a,332.393826,-11.619338,98.270,332.39365,-11.61942,287.8,1.4867822026536388,0.34145238583414317
SB52161_component_66a,335.021048,-6.825768,85.402,335.02078,-6.82558,377.2,0.9858561764783162,0.22641039349747108
SB52161_component_73a,335.360473,-9.679367,80.061,335.36038,-9.67926,330.8,1.053835187173067,0.24202236097121324
SB52161_component_89a,333.637656,-7.122918,71.452,333.63715,-7.12273,253.1,1.2292478792857668,0.2823074021296085
SB52161_component_90a,335.757694,-8.234844,71.193,335.75757,-8.23461,44.1,7.029362036910296,1.6143537594888215
SB52161_component_95a,331.322774,-11.559081,67.925,331.32224,-11.55981,175.7,1.6833526510432923,0.3865964886269654
SB52161_component_96a,332.349256,-7.481351,67.736,332.34882,-7.48126,247.5,1.1916852009542298,0.27368080832741476
SB52161_component_106a,330.872068,-10.810625,59.598,330.87173,-10.81074,469.7,0.5524949652134628,0.1268852449920245
SB52161_component_109a,333.636683,-10.809470,57.613,333.63608,-10.80941,220.4,1.1382196905506936,0.26140199166244255
SB52161_component_110a,330.965511,-7.930787,58.563,330.96490,-7.93059,188.5,1.3527861920973023,0.3106790436357655
SB52161_component_123a,332.507268,-11.118459,58.694,332.50717,-11.11855,174.5,1.4645880301721215,0.33635530225868554
SB52161_component_125a,332.162694,-10.305303,50.256,332.16284,-10.30507,136.3,1.605496155221284,0.3687160713044668
SB52161_component_128a,331.973805,-7.668983,55.396,331.97311,-7.66878,207.7,1.1613392694997413,0.2667116028331597
SB52161_component_130a,335.621801,-11.485667,47.859,335.62119,-11.48574,58.2,3.580616824270558,0.8223196075544325
SB52161_component_141a,333.811969,-6.803538,46.388,333.81125,-6.80352,256.2,0.7883947612841509,0.181061672475727
SB52161_component_143a,335.418395,-6.894010,43.097,335.41861,-6.89395,63.5,2.9552247675243373,0.6786929153081939
SB52161_component_145a,335.911786,-9.687941,49.295,335.91190,-9.68779,100.7,2.1315257642515046,0.4895233184602315
SB52161_component_149a,333.285604,-11.653739,44.526,333.28519,-11.65380,166.1,1.1672429545390313,0.26806743513884707
SB52161_component_159a,333.457049,-7.448788,38.341,333.45670,-7.44843,127.3,1.3114514869846396,0.3011861712747171
SB52161_component_169a,335.854182,-9.284106,35.953,335.85349,-9.28303,59.6,2.62667334209789,0.6032382401843999
SB52161_component_172a,334.074705,-9.840664,36.038,334.07504,-9.83934,36.5,4.299173745931165,0.9873424164236408
SB52161_component_179a,331.150497,-9.071804,34.526,331.14938,-9.07175,24.2,6.212238412456955,1.4266942552298554
SB52161_component_183a,333.767184,-7.244649,37.242,333.76669,-7.24463,76.2,2.1281156885232813,0.4887401650896848
SB52161_component_188a,333.478915,-11.644430,37.733,333.47855,-11.64449,93.5,1.7572232731961885,0.40356151560411097
SB52161_component_191a,334.604958,-7.967534,33.419,334.60474,-7.96728,129.1,1.127156950891756,0.25886133786414967
SB52161_component_195a,332.702947,-9.935898,32.554,332.70193,-9.93593,33.4,4.243997368110866,0.9746706842662332
SB52161_component_199a,332.908832,-10.897616,32.574,332.90826,-10.89703,52.2,2.717176242499482,0.6240230136447482
SB52161_component_200a,333.819515,-9.697055,31.956,333.81891,-9.69714,69.1,2.0136851102329154,0.46246019355122503
SB52161_component_205a,334.269605,-8.982887,32.298,334.26965,-8.98291,76.5,1.8383635552368076,0.42219608281952103
SB52161_component_209a,332.020794,-6.924047,30.146,332.02011,-6.92396,80.0,1.6408047653402809,0.37682499885559084
SB52161_component_221a,334.020049,-11.376855,28.345,334.01920,-11.37696,94.8,1.3019230487062725,0.2989978830522626
SB52161_component_233a,333.471440,-11.702927,30.079,333.47107,-11.70287,69.6,1.8817908959040759,0.4321695470261848
SB52161_component_239a,334.375144,-6.975247,26.627,334.37488,-6.97492,110.1,1.0530576190446603,0.2418437857285724
SB52161_component_240a,333.457659,-10.547412,26.222,333.45721,-10.54714,42.1,2.7120701666907774,0.6228503591940692
SB52161_component_242a,332.685133,-8.114619,26.131,332.68463,-8.11384,68.6,1.6586285056869992,0.38091837490960395
SB52161_component_249a,333.908969,-11.440845,26.342,333.90796,-11.44065,45.2,2.5376253094869363,0.5827875896892716
SB52161_component_252a,333.725377,-7.647549,25.043,333.72476,-7.64771,46.6,2.3400095308096764,0.5374034177591872
SB52161_component_253a,331.338469,-8.056863,25.926,331.33807,-8.05627,62.9,1.794742236508756,0.41217806987428895
SB52161_component_258a,332.110345,-9.547655,25.450,332.11023,-9.54714,61.8,1.7931496128362754,0.41181231007992647
SB52161_component_264a,331.669624,-7.366171,23.897,331.66946,-7.36538,31.1,3.3458016043146412,0.7683922623514745
SB52161_component_265a,335.932964,-8.818413,25.643,335.93283,-8.81812,82.8,1.3485147210967232,0.30969806339429773
SB52161_component_267a,331.921075,-9.317681,24.174,331.92072,-9.31741,78.3,1.3443240060495167,0.30873562945564437
SB52161_component_274a,331.269234,-10.859643,23.208,331.26877,-10.85978,35.6,2.838604738594649,0.6519101175029626
SB52161_component_275a,331.275101,-11.186897,25.317,331.27441,-11.18691,94.9,1.1616177020039262,0.2667755472647503
SB52161_component_279a,330.209410,-9.204952,22.531,330.20963,-9.20423,24.5,4.004345925257468,0.9196326586664939
SB52161_component_280a,335.793880,-9.004202,23.055,335.79367,-9.00377,64.6,1.5539957133504105,0.3568885496157242
SB52161_component_283a,335.041735,-11.360865,23.812,335.04099,-11.36121,64.1,1.6175400835683622,0.3714820635672107
SB52161_component_285a,333.709670,-8.589615,22.300,333.70929,-8.58941,67.0,1.4492631433046308,0.3328358095083664
SB52161_component_291a,332.342230,-8.205991,22.156,332.34161,-8.20597,53.3,1.8100115755164665,0.4156848055784072
SB52161_component_292a,330.317630,-9.472195,21.417,330.31720,-9.47224,62.6,1.4897092071227906,0.34212459771397014
SB52161_component_305a,330.411623,-8.523979,19.393,330.41122,-8.52357,53.8,1.5695672058947385,0.3604646774915958
SB52161_component_306a,331.574812,-10.786510,21.044,331.57516,-10.78588,73.2,1.2517985009634138,0.2874863473444037
SB52161_component_318a,334.611219,-8.478179,18.495,334.61075,-8.47828,40.1,2.0082935105114452,0.4612219660656708
SB52161_component_329a,333.202527,-7.551117,19.759,333.20258,-7.55061,47.7,1.803697907566312,0.414234817153003
SB52161_component_332a,335.025965,-10.170480,18.402,335.02655,-10.16955,32.8,2.4429152178518247,0.5610365983916492
SB52161_component_350a,335.028683,-11.209740,17.651,335.02777,-11.20976,105.3,0.7298911923665562,0.16762582211978982
SB52161_component_354a,333.481838,-9.138366,17.965,333.48087,-9.13828,36.0,2.1729109407716707,0.4990277820163303
SB52161_component_355a,331.912983,-7.244349,17.468,331.91254,-7.24440,61.0,1.246896944335353,0.28636066249159514
SB52161_component_373a,334.699564,-11.556817,18.334,334.69919,-11.55639,53.2,1.5005925577342138,0.3446240532667117
SB52161_component_384a,333.220567,-11.254884,15.131,333.22012,-11.25496,56.1,1.1744160009506728,0.2697147872571214
SB52161_component_385a,334.359720,-11.050130,15.474,334.35931,-11.04992,43.2,1.5596819539002018,0.35819444391462535
SB52161_component_394a,332.832455,-9.244272,14.459,332.83109,-9.24436,48.4,1.3007986791128865,0.29873966185514594
SB52161_component_397a,332.543572,-7.399601,14.724,332.54300,-7.39947,34.2,1.8746357900856172,0.4305263151202285
SB52161_component_400a,334.269823,-8.484708,14.601,334.26956,-8.48448,27.2,2.3373884522859214,0.5368014644174015
SB52161_component_404a,336.035473,-10.882108,15.147,336.03467,-10.88203,53.3,1.237418565201089,0.28418387078433727
SB52161_component_405a,332.837320,-8.661364,14.773,332.83655,-8.66132,47.3,1.359955670783771,0.31232557639511144
SB52161_component_416a,331.811733,-7.197702,14.623,331.81119,-7.19785,21.8,2.9207688812655728,0.6707798231632337
SB52161_component_429a,335.474112,-9.412800,13.135,335.47479,-9.41209,46.6,1.227330057169435,0.28186695770132697
SB52161_component_441a,331.047231,-10.325705,14.207,331.04694,-10.32506,59.7,1.036203952998902,0.2379731956239122
SB52161_component_445a,332.574016,-9.639215,12.907,332.57413,-9.63880,30.6,1.8366274539786962,0.4217973721572776
SB52161_component_465a,330.217013,-8.821915,12.231,330.21710,-8.82112,31.3,1.7015112656803295,0.3907667714566849
SB52161_component_468a,334.514059,-7.736757,12.175,334.51294,-7.73663,31.8,1.6670900478589676,0.3828616412180775
SB52161_component_492a,334.868271,-9.169652,11.548,334.86755,-9.16981,47.4,1.060829646689992,0.24362869906526075
SB52161_component_503a,334.694636,-9.315561,11.293,334.69559,-9.31604,38.5,1.277220290468214,0.293324681071492
SB52161_component_513a,332.213162,-7.696189,11.549,332.21252,-7.69594,27.3,1.842039456034441,0.423040285215273
SB52161_component_523a,333.778172,-10.482465,11.415,333.77625,-10.48273,35.0,1.4201200929305582,0.32614285605294363
SB52161_component_541a,336.023557,-7.216371,10.338,336.02362,-7.21583,34.2,1.316217426366615,0.30228071045457267
SB52161_component_561a,330.598282,-8.940210,10.247,330.59784,-8.94000,31.8,1.4030941289814942,0.32223269624530143
SB52161_component_566a,335.523150,-7.416304,9.920,335.52301,-7.41645,35.5,1.2167476737560798,0.27943662186743506
SB52161_component_569a,333.035418,-10.237697,9.822,333.03482,-10.23712,33.4,1.2804736482478807,0.294071842810351
SB52161_component_572a,334.854673,-9.639432,10.407,334.85471,-9.63883,26.2,1.729583160300741,0.397213724733309
SB52161_component_587a,334.337274,-9.598159,9.564,334.33704,-9.59794,41.4,1.005903766640648,0.23101449588646636
SB52161_component_597a,334.174351,-8.901930,9.703,334.17395,-8.90108,23.9,1.7677682751877009,0.40598326647132016
SB52161_component_612a,331.559657,-9.651022,9.359,331.55975,-9.65027,41.8,0.9749231369663982,0.2238995264591783
SB52161_component_679a,330.271809,-9.532299,7.912,330.27151,-9.53179,33.5,1.028391985826561,0.23617910982957527
SB52161_component_695a,335.006774,-8.546410,8.436,335.00592,-8.54652,21.4,1.7164849234827935,0.39420560141590155
SB52161_component_722a,330.307718,-9.286221,7.293,330.30710,-9.28638,36.8,0.8629300846749001,0.1981793538383816
SB52161_component_751a,335.598075,-9.579075,7.193,335.59854,-9.57870,21.5,1.4567626327131316,0.33455813208291696
SB52161_component_818a,333.343041,-10.849424,6.306,333.34229,-10.84887,29.2,0.940347410953337,0.2159589120786484
SB52161_component_875a,330.694104,-8.708072,5.498,330.69406,-8.70917,28.0,0.854995674866741,0.19635714803423202
SB52161_component_927a,335.242497,-7.853584,5.047,335.24170,-7.85269,28.9,0.7604184721466871,0.17463667582475603
