Component_ID,RA,DEC,ASKAP_flux,RA_comp,DEC_comp,Comp_flux,Flux_Ratio_AlphaCorr,Flux_Ratio_NOAlphaCorr
SB53211_component_4a,222.209725,4.038818,472.645,222.20996,4.03906,854.4,2.4087460769668416,0.553189359800646
SB53211_component_5a,222.423520,4.177512,472.518,222.42363,4.17763,1533.8,1.3414263429024493,0.3080701560640851
SB53211_component_17a,223.163844,6.460718,295.899,223.16388,6.46111,295.7,4.357218668961417,1.0006729347866292
SB53211_component_29a,221.428669,6.585555,170.722,221.42902,6.58539,560.8,1.3255578542933175,0.3044258204744478
SB53211_component_38a,219.154170,3.413485,134.969,219.15350,3.41363,752.7,0.7807811097429003,0.17931313158047693
SB53211_component_41a,221.979341,6.167806,130.071,221.97990,6.16782,587.4,0.964192471809935,0.22143513644110965
SB53211_component_61a,220.096434,5.329516,90.183,220.09644,5.32957,408.8,0.9605743528840872,0.22060420415172838
SB53211_component_63a,218.780588,4.866772,87.776,218.78032,4.86694,206.3,1.8526516388669971,0.42547746474339554
SB53211_component_68a,217.732991,3.188601,81.983,217.73251,3.18865,259.0,1.3782920575672568,0.3165366861350748
SB53211_component_71a,220.533474,7.202683,83.925,220.53381,7.20251,275.6,1.3259567382302833,0.30451742761885997
SB53211_component_76a,222.907178,6.640112,82.883,222.90739,6.64039,397.6,0.9076873974323674,0.20845825763295592
SB53211_component_79a,222.350909,2.558225,75.831,222.35072,2.55845,236.6,1.3955623757165523,0.32050296399720324
SB53211_component_80a,221.845551,5.820869,74.451,221.84587,5.82101,210.3,1.5415174449845477,0.3540228074128663
SB53211_component_81a,219.052753,5.406453,76.819,219.05266,5.40668,321.3,1.0410584831344016,0.23908808043616753
SB53211_component_89a,222.804271,6.386293,73.713,222.80458,6.38645,395.1,0.8123706865929898,0.1865679509909477
SB53211_component_98a,218.917478,2.707332,58.358,218.91718,2.70747,47.3,5.372253207225378,1.233784391310452
SB53211_component_109a,221.146051,6.577487,53.038,221.14600,6.57721,78.6,2.9382028818218155,0.6747836921051259
SB53211_component_111a,219.906733,2.439788,52.343,219.90648,2.43959,104.9,2.1727027389978892,0.49897996667911027
SB53211_component_117a,219.925575,2.237043,57.291,219.92517,2.23738,308.5,0.8086273744167515,0.18570826698933854
SB53211_component_126a,217.601124,3.410009,49.666,217.60059,3.40993,160.4,1.348254956779104,0.3096384062731355
SB53211_component_132a,219.466551,2.821316,49.279,219.46655,2.82133,152.3,1.4088967885317627,0.32356532717408587
SB53211_component_134a,223.045431,3.101002,45.864,223.04523,3.10133,128.7,1.5517100359147216,0.3563636240333018
SB53211_component_137a,217.567773,3.349406,44.587,217.56779,3.34899,52.7,3.6839595813335455,0.8460531650955808
SB53211_component_138a,217.607325,6.114080,47.477,217.60707,6.11397,118.1,1.7504535232178773,0.4020067839981842
SB53211_component_139a,221.132291,2.964818,45.720,221.13243,2.96508,49.4,4.0299205728945,0.9255060975850835
SB53211_component_140a,219.909434,5.397100,52.530,219.90959,5.39715,193.7,1.1808506477514271,0.27119255952140875
SB53211_component_143a,218.090522,3.147403,44.753,218.08989,3.14724,116.5,1.672682118578142,0.3841459086012943
SB53211_component_146a,218.647603,7.110394,46.400,218.64746,7.11031,121.4,1.6642421237331135,0.3822075908227257
SB53211_component_148a,221.881540,5.654869,44.873,221.88197,5.65506,115.7,1.6887639878632137,0.387839248907803
SB53211_component_154a,217.620156,3.318782,40.490,217.61971,3.31842,86.7,2.0335080663394933,0.46701270678739093
SB53211_component_155a,219.274066,4.037186,41.305,219.27448,4.03759,199.0,0.903788384487829,0.2075628156038984
SB53211_component_156a,222.852486,6.422993,40.920,222.85229,6.42356,74.0,2.407803758545492,0.5529729482289907
SB53211_component_161a,219.984941,3.150200,44.225,219.98488,3.15014,104.4,1.8445249330367837,0.42361109649541273
SB53211_component_166a,218.231652,4.013013,37.693,218.23129,4.01331,80.5,2.0388347890273733,0.4682360347013296
SB53211_component_170a,220.124423,2.966973,37.022,220.12445,2.96738,146.9,1.0973755389822735,0.25202177916358653
SB53211_component_173a,222.880405,6.864895,40.974,222.88060,6.86510,147.9,1.2063057027246535,0.27703853295089587
SB53211_component_176a,217.435088,5.074829,35.672,217.43512,5.07496,234.6,0.6620894451108436,0.15205456472723686
SB53211_component_177a,221.073679,5.160511,35.940,221.07379,5.16106,86.3,1.8133617996778573,0.41645421351922346
SB53211_component_180a,220.770817,2.494222,35.636,220.77051,2.49445,284.0,0.5463712411714606,0.1254788788271622
SB53211_component_187a,217.798887,3.192982,32.792,217.79839,3.19268,153.9,0.9277831594794623,0.21307342311172534
SB53211_component_190a,218.596258,6.230356,32.494,218.59721,6.22928,108.3,1.3064473573794346,0.30003692965098033
SB53211_component_195a,218.126735,5.274206,31.981,218.12590,5.27427,113.6,1.22583190998354,0.28152289524884294
SB53211_component_196a,217.789997,2.282085,32.211,217.78951,2.28231,57.4,2.443483990149838,0.5611672218668337
SB53211_component_208a,219.463765,4.454977,30.711,219.46394,4.45536,98.1,1.3631453268565314,0.31305810848628834
SB53211_component_209a,221.215474,3.095326,30.409,221.21553,3.09572,80.4,1.6468850899657272,0.37822139796926013
SB53211_component_211a,223.027784,3.976034,30.043,223.02791,3.97652,50.8,2.5751158803044945,0.5913976233775222
SB53211_component_212a,219.569513,5.212352,34.468,219.56950,5.21245,93.2,1.6103391639916032,0.3698283101356081
SB53211_component_223a,219.434644,5.289023,28.290,219.43443,5.28896,52.6,2.341878823674075,0.5378327170252346
SB53211_component_228a,219.350380,6.064062,31.642,219.35052,6.06406,131.2,1.0501402295019735,0.24117378199972758
SB53211_component_239a,217.829718,5.972127,26.540,217.82919,5.97223,88.3,1.3087522222077947,0.30056626178400164
SB53211_component_251a,221.098569,4.185306,25.560,221.09892,4.18538,39.5,2.817610434496825,0.6470885940744907
SB53211_component_255a,221.524799,2.778551,25.987,221.52493,2.77932,62.0,1.8250789283645044,0.41914515341481856
SB53211_component_260a,219.530253,5.142310,24.159,219.53079,5.14255,124.6,0.8442637078938422,0.19389245904276498
SB53211_component_276a,222.223082,3.572386,23.660,222.22313,3.57278,152.1,0.6773337649035742,0.15555555455234787
SB53211_component_277a,217.415652,2.828711,22.353,217.41545,2.82853,53.5,1.819278766455804,0.41781309609101197
SB53211_component_279a,221.989338,4.184243,22.779,221.98927,4.18472,78.8,1.2587098375581132,0.2890735955407777
SB53211_component_296a,221.105095,6.954130,20.525,221.10567,6.95418,38.6,2.315330832777532,0.5317357414127014
SB53211_component_297a,221.142767,6.230275,22.582,221.14304,6.23048,126.6,0.7766867809981652,0.1783728335894303
SB53211_component_298a,219.267849,6.402540,22.520,219.26781,6.40247,112.7,0.8700849990274029,0.19982254177252592
SB53211_component_299a,222.886779,4.836685,20.683,222.88702,4.83655,55.5,1.6226982315353402,0.3726666768391927
SB53211_component_301a,220.921487,3.663274,20.802,220.92178,3.66367,119.4,0.7586089608434216,0.17422110591102485
SB53211_component_308a,218.086715,4.584744,20.217,218.08627,4.58478,91.5,0.9620835718440571,0.2209508093328424
SB53211_component_317a,221.026107,3.575640,21.691,221.02663,3.57605,52.0,1.8163244644293919,0.4171346150911771
SB53211_component_336a,219.218674,4.187178,19.604,219.21893,4.18734,46.6,1.8317912549563213,0.4206866972436209
SB53211_component_339a,220.238063,2.716553,18.564,220.23763,2.71681,79.2,1.0206187933974369,0.23439392899021957
SB53211_component_349a,218.519802,2.987292,17.507,218.51945,2.98739,48.6,1.5685294018480607,0.36022633682062594
SB53211_component_352a,221.089015,6.211771,17.552,221.08961,6.21179,54.6,1.399752238924455,0.3214652023035965
SB53211_component_361a,219.917423,6.201215,19.387,219.91821,6.20141,37.9,2.2273505986025506,0.511530320059341
SB53211_component_362a,221.016021,6.953849,17.753,221.01604,6.95296,39.7,1.947145722098687,0.4471788478438139
SB53211_component_372a,222.340874,4.236194,18.063,222.34177,4.23646,43.6,1.803933767937354,0.414288984526188
SB53211_component_378a,220.480497,5.494972,16.926,220.48022,5.49463,61.5,1.1983852036694869,0.27521952187142723
SB53211_component_380a,219.682186,4.657172,17.743,219.68217,4.65749,72.4,1.067101398971448,0.24506906119499416
SB53211_component_383a,222.118511,6.438216,15.930,222.11827,6.43792,35.7,1.9429640728462385,0.44621849594329915
SB53211_component_393a,219.153767,3.573099,15.275,219.15363,3.57367,60.0,1.108529257204808,0.25458332697550456
SB53211_component_408a,220.675070,2.776763,14.511,220.67467,2.77687,45.4,1.3917418341686802,0.3196255436027628
SB53211_component_452a,217.403192,4.223690,13.453,217.40378,4.22255,58.9,0.9945372447332613,0.2284040758686681
SB53211_component_469a,222.533899,4.172796,14.043,222.53395,4.17353,32.8,1.8642461769537135,0.4281402506479403
SB53211_component_472a,223.218329,6.383268,12.595,223.21815,6.38366,48.0,1.1425471881490616,0.26239583889643353
SB53211_component_475a,217.918129,2.163576,13.919,217.91725,2.16432,33.6,1.8037898939322319,0.4142559426171439
SB53211_component_513a,220.449372,2.762344,11.722,220.44986,2.76215,84.0,0.6076306014862297,0.13954762050083705
SB53211_component_519a,219.851771,5.813923,11.000,219.85188,5.81381,45.6,1.050376615882067,0.2412280701754386
SB53211_component_525a,221.632910,2.511516,10.580,221.63313,2.51173,41.4,1.1127626129222818,0.25555555371270666
SB53211_component_559a,222.638334,7.087490,10.123,222.63840,7.08758,61.1,0.721415111067526,0.16567921677509814
SB53211_component_560a,222.577757,6.540147,10.855,222.57790,6.54053,54.1,0.8736746738643028,0.20064694163098573
SB53211_component_589a,222.400874,6.536724,9.236,222.40059,6.53643,42.2,0.952990734749867,0.21886256068803686
SB53211_component_628a,222.039636,6.624090,9.369,222.04008,6.62356,38.1,1.0707435959837392,0.24590552322507842
SB53211_component_685a,222.049299,6.275923,7.417,222.04996,6.27559,37.7,0.8566513827963396,0.19673739567359497
