Component_ID,RA,DEC,ASKAP_flux,ASKAP_flux_SNR,RA_comp,DEC_comp,Comp_flux,Flux_Ratio_AlphaCorr,Flux_Ratio_NOAlphaCorr
SB55326_component_89a,37.639279,-3.152465,75.96600341796875,1100.95654296875,37.63925,-3.15251,179.0,1.8479353105417462,0.42439108054731145
SB55326_component_90a,35.425183,-4.85341,83.51100158691406,1284.78466796875,35.4251,-4.85335,285.0,1.2759079655519898,0.2930210581996985
SB55326_component_115a,37.520369,-6.469029,63.04100036621094,985.0155639648438,37.52007,-6.46928,224.1,1.2249031626083733,0.28130745366448434
SB55326_component_116a,39.191456,-3.031206,55.32699966430664,727.9868774414062,39.19182,-3.03122,153.7,1.5674141687762948,0.3599674669115592
SB55326_component_132a,38.399919,-3.111015,48.875,751.923095703125,38.39972,-3.11112,158.4,1.3435446673100302,0.30855429292929293
SB55326_component_140a,37.959984,-3.100758,46.38100051879883,875.1132202148438,37.95964,-3.10084,131.4,1.5369695519644495,0.35297565082799714
SB55326_component_143a,36.785782,-6.227789,46.935001373291016,838.125,36.78568,-6.22797,108.6,1.881860930900212,0.4321823330873943
SB55326_component_165a,35.51225,-6.334519,37.3120002746582,717.5384521484375,35.51239,-6.33458,84.8,1.9159015820385286,0.44000000323889393
SB55326_component_166a,35.54961,-5.818447,36.887001037597656,752.7959594726562,35.54955,-5.81816,137.9,1.1647416297113513,0.26749094298475456
SB55326_component_180a,38.23399,-7.200564,37.606998443603516,413.26373291015625,38.23305,-7.2004,142.2,1.1515680105396042,0.264465530545735
SB55326_component_182a,39.40297,-2.752393,37.946998596191406,602.3333129882812,39.40287,-2.75269,80.9,2.042440558177417,0.4690605512508208
SB55326_component_190a,40.089543,-6.497291,32.78900146484375,489.3880615234375,40.08955,-6.4971,100.0,1.4277386208529177,0.3278900146484375
SB55326_component_205a,35.149262,-2.673191,29.968000411987305,315.45263671875,35.14927,-2.67315,75.7,1.7237822438217083,0.3958784730777715
SB55326_component_213a,39.578427,-5.025218,30.5939998626709,637.375,39.57864,-5.02525,58.5,2.2771986132985558,0.522974356626853
SB55326_component_216a,39.604871,-2.605919,30.493999481201172,508.23333740234375,39.60584,-2.60649,68.0,1.9526571329763653,0.4484411688411937
SB55326_component_217a,38.555702,-5.179775,28.239999771118164,504.28570556640625,38.55602,-5.17908,50.2,2.4495228105749276,0.5625497962374136
SB55326_component_223a,38.866718,-7.126056,28.94499969482422,311.2365417480469,38.86626,-7.12599,71.7,1.7578220584253115,0.40369595111330847
SB55326_component_226a,37.160599,-4.113632,28.291000366210938,533.79248046875,37.16038,-4.11353,48.5,2.539961197754587,0.583319595179607
SB55326_component_229a,39.947392,-6.17338,25.92099952697754,418.0806579589844,39.94735,-6.17358,67.0,1.6846025656780035,0.38688058995488867
SB55326_component_230a,34.742127,-4.156383,25.29199981689453,371.941162109375,34.74207,-4.15606,30.7,3.5872802861569903,0.8238436422441215
SB55326_component_242a,35.907965,-2.231858,27.690000534057617,346.125,35.90805,-2.23182,156.8,0.7689487975320538,0.17659439116108172
SB55326_component_251a,39.73701,-6.274948,24.139999389648438,402.3333435058594,39.73709,-6.27504,52.8,1.9907826567056497,0.45719695813728106
SB55326_component_261a,39.585517,-5.155409,25.1299991607666,465.3703308105469,39.58578,-5.15574,52.1,2.100270668047748,0.48234163456365836
SB55326_component_272a,37.705411,-3.60467,20.966999053955078,308.33819580078125,37.70533,-3.60441,73.6,1.2404491836206577,0.28487770453743316
SB55326_component_273a,38.645912,-6.419164,20.451000213623047,454.4666442871094,38.64585,-6.41902,33.5,2.658215968461765,0.6104776183171059
SB55326_component_279a,38.794487,-7.142093,20.993000030517578,318.07574462890625,38.79478,-7.14201,46.7,1.9573935017585808,0.4495289085763935
SB55326_component_297a,38.35316,-3.859749,20.158000946044922,359.96429443359375,38.35319,-3.85979,80.3,1.093081218696071,0.2510336356917176
SB55326_component_310a,35.147234,-5.233247,18.291000366210938,415.7045593261719,35.14671,-5.23315,35.6,2.2372163100567835,0.5137921451182847
SB55326_component_312a,36.540127,-6.124579,19.003999710083008,452.4761962890625,36.53907,-6.12468,32.5,2.5461393595518063,0.5847384526179387
SB55326_component_342a,37.502005,-7.040489,17.96299934387207,332.64813232421875,37.50284,-7.04124,43.3,1.8063898072509987,0.41484986937348894
