Component_ID,RA,DEC,ASKAP_flux,ASKAP_flux_SNR,RA_comp,DEC_comp,Comp_flux,Flux_Ratio_AlphaCorr,Flux_Ratio_NOAlphaCorr
SB74234_component_1a,136.961342,4.227071,983.2630004882812,3886.4150390625,136.96152,4.22705,3154.1,1.357421598675539,0.3117412258610321
SB74234_component_2a,138.829478,2.467686,547.5850219726562,3626.39111328125,138.82983,2.46767,2145.7,1.1112277431981523,0.2552011101144877
SB74234_component_3a,141.331348,6.08637,543.6610107421875,3236.077392578125,141.33099,6.08685,2256.5,1.0490914961890598,0.24093109272864502
SB74234_component_4a,136.833426,4.605333,405.1470031738281,2853.147705078125,136.83342,4.60558,455.9,3.8695775520201923,0.8886751550204609
SB74234_component_5a,138.658035,2.766541,431.45001220703125,3751.7392578125,138.65849,2.76647,588.3,3.193391416226932,0.7333843484736211
SB74234_component_7a,140.74713,5.398207,348.6390075683594,2881.314208984375,140.74698,5.39831,741.3,2.0478705138504885,0.4703075779958983
SB74234_component_12a,141.229402,6.131941,292.32501220703125,2586.947021484375,141.22926,6.13231,756.9,1.6816979222491542,0.3862135185718473
SB74234_component_14a,137.463014,4.739491,275.08099365234375,2547.046142578125,137.46307,4.7396,838.9,1.4278116013603783,0.3279067751249777
SB74234_component_17a,139.128459,3.933145,233.1959991455078,2914.949951171875,139.12863,3.93313,1523.1,0.6666735014102925,0.15310616449708347
SB74234_component_23a,142.055455,5.486809,178.95799255371094,2080.90673828125,142.05537,5.48719,344.0,2.2652345304454027,0.5202267225398574
SB74234_component_25a,142.046155,2.688952,175.4010009765625,2470.4365234375,142.04631,2.68884,336.2,2.2717203828107233,0.521716243237842
SB74234_component_26a,139.439304,3.444876,174.98399353027344,2611.701416015625,139.43932,3.44473,856.9,0.8891779765545962,0.20420585077637232
SB74234_component_35a,138.394069,6.728106,149.58799743652344,1942.7012939453125,138.39401,6.72821,564.4,1.154064971783967,0.26503897490525063
SB74234_component_37a,137.316209,3.911896,144.4810028076172,1852.320556640625,137.31625,3.91198,297.3,2.1161008150321408,0.48597713692437666
SB74234_component_43a,141.653712,6.778051,142.19700622558594,1421.9700927734375,141.65367,6.77836,402.9,1.5367870844519944,0.3529337459061453
SB74234_component_45a,140.38341,6.04591,125.06999969482422,1954.2186279296875,140.38332,6.04612,949.8,0.5733786264021768,0.13168035343738074
SB74234_component_46a,138.543792,5.843318,115.19599914550781,1719.34326171875,138.54353,5.84367,254.7,1.9693774795905772,0.4522811116824021
