Component_ID,RA,DEC,ASKAP_flux,ASKAP_flux_SNR,RA_comp,DEC_comp,Comp_flux,Flux_Ratio_AlphaCorr,Flux_Ratio_NOAlphaCorr
SB81121_component_9a,157.903772,-2.554321,357.15301513671875,1768.084228515625,157.90367,-2.55438,961.2,1.6179350189471364,0.3715699283569691
SB81121_component_18a,158.456713,-5.214619,268.74200439453125,1679.6375732421875,158.45723,-5.21427,734.1,1.5940459795840582,0.3660836458173699
SB81121_component_22a,153.642308,-6.711925,218.56700134277344,831.05322265625,153.64201,-6.7118,905.2,1.05138206667423,0.2414571380278098
SB81121_component_23a,157.168035,-3.605319,214.9239959716797,1953.8544921875,157.16789,-3.60537,660.2,1.4175223102815617,0.3255437685120868
SB81121_component_25a,158.298208,-3.892082,218.82200622558594,2084.019287109375,158.29813,-3.89216,808.8,1.1780680267802957,0.27055144192085306
SB81121_component_29a,156.439256,-5.165031,190.16799926757812,1419.1641845703125,156.43951,-5.16486,296.6,2.791816097344755,0.6411598087241339
SB81121_component_32a,153.324818,-3.044418,162.65199279785156,1827.5504150390625,153.32489,-3.04448,151.2,4.684121092310183,1.075740693107484
SB81121_component_34a,153.898248,-6.446932,158.08900451660156,1090.26904296875,153.89799,-6.44688,388.9,1.7700447160212627,0.40650296867215624
SB81121_component_35a,154.609452,-2.603214,155.1320037841797,1231.206298828125,154.60933,-2.6033,707.5,0.9547627667428891,0.21926784987163206
SB81121_component_47a,158.074769,-5.167933,130.44500732421875,1482.32958984375,158.07504,-5.16762,787.9,0.720903073941686,0.16556035959413473
SB81121_component_49a,153.411968,-5.855142,127.3239974975586,1116.877197265625,153.41156,-5.85529,842.3,0.6582092496772046,0.15116229074861523
SB81121_component_53a,158.593702,-4.098189,111.1780014038086,1208.45654296875,158.59377,-4.09826,315.7,1.5334329715313344,0.35216345075644157
SB81121_component_55a,158.513374,-6.201064,101.03199768066406,1000.3167724609375,158.51328,-6.20103,303.2,1.450942692852184,0.33321898971195274
SB81121_component_59a,154.009844,-6.466493,91.68299865722656,916.8299560546875,154.00974,-6.46639,262.9,1.5185137874787709,0.34873715731162636
SB81121_component_66a,155.882269,-3.214766,89.09300231933594,1370.66162109375,155.88248,-3.21455,261.1,1.4857893426036943,0.3412217630001376
SB81121_component_69a,157.479716,-2.593001,88.13800048828125,1207.369873046875,157.47942,-2.59311,544.1,0.705350509307213,0.16198860593324985
SB81121_component_92a,158.409055,-3.8382,66.1520004272461,882.026611328125,158.40916,-3.83823,244.9,1.1761824987993266,0.270118417424443
SB81121_component_96a,153.866703,-6.391682,63.042999267578125,606.1826782226562,153.86638,-6.39143,147.4,1.8623439796487538,0.4277001307162695
SB81121_component_97a,153.738726,-3.563346,66.72699737548828,1026.5692138671875,153.73846,-3.56357,174.3,1.666958208096222,0.38282844162643875
SB81121_component_101a,156.689594,-2.531726,63.61399841308594,871.4246215820312,156.68973,-2.53135,102.7,2.697135507264489,0.6194157586473801
SB81121_component_102a,156.363503,-2.524302,62.189998626708984,714.8275756835938,156.3634,-2.52421,200.3,1.3519483942133226,0.31048426673344476
SB81121_component_108a,154.06942,-6.323131,58.00299835205078,610.557861328125,154.06905,-6.32325,131.0,1.9279673054761481,0.4427709797866472
SB81121_component_114a,154.967699,-7.092901,57.33300018310547,744.5844116210938,154.96748,-7.09277,90.9,2.7463842620574317,0.6307260746216222
SB81121_component_119a,156.502657,-4.098879,55.290000915527344,863.90625,156.50259,-4.09901,227.1,1.060107676286031,0.2434610344144753
SB81121_component_131a,157.327397,-6.54242,50.762001037597656,590.2557983398438,157.32765,-6.54221,215.4,1.0261563832559808,0.23566388596841994
SB81121_component_134a,157.532658,-6.72328,48.88399887084961,698.3428344726562,157.53265,-6.72319,248.4,0.8569108666704205,0.19679548659762322
SB81121_component_141a,158.671577,-3.608669,47.23500061035156,530.7303466796875,158.6718,-3.60869,351.7,0.5848063414764613,0.13430480696716396
SB81121_component_145a,153.066588,-3.418212,43.03799819946289,705.5409545898438,153.0663,-3.41829,202.4,0.9258957086681345,0.21263833102501428
SB81121_component_147a,157.972706,-3.459549,42.768001556396484,689.8064575195312,157.97279,-3.45949,179.0,1.0403666993316556,0.2389273829966284
SB81121_component_154a,155.527474,-4.529418,42.63999938964844,710.6666870117188,155.52782,-4.52924,173.5,1.0701341588602238,0.24576368524293046
SB81121_component_155a,157.865254,-6.058146,45.42399978637695,688.242431640625,157.86526,-6.05807,142.2,1.3909332632114542,0.31943741059336817
SB81121_component_161a,153.655196,-4.414413,40.31999969482422,746.6666259765625,153.65508,-4.41443,107.6,1.6316566119142077,0.3747211867548719
SB81121_component_162a,157.450311,-4.4425,44.35100173950195,778.0877685546875,157.45013,-4.44255,115.2,1.676376139761184,0.3849913345442878
SB81121_component_163a,158.292715,-4.347312,44.518001556396484,767.5517578125,158.29276,-4.34713,168.5,1.1504195978317782,0.26420178965220464
SB81121_component_173a,156.205327,-6.560206,39.047000885009766,723.0925903320312,156.20499,-6.56038,72.7,2.3386960803664785,0.5370976737965579
SB81121_component_174a,158.642766,-4.510039,37.965999603271484,542.3713989257812,158.64317,-4.50986,92.8,1.7814243281774205,0.40911637503525305
SB81121_component_175a,154.703034,-2.366958,38.369998931884766,548.142822265625,154.70296,-2.36725,40.1,4.166466850786411,0.9568578287253059
SB81121_component_177a,158.14152,-4.44294,37.27799987792969,745.5599975585938,158.14153,-4.44299,56.7,2.862793747619809,0.6574603153074019
SB81121_component_181a,158.599008,-3.584964,37.85100173950195,556.63232421875,158.59892,-3.58512,151.5,1.0878906927788055,0.24984159564027691
SB81121_component_194a,155.939972,-5.923264,36.20600128173828,635.1929931640625,155.94051,-5.92319,91.0,1.7324459196890958,0.39786814595316794
SB81121_component_197a,155.214207,-4.80216,34.80099868774414,682.37255859375,155.21432,-4.80209,155.2,0.9763836684566073,0.22423323896742361
SB81121_component_198a,154.563458,-4.009129,35.08300018310547,637.8727416992188,154.56319,-4.00925,96.8,1.5781267622719686,0.36242768784199864
SB81121_component_199a,157.824833,-2.502533,33.724998474121094,488.7680969238281,157.82472,-2.50246,104.9,1.3998998495360437,0.3214966489430037
SB81121_component_200a,156.531232,-4.271136,34.61800003051758,540.90625,156.53131,-4.27134,131.9,1.1428196384529319,0.26245640659983
SB81121_component_205a,154.200159,-3.745821,34.16600036621094,589.0689697265625,154.20023,-3.74595,170.2,0.8740878868670953,0.20074030767456486
SB81121_component_206a,153.570653,-4.064011,33.71900177001953,648.4423217773438,153.57021,-4.06425,77.7,1.8896188241603782,0.4339639867441381
SB81121_component_207a,153.613984,-2.169434,32.41299819946289,600.2406616210938,153.61394,-2.16967,123.2,1.145589471514101,0.2630925178527832
SB81121_component_210a,157.931401,-3.30943,33.32600021362305,427.25640869140625,157.93132,-3.30962,177.5,0.8175331121932644,0.18775211387956647
SB81121_component_212a,153.475733,-6.395752,31.084999084472656,444.0714111328125,153.47539,-6.39578,83.1,1.6288097168036826,0.3740673776711511
SB81121_component_216a,153.700345,-4.684199,31.202999114990234,650.0625,153.69998,-4.6846,152.4,0.891521637567032,0.20474408868103827
SB81121_component_223a,152.91994,-3.63808,30.134000778198242,486.03228759765625,152.9194,-3.63816,66.7,1.9672134162162616,0.45178411961316706
SB81121_component_225a,155.235355,-3.966354,31.263999938964844,651.3333129882812,155.23544,-3.96614,104.0,1.308976103649327,0.3006153840285081
SB81121_component_226a,156.496959,-4.576652,30.979999542236328,402.337646484375,156.49699,-4.57669,62.4,2.161809065326587,0.4964743516384027
SB81121_component_228a,153.782581,-4.433764,30.575000762939453,599.5098266601562,153.78252,-4.43407,99.5,1.338024026983554,0.3072864398285372
SB81121_component_231a,156.978723,-2.454381,33.020999908447266,508.0154113769531,156.97873,-2.45435,104.2,1.3798853930244923,0.31690019105995454
SB81121_component_232a,153.543069,-4.018861,29.381999969482422,587.6400146484375,153.54305,-4.01899,89.0,1.4375132740196006,0.33013483111778
SB81121_component_240a,158.474321,-6.588391,30.801000595092773,400.01300048828125,158.47424,-6.5887,68.1,1.969419481181273,0.452290757637192
SB81121_component_244a,154.327716,-6.761595,28.04400062561035,424.9090881347656,154.32729,-6.76154,25.3,4.826585049387944,1.1084585227513972
SB81121_component_246a,153.117789,-3.406302,27.165000915527344,503.0555725097656,153.11766,-3.40646,40.5,2.9206210913032464,0.6707407633463541
SB81121_component_247a,157.488003,-6.019115,27.52899932861328,377.1095886230469,157.4879,-6.01891,149.5,0.8018068254390571,0.1841404637365437
SB81121_component_248a,155.574298,-4.402003,27.56100082397461,540.4118041992188,155.57436,-4.40197,75.6,1.5874267884956776,0.36456350296262713
