Component_ID,RA,DEC,ASKAP_flux,ASKAP_flux_SNR,RA_comp,DEC_comp,Comp_flux,Flux_Ratio_AlphaCorr,Flux_Ratio_NOAlphaCorr
SB81129_component_1a,228.106163,1.352343,3327.93701171875,1226.6630859375,228.10609,1.35234,11440.5,1.26663244588444,0.29089087117859797
SB81129_component_11a,228.376044,-0.832742,460.97198486328125,2057.91064453125,228.37601,-0.83283,2218.0,0.9049685922758295,0.20783227451004566
SB81129_component_15a,223.185243,-0.205804,291.7909851074219,1621.0609130859375,223.18507,-0.20565,905.5,1.403149455039174,0.3222429432439778
SB81129_component_17a,223.865475,-1.51895,268.5150146484375,1182.885498046875,223.8652,-1.51869,695.9,1.6801275574439996,0.38585287347095487
SB81129_component_18a,227.219216,-0.409896,273.6390075683594,2012.0513916015625,227.21886,-0.4097,686.6,1.7353805432847325,0.39854210248814353
SB81129_component_21a,223.74236,1.096124,201.906005859375,1740.569091796875,223.74237,1.09631,497.4,1.767518519947084,0.4059228103324789
SB81129_component_40a,226.278604,2.491079,133.23899841308594,1129.14404296875,226.27831,2.49134,298.7,1.9423015336896703,0.446062934091349
SB81129_component_55a,223.951074,-0.624486,98.87200164794922,1336.108154296875,223.95088,-0.62443,351.2,1.2258556571120554,0.28152620059211053
SB81129_component_56a,224.92492,-1.835882,90.85099792480469,917.6868286132812,224.92477,-1.83552,194.4,2.0349510074427593,0.46734052430455086
SB81129_component_64a,228.002025,-2.192096,82.90499877929688,493.4821472167969,228.00232,-2.1921,260.1,1.3879086465951254,0.31874278654093374
SB81129_component_73a,228.350797,1.613929,83.8280029296875,359.77685546875,228.35065,1.61382,382.4,0.9545347699331779,0.21921548883286482
SB81129_component_80a,227.64629,-0.21331,68.1989974975586,841.9629516601562,227.64598,-0.21322,213.1,1.3935259399896658,0.32003283668493004
SB81129_component_81a,223.473297,-2.481245,73.177001953125,443.4969787597656,223.47334,-2.48095,378.2,0.8425071677972202,0.1934875778771153
SB81129_component_88a,225.617629,2.270748,62.277000427246094,973.0780639648438,225.61758,2.27078,200.5,1.3524892628074223,0.3106084809338957
SB81129_component_91a,223.994677,-1.962551,60.1609992980957,620.2164916992188,223.99509,-1.96244,91.1,2.875525219134283,0.6603841854895248
SB81129_component_92a,226.558823,-1.102795,59.75899887084961,841.676025390625,226.55917,-1.10263,156.8,1.6595019659512278,0.38111606422735717
SB81129_component_94a,225.759475,-1.55488,58.2140007019043,676.906982421875,225.7596,-1.55468,297.2,0.8529020495883365,0.19587483412484624
SB81129_component_97a,225.792588,-2.158314,54.709999084472656,475.7391052246094,225.79286,-2.15746,102.8,2.3173632169190466,0.5321984346738585
SB81129_component_100a,224.387012,-1.524966,54.481998443603516,726.4266357421875,224.38647,-1.52483,145.3,1.6327057849332238,0.37496213656987964
SB81129_component_102a,225.312341,0.054252,52.48400115966797,920.77197265625,225.31284,0.05424,125.5,1.820973924544154,0.4181992124276332
SB81129_component_105a,226.377038,-2.248487,50.64699935913086,767.3787841796875,226.37723,-2.24828,99.9,2.2075408472877216,0.5069769705618704
SB81129_component_109a,226.210842,0.599717,50.457000732421875,655.2857055664062,226.21022,0.60053,88.1,2.4938253744856516,0.5727241853850383
SB81129_component_112a,226.270422,1.085485,48.676998138427734,772.6507568359375,226.2702,1.08559,148.2,1.4301977833363921,0.32845477826199554
SB81129_component_120a,223.878843,-2.383754,46.20500183105469,366.70635986328125,223.87849,-2.38341,200.7,1.0024486507969046,0.23021924180894215
SB81129_component_125a,225.333418,0.910223,44.46799850463867,907.5101928710938,225.33319,0.91005,164.4,1.1777857229869457,0.27048660890899434
SB81129_component_128a,226.549388,-2.382743,43.9739990234375,556.6328735351562,226.54942,-2.38266,174.8,1.095405836246504,0.2515675001340818
SB81129_component_131a,228.251238,1.041774,43.558998107910156,272.2437438964844,228.25108,1.04173,258.6,0.7334489275525353,0.1684416013453602
SB81129_component_135a,222.870484,0.574155,41.79800033569336,405.8058166503906,222.87064,0.57443,147.6,1.2330754862607305,0.2831842841171637
SB81129_component_143a,226.623729,-0.720895,40.624000549316406,688.5423583984375,226.62357,-0.72063,75.1,2.3553923964484182,0.540932097860405
SB81129_component_148a,226.595848,-0.921224,38.53300094604492,550.471435546875,226.59586,-0.92125,108.1,1.5521284359974246,0.35645699302539247
