Component_ID,RA,DEC,ASKAP_flux,ASKAP_flux_SNR,RA_comp,DEC_comp,Comp_flux,Flux_Ratio_AlphaCorr,Flux_Ratio_NOAlphaCorr
SB85701_component_1a,225.394837,-39.310914,3592.93701171875,33267.93359375,225.39413,-39.31103,3197.1,4.893435851129914,1.1238112701256608
SB85701_component_5a,226.659091,-39.340873,569.1409912109375,4344.587890625,226.65875,-39.34079,2237.4,1.1076351989701012,0.2543760575717071
SB85701_component_13a,228.006975,-34.770198,327.3840026855469,3375.0927734375,228.00667,-34.77065,1618.6,0.8807211676507584,0.20226368632493938
SB85701_component_16a,228.836108,-38.294202,247.32200622558594,540.00439453125,228.83562,-38.29528,678.7,1.5867387502595691,0.36440549023955493
SB85701_component_17a,228.670358,-36.284658,235.24200439453125,4900.875,228.6703,-36.28444,115.2,8.891661242576845,2.0420312881469727
SB85701_component_22a,231.392531,-38.943421,215.34800720214844,3473.35498046875,231.39235,-38.94362,1304.2,0.7189806092385921,0.1651188523249106
SB85701_component_35a,231.1475,-35.439557,133.36300659179688,3175.309814453125,231.14719,-35.43903,647.1,0.8973967541682297,0.20609334970143234
SB85701_component_43a,230.150826,-35.021066,115.0770034790039,2676.209228515625,230.15125,-35.02126,374.4,1.3383608403671599,0.30736379134349334
SB85701_component_48a,226.998982,-38.222937,111.13300323486328,2710.56103515625,226.99817,-38.22382,313.5,1.5435689078370165,0.3544912383887186
SB85701_component_54a,231.947568,-36.705394,99.05799865722656,2913.470458984375,231.94655,-36.70524,422.0,1.0221099469189865,0.23473459397447052
SB85701_component_72a,227.586707,-35.467498,80.16000366210938,2109.473876953125,227.5862,-35.46774,631.3,0.5528947363374932,0.12697608690338885
SB85701_component_79a,227.768931,-37.95647,77.16699981689453,2660.93115234375,227.76704,-37.95641,122.6,2.740701022209227,0.6294208794200207
SB85701_component_80a,232.681583,-35.598416,75.72699737548828,1545.448974609375,232.6805,-35.59929,45.4,7.262989237421585,1.6679955369050283
SB85701_component_86a,225.858216,-39.343503,71.75399780273438,1668.697509765625,225.85876,-39.344,93.9,3.3273694669350347,0.7641533312325279
SB85701_component_104a,228.177566,-37.242071,59.97100067138672,2067.965576171875,228.17737,-37.2414,135.4,1.9286043745293622,0.442917287085574
SB85701_component_106a,225.523845,-36.73544,58.632999420166016,1363.55810546875,225.522,-36.73684,243.4,1.048919245553971,0.24089153418309783
SB85701_component_109a,231.285892,-38.261656,62.90599822998047,1906.242431640625,231.28596,-38.26213,200.9,1.3634293479496522,0.3131209468889023
SB85701_component_115a,226.687507,-39.18512,55.03499984741211,1572.4285888671875,226.68721,-39.18487,247.3,0.9690258657039499,0.22254346885326368
SB85701_component_118a,231.19887,-38.661849,54.87099838256836,1959.678466796875,231.19844,-38.66163,184.5,1.2949917693439315,0.29740378527137323
SB85701_component_131a,232.474018,-37.069844,51.47200012207031,1559.757568359375,232.47273,-37.06843,161.7,1.3860584378850094,0.31831787335850537
SB85701_component_141a,229.012474,-39.435043,46.57600021362305,1330.7427978515625,229.01237,-39.43515,135.7,1.494523880174135,0.3432277097540387
SB85701_component_153a,231.694966,-39.451688,42.43000030517578,1060.75,231.69492,-39.45233,81.7,2.26136931434804,0.5193390490229594
SB85701_component_163a,231.270221,-34.911296,39.92499923706055,1079.0540771484375,231.26958,-34.91086,222.6,0.7809806485144742,0.1793575886660402
SB85701_component_175a,232.318619,-36.278386,37.71200180053711,1047.5556640625,232.31845,-36.27809,136.7,1.2012449853632625,0.27587419020144194
SB85701_component_186a,230.708986,-38.75419,35.04399871826172,1208.413818359375,230.70874,-38.75385,180.3,0.8463274856431422,0.19436494020111877
SB85701_component_205a,232.655919,-38.420269,32.314998626708984,788.170654296875,232.65495,-38.42068,112.3,1.2529822014235446,0.28775599845689215
SB85701_component_288a,230.056282,-37.717549,23.229000091552734,801.0,230.05583,-37.7178,72.7,1.391286660528201,0.31951857072287115
SB85701_component_306a,230.855899,-36.288377,20.440000534057617,704.82763671875,230.85547,-36.28759,49.7,1.7907915251417699,0.4112676163794289
SB85701_component_352a,232.278634,-34.886703,18.27400016784668,480.8947448730469,232.27797,-34.88621,68.4,1.16331690503815,0.2671637451439573
SB85701_component_356a,229.39053,-36.125754,16.55299949645996,636.65380859375,229.39069,-36.12525,50.5,1.4272690229208178,0.3277821682467319
SB85701_component_396a,228.075305,-35.130078,16.642000198364258,554.7333374023438,228.07584,-35.1303,58.6,1.236597668074246,0.28399317744648905
SB85701_component_411a,229.600126,-37.089873,13.772000312805176,510.0740661621094,229.59885,-37.08984,49.6,1.2090266217425523,0.2776612966291366
SB85701_component_438a,229.964658,-38.437364,12.79800033569336,492.23077392578125,229.96529,-38.43674,83.2,0.6697909994971577,0.15382211941939133
