Component_ID,RA,DEC,ASKAP_flux,RA_comp,DEC_comp,Comp_flux,Flux_Ratio_AlphaCorr,Flux_Ratio_NOAlphaCorr
SB50416_component_13a,126.776620,-3.974973,225.198,126.77686689899966,-3.9749970509964094,64.08416712392,1.3928584611473485,3.514097290387001
SB50416_component_22a,131.796734,-5.138009,185.453,131.796258910497,-5.13811260218337,23.88998680411,3.0768842998426726,7.762792187804074
SB50416_component_24a,130.431901,-3.889813,161.249,130.43216583665134,-3.88982102642214,68.08836426403,0.9386794617564154,2.3682312633424085
SB50416_component_35a,131.217405,-5.398931,134.043,131.21769602847814,-5.398866085236301,40.25392336281,1.31986382856167,3.329936266322265
SB50416_component_64a,127.707009,-6.605583,98.997,127.70728385105564,-6.6055413391417686,103.66857274531,0.3785019553258868,0.9549374417564543
SB50416_component_89a,131.472298,-2.683374,67.027,131.4725383036237,-2.68341710999073,29.76316947459,0.8926142437991198,2.252011516598382
SB50416_component_100a,130.694876,-4.528459,60.101,130.69520523054123,-4.52842755031349,18.57379896836,1.282549617979313,3.2357947796184563
SB50416_component_109a,130.862915,-2.931351,57.043,130.8631938119789,-2.93138717674148,21.43361971783,1.0548726607756245,2.661379646487137
SB50416_component_115a,129.667907,-2.105717,59.924,129.66822789199497,-2.10681533941706,6.310715142299999,3.7637036682236995,9.49559573442212
SB50416_component_134a,130.567348,-4.799998,43.645,130.56764244612782,-4.79996150435732,19.45679397356,0.8891119099613654,2.2431753410697173
SB50416_component_164a,128.419496,-4.504846,36.473,128.4197394787464,-4.50483323913566,18.62263677967,0.7762891468684138,1.958530363034886
SB50416_component_169a,129.191714,-5.248435,35.645,129.19194519654476,-5.248444991543732,10.76584842898,1.3123315476214723,3.310932779047199
SB50416_component_196a,127.830469,-5.304222,30.919,127.83065253856545,-5.30426056202664,12.08430714279,1.014137632209766,2.5586076438033865
SB50416_component_199a,130.809010,-7.165989,29.755,130.8092651657637,-7.165901459622001,14.23168069028,0.8286992711395728,2.0907579229970197
SB50416_component_223a,129.465485,-6.928502,27.771,129.46575165270548,-6.92838814030635,11.42022936465,0.9638509866246742,2.431737491578688
SB50416_component_228a,131.210510,-3.845191,24.939,131.21075387023623,-3.84518570939977,8.094007409069999,1.2212613949275166,3.0811683157195033
SB50416_component_237a,131.798618,-3.383356,23.664,131.79880345991512,-3.38346078231444,14.20602046733,0.6602507726754986,1.6657725935222965
SB50416_component_239a,129.551286,-6.775470,24.103,129.55155318498768,-6.77532416896631,9.55951732714,0.9993747057778849,2.5213616771674636
SB50416_component_291a,131.763159,-2.770312,20.049,131.7634049052291,-2.7703828074660097,11.986139037469997,0.6629894318046382,1.6726820641493947
SB50416_component_293a,131.270344,-2.806491,20.759,131.27047307212808,-2.806392755666629,8.051909707570001,1.0218820125844528,2.5781462450680084
SB50416_component_302a,127.644160,-4.661267,21.688,127.64493290795129,-4.66195302172968,3.2099631461,2.6780128616152945,6.756463778000692
SB50416_component_308a,129.087665,-6.306879,20.908,129.0877464700559,-6.3066587599236295,6.70731496105,1.235540586986981,3.1171938499175336
SB50416_component_311a,127.236848,-6.061801,18.777,127.23709290747648,-6.061737561508501,7.417148540710001,1.003419288755694,2.5315659143383797
SB50416_component_324a,130.833984,-6.875336,17.867,130.83424501014366,-6.87525354695684,6.32618007221,1.1194464085612832,2.824295289715377
SB50416_component_329a,128.090131,-4.345138,17.651,128.09039085963158,-4.34510832284538,6.05631752415,1.1551911714702126,2.914477155272861
SB50416_component_337a,125.978709,-6.097691,17.235,125.97899974024304,-6.09761327178007,10.23095820921,0.6677104882230436,1.6845930027195752
SB50416_component_339a,130.046592,-6.661264,16.998,130.0468568866188,-6.66118642737542,9.86247939549,0.6831324270353141,1.7235016175605062
SB50416_component_340a,127.707090,-4.406056,17.334,127.70725797491892,-4.40606920022408,5.803463617969999,1.1838719275226752,2.9868369606239287
SB50416_component_343a,126.532154,-4.801876,16.702,126.5324081628543,-4.801858172257259,6.87604263772,0.9627712548656768,2.429013393937416
SB50416_component_353a,130.539082,-7.213826,16.329,130.53931004976192,-7.213704431880361,3.89518109335,1.6615949121831337,4.192103032359637
SB50416_component_358a,130.464078,-4.713177,15.925,130.46434967110253,-4.7131673912110985,5.190576023109999,1.2160658582641355,3.068060292312836
SB50416_component_371a,127.135214,-3.798456,15.669,127.13545216722594,-3.7984660829410695,6.5605574985500015,0.9466593549537531,2.388364049152707
SB50416_component_374a,128.129141,-5.172266,15.410,128.129343713226,-5.172241466422982,6.96037307048,0.8775327266320572,2.213961764889911
SB50416_component_378a,130.563393,-4.105365,15.048,130.56359039977102,-4.10544144752942,5.39158982166,1.106254761786818,2.791013566210101
SB50416_component_393a,128.011796,-5.364020,14.722,128.01199640510848,-5.36398379914226,5.20303497495,1.1215103280761094,2.8295024332816037
SB50416_component_408a,131.581343,-5.022581,14.062,131.58158561979178,-5.02257578438351,4.788513647479999,1.1639640800970028,2.9366106708411417
