Component_ID,RA,DEC,ASKAP_flux,RA_comp,DEC_comp,Comp_flux,Flux_Ratio_AlphaCorr,Flux_Ratio_NOAlphaCorr
SB50423_component_2a,34.094810,-30.160159,1203.269,34.09469116787462,-30.15999995900676,307.6346354335,1.476267978671087,3.9113575143227175
SB50423_component_11a,32.798986,-26.304256,279.894,32.79858014564835,-26.3041589114927,139.72059020355,0.7560854526318191,2.0032409829031796
SB50423_component_18a,34.313688,-27.265344,209.853,34.31374066094104,-27.265367548902468,119.60809120152,0.6622047651372402,1.754505023181116
SB50423_component_19a,33.990801,-28.573657,203.225,33.99090958882149,-28.57361089651918,73.65218478877,1.0414278723323303,2.7592529221821813
SB50423_component_24a,35.329566,-29.120980,177.132,35.329430222702634,-29.1210061925199,80.33370070846,0.8322176978805289,2.204952619163053
SB50423_component_26a,35.772878,-28.414339,179.268,35.773148956002686,-28.41431519723285,106.94625208132,0.6326665926369621,1.6762439251707633
SB50423_component_30a,35.917194,-28.378402,157.082,35.91746952561861,-28.37842505399448,54.03254664767999,1.0972577897658,2.9071737402398843
SB50423_component_35a,33.857886,-29.906309,150.203,33.857760566315896,-29.906199575641946,43.57808343958,1.3009127641943645,3.4467555953427937
SB50423_component_36a,34.872306,-29.511412,145.878,34.87214940319681,-29.511355430252014,62.50793281131,0.8808305465108289,2.3337518842896463
SB50423_component_38a,34.318264,-25.892241,136.481,34.317915221103114,-25.89206116152269,77.63045851307,0.6635562424668361,1.7580857490960073
SB50423_component_39a,35.412781,-26.692173,137.210,35.412573569429405,-26.6921626118226,43.04672264871,1.2030491733958262,3.187466972424183
SB50423_component_41a,35.094000,-25.423998,132.089,35.09376774314411,-25.423831006299327,48.48348694340999,1.0282779094087082,2.724412224532779
SB50423_component_47a,34.875977,-29.370404,120.248,34.87582972090345,-29.37033966542992,95.22319510634,0.4766205919711105,1.2628015785896125
SB50423_component_54a,35.734117,-27.502518,126.022,35.733982323502886,-27.50197958205218,19.42398485177,2.448757242794425,6.487958270948941
SB50423_component_61a,31.729690,-28.423216,92.721,31.729777595765466,-28.42318834061387,22.06656675396,1.5859190916746992,4.201877061584457
SB50423_component_64a,34.793239,-29.996168,86.648,34.793125799525214,-29.99613963762414,29.25669783623,1.1178175793430702,2.961646700852591
SB50423_component_70a,34.970620,-30.026703,87.620,34.97047602453461,-30.02661340014465,36.64553611276,0.9024431824589056,2.3910143510241264
SB50423_component_72a,34.797833,-29.673273,82.786,34.797650808040984,-29.67318921055936,23.78636588137001,1.3136101822937487,3.4803972799238214
SB50423_component_73a,30.649269,-27.542025,83.221,30.64960360680566,-27.54204357717688,34.042879947420005,0.9226655934558161,2.444593430400819
SB50423_component_82a,34.075160,-27.643817,74.128,34.07535336079134,-27.64382533523013,26.93851012488,1.0385953792562213,2.7517482595886875
SB50423_component_88a,34.946876,-25.942796,69.467,34.94659490537504,-25.9426947215509,32.15118143658,0.815491260490533,2.160636087531647
SB50423_component_93a,32.192747,-28.557565,65.777,32.19273688172744,-28.557488999842352,48.21733938574,0.5148829467320076,1.3641773118385554
SB50423_component_95a,36.174360,-29.571408,71.115,36.17391761587564,-29.57151128001138,19.49179726837,1.3770414125615977,3.648457701700512
SB50423_component_97a,30.578340,-28.943308,63.599,30.57824820687205,-28.94331228538968,28.936261805340003,0.8295556792038734,2.1978996268170587
SB50423_component_102a,30.941931,-27.295916,61.243,30.942335013965764,-27.29595326053545,16.68931398085,1.385018763792554,3.6695936154589877
SB50423_component_109a,35.640199,-30.025703,57.701,35.64008164145783,-30.025672755899443,16.933619408029998,1.2860896183978008,3.4074818161001645
SB50423_component_116a,34.883387,-28.097284,53.293,34.88376983293202,-28.09734931223346,20.971720120830003,0.9591218722188831,2.5411839830269933
SB50423_component_117a,34.918340,-26.602709,53.794,34.9181161556938,-26.60270478465636,18.15839538405,1.1181344943490383,2.962486364049181
SB50423_component_119a,30.951048,-25.957025,53.564,30.95097951892164,-25.95687567476488,20.71559875832,0.9759176886947512,2.585684333865199
SB50423_component_127a,32.958108,-29.375910,54.411,32.95769091000821,-29.375900976201148,17.770951983950006,1.1556163940196154,3.0617942891994465
SB50423_component_128a,33.887775,-26.421580,48.756,33.88742293390816,-26.421557602348948,16.15046190155,1.1394120575988185,3.0188610589595335
SB50423_component_129a,33.725741,-26.187963,48.572,33.72536237969882,-26.18795498715132,14.907377888729998,1.22976576529766,3.2582523203434666
SB50423_component_136a,35.525795,-28.173095,45.434,35.5261533424757,-28.17314155035183,12.24522192871,1.4003996084348702,3.7103450123175103
SB50423_component_139a,30.957700,-28.134914,48.302,30.95852080402193,-28.13523127324006,7.0623289083700005,2.581397247850619,6.839386661980875
SB50423_component_140a,34.922941,-29.432082,42.970,34.92279686583188,-29.43200822667095,32.78356760646,0.494705613717844,1.310717666134539
SB50423_component_142a,32.667851,-25.738158,42.977,32.66742424763071,-25.73801842444913,15.16367133631,1.0697183141902815,2.8342081701068955
SB50423_component_143a,31.580611,-27.200297,43.174,31.580839974591388,-27.20027501524557,12.12307901885,1.3441478283541384,3.561306473318068
SB50423_component_147a,34.681122,-28.317907,41.253,34.681421669681804,-28.31794944776934,11.84148180298,1.314883129160941,3.483769940149648
SB50423_component_149a,31.276120,-26.208269,41.041,31.27600455702651,-26.208180474153576,12.547725293469998,1.234498656226973,3.270792068389417
SB50423_component_151a,32.151145,-30.158743,39.758,32.15098281604895,-30.158656707953373,45.88225502765,0.32705248560587397,0.8665223493528528
SB50423_component_151b,32.157174,-30.171036,15.210,32.15701559843193,-30.171004277443924,8.07342255763,0.7110648602305111,1.8839593653836888
SB50423_component_155a,30.822137,-28.544257,41.886,30.82213877106975,-28.54400579103175,9.19782138951,1.718785252105222,4.5539046490601045
SB50423_component_158a,32.406787,-28.385995,38.281,32.40681122888315,-28.386026209128623,10.82418090133,1.3348298126375597,3.5366184821686386
SB50423_component_159a,34.171284,-27.007031,37.754,34.17112702771111,-27.007027971677733,10.37414242512,1.3735626395022869,3.639240726637212
SB50423_component_162a,30.357305,-30.197364,37.293,30.35716006537724,-30.19739301371265,11.104365253509998,1.267567979397858,3.358408915429913
SB50423_component_169a,30.676404,-28.936946,35.619,30.6763325668032,-28.9369402878325,12.74187277468,1.0550818140912646,2.7954289068072815
