Component_ID,RA,DEC,ASKAP_flux,RA_comp,DEC_comp,Comp_flux,Flux_Ratio_AlphaCorr,Flux_Ratio_NOAlphaCorr
SB50425_component_12a,128.589876,-5.040401,248.761,128.59011584862208,-5.04037813751325,105.15866442787,0.9376277250876409,2.3655777956132487
SB50425_component_13a,126.776388,-3.974986,227.382,126.77686689899966,-3.9749970509964094,64.08416712392,1.4063666223955937,3.5481775606834294
SB50425_component_17a,126.965104,-4.938530,189.436,126.96531978777185,-4.9385318572315,58.67937743726,1.2795882210370964,3.2283233550188375
SB50425_component_22a,131.796634,-5.138002,186.715,131.796258910497,-5.13811260218337,23.88998680411,3.0978222606352372,7.815617391038845
SB50425_component_23a,128.722584,-4.286489,167.042,128.72282995715753,-4.28644260655064,103.49045560022,0.6397622454579025,1.6140812838970047
SB50425_component_25a,130.431978,-3.889904,162.492,130.43216583665134,-3.88982102642214,68.08836426403,0.945915409843997,2.3864871208306173
SB50425_component_36a,131.217382,-5.398924,134.945,131.21769602847814,-5.398866085236301,40.25392336281,1.3287455143903688,3.3523442201634546
SB50425_component_37a,131.544465,-3.485710,131.214,131.5444588960792,-3.48564688245624,35.48192235418,1.4657714366084977,3.6980522984866884
SB50425_component_54a,128.514619,-4.155258,109.575,128.5149000816636,-4.15516543162854,31.34449504751,1.3856176125681798,3.4958290692561915
SB50425_component_59a,126.299610,-4.837339,102.216,126.29989210355532,-4.83726455739478,95.31240891434,0.42507215419512717,1.0724312246670127
SB50425_component_62a,127.707288,-6.605588,100.728,127.70728385105564,-6.6055413391417686,103.66857274531,0.385120186673407,0.97163483743176
SB50425_component_63a,129.523563,-4.490108,97.002,129.52384549186536,-4.49010114183918,32.083123971730004,1.1983874160853367,3.0234586565460506
SB50425_component_70a,129.616384,-3.323662,84.829,129.61620730183472,-3.32349650530241,26.69428980551,1.2595609684245959,3.177795813202771
SB50425_component_74a,129.175182,-4.461099,81.288,129.17545583079738,-4.4610507680929805,23.33148708488,1.380947710456876,3.484047189895536
SB50425_component_79a,130.250874,-5.488277,80.958,130.251075465631,-5.48825773497358,26.31876820598,1.219234991347819,3.0760558225787578
SB50425_component_84a,129.979576,-7.057709,69.829,129.97968782182542,-7.05755933239642,28.769373711230006,0.9620521963466535,2.4271992529720463
SB50425_component_87a,131.472590,-2.683610,67.452,131.4725383036237,-2.68341710999073,29.76316947459,0.898274108857066,2.2662910123396087
