Component_ID,RA,DEC,ASKAP_flux,RA_comp,DEC_comp,Comp_flux,Flux_Ratio_AlphaCorr,Flux_Ratio_NOAlphaCorr
SB50534_component_40a,170.980888,-0.317193,119.970,170.9810502693114,-0.3171573062194799,41.58945983360999,1.143358932787495,2.8846251358078687
SB50534_component_45a,171.022742,-0.583432,111.610,171.02287537930152,-0.583340325209,53.17207974696,0.8319795829957097,2.0990339505524536
SB50534_component_46a,170.668196,-1.457582,107.014,170.66833563713223,-1.4575487841050698,27.80301747533,1.525604181058047,3.8490066782830255
SB50534_component_47a,171.288435,-1.557158,104.318,171.2885799391274,-1.5571080419006005,31.463292420620004,1.3141601521304265,3.3155462371474655
SB50534_component_49a,174.204806,0.168872,97.908,174.2049732813121,0.1689138791411199,38.64441195012,1.004210294223996,2.5335615730864713
SB50534_component_60a,174.457470,1.732639,87.954,174.45755583680497,1.73276711749084,25.96294146086,1.3427492500472695,3.3876747945899996
SB50534_component_65a,174.661817,-0.204797,82.402,174.66191243140827,-0.2047822180876,25.39181710723,1.2862849234829103,3.2452187285085303
SB50534_component_67a,170.848340,-0.676618,78.684,170.84845824200244,-0.6766140820824,24.84662351156,1.2551980200381838,3.166788359444577
SB50534_component_82a,174.594298,-0.138819,67.078,174.59440134601192,-0.13881125993519,67.58713976403001,0.3933772699351547,0.9924669569370729
SB50534_component_91a,171.515768,-0.322268,63.147,171.51593745090074,-0.3222411053795,35.732814654660004,0.7004525124127736,1.7671991408853571
SB50534_component_92a,169.747973,0.298384,62.346,169.74813132344937,0.2984144016125399,18.02466919427,1.3709906805503236,3.458926208266078
SB50534_component_95a,173.291703,0.997216,62.199,173.2919054188404,0.99717717118421,21.54749114095,1.1441419422726733,2.8866006211762425
SB50534_component_105a,171.753840,-0.149174,56.124,171.75402122890011,-0.14912224269241,19.42942710771,1.144937633346261,2.8886081014218496
SB50534_component_108a,169.494033,2.366064,54.197,169.49422377048046,2.3660368989901497,33.17208332098,0.647583380073697,1.633813531449621
SB50534_component_109a,170.447860,0.536741,54.622,170.4480522739095,0.53673633112909,19.47221978524,1.1118478325938153,2.8051245441134993
SB50534_component_111a,173.455063,-0.416519,54.330,173.45524141098906,-0.4165290706108,17.9631465713,1.1988104271589217,3.0245258877895353
SB50534_component_126a,173.414045,0.217157,48.002,173.41425792374642,0.2171598975340599,12.33460087915,1.5425080069396715,3.8916540041849403
SB50534_component_134a,172.647798,2.127172,46.368,172.64769602423397,2.12754248694591,4.00520300482,4.588672223256994,11.576941287299725
SB50534_component_151a,171.098376,0.830898,40.511,171.0986105084162,0.83090983707686,13.6858483935,1.1732605325490126,2.9600650556785713
SB50534_component_152a,168.925400,-1.735595,41.542,168.92575863990214,-1.7354865185238302,11.43321818612,1.4401645408043424,3.6334476558250928
SB50534_component_160a,174.410654,1.129657,37.846,174.41083889159813,1.12966004738862,15.39410094908,0.9744484478826705,2.4584742426058024
SB50534_component_170a,171.368279,2.202499,34.774,171.36849424643688,2.2025370540349103,20.91238546974,0.6590892955640836,1.6628422573223727
SB50534_component_176a,170.842412,-0.729975,34.054,170.84253333348045,-0.72992602755943,11.48083760655,1.1756763289955254,2.966159963369209
