Component_ID,RA,DEC,ASKAP_flux,RA_comp,DEC_comp,Comp_flux,Flux_Ratio_AlphaCorr,Flux_Ratio_NOAlphaCorr
SB51448_component_2a,314.951956,-0.142517,600.071,314.95229728791213,-0.14224734884791,145.54475695732995,1.556122375864928,4.122930955614185
SB51448_component_7a,317.107098,1.652058,310.157,317.1072316538432,1.6522305129483,99.04399369595,1.1819283427005276,3.1315075388780063
SB51448_component_7b,317.109927,1.641878,131.902,317.110207042381,1.6416263549593602,33.67355021294,1.4784278533454425,3.9170800810650652
SB51448_component_8a,316.178541,1.136288,286.457,316.1787532409205,1.13637168861208,152.57516486898,0.7086197919640321,1.8774811810192664
SB51448_component_9a,314.299140,0.857175,263.171,314.29936692280046,0.8572665093041,73.1958239879,1.357029834091102,3.5954372210324346
SB51448_component_13a,319.590652,-2.097011,224.552,319.5908705503068,-2.09686099384389,55.72596449889,1.5208872634973203,4.029575871362403
SB51448_component_14a,316.940543,0.197190,207.500,316.9407583963294,0.19732420659888,78.26858515153,1.0006179823597254,2.6511275194035337
SB51448_component_16a,315.226273,-0.831185,195.218,315.2264243397164,-0.83101116429068,41.846441642070005,1.7607553459840763,4.6651040006965605
SB51448_component_17a,314.813926,2.186836,187.429,314.81410294005246,2.18692372209444,50.89368792308,1.3899864071319392,3.682755337710439
SB51448_component_20a,314.503143,1.539733,175.705,314.50332928408886,1.53980070628838,67.47382546067,0.9828482688315963,2.604046837887854
SB51448_component_22a,314.506140,0.887969,205.911,314.50720309421143,0.8878820959640601,28.07453869364,2.7682454510853973,7.3344391418280175
SB51448_component_24a,314.158805,-2.085873,169.008,314.15900416623884,-2.08579551575856,116.36317717201,0.5481878000666391,1.4524181937352767
SB51448_component_25a,317.564112,-1.329009,173.858,317.56430942980506,-1.32862484131871,52.87607228627,1.2410040007873733,3.2880279149275804
SB51448_component_28a,316.281946,0.556861,138.094,316.2821503768597,0.5569627345869499,158.98549246714995,0.32783474542323027,0.8685949390580929
SB51448_component_32a,315.628974,1.070750,135.009,315.6292584225324,1.07074546402187,34.5143960443,1.4763867418581036,3.9116721762206064
SB51448_component_34a,319.855990,0.528072,123.800,319.8561931406677,0.52815447448759,20.04894379092,2.330595173555533,6.174889028709123
SB51448_component_35a,318.487515,-0.468917,117.868,318.4876605777658,-0.46872314320772,39.03028403581,1.1398084552347425,3.0199113106037685
SB51448_component_38a,314.771187,0.845512,112.943,314.7713588886832,0.84563139848409,34.47535488724,1.2364833209658614,3.276050418128094
SB51448_component_42a,317.157519,-0.999079,116.698,317.1572833562115,-0.99945544616354,19.42249681704,2.267754474122426,6.008393212580783
SB51448_component_43a,319.211450,2.429459,109.541,319.21153471357417,2.42959667537763,127.48604984123,0.3243035656229143,0.8592391128490712
SB51448_component_44a,314.778628,1.310376,102.338,314.77880834426065,1.3104467223876002,38.45825481263,1.0043498692865793,2.661015117173617
SB51448_component_47a,316.617087,2.527089,96.511,316.6172826621328,2.52718142041386,143.49466254383,0.2538509313229149,0.6725755500308945
SB51448_component_49a,318.102464,-2.012597,110.962,318.1029656457864,-2.01221528698917,31.07028292049,1.3479281581055305,3.5713224198761138
SB51448_component_52a,314.638243,-0.271535,101.178,314.6387641401085,-0.2705796606435,15.95486370528,2.3934848531462376,6.341514617284095
SB51448_component_55a,316.186045,-1.460165,86.108,316.18619960688244,-1.45998432486943,67.36781335422,0.4824238222356356,1.2781771801947681
SB51448_component_57a,316.557308,0.338170,84.199,316.557521446717,0.3383052640041,30.58161248605,1.0391643169376177,2.753255654389268
SB51448_component_58a,315.247318,-1.228915,83.649,315.24749757904726,-1.22874198120432,28.13686014501,1.1220774069531796,2.9729330722792198
SB51448_component_61a,318.321177,2.450658,86.812,318.32126520119607,2.45077385865332,33.472466280300004,0.9788805896342723,2.5935345108123555
SB51448_component_62a,319.112983,0.527628,83.491,319.1131763106752,0.52765007542439,39.21365012464,0.8036002529761581,2.1291309798776252
SB51448_component_67a,319.081285,1.955939,77.454,319.0814106730316,1.95608605999165,26.432470065360004,1.1059711572392832,2.9302597218061464
SB51448_component_77a,318.309877,1.919085,76.517,318.3099557935453,1.91927107851332,39.45912028793,0.7318940414714685,1.939146076564234
SB51448_component_78a,314.760019,2.237858,67.924,314.76020038999746,2.23793201691999,23.45292369487,1.0931102618543327,2.8961849057621607
SB51448_component_81a,318.406997,-1.339951,76.959,318.40750859474133,-1.34062857920638,12.98232723668,2.2374047075671615,5.927981804090617
SB51448_component_82a,316.173892,0.556220,67.336,316.17408707018814,0.5563405744236201,16.94461784166,1.499868595359778,3.973887116509887
SB51448_component_85a,319.678710,1.335230,65.131,319.6788595233182,1.33535930504519,25.24013296775,0.9739435176712202,2.580453787122326
SB51448_component_86a,314.335073,0.201784,65.226,314.33497870994086,0.20204518434132,52.38091629985,0.4699864386418432,1.245224454483082
SB51448_component_88a,316.502896,-0.371820,62.108,316.50308103998464,-0.3715826975951401,22.52981218817,1.0404654668061661,2.7567030381902686
SB51448_component_92a,315.936649,0.900475,63.586,315.9368088877944,0.9004800656454099,32.817245547460004,0.7313024943613273,1.9375787783041922
SB51448_component_94a,317.897552,-0.585247,60.117,317.89771949147183,-0.5851067483462601,28.83957681791,0.786766946947445,2.084531300837259
SB51448_component_96a,317.774911,-0.486777,58.457,317.7750889980388,-0.4865874921308101,16.98992266374,1.2986221696530156,3.4406866875963584
SB51448_component_99a,314.860362,0.447476,58.746,314.8605359026532,0.44763543326226,28.30858048722,0.7832454525061919,2.0752011358919757
SB51448_component_100a,318.284682,-0.467963,56.619,318.2848649722011,-0.46779113081845,24.97129724851,0.855773377755223,2.267363161702764
SB51448_component_101a,314.223048,1.496593,56.199,314.22334491021763,1.4966486485414698,14.76003782863,1.43707294436709,3.8075106557821163
SB51448_component_103a,317.168359,-2.135015,53.580,317.1685869519247,-2.1348726143142702,32.82534113741,0.6160715611521844,1.6322755521949857
SB51448_component_108a,315.154332,2.547050,52.312,315.1544867460159,2.54709895277959,21.20629322704,0.9310526702221636,2.466814907942305
SB51448_component_110a,314.312716,-0.494358,50.677,314.31285280929444,-0.49412060551246,16.94612623518999,1.1286989728696977,2.9904768461592646
SB51448_component_115a,316.400639,-0.136241,49.584,316.4007996186124,-0.13599975868707,28.50138839092,0.6566186667302606,1.7397047103005545
