Component_ID,RA,DEC,ASKAP_flux,RA_comp,DEC_comp,Comp_flux,Flux_Ratio_AlphaCorr,Flux_Ratio_NOAlphaCorr
SB51448_component_13a,319.590652,-2.097011,224.552,319.5908705503068,-2.09686099384389,55.72596449889,1.5971751444150297,4.029575871362403
SB51448_component_14a,316.940543,0.197190,207.500,316.9407583963294,0.19732420659888,78.26858515153,1.050809096004035,2.6511275194035337
SB51448_component_25a,317.564112,-1.329009,173.858,317.56430942980506,-1.32862484131871,52.87607228627,1.3032529048992818,3.2880279149275804
SB51448_component_34a,319.855990,0.528072,123.800,319.8561931406677,0.52815447448759,20.04894379092,2.4474980968259565,6.174889028709123
SB51448_component_38a,314.771187,0.845512,112.943,314.7713588886832,0.84563139848409,34.47535488724,1.298505467255433,3.276050418128094
SB51448_component_42a,317.157519,-0.999079,116.698,317.1572833562115,-0.99945544616354,19.42249681704,2.3815053006463005,6.008393212580783
SB51448_component_43a,319.211450,2.429459,109.541,319.21153471357417,2.42959667537763,127.48604984123,0.34057066995682667,0.8592391128490712
SB51448_component_44a,314.778628,1.310376,102.338,314.77880834426065,1.3104467223876002,38.45825481263,1.0547281748104629,2.661015117173617
SB51448_component_47a,316.617087,2.527089,96.511,316.6172826621328,2.52718142041386,143.49466254383,0.26658412337758436,0.6725755500308945
SB51448_component_49a,318.102464,-2.012597,110.962,318.1029656457864,-2.01221528698917,31.07028292049,1.4155403903065682,3.5713224198761138
SB51448_component_57a,316.557308,0.338170,84.199,316.557521446717,0.3383052640041,30.58161248605,1.0912889191794521,2.753255654389268
SB51448_component_58a,315.247318,-1.228915,83.649,315.24749757904726,-1.22874198120432,28.13686014501,1.1783609393731003,2.9729330722792198
SB51448_component_61a,318.321177,2.450658,86.812,318.32126520119607,2.45077385865332,33.472466280300004,1.027981353147115,2.5935345108123555
SB51448_component_67a,319.081285,1.955939,77.454,319.0814106730316,1.95608605999165,26.432470065360004,1.1614467983120311,2.9302597218061464
SB51448_component_77a,318.309877,1.919085,76.517,318.3099557935453,1.91927107851332,39.45912028793,0.7686059311823226,1.939146076564234
SB51448_component_85a,319.678710,1.335230,65.131,319.6788595233182,1.33535930504519,25.24013296775,1.0227966370837809,2.580453787122326
SB51448_component_92a,315.936649,0.900475,63.586,315.9368088877944,0.9004800656454099,32.817245547460004,0.767984712000767,1.9375787783041922
SB51448_component_99a,314.860362,0.447476,58.746,314.8605359026532,0.44763543326226,28.30858048722,0.8225331349296268,2.0752011358919757
