Component_ID,RA,DEC,ASKAP_flux,RA_comp,DEC_comp,Comp_flux,Flux_Ratio_AlphaCorr,Flux_Ratio_NOAlphaCorr
SB54773_component_19a,13.062698,-16.287775,306.950,13.06255626599948,-16.28781045203537,156.82412534118998,0.7757968048533188,1.9572882140373755
SB54773_component_59a,11.146293,-13.725575,109.418,11.14619327383657,-13.725565226350987,26.62129873294,1.6291187272304832,4.110167590441002
SB54773_component_60a,14.250058,-15.851873,112.394,14.24994575993953,-15.851899776449564,25.61629338556,1.7390818949603777,4.387597983076652
SB54773_component_62a,14.059989,-14.049896,106.516,14.05989311004454,-14.0498695500304,33.43180396442,1.2628397347916707,3.1860679415831803
SB54773_component_77a,10.911588,-15.614627,87.580,10.911479440591538,-15.614608267734589,41.86354471752,0.8292054673433792,2.0920350252710977
SB54773_component_82a,15.569553,-12.039161,78.014,15.56970812243144,-12.03909572264962,24.45275498978,1.2645556749994868,3.190397154495299
SB54773_component_84a,16.452838,-13.125874,76.337,16.45288662188376,-13.12588671578325,20.582623935900003,1.4700345548545881,3.7088078868648826
SB54773_component_87a,15.586942,-11.511580,73.480,15.587121275325188,-11.511533023397469,72.83547940461001,0.3998705223572334,1.0088490383751465
SB54773_component_94a,15.542037,-13.532145,69.263,15.5420338124791,-13.532131081276631,21.98187871437,1.2489058494110201,3.150913595160664
SB54773_component_95a,15.938239,-12.378944,67.759,15.93836593762783,-12.37893571774316,46.18245537919,0.5815448197852583,1.4672022552546946
SB54773_component_99a,13.403397,-11.634369,66.552,13.40326996995658,-11.63426841093539,26.06999345776,1.0118436428970206,2.552820048112253
SB54773_component_123a,14.235245,-14.288480,55.583,14.23518508128731,-14.28841744569057,21.84653888749,1.0084457692133901,2.544247419207168
SB54773_component_136a,15.961347,-12.086497,52.472,15.96136093509697,-12.08623291141007,9.30972924859,2.2340031122289927,5.636254151002022
SB54773_component_141a,14.202818,-15.455563,48.187,14.20267705402148,-15.45559045183373,28.61032821003,0.6675752963854511,1.684251921925354
