Component_ID,RA,DEC,ASKAP_flux,ASKAP_flux_SNR,RA_comp,DEC_comp,Comp_flux,Flux_Ratio_AlphaCorr,Flux_Ratio_NOAlphaCorr
SB73653_component_3a,131.321452,4.663065,588.9340209960938,2560.582763671875,131.3214722609583,4.663211424466589,438.34715471562,0.5325310939569549,1.3435333494480368
SB73653_component_4a,129.954827,3.331435,573.7760009765625,3135.387939453125,129.95497047546544,3.3316390528084,532.19947399954,0.4273310580707802,1.0781220745382742
SB73653_component_7a,128.928461,7.032747,489.1340026855469,2145.324462890625,128.9285059077636,7.03302687898306,181.90941339119,1.0657840113649188,2.6888878017196443
SB73653_component_16a,128.517653,2.849745,248.572998046875,2004.6209716796875,128.51778814232895,2.8498572850514305,150.85752735881002,0.6531057165620243,1.6477334767369727
SB73653_component_20a,127.415826,3.703008,217.38499450683594,1890.3043212890625,127.41687414153492,3.70231585883258,27.680387792,3.112819312985027,7.853394112118006
SB73653_component_22a,126.667372,5.394246,181.4929962158203,1451.9439697265625,126.66738991861708,5.394574078252949,45.32705169532001,1.587080365933783,4.004076802430972
SB73653_component_25a,128.243044,6.067281,187.92300415039062,1957.53125,128.24436440812488,6.067453734472902,15.671414500979994,4.753004972872145,11.991451322957419
SB73653_component_26a,131.299011,6.87309,161.74099731445312,1777.3736572265625,131.29903815602577,6.87328395193156,52.78105804420999,1.2146147330279058,3.0643758065436484
SB73653_component_27a,127.808482,5.320035,152.35400390625,1638.215087890625,127.80857020867307,5.32038674546264,46.5150297338,1.2982462864821693,3.2753715256800633
SB73653_component_28a,131.347168,3.373043,147.37600708007812,1551.326416015625,131.3471957423221,3.37311459499154,41.778214316870006,1.3982133107101251,3.5275803307985765
SB73653_component_34a,131.216033,4.402578,126.45500183105469,1277.3232421875,131.21607941470512,4.40272804253159,37.81279150196,1.3255429127105973,3.344238730020765
SB73653_component_37a,129.802998,5.543766,120.73300170898438,1547.8590087890625,129.80313230656594,5.5440199536408,30.8199342444,1.552711645907857,3.917367271181691
SB73653_component_54a,127.110638,3.537849,93.46099853515625,1168.262451171875,127.11083970982428,3.53799293950616,26.95753627944,1.37418985547817,3.4669710750398646
SB73653_component_60a,128.200267,3.69298,86.03600311279297,782.1455078125,128.20045915235818,3.6931414291674702,18.05505447162,1.88876507400157,4.765203187175615
SB73653_component_73a,128.819828,6.751443,75.41899871826172,1160.2923583984375,128.82010112092593,6.75177301825231,17.14217633478,1.7438588267711546,4.399616317400905
SB73653_component_79a,131.46409,3.331006,69.48200225830078,992.6000366210938,131.4641395438253,3.3310531333264906,28.876943934440003,0.9537128081489411,2.4061411213058896
SB73653_component_87a,126.437122,5.664888,65.30400085449219,894.5753784179688,126.43718605794255,5.665211034259759,23.74191260751,1.0902362220733461,2.7505787732465725
SB73653_component_91a,130.601465,6.521083,58.28799819946289,857.1763916015625,130.60152973642158,6.5213712652237,33.15551496468,0.6968188374129944,1.7580181837487998
SB73653_component_97a,131.090448,5.630341,56.270999908447266,770.8356323242188,131.09047135576884,5.6304957953981685,26.47846251221,0.8423418695426966,2.1251611524837988
SB73653_component_99a,130.422729,2.803841,54.78099822998047,817.6268310546875,130.42290632818822,2.8039459094676205,18.35317892191,1.183082861615002,2.9848234174071604
SB73653_component_103a,127.884376,6.538471,54.43600082397461,598.1978149414062,127.8845327256655,6.53880344098049,14.19348989064,1.5201748353254356,3.8352795009120926
SB73653_component_111a,128.754442,2.390143,49.4370002746582,716.478271484375,128.75457439673858,2.39026198194335,18.48256029634,1.0601968242987658,2.6747917757069586
SB73653_component_118a,131.644597,4.449283,46.08599853515625,631.3150634765625,131.64459400534122,4.44941747201162,9.78076370872,1.8676382268902625,4.711901841986886
SB73653_component_138a,127.78527,6.364032,41.80500030517578,516.111083984375,127.78538989350386,6.3643487201607405,86.11456512508002,0.19241908183842085,0.48545795063186686
SB73653_component_143a,126.22217,4.994129,39.05799865722656,448.9425354003906,126.22225537923812,4.99445575168256,10.29456479702,1.5038292039258887,3.7940407804837757
SB73653_component_148a,126.243794,3.290518,38.61199951171875,448.9767150878906,126.24392606191584,3.2905554225726896,10.28602482387,1.4878914349299668,3.7538310642722545
SB73653_component_156a,131.835428,5.686651,36.055999755859375,364.2020263671875,131.8353598395961,5.686768425848888,11.01647051156,1.2972736165367889,3.2729175572180265
SB73653_component_157a,128.211313,2.502548,35.624000549316406,539.757568359375,128.2114445870538,2.50262535618577,15.33785649549,0.9206075633200576,2.3226192369051972
SB73653_component_166a,129.060428,5.954261,38.06700134277344,488.0384826660156,129.06145433834482,5.954908624601082,7.27255942407,2.074712429041604,5.234333488810423
SB73653_component_173a,131.006706,6.977474,30.683000564575195,438.3285827636719,131.00677361653035,6.97764073777931,9.96941571106,1.2199011536563231,3.077713022894179
SB73653_component_176a,130.105955,3.32961,29.808000564575195,313.7684326171875,130.10611391111817,3.32980775840635,11.00162113449,1.0739218549915366,2.709418930190873
SB73653_component_182a,129.862761,2.164798,30.01300048828125,1304.9130859375,129.86286469625475,2.1650338900317,9.76984031364,1.2176387758734204,3.0720052247301424
SB73653_component_187a,127.964017,2.293819,28.81599998474121,331.2184143066406,127.9641115570835,2.2938898675759303,11.41116069286,1.000922366118862,2.5252470594662184
SB73653_component_196a,129.03544,2.593219,27.268999099731445,426.0780944824219,129.03556961682136,2.59336526001198,10.4062858502,1.038651771238513,2.6204353303640375
SB73653_component_198a,126.927616,6.403394,26.645000457763672,292.8022155761719,126.92777325692596,6.40371579062275,11.38513416902,0.927628533499753,2.340332583015769
SB73653_component_204a,130.207289,2.257195,26.284000396728516,392.2984924316406,130.2074782474715,2.25737706234358,8.776209330090001,1.187082797297928,2.994914935154466
SB73653_component_213a,130.805846,3.969736,25.31399917602539,444.1052551269531,130.80586785438803,3.96987239287499,9.04490610476,1.1093107423921664,2.798702262116747
SB73653_component_216a,130.868371,4.354791,24.565000534057617,481.66668701171875,130.86843867707802,4.35496414008305,27.50561583735,0.35399075889572945,0.8930903666843443
SB73653_component_239a,126.031648,4.092332,23.114999771118164,316.6438293457031,126.03173437801613,4.09261831134373,8.530378895639997,1.074044045081625,2.7097272060133912
SB73653_component_250a,129.393396,6.49804,22.430999755859375,315.9295654296875,129.39356927336047,6.49834452983975,9.4959322679,0.9362838714181174,2.3621693081873603
SB73653_component_257a,131.65479,4.529023,21.621000289916992,304.5211181640625,131.65477935965117,4.5291655663000325,11.35249050395,0.7548856246254155,1.9045160427479904
SB73653_component_259a,130.696101,5.233979,21.743999481201172,362.3999938964844,130.69617898982406,5.23409970572381,9.004861336360001,0.9571035327232686,2.4146956481609365
SB73653_component_260a,128.73833,7.035455,21.559999465942383,217.77777099609375,128.73854668919563,7.035730060203679,8.729511311380001,0.9789383300739489,2.469783095170087
SB73653_component_274a,131.861206,5.743293,20.582000732421875,361.0877380371094,131.8611125477241,5.743435527180481,5.324674463469999,1.5321138828507117,3.8654007627367584
SB73653_component_275a,129.154116,7.188603,20.799999237060547,241.86044311523438,129.15430904727884,7.18884291891252,8.35242545348,0.9870683591728809,2.4902945082130987
SB73653_component_285a,129.388744,3.696865,20.177000045776367,341.9830627441406,129.388902819742,3.69714374873371,5.9074706403900015,1.353790751623315,3.4155057678702767
SB73653_component_296a,128.332544,4.526114,20.065000534057617,308.69232177734375,128.33286899585264,4.526471643833991,6.917346009269999,1.1497308789321483,2.900679033139057
SB73653_component_321a,131.812872,4.289346,17.591999053955078,244.3333282470703,131.81284478122166,4.28947552502561,15.651620378920002,0.4455048199163553,1.1239730218379451
SB73653_component_324a,129.146599,3.273677,17.79400062561035,329.5185241699219,129.14679952287648,3.27391869866634,3.68410801762,1.9144223955264428,4.829934556887829
SB73653_component_329a,127.730708,7.041734,18.2450008392334,192.05264282226562,127.73089464669816,7.04202677331475,8.164007757319999,0.885802698126815,2.234809346288849
SB73653_component_332a,128.085962,3.09331,17.472999572753906,291.2166748046875,128.086158735745,3.0934315304115296,11.76711118518,0.5885645888171621,1.4849013744987933
SB73653_component_335a,130.606151,2.881231,17.246999740600586,331.6730651855469,130.60628193068965,2.88136294172396,10.96023153901,0.6237209730927373,1.5735981196395827
SB73653_component_344a,130.278224,3.201823,17.816999435424805,287.3709716796875,130.27832485374077,3.20195858442707,9.1045006183,0.7756663590278634,1.9569441732600608
SB73653_component_347a,131.33948,4.336786,16.309999465942383,243.4328155517578,131.3394898303335,4.3369252654747,3.45033136977,1.8736551448213798,4.727082044594925
